pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado
P00222,Funciona.,SAKA'TULLI.,funciona.,saka'tulli.
P00223,Es Tom.,TOM NUKA'A,es tom.,tom nuka'a
P00224,Es divertido.,WA'DANPINTEK,es divertido.,wa'danpintek
P00225,Es suyo.,KENMAKIN NUKA'A,es suyo.,kenmakin nuka'a
P00226,Es nuevo.,NALU' NUKA'A,es nuevo.,nalu' nuka'a
P00227,Es extraño.,NERPI'LA NUKA'A,es extraño.,nerpi'la nuka'a
P00228,Es viejo.,NAPI'DA' NUKA'A,es viejo.,napi'da' nuka'a
P00229,Es rojo.,PIPERSU' NUKA'A,es rojo.,pipersu' nuka'a
P00230,Es triste.,WE'INU NUKA'A,es triste.,we'inu nuka'a
P00231,Prohibido pasar.,KU'LA NAKUI'NCHU,prohibido pasar.,ku'la nakui'nchu
P00232,No entrar.,KU'LA DAI'NCHU,no entrar.,ku'la dai'nchu
P00233,Déjalo.,TAI'TULER',déjalo.,tai'tuler'
P00234,Déjame.,TAI'TULA'U,déjame.,tai'tula'u
P00235,Déjanos.,TAI'TULA'UDEK,déjanos.,tai'tula'udek
P00236,Vamos.,PA'A,vamos.,pa'a
P00237,Cuidado.,LLI'KER'LLIA',cuidado.,lli'ker'llia'
P00238,Cásate conmigo.,SADAKER' KUALEK',cásate conmigo.,sadaker' kualek'
P00239,¿Puedo ir?,¿YEN'NITULEK PA'AK?,¿puedo ir?,¿yen'nitulek pa'ak?
P00240,Ella vino.,NANA UK'LLI,ella vino.,nana uk'lli
P00241,Ella murió.,NANA CHIMIÑI,ella murió.,nana chimiñi
P00242,Ella corre.,NANA TEKA'LLI,ella corre.,nana teka'lli
P00243,Siéntate.,DU'KER',siéntate.,du'ker'
P00244,Mes. ,DUKER,mes.,duker
P00245,Luna,DUKER,luna,duker
P00246,Siéntate aquí.,DU'KER' ASEK,siéntate aquí.,du'ker' asek
P00247,Prepárate.,INSEK'DIPER'KER',prepárate.,insek'diper'ker'
P00248,Un momento.,WA'TENKER',un momento.,wa'tenker'
P00249,Parate,WANERKER',parate,wanerker'
P00250,¡De pie!,¡WANERKER'!,¡de pie!,¡wanerker'!
P00251,¡Genial!,¡U'CHIMU!,¡genial!,¡u'chimu!
P00252,Ellos ganaron.,NAWA' KANA'TULLINA',ellos ganaron.,nawa' kana'tullina'
P00253,Tom vino.,TOM UK'LLI,tom vino.,tom uk'lli
P00254,Dia.,UKLLI,dia.,uklli
P00255,Tom mintió.,TOM TUMU'LLI,tom mintió.,tom tumu'lli
P00256,Tomás miente.,TOMAS TUMU'PALLI,tomás miente.,tomas tumu'palli
P00257,Tom perdió.,TOM KANA'CHI'ÑI,tom perdió.,tom kana'chi'ñi
P00258,Tom pagó.,TOM PANWILEK'TULLI,tom pagó.,tom panwilek'tulli
P00259,Tom renunció.,TOM YUNSU'LLI,tom renunció.,tom yunsu'lli
P00260,Tom nadó.,TOM IDUÑI,tom nadó.,tom iduñi
P00261,Tom lloró.,TOM WELLIEK'LLI,tom lloró.,tom welliek'lli
P00262,Demasiado tarde.,NAKUSUIN'CHI ERWA',demasiado tarde.,nakusuin'chi erwa'
P00263,Prueben esto. (saborear),LATA'KU' ASU',prueben esto. (saborear),lata'ku' asu'
P00264,Prueba esto. (saborear),LATA'KER' ASU',prueba esto. (saborear),lata'ker' asu'
P00265,Usa esto.,PATA'KER' ASU',usa esto.,pata'ker' asu'
P00266,Mírame.,LLI'U,mírame.,lli'u
P00267,Vigílame.,LUWUK'TU'U,vigílame.,luwuk'tu'u
P00268,Obsérvame.,LLI'U,obsérvame.,lli'u
P00269,Obsérvalos.,LLI'DEK'KU',obsérvalos.,lli'dek'ku'
P00270,Iremos.,PA'ATERWA',iremos.,pa'aterwa'
P00271,Estamos bien.,MU'PALLIDEK',estamos bien.,mu'pallidek'
P00272,¿Para qué?,¿MA'KI'NA?,¿para qué?,¿ma'ki'na?
P00273,¡Qué divertido!,¡EMPU'NI WA'DANPINTEK'IPA'!,¡qué divertido!,¡empu'ni wa'danpintek'ipa'!
P00274,¿Quién vino?,¿DEN UK'LLI?,¿quién vino?,¿den uk'lli?
P00275,¿Quién murió?,¿DEN CHIMIÑI?,¿quién murió?,¿den chimiñi?
P00276,¿Quién nadó?,¿DEN IDUÑI?,¿quién nadó?,¿den iduñi?
P00277,Escríbeme.,LLINSER'CHU'U,escríbeme.,llinser'chu'u
P00278,Tú primero.,KENMAMENTU,tú primero.,kenmamentu
P00279,Usted primero.,KENMAMENTU,usted primero.,kenmamentu
P00280,Apunta. ¡Fuego!,TAÑITER' . ¡PEN!,apunta. ¡fuego!,tañiter' . ¡pen!
P00281,Respóndeme.,NA'PI'U,respóndeme.,na'pi'u
P00282,Respóndanme.,NA'PIU'KU,respóndanme.,na'piu'ku
P00283,Jesús.,KISHU,jesús.,kishu
P00284,Cálmate.,TA'TULER',cálmate.,ta'tuler'
P00285,Tranquilízate.,TA'TULER',tranquilízate.,ta'tuler'
P00286,Captúralo.,PILLI'TER',captúralo.,pilli'ter'
P00287,Captúrenlo.,PILLI'TUKU',captúrenlo.,pilli'tuku'
P00288,Atrápenlo.,PILLI'TUKU',atrápenlo.,pilli'tuku'
P00289,Atrápalo.,PILLI'TER',atrápalo.,pilli'ter'
P00290,Vuelve.,ADEN'CHER',vuelve.,aden'cher'
P00291,Ven.,WENCHER',ven.,wencher'
P00292,Venid aquí.,WENCHER' ASEK,venid aquí.,wencher' asek
P00293,Vuelve pronto.,ADEN'CHER' WIUK'SU',vuelve pronto.,aden'cher' wiuk'su'
P00294,Hazlo ahora.,NU'TER' IPA'LA,hazlo ahora.,nu'ter' ipa'la
P00295,No preguntes.,YALEK'TUTA,no preguntes.,yalek'tuta
P00296,No llores.,YAWELLEKTA,no llores.,yawellekta
P00297,¡No llores!,¡YAWELLEKTA!,¡no llores!,¡yawellekta!
P00298,No lloren.,YAWELLEKTAMA',no lloren.,yawellektama'
P00299,No mientas.,YATUMU'TA,no mientas.,yatumu'ta
P00300,¡Fantástico!,¡U'CHIMUINCHI!,¡fantástico!,¡u'chimuinchi!
P00301,¡Es estupendo!,¡U'CHIMUINCHI NUKA'A!,¡es estupendo!,¡u'chimuinchi nuka'a!
P00302,Sígueme.,TUPI'TU'U,sígueme.,tupi'tu'u
P00303,Síguenos.,TUPI'TU'UDEK,síguenos.,tupi'tu'udek
P00304,Olvídame.,PINANER'U,olvídame.,pinaner'u
P00305,Olvídenme.,PINANER'U'KU,olvídenme.,pinaner'u'ku
P00306,Preparense.,INSEK'DIPERKU',preparense.,insek'diperku'
P00307,Agarra esto.,PILLITER' ASU',agarra esto.,pilliter' asu'
P00308,Sonrió.,YAMERLADALLI,sonrió.,yamerladalli
P00309,Es rico. (sabor),IYALLI,es rico. (sabor),iyalli
P00310,Acá estoy.,ASEK' ÑAPALEK,acá estoy.,asek' ñapalek
P00311,Sostén esto.,PILLITER' ASU',sostén esto.,pilliter' asu'
P00312,¡Qué horror!,¡IMANAN EMPU'NIPA'!,¡qué horror!,¡imanan empu'nipa'!
P00313,¡Qué raro!,¡NERPI'LA EMPU'NIPA'!,¡qué raro!,¡nerpi'la empu'nipa'!
P00314,Estoy ocupada.,YEN'NICHI'NEK,estoy ocupada.,yen'nichi'nek
P00315,Estoy ocupado.,YEN'NICHI'NEK,estoy ocupado.,yen'nichi'nek
P00316,Soy bueno.,MUKANKANKU,soy bueno.,mukankanku
P00317,Puedo volar.,YEN'NITULEK PEN'NU'AK',puedo volar.,yen'nitulek pen'nu'ak'
P00318,Puedo correr.,YEN'NITULEK TEKA'AK',puedo correr.,yen'nitulek teka'ak'
P00319,Sé correr.,ÑINCHITAPALEK TEKA'AK',sé correr.,ñinchitapalek teka'ak'
P00320,Quedé inconsciente.,LLIYA'LEK INLLI'INUI'SU',quedé inconsciente.,lliya'lek inlli'inui'su'
P00321,Me dieron.,ENKA'LLINER'KU,me dieron.,enka'lliner'ku
P00322,Me alcanzaron.,ENKA'LLINER'KU,me alcanzaron.,enka'lliner'ku
P00323,Lo odio.,LUYULEK',lo odio.,luyulek'
P00324,Eso espero.,NANA WA'TEN'NEK',eso espero.,nana wa'ten'nek'
P00325,Lo sabía.,ÑINCHITUWINEK',lo sabía.,ñinchituwinek'
P00326,Me reí.,YAMERLEK',me reí.,yamerlek'
P00327,Me gusta.,IYATULEK,me gusta.,iyatulek
P00328,¡Lo adoro!,¡TANTE'ÑEK!,¡lo adoro!,¡tante'ñek!
P00329,Lo necesito.,LUANTULEK,lo necesito.,luantulek
P00330,Le vi.,LLI'LEK,le vi.,lli'lek
P00331,Te vi.,LLI'LLIEN,te vi.,lli'llien
P00332,Me tropecé.,PI'SER'KATULEK,me tropecé.,pi'ser'katulek
P00333,Cantaré.,TULUNER'ECHEK,cantaré.,tuluner'echek
P00334,Estoy solo.,KUASHASA' ÑAPALEK,estoy solo.,kuashasa' ñapalek
P00335,Estoy enojado.,YUSU' ÑAPALEK,estoy enojado.,yusu' ñapalek
P00336,Estoy despierto.,NANPISU' ÑAPALEK,estoy despierto.,nanpisu' ñapalek
P00337,Soy ciega.,DAPINANTEK' NUKA'KA,soy ciega.,dapinantek' nuka'ka
P00338,Soy ciego.,DAPINANTEK' NUKA'KA,soy ciego.,dapinantek' nuka'ka
P00339,Estoy quebrado.,NUPEK'PI ÑAPALEK,estoy quebrado.,nupek'pi ñapalek
P00340,Estoy loco.,WA'DANPINTEK ÑAPALEK,estoy loco.,wa'danpintek ñapalek
P00341,Estoy borracho.,LUPERSU' ÑAPALEK,estoy borracho.,lupersu' ñapalek
P00342,Estoy tomada.,LUPERSU' ÑAPALEK,estoy tomada.,lupersu' ñapalek
P00343,Soy amado.,LUANPI NUKA'KA,soy amado.,luanpi nuka'ka
P00344,Soy amada.,LUANPI NUKA'KA,soy amada.,luanpi nuka'ka
P00345,Soy obeso.,WEIPENSU' NUKA'KA,soy obeso.,weipensu' nuka'ka
P00346,Soy obesa.,WEILUNSU' NUKA'KA,soy obesa.,weilunsu' nuka'ka
P00347,Estoy listo.,INSEK'DIPERPI ÑAPALEK,estoy listo.,insek'diperpi ñapalek
P00348,Lo siento.,WE'INU,lo siento.,we'inu
P00349,He perdido.,A'WER'LEK,he perdido.,a'wer'lek
