pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id,has_audit_flags
U00031,Perdí. (opuesto de ganar),WER'LLIEK,perdí. (opuesto de ganar),wer'lliek,flashcards,P00031,True
U00032,Perdí. (extraviar),A'WER'LLIEK,perdí. (extraviar),a'wer'lliek,flashcards,P00032,True
U00033,Renuncié.,TA'ITULA'LEK,renuncié.,ta'itula'lek,flashcards,P00033,False
U00034,Estoy trabajando.,SAKA'TAPALEK,estoy trabajando.,saka'tapalek,flashcards,P00034,False
U00035,Tengo diecinueve.,A'ÑAPALEK SHUNKA'ISKUN,tengo diecinueve.,a'ñapalek shunka'iskun,flashcards,P00035,False
U00036,Estoy levantado.,YUNSANSU' ÑAPALEK,estoy levantado.,yunsansu' ñapalek,flashcards,P00036,False
U00037,Escucha.,LAU'TER,escucha.,lau'ter,flashcards,P00037,True
U00038,Escuché.,LAU'TULEK,escuché.,lau'tulek,flashcards,P00038,False
U00039,Escuchen.,LAU'TUKU',escuchen.,lau'tuku',flashcards,P00039,False
U00040,Escucharon.,LAU'TULLINA',escucharon.,lau'tullina',flashcards,P00040,False
U00041,Estoy escuchando.,LAU'TAPALEK,estoy escuchando.,lau'tapalek,flashcards,P00041,True
U00042,Estoy abriendo mi boca.,LAUK'APALEK,estoy abriendo mi boca.,lauk'apalek,flashcards,P00042,True
U00043,¡Imposible!,¡SAKA'DEK!,¡imposible!,¡saka'dek!,flashcards,P00043,False
U00044,¿En serio?,¿TEKINCHI?,¿en serio?,¿tekinchi?,flashcards,P00044,True
U00045,¿La verdad?,¿TEKINCHI?,¿la verdad?,¿tekinchi?,flashcards,P00045,True
U00046,¡Gracias!,¡YUSPEINET'ECHUN!,¡gracias!,¡yuspeinet'echun!,flashcards,P00046,True
U00047,Gracias.,YUSPEINET'ECHUN,gracias.,yuspeinet'echun,flashcards,P00047,False
U00048,Pruébalo. (saborear),LATA'KER,pruébalo. (saborear),lata'ker,flashcards,P00048,True
U00049,Pruébalo. (intentar),TEKLE'RIER',pruébalo. (intentar),tekle'rier',flashcards,P00049,True
U00050,Lo procuramos.,TEKLE'RIER'CHIDEK,lo procuramos.,tekle'rier'chidek,flashcards,P00050,False
U00051,Ganamos.,KANA'LLIDEK,ganamos.,kana'llidek,flashcards,P00051,False
U00052,Estate tranquilo.,MUSU' ÑAPAKER',estate tranquilo.,musu' ñapaker',flashcards,P00052,False
U00053,Sean gentiles.,MUKANKAN ÑIKER',sean gentiles.,mukankan ñiker',flashcards,P00053,True
U00054,Sé agradable.,MUKANKAN ÑIKER',sé agradable.,mukankan ñiker',flashcards,P00054,True
U00055,Llámame.,PEKLU'U,llámame.,peklu'u,flashcards,P00055,False
U00056,Llámanos.,PEKLU'UDEK,llámanos.,peklu'udek,flashcards,P00056,False
U00057,Entre.,DA'KERKER',entre.,da'kerker',flashcards,P00057,True
U00058,Pase.,DA'KERKER',pase.,da'kerker',flashcards,P00058,True
U00059,¡Entren!,¡DAKER'KU'!,¡entren!,¡daker'ku'!,flashcards,P00059,False
U00060,Suéltalo.,APU'KER',suéltalo.,apu'ker',flashcards,P00060,True
U00061,Bájate.,NU'WANKER',bájate.,nu'wanker',flashcards,P00061,True
U00062,Sal. ,YUNSUER',sal.,yunsuer',flashcards,P00062,True
U00063,Sal. ,DAMULA,sal.,damula,flashcards,P00063,True
U00064,Salgan.,YUNSU'KU',salgan.,yunsu'ku',flashcards,P00064,False
U00065,¡Largo!,¡PAKER'!,¡largo!,¡paker'!,flashcards,P00065,True
U00066,Largo ,SHIN,largo,shin,flashcards,P00066,False
U00067,¡Vete ya!,¡PAKER'!,¡vete ya!,¡paker'!,flashcards,P00067,True
U00068,Lárguese.,¡PAKU'!,lárguese.,¡paku'!,flashcards,P00068,False
U00069,Vaya despacio.,PAKER' UTI'LA,vaya despacio.,paker' uti'la,flashcards,P00069,False
U00070,¡Hasta luego!,¡PANTE'CHEK!,¡hasta luego!,¡pante'chek!,flashcards,P00070,True
U00071,¡Chau!,¡PANTE'CHEK!,¡chau!,¡pante'chek!,flashcards,P00071,True
U00072,¡Un segundo!,¡IPIA'LASHA!,¡un segundo!,¡ipia'lasha!,flashcards,P00072,False
U00073,Agarra fuertemente.,PILLI'TER' IKERSU',agarra fuertemente.,pilli'ter' ikersu',flashcards,P00073,True
U00074,Dolor,IKER,dolor,iker,flashcards,P00074,False
U00075,El ají pica,NUKA' IKERLLI,el ají pica,nuka' ikerlli,flashcards,P00075,False
U00076,Él vino.,NANA UK'LLI,él vino.,nana uk'lli,flashcards,P00076,True
U00077,Él renunció.,NANA YUNSU'LLI,él renunció.,nana yunsu'lli,flashcards,P00077,True
U00078,Ayúdame.,KATU'PA'U,ayúdame.,katu'pa'u,flashcards,P00078,True
U00079,Ayúdanos.,KATU'PA'UDEK,ayúdanos.,katu'pa'udek,flashcards,P00079,True
U00080,Espera.,WA'TENKER',espera.,wa'tenker',flashcards,P00080,True
U00081,Resista.,YAN'KATEK'TER',resista.,yan'katek'ter',flashcards,P00081,True
U00082,Resiste.,YAN'KATEK'TER',resiste.,yan'katek'ter',flashcards,P00082,True
U00083,De acuerdo.,MUETCHUN,de acuerdo.,muetchun,flashcards,P00083,False
U00084,Me incliné.,YEN'NER'LEK',me incliné.,yen'ner'lek',flashcards,P00084,False
U00085,Dormí.,WICHI'LEK,dormí.,wichi'lek,flashcards,P00085,True
U00086,Durmiendo,WICHA'PALEK,durmiendo,wicha'palek,flashcards,P00086,False
U00087,Me voy a dormir,WICHIN'DEK'CHEK,me voy a dormir,wichin'dek'chek,flashcards,P00087,True
U00088,Voy a dormir,WICHI'ECHEK,voy a dormir,wichi'echek,flashcards,P00088,False
U00089,Lo intenté.,TEKLE'RILEK',lo intenté.,tekle'rilek',flashcards,P00089,False
U00090,Iré.,PA'ECHEK,iré.,pa'echek,flashcards,P00090,True
U00091,Soy Tom.,NUKA'KU TOM,soy tom.,nuka'ku tom,flashcards,P00091,False
U00092,Estoy gordo.,WEIPENSU' ÑAPALEK,estoy gordo.,weipensu' ñapalek,flashcards,P00092,False
U00093,Soy gorda.,WEILUNSU' NUKA'KA,soy gorda.,weilunsu' nuka'ka,flashcards,P00093,True
U00094,Estoy afectado.,MUIN'SU' ÑAPALEK,estoy afectado.,muin'su' ñapalek,flashcards,P00094,True
U00095,Soy viejo.,TASERPIKU,soy viejo.,taserpiku,flashcards,P00095,False
U00096,Soy tímido.,TEKUA'DANDE'KU,soy tímido.,tekua'dande'ku,flashcards,P00096,False
U00097,Estoy mojada.,WIWERAPALEK,estoy mojada.,wiwerapalek,flashcards,P00097,False
U00098,Está bien.,MUPALLI,está bien.,mupalli,flashcards,P00098,True
U00099,Soy yo.,KUA NUKA'KA,soy yo.,kua nuka'ka,flashcards,P00099,False
U00100,Guárdalo.,SEKDIPERKER',guárdalo.,sekdiperker',flashcards,P00100,False
U00101,"Yo, también.",KUANTA',"yo, también.",kuanta',flashcards,P00101,False
U00102,Abre.,EK'KE'CHER',abre.,ek'ke'cher',flashcards,P00102,False
U00103,¡Perfecto!,¡MUPALLI!,¡perfecto!,¡mupalli!,flashcards,P00103,False
U00104,Nos vemos.,INLLI'TER,nos vemos.,inlli'ter,flashcards,P00104,False
U00105,Enséñamelo. (pasar conocimiento),ALEK'U,enséñamelo. (pasar conocimiento),alek'u,flashcards,P00105,True
U00106,Enséñamelo. (muestramelo),ALLI'U,enséñamelo. (muestramelo),alli'u,flashcards,P00106,True
U00107,Muestrame.,ALLI'U,muestrame.,alli'u,flashcards,P00107,True
U00108,Hasta luego.,PANTE'CHEK,hasta luego.,pante'chek,flashcards,P00108,False
U00109,Páralo. (poner vertical),A'WANERKER',páralo. (poner vertical),a'wanerker',flashcards,P00109,True
U00110,Páralo. (detener),TU'NEKER',páralo. (detener),tu'neker',flashcards,P00110,True
U00111,Deténlo.,TU'NEKER',deténlo.,tu'neker',flashcards,P00111,True
U00112,Cógelo.,MAKER',cógelo.,maker',flashcards,P00112,False
U00113,Macambo (fruta),MAKER,macambo (fruta),maker,flashcards,P00113,True
U00114,Dimelo.,ITU'U,dimelo.,itu'u,flashcards,P00114,False
U00115,Tom comió.,TOM WERANPALLI,tom comió.,tom weranpalli,flashcards,P00115,False
U00116,Tom corrió.,TOM TEKA'LLI,tom corrió.,tom teka'lli,flashcards,P00116,True
U00117,Tom ganó.,TOM KANA'TULLI,tom ganó.,tom kana'tulli,flashcards,P00117,False
U00118,Espérame despierto.,WA'TEN'U NANPISU',espérame despierto.,wa'ten'u nanpisu',flashcards,P00118,False
U00119,¡Despierta!,¡NANPIKER'!,¡despierta!,¡nanpiker'!,flashcards,P00119,False
U00120,Despierta.,NANPIKER',despierta.,nanpiker',flashcards,P00120,False
U00121,Crudo,NANPI,crudo,nanpi,flashcards,P00121,True
U00122,Vivo,NANPI,vivo,nanpi,flashcards,P00122,True
U00123,Lo sabemos.,ÑINCHITAPALLIDEK,lo sabemos.,ñinchitapallidek,flashcards,P00123,False
U00124,Perdimos.,WER'LLIDEK,perdimos.,wer'llidek,flashcards,P00124,True
U00125,Bienvenidos.,MUWENCHA'KU',bienvenidos.,muwencha'ku',flashcards,P00125,True
U00126,Bienvenidas.,MUWENCHA'KU',bienvenidas.,muwencha'ku',flashcards,P00126,True
U00127,Bienvenido.,MUWENCHA'KER',bienvenido.,muwencha'ker',flashcards,P00127,False
U00128,¿Quién comió?,¿DEN'INA' KA'LLI?,¿quién comió?,¿den'ina' ka'lli?,flashcards,P00128,False
U00129,¿Quién corría?,¿DEN'INA' TEKA'LLI?,¿quién corría?,¿den'ina' teka'lli?,flashcards,P00129,True
U00130,¿Quién corrió?,¿DEN'INA' TEKA'LLI?,¿quién corrió?,¿den'ina' teka'lli?,flashcards,P00130,True
U00131,¿Quién ganó?,¿DEN'INA' KANA'TULLI?,¿quién ganó?,¿den'ina' kana'tulli?,flashcards,P00131,False
U00132,Corre.,TEK'KER',corre.,tek'ker',flashcards,P00132,False
U00133,Has ganado.,KANA'TULA,has ganado.,kana'tula,flashcards,P00133,False
U00134,¿Estoy gordo?,¿WEIPENSU' ÑAPALEK?,¿estoy gordo?,¿weipensu' ñapalek?,flashcards,P00134,False
U00135,Pregúntale.,LEK'KER',pregúntale.,lek'ker',flashcards,P00135,True
U00136,Pregúntales.,LEK'KER',pregúntales.,lek'ker',flashcards,P00136,True
U00137,Apártate.,PAKER' ÑILUPA',apártate.,paker' ñilupa',flashcards,P00137,False
U00138,Sé fuerte.,NANTAPITEK' ÑIKER',sé fuerte.,nantapitek' ñiker',flashcards,P00138,False
U00139,Sea breve.,EMPU'NI YALUNTA',sea breve.,empu'ni yalunta',flashcards,P00139,False
U00140,Sean breves.,EMPU'NI YALUNTAMA',sean breves.,empu'ni yaluntama',flashcards,P00140,False
U00141,Estate quieto.,YALENMEKTA',estate quieto.,yalenmekta',flashcards,P00141,False
U00142,Anímate.,NANTA'PIKER,anímate.,nanta'piker,flashcards,P00142,False
U00143,Venga.,WENCHER',venga.,wencher',flashcards,P00143,True
U00144,Ven a beber,UENCHER',ven a beber,uencher',flashcards,P00144,False
U00145,¡Cálmate!,¡TUNA'KER'!,¡cálmate!,¡tuna'ker'!,flashcards,P00145,False
U00146,Espósale.,TENPU'KER',espósale.,tenpu'ker',flashcards,P00146,False
U00147,Arregla esto.,ASU' TEKDI'PER'KER',arregla esto.,asu' tekdi'per'ker',flashcards,P00147,False
U00148,Abajo.,DAWIK',abajo.,dawik',flashcards,P00148,False
U00149,Túmbate.,ANU'KER',túmbate.,anu'ker',flashcards,P00149,False
U00150,¡Piérdete!,¡WER'KER'!,¡piérdete!,¡wer'ker'!,flashcards,P00150,False
U00151,¡Piénsalo bien!,¡MUSU' LLI'INUTER'!,¡piénsalo bien!,¡musu' lli'inuter'!,flashcards,P00151,False
U00152,Adelante. (ingresa),DA'ENCHER',adelante. (ingresa),da'encher',flashcards,P00152,True
U00153,Adelante. (parte superior),EKTER,adelante. (parte superior),ekter,flashcards,P00153,True
U00154,Adelántante,EKTE'CHER',adelántante,ekte'cher',flashcards,P00154,False
U00155,Se adelantará.,EKTE'CHECHU,se adelantará.,ekte'chechu,flashcards,P00155,False
U00156,Se adelantarán.,EKTE'CHECHUNA',se adelantarán.,ekte'chechuna',flashcards,P00156,False
U00157,Entra.,DA'ENCHER',entra.,da'encher',flashcards,P00157,True
U00158,Entren.,DA'ENCHA'KU',entren.,da'encha'ku',flashcards,P00158,False
U00159,¡Buen trabajo!,¡MUSA'KA'TUNA!,¡buen trabajo!,¡musa'ka'tuna!,flashcards,P00159,False
U00160,Agárralo.,PILLI'TER',agárralo.,pilli'ter',flashcards,P00160,True
U00161,Diviértanse.,SAKEK'KU',diviértanse.,sakek'ku',flashcards,P00161,False
U00162,Pásala bien.,MUSU'NAKUKER',pásala bien.,musu'nakuker',flashcards,P00162,False
U00163,Pásenla bien.,MUSU'NAKUKU',pásenla bien.,musu'nakuku',flashcards,P00163,False
U00164,Él habló.,NANA LUNÑI,él habló.,nana lunñi,flashcards,P00164,False
U00165,Él prueba.,NANA LATA'LLI,él prueba.,nana lata'lli,flashcards,P00165,False
U00166,Ayúdalo.,KATU'PER',ayúdalo.,katu'per',flashcards,P00166,False
U00167,Buenas.,MULUSA',buenas.,mulusa',flashcards,P00167,False
U00168,¡Qué encanto!,¡EMPU'NI MUSHIPA'!,¡qué encanto!,¡empu'ni mushipa'!,flashcards,P00168,False
U00169,Compláceme.,A'SAKEK'U,compláceme.,a'sakek'u,flashcards,P00169,False
U00170,¡Date prisa!,¡WIUKER'!,¡date prisa!,¡wiuker'!,flashcards,P00170,False
U00171,Apresúrate.,WIUKER',apresúrate.,wiuker',flashcards,P00171,False
U00172,Estoy viejo.,TASERPIKU',estoy viejo.,taserpiku',flashcards,P00172,False
U00173,Puedo ir.,YENNITULEK PA'AK,puedo ir.,yennitulek pa'ak,flashcards,P00173,False
U00174,Lo hice.,NU'TULEK,lo hice.,nu'tulek,flashcards,P00174,False
U00175,Fracasé.,A'APER'LEK',fracasé.,a'aper'lek',flashcards,P00175,False
U00176,Lo olvidé.,PINANER'LEK',lo olvidé.,pinaner'lek',flashcards,P00176,False
U00177,Lo entiendo.,LACHEK'APALEK,lo entiendo.,lachek'apalek,flashcards,P00177,False
U00178,Lo tengo.,A'ÑAPALEK,lo tengo.,a'ñapalek,flashcards,P00178,False
U00179,Me niego.,LUWANCHI'NEK,me niego.,luwanchi'nek,flashcards,P00179,False
U00180,Renuncio.,YUNSU'LEK',renuncio.,yunsu'lek',flashcards,P00180,False
U00181,Lo vi.,LLI'LEK,lo vi.,lli'lek,flashcards,P00181,True
U00182,Sonreí.,YAMERLADALEK',sonreí.,yamerladalek',flashcards,P00182,False
U00183,Reí.,YAMERLEK',reí.,yamerlek',flashcards,P00183,True
U00184,Me quedé.,LLIYA'LEK',me quedé.,lliya'lek',flashcards,P00184,False
U00185,Esperé.,WA'TEN'NEK',esperé.,wa'ten'nek',flashcards,P00185,False
U00186,Yo pagaré.,KUA PANWILEK'TE'CHEK',yo pagaré.,kua panwilek'te'chek',flashcards,P00186,False
U00187,He vuelto.,ADENCHA'LEK,he vuelto.,adencha'lek,flashcards,P00187,True
U00188,Soy calvo.,NUWEK'MUTU'KU,soy calvo.,nuwek'mutu'ku,flashcards,P00188,False
U00189,Estoy calvo.,NUWEK'MUTU' ÑAPALEK,estoy calvo.,nuwek'mutu' ñapalek,flashcards,P00189,False
U00190,Estoy calmado.,TUNA'SU' ÑAPALEK,estoy calmado.,tuna'su' ñapalek,flashcards,P00190,False
U00191,Está calmando. (dolor),LATADA'PILALLI,está calmando. (dolor),latada'pilalli,flashcards,P00191,True
U00192,Estoy tranquilo. (estoy bien),U'CHIMUÑAPALEK,estoy tranquilo. (estoy bien),u'chimuñapalek,flashcards,P00192,True
U00193,He terminado.,A'TA'WANTULEK,he terminado.,a'ta'wantulek,flashcards,P00193,False
U00194,Soy justo. (soy bueno),MUKANKANKU',soy justo. (soy bueno),mukankanku',flashcards,P00194,True
U00195,Soy bueno. (hacer bien algo),U'CHIMUKU,soy bueno. (hacer bien algo),u'chimuku,flashcards,P00195,True
U00196,Estoy perfectamente.,U'CHIMUINCHI ÑAPALEK,estoy perfectamente.,u'chimuinchi ñapalek,flashcards,P00196,False
U00197,¡Soy libre!,¡INAPIKU!,¡soy libre!,¡inapiku!,flashcards,P00197,False
U00198,Estoy lleno.,MER'SU' ÑAPALEK,estoy lleno.,mer'su' ñapalek,flashcards,P00198,True
U00199,Estoy llena.,MER'SU' ÑAPALEK,estoy llena.,mer'su' ñapalek,flashcards,P00199,True
U00200,Estoy aquí.,ASEK' ÑAPALEK,estoy aquí.,asek' ñapalek,flashcards,P00200,True
U00201,Estoy herido.,CHACHA'LEK ÑAPALEK,estoy herido.,chacha'lek ñapalek,flashcards,P00201,False
U00202,Llego tarde.,ERWA' EKTU'LEK,llego tarde.,erwa' ektu'lek,flashcards,P00202,False
U00203,Soy vago.,PERCHEK' NUKA'KA,soy vago.,perchek' nuka'ka,flashcards,P00203,False
U00204,Estoy perdida.,WER'SU' ÑAPALEK,estoy perdida.,wer'su' ñapalek,flashcards,P00204,False
U00205,Soy malo. (maldad),MUKANKAINPU' NUKA'KA,soy malo. (maldad),mukankainpu' nuka'ka,flashcards,P00205,True
U00206,Soy malo. (hacer mal las cosas),MUI'NEK,soy malo. (hacer mal las cosas),mui'nek,flashcards,P00206,True
U00207,Soy pobre.,KULLIKER'WI'NEK,soy pobre.,kulliker'wi'nek,flashcards,P00207,False
U00208,Soy rica.,WAPU' KULLIKER'WANEK,soy rica.,wapu' kulliker'wanek,flashcards,P00208,True
U00209,Soy rico.,WAPU' KULLIKER'WANEK,soy rico.,wapu' kulliker'wanek,flashcards,P00209,True
U00210,Estoy enferma.,KALUWI'SU' ÑAPALEK,estoy enferma.,kaluwi'su' ñapalek,flashcards,P00210,False
U00211,Soy delgado. (masculino),SHAMU'PENSU' NUKA'KA,soy delgado. (masculino),shamu'pensu' nuka'ka,flashcards,P00211,True
U00212,Soy delgada. (femenino),SHAMU'LUNSU' NUKA'KA,soy delgada. (femenino),shamu'lunsu' nuka'ka,flashcards,P00212,True
U00213,Estoy limpio.,PEKUIPI ÑAPALEK,estoy limpio.,pekuipi ñapalek,flashcards,P00213,False
U00214,Estoy calientito.,UKAPISHA ÑAPALEK,estoy calientito.,ukapisha ñapalek,flashcards,P00214,False
U00215,Estoy caliente.,UKAPISU' ÑAPALEK,estoy caliente.,ukapisu' ñapalek,flashcards,P00215,False
U00216,Estoy débil.,MUDINUI'SU' ÑAPALEK,estoy débil.,mudinui'su' ñapalek,flashcards,P00216,False
U00217,Soy listo.,IÑER' ÑINCHITAPALEK,soy listo.,iñer' ñinchitapalek,flashcards,P00217,False
U00218,Estoy listo. (preparado),INSEK'DIPERPIKU' NUKA'KA,estoy listo. (preparado),insek'diperpiku' nuka'ka,flashcards,P00218,True
U00219,Gané.,KANA'TULEK,gané.,kana'tulek,flashcards,P00219,False
U00220,Eso ayuda.,NANA KATU'PATULLI,eso ayuda.,nana katu'patulli,flashcards,P00220,False
U00221,Duele.,IKERLLI,duele.,ikerlli,flashcards,P00221,False
U00222,Funciona.,SAKA'TULLI.,funciona.,saka'tulli.,flashcards,P00222,False
U00223,Es Tom.,TOM NUKA'A,es tom.,tom nuka'a,flashcards,P00223,False
U00224,Es divertido.,WA'DANPINTEK,es divertido.,wa'danpintek,flashcards,P00224,False
U00225,Es suyo.,KENMAKIN NUKA'A,es suyo.,kenmakin nuka'a,flashcards,P00225,False
U00226,Es nuevo.,NALU' NUKA'A,es nuevo.,nalu' nuka'a,flashcards,P00226,False
U00227,Es extraño.,NERPI'LA NUKA'A,es extraño.,nerpi'la nuka'a,flashcards,P00227,True
U00228,Es viejo.,NAPI'DA' NUKA'A,es viejo.,napi'da' nuka'a,flashcards,P00228,True
U00229,Es rojo.,PIPERSU' NUKA'A,es rojo.,pipersu' nuka'a,flashcards,P00229,False
U00230,Es triste.,WE'INU NUKA'A,es triste.,we'inu nuka'a,flashcards,P00230,False
U00231,Prohibido pasar.,KU'LA NAKUI'NCHU,prohibido pasar.,ku'la nakui'nchu,flashcards,P00231,False
U00232,No entrar.,KU'LA DAI'NCHU,no entrar.,ku'la dai'nchu,flashcards,P00232,False
U00233,Déjalo.,TAI'TULER',déjalo.,tai'tuler',flashcards,P00233,False
U00234,Déjame.,TAI'TULA'U,déjame.,tai'tula'u,flashcards,P00234,False
U00235,Déjanos.,TAI'TULA'UDEK,déjanos.,tai'tula'udek,flashcards,P00235,False
U00236,Vamos.,PA'A,vamos.,pa'a,flashcards,P00236,False
U00237,Cuidado.,LLI'KER'LLIA',cuidado.,lli'ker'llia',flashcards,P00237,False
U00238,Cásate conmigo.,SADAKER' KUALEK',cásate conmigo.,sadaker' kualek',flashcards,P00238,False
U00239,¿Puedo ir?,¿YEN'NITULEK PA'AK?,¿puedo ir?,¿yen'nitulek pa'ak?,flashcards,P00239,False
U00240,Ella vino.,NANA UK'LLI,ella vino.,nana uk'lli,flashcards,P00240,True
U00241,Ella murió.,NANA CHIMIÑI,ella murió.,nana chimiñi,flashcards,P00241,False
U00242,Ella corre.,NANA TEKA'LLI,ella corre.,nana teka'lli,flashcards,P00242,False
U00243,Siéntate.,DU'KER',siéntate.,du'ker',flashcards,P00243,True
U00244,Mes. ,DUKER,mes.,duker,flashcards,P00244,True
U00245,Luna,DUKER,luna,duker,flashcards,P00245,True
U00246,Siéntate aquí.,DU'KER' ASEK,siéntate aquí.,du'ker' asek,flashcards,P00246,False
U00247,Prepárate.,INSEK'DIPER'KER',prepárate.,insek'diper'ker',flashcards,P00247,False
U00248,Un momento.,WA'TENKER',un momento.,wa'tenker',flashcards,P00248,True
U00249,Parate,WANERKER',parate,wanerker',flashcards,P00249,False
U00250,¡De pie!,¡WANERKER'!,¡de pie!,¡wanerker'!,flashcards,P00250,False
U00251,¡Genial!,¡U'CHIMU!,¡genial!,¡u'chimu!,flashcards,P00251,False
U00252,Ellos ganaron.,NAWA' KANA'TULLINA',ellos ganaron.,nawa' kana'tullina',flashcards,P00252,False
U00253,Tom vino.,TOM UK'LLI,tom vino.,tom uk'lli,flashcards,P00253,False
U00254,Dia.,UKLLI,dia.,uklli,flashcards,P00254,False
U00255,Tom mintió.,TOM TUMU'LLI,tom mintió.,tom tumu'lli,flashcards,P00255,False
U00256,Tomás miente.,TOMAS TUMU'PALLI,tomás miente.,tomas tumu'palli,flashcards,P00256,False
U00257,Tom perdió.,TOM KANA'CHI'ÑI,tom perdió.,tom kana'chi'ñi,flashcards,P00257,False
U00258,Tom pagó.,TOM PANWILEK'TULLI,tom pagó.,tom panwilek'tulli,flashcards,P00258,False
U00259,Tom renunció.,TOM YUNSU'LLI,tom renunció.,tom yunsu'lli,flashcards,P00259,False
U00260,Tom nadó.,TOM IDUÑI,tom nadó.,tom iduñi,flashcards,P00260,False
U00261,Tom lloró.,TOM WELLIEK'LLI,tom lloró.,tom welliek'lli,flashcards,P00261,False
U00262,Demasiado tarde.,NAKUSUIN'CHI ERWA',demasiado tarde.,nakusuin'chi erwa',flashcards,P00262,False
U00263,Prueben esto. (saborear),LATA'KU' ASU',prueben esto. (saborear),lata'ku' asu',flashcards,P00263,True
U00264,Prueba esto. (saborear),LATA'KER' ASU',prueba esto. (saborear),lata'ker' asu',flashcards,P00264,True
U00265,Usa esto.,PATA'KER' ASU',usa esto.,pata'ker' asu',flashcards,P00265,False
U00266,Mírame.,LLI'U,mírame.,lli'u,flashcards,P00266,True
U00267,Vigílame.,LUWUK'TU'U,vigílame.,luwuk'tu'u,flashcards,P00267,False
U00268,Obsérvame.,LLI'U,obsérvame.,lli'u,flashcards,P00268,True
U00269,Obsérvalos.,LLI'DEK'KU',obsérvalos.,lli'dek'ku',flashcards,P00269,False
U00270,Iremos.,PA'ATERWA',iremos.,pa'aterwa',flashcards,P00270,False
U00271,Estamos bien.,MU'PALLIDEK',estamos bien.,mu'pallidek',flashcards,P00271,False
U00272,¿Para qué?,¿MA'KI'NA?,¿para qué?,¿ma'ki'na?,flashcards,P00272,False
U00273,¡Qué divertido!,¡EMPU'NI WA'DANPINTEK'IPA'!,¡qué divertido!,¡empu'ni wa'danpintek'ipa'!,flashcards,P00273,False
U00274,¿Quién vino?,¿DEN UK'LLI?,¿quién vino?,¿den uk'lli?,flashcards,P00274,False
U00275,¿Quién murió?,¿DEN CHIMIÑI?,¿quién murió?,¿den chimiñi?,flashcards,P00275,False
U00276,¿Quién nadó?,¿DEN IDUÑI?,¿quién nadó?,¿den iduñi?,flashcards,P00276,False
