original_index,ESP,SHIWILU,removal_reason
84,"Iba a traerlo, pero no dejas de hablarme.",,SHIWILU es NaN
85,Esta flor me hacía sentir desdichado.,,SHIWILU es NaN
86,No debí haber hecho caso a sus palabras.,,SHIWILU es NaN
87,Mi flor perfumaba mi planeta.,,SHIWILU es NaN
88,¡No supe comprender nada entonces!,,SHIWILU es NaN
89,Son tan contradictorias las flores.,,SHIWILU es NaN
90,Yo era demasiado joven para saber amarla.,,SHIWILU es NaN
91,Adiós –le dijo a la flor.,,SHIWILU es NaN
92,La flor tosió aunque no estaba resfriada.,,SHIWILU es NaN
93,Soy una flor.,,SHIWILU es NaN
94,Tengo mis garras.,,SHIWILU es NaN
95,No te vayas.,,SHIWILU es NaN
96,Te nombro ministro.,,SHIWILU es NaN
97,¿Ministro de qué?,,SHIWILU es NaN
98,¡De justicia!,,SHIWILU es NaN
99,"Eso, uno podría hacerlo en cualquier lugar.",,SHIWILU es NaN
100,No es necesario permanecer aquí.,,SHIWILU es NaN
101,Es mejor que me retire.,,SHIWILU es NaN
102,Te nombro mi embajador.,,SHIWILU es NaN
103,Las personas mayores son muy extrañas.,,SHIWILU es NaN
104,¡Buenos días!,,SHIWILU es NaN
105,¡Qué sombrero tan raro tiene!,,SHIWILU es NaN
106,¡Es para corresponder a la aclamación de los demás!,,SHIWILU es NaN
107,Golpea tus manos una contra otra.,,SHIWILU es NaN
108,Esto parece más divertido.,,SHIWILU es NaN
109,¿Qué significa admirar?,,SHIWILU es NaN
110,"Te admiro, pero ¿qué importancia tiene?",,SHIWILU es NaN
111,No sirve para nada.,,SHIWILU es NaN
112,¿Qué haces ahí?,,SHIWILU es NaN
113,¡Bebo!,,SHIWILU es NaN
