pair_id,group_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id,has_audit_flags
U00660,G00550,Tom miró.,TOM LLI'TULLI,tom miró.,tom lli'tulli,flashcards,P00660,False
U01633,G01444,Lo verás.,LLI'ECHU,lo verás.,lli'echu,flashcards,P01633,True
U01634,G01444,La verás.,LLI'ECHU,la verás.,lli'echu,flashcards,P01634,True
U00024,G01474,¿Entendiste?,¿LACHEK'LA?,¿entendiste?,¿lachek'la?,flashcards,P00024,True
U01667,G01474,¿Entendió?,¿LACHEK'LA?,¿entendió?,¿lachek'la?,flashcards,P01667,True
U02797,G02572,Las viejas finadas y los viejos finados se sentaban y hablaban de ese Arákayu.,"Tasellunku’lusa’ papinkuku’lusa’ du’anna’, nana Arakayukin luñina’.",las viejas finadas y los viejos finados se sentaban y hablaban de ese arákayu.,"tasellunku'lusa' papinkuku'lusa' du'anna', nana arakayukin luñina'.",pdf_textos,T007_N217,True
U02082,G01864,Solo pruébatela.,LATAKER'SA',solo pruébatela.,lataker'sa',flashcards,P02082,False
U01036,G00897,Buenos días.,MUUKLLI,buenos días.,muuklli,flashcards,P01036,False
U01640,G01450,Estás delgado.,SHA'MU'SU' NUKA'MA,estás delgado.,sha'mu'su' nuka'ma,flashcards,P01640,False
U02693,G02468,gritó Arákayu.,lukatullima Arakayu.,gritó arákayu.,lukatullima arakayu.,pdf_textos,T007_N113,False
U00044,G00036,¿En serio?,¿TEKINCHI?,¿en serio?,¿tekinchi?,flashcards,P00044,True
U00045,G00036,¿La verdad?,¿TEKINCHI?,¿la verdad?,¿tekinchi?,flashcards,P00045,True
U02661,G02436,Está regalando (pescado).,Panutapalli.,está regalando (pescado).,panutapalli.,pdf_textos,T007_N081,True
U01619,G01430,Necesitas ayuda.,KATU'PA' LUWANTULA,necesitas ayuda.,katu'pa' luwantula,flashcards,P01619,False
U02220,G01997,¿Son estudiantes?,¿ÑINCHITULUSA' NUKA'MAMA'?,¿son estudiantes?,¿ñinchitulusa' nuka'mama'?,flashcards,P02220,False
U01997,G01783,¡Apúrate niña!,¡WIUKER' WILA!,¡apúrate niña!,¡wiuker' wila!,flashcards,P01997,False
U02733,G02508,Sólo ellos van a poblar de nuevo.,Nawa’sa’ nanpichuna’.,sólo ellos van a poblar de nuevo.,nawa'sa' nanpichuna'.,pdf_textos,T007_N153,True
U01410,G01231,Te mentí.,TUMU'TULLIEN,te mentí.,tumu'tullien,flashcards,P01410,False
U00780,G00657,Tengo vino.,VINU' A'ÑAPALEK,tengo vino.,vinu' a'ñapalek,flashcards,P00780,False
U02688,G02463,"cuando pasó el carnaval regresó,","mitan nakusik ima adanta’n,","cuando pasó el carnaval regresó,","mitan nakusik ima adanta'n,",pdf_textos,T007_N108,True
U03134,G02909,"En cambio Apu’tek no sabía aborrecer mucho, no era miserable.","Apu’tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.","en cambio apu'tek no sabía aborrecer mucho, no era miserable.","apu'tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.",pdf_textos,T012_N010,True
U00626,G00521,Mantente despierto.,ÑAPAKER' NANPILADASU',mantente despierto.,ñapaker' nanpiladasu',flashcards,P00626,False
U00418,G00338,Fuera.,ADIPI,fuera.,adipi,flashcards,P00418,False
U01586,G01397,Somos egoístas.,KENMU'SAK LLI'I'NUPALEKWA',somos egoístas.,kenmu'sak lli'i'nupalekwa',flashcards,P01586,False
U00489,G00402,¡No hables!,¡YALUNTA'!,¡no hables!,¡yalunta'!,flashcards,P00489,False
U02659,G02434,Dice que fueron a mirar.,Lli’kuñini’ma.,dice que fueron a mirar.,lli'kuñini'ma.,pdf_textos,T007_N079,True
U02423,G02198,Postrada me la paso.,Ñapamu erwatapalek.,postrada me la paso.,ñapamu erwatapalek.,pdf_textos,T003_N030,False
U00499,G00411,Perdónenos.,TAITULA'U'KUDEK,perdónenos.,taitula'u'kudek,flashcards,P00499,False
U03120,G02895,De esta manera ahora están olvidando la lengua shiwilu.,Ipa'la nu'anna' ipa' Shiwilu la'la' pinaner'apilallina'.,de esta manera ahora están olvidando la lengua shiwilu.,ipa'la nu'anna' ipa' shiwilu la'la' pinaner'apilallina'.,pdf_textos,T011_N067,False
U00491,G00404,¡No esperes!,¡YAWA'TENTA!,¡no esperes!,¡yawa'tenta!,flashcards,P00491,False
U03064,G02839,"Nosotros somos bastantes, ellos son doscitos nomas.","Kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'.","nosotros somos bastantes, ellos son doscitos nomas.","kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'.",pdf_textos,T011_N011,False
U02347,G02122,Una vez tostado se lo muele.,Inyek ipa’linchi peksanek.,una vez tostado se lo muele.,inyek ipa'linchi peksanek.,pdf_textos,T002_N014,True
U00646,G00539,Esto funciona.,ASU' SAKA'TAPALLI,esto funciona.,asu' saka'tapalli,flashcards,P00646,True
U00647,G00539,Esto trabaja.,ASU' SAKA'TAPALLI,esto trabaja.,asu' saka'tapalli,flashcards,P00647,True
U01082,G00941,Hablo rápido.,WIUKSU' LUNPALEK,hablo rápido.,wiuksu' lunpalek,flashcards,P01082,False
U02561,G02336,"Atemorizados, cuando contaban nosotros (los jóvenes) los hemos oído a los viejos ya finados sentados en la calle,","Tek kuanna’, ta’ser kuda lauktullidek papinkuku’lusa’ du’anna’ adipik kallilalak,","atemorizados, cuando contaban nosotros (los jóvenes) los hemos oído a los viejos ya finados sentados en la calle,","tek kuanna', ta'ser kuda lauktullidek papinkuku'lusa' du'anna' adipik kallilalak,",pdf_textos,T006_N051,True
U00675,G00565,Tom morirá.,TOM CHIMINCHU,tom morirá.,tom chiminchu,flashcards,P00675,False
U02285,G02060,A veces no puedo recordar lo que estoy hablando.,Nerpi’pu’ innichi’nek lli’inuta’kasu’ lunpa’kasu’.,a veces no puedo recordar lo que estoy hablando.,nerpi'pu' innichi'nek lli'inuta'kasu' lunpa'kasu'.,pdf_textos,T001_N035,True
U00050,G00040,Lo procuramos.,TEKLE'RIER'CHIDEK,lo procuramos.,tekle'rier'chidek,flashcards,P00050,False
U00897,G00768,Se besaron.,INMUSHA'LLINA',se besaron.,inmusha'llina',flashcards,P00897,False
U01037,G00898,"Espera, Tom.",WA'TENKER' TOM,"espera, tom.",wa'tenker' tom,flashcards,P01037,False
U02127,G01907,Son amarillas.,SHA'PI'SU'SA' NUKER'KA,son amarillas.,sha'pi'su'sa' nuker'ka,flashcards,P02127,False
U02279,G02054,"Viniendo de Lima aquí ella también quiere aprender,","Llimaklan wek’an asek nananta’ yañinchitulli,","viniendo de lima aquí ella también quiere aprender,","llimaklan wek'an asek nananta' yañinchitulli,",pdf_textos,T001_N029,True
U01464,G01282,¿Está mirando?,¿LLI'TAPALLI?,¿está mirando?,¿lli'tapalli?,flashcards,P01464,False
U00098,G00980,Está bien.,MUPALLI,está bien.,mupalli,flashcards,P00098,True
U00411,G00980,Está buena.,MUPALLI,está buena.,mupalli,flashcards,P00411,True
U01127,G00980,Está perfecto.,MUPALLI,está perfecto.,mupalli,flashcards,P01127,True
U01615,G01426,Pareces ocupado.,MA'NEN'NU'TAPA'MASU'PU'SU' LLI'TULA,pareces ocupado.,ma'nen'nu'tapa'masu'pu'su' lli'tula,flashcards,P01615,False
U00690,G00577,Fracasaremos.,TEKA'PER'ATERWA',fracasaremos.,teka'per'aterwa',flashcards,P00690,False
U00568,G00472,He comido.,WERANEK',he comido.,weranek',flashcards,P00568,False
U00999,G00862,Hazle pasar.,A'NAKUKER',hazle pasar.,a'nakuker',flashcards,P00999,False
U01008,G00871,¡Míralo!,¡LLI'KER'!,¡míralo!,¡lli'ker'!,flashcards,P01008,False
U00961,G00827,¿Quiénes sois?,¿DENLUSA'ACHA?,¿quiénes sois?,¿denlusa'acha?,flashcards,P00961,False
U00606,G00502,Cantemos.,TULUNER'AWA',cantemos.,tuluner'awa',flashcards,P00606,False
U02342,G02117,"Pelada, se trae a la casa y se la guarda.","Eksu’, kencha’lek pidik, aku’lek.","pelada, se trae a la casa y se la guarda.","eksu', kencha'lek pidik, aku'lek.",pdf_textos,T002_N009,True
U02903,G02678,Ya algunos de los espíritus de los esposos muertos penaban en sus casas:,Nu’unta’ ipa’ wa’danwañi nana pidik:,ya algunos de los espíritus de los esposos muertos penaban en sus casas:,nu'unta' ipa' wa'danwañi nana pidik:,pdf_textos,T010_N071,True
U02037,G01821,Lo arreglaré.,TEKDIPER'ECHEK,lo arreglaré.,tekdiper'echek,flashcards,P02037,False
U00773,G00650,Como pan.,KA'APALEK TANTA',como pan.,ka'apalek tanta',flashcards,P00773,False
U02478,G02253,"A mí esta señora me está hacienda hablar,","kua asu’ senñula’ a’lunpallun,","a mí esta señora me está hacienda hablar,","kua asu' senñula' a'lunpallun,",pdf_textos,T005_N005,True
U02505,G02280,“Si usted supiera hablar conversaríamos”.,“Ñinchilu’nma’su’ ñilli inluntunansu’”.,si usted supiera hablar conversaríamos.,ñinchilu'nma'su' ñilli inluntunansu'.,pdf_textos,T005_N032,True
U02451,G02226,"“Ah, a ver pues, desde la mañana no he bebido nada”.","- “Ah, enta’n’i’na dasu’laklanek uwi’nek”.","ah, a ver pues, desde la mañana no he bebido nada.","- ah, enta'n'i'na dasu'laklanek uwi'nek.",pdf_textos,T003_N058,True
U02510,G02285,"Sólo eso he hablado. Yurimaguas, Julio 2005",kua nanasa’ lunek.,"sólo eso he hablado. yurimaguas, julio 2005",kua nanasa' lunek.,pdf_textos,T005_N037,True
U01040,G00901,Tómate algo.,UKER' MA'PINTA',tómate algo.,uker' ma'pinta',flashcards,P01040,False
U03026,G02801,"Ahora más tienen aretes, tienen collar, aprendieron a leer y escribir. Algunos tienen dinero.","Ipa'la a'pinta' asunwekwañina', miduwañina', kerka' ñinchillintullina'. Nu’unta’ kulliker’wañi.","ahora más tienen aretes, tienen collar, aprendieron a leer y escribir. algunos tienen dinero.","ipa'la a'pinta' asunwekwañina', miduwañina', kerka' ñinchillintullina'. nu'unta' kulliker'wañi.",pdf_textos,T010_N194,True
U01629,G01440,Trabajas duro.,SAKA'TECHU WATENSU',trabajas duro.,saka'techu watensu',flashcards,P01629,False
U02332,G02107,nos estamos muriendo.,chimianpilallidek.,nos estamos muriendo.,chimianpilallidek.,pdf_textos,T001_N082,False
U00202,G00155,Llego tarde.,ERWA' EKTU'LEK,llego tarde.,erwa' ektu'lek,flashcards,P00202,False
U00540,G00446,Prometí.,TUWINEK,prometí.,tuwinek,flashcards,P00540,False
U01624,G01435,¿Quieres esto?,¿ASU' LUWANTULA?,¿quieres esto?,¿asu' luwantula?,flashcards,P01624,False
U02228,G02003,¡Contrólate!,¡INLU'UK'TER!,¡contrólate!,¡inlu'uk'ter!,flashcards,P02228,False
U00641,G00534,Lo intentaron.,INDEK'LLINA',lo intentaron.,indek'llina',flashcards,P00641,False
U02364,G02139,cuando hierve se lo echa en otra olla de barro grande que está enterrada (hasta la mitad).,"ukluka’sik, ali’lak kupin uktak pekdu’a’kasu’ upellek.",cuando hierve se lo echa en otra olla de barro grande que está enterrada (hasta la mitad).,"ukluka'sik, ali'lak kupin uktak pekdu'a'kasu' upellek.",pdf_textos,T002_N031,True
U03153,G02928,"Otros se han quedado en el cerro. 11 Literalmente, “los nombres de adentro”.",Ali'lima llia'lli ma'i mutupik.,"otros se han quedado en el cerro. 11 literalmente, los nombres de adentro.",ali'lima llia'lli ma'i mutupik.,pdf_textos,T013_N007,True
U01731,G01533,Hice panecitos.,NUTULEK TANTA'SHALA,hice panecitos.,nutulek tanta'shala,flashcards,P01731,False
U00074,G00055,Dolor,IKER,dolor,iker,flashcards,P00074,False
U02876,G02651,De ahí le dijo:,Naneklima itulli:,de ahí le dijo:,naneklima itulli:,pdf_textos,T010_N044,False
U02806,G02581,"sabiendo leer,","ñinchilli’anna’ kerka’ña,","sabiendo leer,","ñinchilli'anna' kerka'ña,",pdf_textos,T007_N226,True
U02916,G02691,Ellos sí van a matar a esa fiera.,Nawa’ler a’ka di’tetchuna’ nana anaka’.,ellos sí van a matar a esa fiera.,nawa'ler a'ka di'tetchuna' nana anaka'.,pdf_textos,T010_N084,True
U00926,G00795,¿Hacía frío?,¿SANEKWANWIÑI?,¿hacía frío?,¿sanekwanwiñi?,flashcards,P00926,False
U01795,G01594,Fue ameno.,U'CHIMU ÑIWIÑI,fue ameno.,u'chimu ñiwiñi,flashcards,P01795,True
U01796,G01594,Era perfecto.,U'CHIMU ÑIWIÑI,era perfecto.,u'chimu ñiwiñi,flashcards,P01796,True
U00397,G00322,¡Por supuesto!,TE'KINCHI,¡por supuesto!,te'kinchi,flashcards,P00397,False
U01589,G01400,Miramos,LLI'ATERWA',miramos,lli'aterwa',flashcards,P01589,False
U00632,G00527,¡Háblame!,¡LUNTUU!,¡háblame!,¡luntuu!,flashcards,P00632,False
U01253,G01089,Estamos hambrientos.,UKI'LATEK ÑAPALLIDEK,estamos hambrientos.,uki'latek ñapallidek,flashcards,P01253,False
U00178,G00136,Lo tengo.,A'ÑAPALEK,lo tengo.,a'ñapalek,flashcards,P00178,False
U00000,G00000,Ve.,PAKER',ve.,paker',flashcards,P00000,True
U00001,G00000,Vete.,PAKER',vete.,paker',flashcards,P00001,True
U00002,G00000,Vaya.,PAKER',vaya.,paker',flashcards,P00002,True
U01968,G01757,¿Comés carne?,¿CHUCHU KA'A'PALA?,¿comés carne?,¿chuchu ka'a'pala?,flashcards,P01968,False
U02713,G02488,"el lago “Junto al Pelejo” se secó,","Kundetchek enñi,","el lago junto al pelejo se secó,","kundetchek enñi,",pdf_textos,T007_N133,True
U02040,G01824,Seré paciente.,WA'TENTUTEK ÑIECHEK,seré paciente.,wa'tentutek ñiechek,flashcards,P02040,False
U00610,G00506,Caminemos.,DEK'KUNTAWA',caminemos.,dek'kuntawa',flashcards,P00610,False
U01248,G01085,Estábamos heridos.,LLIPU'PI ÑAPAWIÑIDEK,estábamos heridos.,llipu'pi ñapawiñidek,flashcards,P01248,True
U01249,G01085,Estábamos lastimados.,LLIPU'PI ÑAPAWIÑIDEK,estábamos lastimados.,llipu'pi ñapawiñidek,flashcards,P01249,True
U00012,G00009,¡Para!,¡TA'ITULER'!,¡para!,¡ta'ituler'!,flashcards,P00012,False
U03075,G02850,Buscaron a los yupaneros.,Ma'i silutulusa' dunkerllina'.,buscaron a los yupaneros.,ma'i silutulusa' dunkerllina'.,pdf_textos,T011_N022,False
U02052,G01835,Voy saliendo.,YUNSU'PILALEK,voy saliendo.,yunsu'pilalek,flashcards,P02052,False
U02944,G02719,Las ramas de las lupunas quebradas se mantenían colgadas (ya el duende los estaba hipnotizando).,Llinanlusi’ma tanpa’nen ukunñina’.,las ramas de las lupunas quebradas se mantenían colgadas (ya el duende los estaba hipnotizando).,llinanlusi'ma tanpa'nen ukunñina'.,pdf_textos,T010_N112,True
U01863,G01657,Ellos ayudarán.,NAWA' KATU'PA'TECHUNA',ellos ayudarán.,nawa' katu'pa'techuna',flashcards,P01863,False
U01542,G01354,Ellos bailarán.,NAWA' LANSE'CHUNA',ellos bailarán.,nawa' lanse'chuna',flashcards,P01542,False
U00988,G00852,¿Estás lleno?,¿MER'SU' ÑAPALA?,¿estás lleno?,¿mer'su' ñapala?,flashcards,P00988,False
U01974,G01763,¿Lo recuerdas?,¿LLI'INUTAPALA?,¿lo recuerdas?,¿lli'inutapala?,flashcards,P01974,False
U02734,G02509,Sólo el pueblo de ellos se reproducirá” le dijo al Hombre Candela.,Nawa’ ñinanlu’nenna’ a’llupitununtekchuna’” itullima Tanpen muda’.,sólo el pueblo de ellos se reproducirá le dijo al hombre candela.,nawa' ñinanlu'nenna' a'llupitununtekchuna' itullima tanpen muda'.,pdf_textos,T007_N154,True
U01172,G01021,Le disparó.,ILANÑI,le disparó.,ilanñi,flashcards,P01172,False
U01190,G01033,Eso ayudará.,NANA KATU'PA'TECHU,eso ayudará.,nana katu'pa'techu,flashcards,P01190,False
U00625,G00520,Mantente alerta.,ÑAPAKER' INSEK'DIPERSU',mantente alerta.,ñapaker' insek'dipersu',flashcards,P00625,False
U02041,G01825,Estaré esperando.,WA'TENTAPECHEK,estaré esperando.,wa'tentapechek,flashcards,P02041,False
U02578,G02353,Así dicen que Pampayacu se quemó.,Nu’sui’ma asu’ Panpadek uksu’ketchulli.,así dicen que pampayacu se quemó.,nu'sui'ma asu' panpadek uksu'ketchulli.,pdf_textos,T006_N068,True
U03136,G02911,"No quería que (los shiwilu) se estiraran cuando trabajaban, hasta que se hacía bien tarde (los obligaban a trabajar), hasta que se hacía bien oscuro y el grillo (cantaba) ""chanchanchan"".","Yenchenterka'su' saka'tapanna', iñer er’werwalek ipa' kasiserapilek walek ipa' asu' inkella “chanchanchan”.","no quería que (los shiwilu) se estiraran cuando trabajaban, hasta que se hacía bien tarde (los obligaban a trabajar), hasta que se hacía bien oscuro y el grillo (cantaba) chanchanchan.","yenchenterka'su' saka'tapanna', iñer er'werwalek ipa' kasiserapilek walek ipa' asu' inkella chanchanchan.",pdf_textos,T012_N012,True
U01939,G01729,¿Estás mirando?,¿LLI'TAPALA?,¿estás mirando?,¿lli'tapala?,flashcards,P01939,False
U01528,G01341,Sé positivo.,INLLI'INUTER' MUSUK,sé positivo.,inlli'inuter' musuk,flashcards,P01528,False
U01940,G01730,¿Estás casado?,¿SADASU'CHA ÑAPALA?,¿estás casado?,¿sadasu'cha ñapala?,flashcards,P01940,False
U01456,G01274,Estoy impaciente.,YENNICHINEK WA'TENTAK,estoy impaciente.,yennichinek wa'tentak,flashcards,P01456,False
U02035,G01819,Seguiré.,TUPIECHEK,seguiré.,tupiechek,flashcards,P02035,False
U02530,G02305,"Los niños se venían llorando y cuando regresaban, dice, The children left, crying, and on their way back,","Wilalusa’ wellek’apilenchan ima, uk’apilenchani’ma,","los niños se venían llorando y cuando regresaban, dice, the children left, crying, and on their way back,","wilalusa' wellek'apilenchan ima, uk'apilenchani'ma,",pdf_textos,T006_N020,True
U02062,G01845,¿Es maestro?,¿A'LEK'TUTEK' NUKA'A?,¿es maestro?,¿a'lek'tutek' nuka'a?,flashcards,P02062,False
U02403,G02178,"Esto queriendo llevar lejos, a otro pueblo, quieres aprender, de qué manera vivo aquí en Jeberos.","Asu’ yekpantan wei ali’la ñinanluk yañinchitula, ma’pu’sui’pa nanpilek kua asu’ Shiwiluk.","esto queriendo llevar lejos, a otro pueblo, quieres aprender, de qué manera vivo aquí en jeberos.","asu' yekpantan wei ali'la ñinanluk yañinchitula, ma'pu'sui'pa nanpilek kua asu' shiwiluk.",pdf_textos,T003_N010,True
U02807,G02582,(los jóvenes) ya no valoran esas cosas.,ñi a’pinta’ nanadaper lli’inuchi’ñina’.,(los jóvenes) ya no valoran esas cosas.,ñi a'pinta' nanadaper lli'inuchi'ñina'.,pdf_textos,T007_N227,True
U01887,G01681,Estábamos bromeando.,SI'LENTAPAWIÑIDEK,estábamos bromeando.,si'lentapawiñidek,flashcards,P01887,False
U01786,G01585,¿Está sano?,¿MUDINUPALLINCHA?,¿está sano?,¿mudinupallincha?,flashcards,P01786,False
U02854,G02629,Entonces otro viejo soñador dijo:,Nanek ima ali’la taserpi wa’lata’su’ tulli:,entonces otro viejo soñador dijo:,nanek ima ali'la taserpi wa'lata'su' tulli:,pdf_textos,T010_N022,True
U01707,G01510,"¡Apúrensen, muchachos!",¡WIUK'KU WILALUSA'!,"¡apúrensen, muchachos!",¡wiuk'ku wilalusa'!,flashcards,P01707,False
U02884,G02659,su higado está colgado nomás”.,kankanen ukunpala’lli”.,su higado está colgado nomás.,kankanen ukunpala'lli.,pdf_textos,T010_N052,True
U02534,G02309,Cuando estábamos agarrando pescado nos botaron porque tenemos esta enfermedad sa’la’.,samer mapa’sekudek dinsulullinerkudek asu’ sa’la’ a’kudeksu’ malek.,cuando estábamos agarrando pescado nos botaron porque tenemos esta enfermedad sa'la'.,samer mapa'sekudek dinsulullinerkudek asu' sa'la' a'kudeksu' malek.,pdf_textos,T006_N024,True
U02405,G02180,Hace tiempo me casé con mi esposo.,Napi’ sudawek sudatulek.,hace tiempo me casé con mi esposo.,napi' sudawek sudatulek.,pdf_textos,T003_N012,True
U00601,G00499,A ver.,ENTA'I'NA,a ver.,enta'i'na,flashcards,P00601,False
U01750,G01552,Quiero hablar.,YALUN'NEK,quiero hablar.,yalun'nek,flashcards,P01750,False
U02930,G02705,“Necesitamos tu candela”.,- “Pen luwanpa’lliyen”.,necesitamos tu candela.,- pen luwanpa'lliyen.,pdf_textos,T010_N098,True
U01913,G01705,Me mentiste.,TUMU'TULUN,me mentiste.,tumu'tulun,flashcards,P01913,False
U00419,G00339,Aléjate.,ÑILUPA'SHA,aléjate.,ñilupa'sha,flashcards,P00419,False
U00623,G00518,Huelan esto.,LANERKU' ASU',huelan esto.,lanerku' asu',flashcards,P00623,False
U02864,G02639,Un grupo que vaya durmiendo y el otro grupo que haga guardia.,"Ala’musun wicha’pai, ali’la musui’na nanpiladapai.",un grupo que vaya durmiendo y el otro grupo que haga guardia.,"ala'musun wicha'pai, ali'la musui'na nanpiladapai.",pdf_textos,T010_N032,True
U02706,G02481,"Dice que cuando iba río abajo los peces lo siguieron,","Nu’wanta’sik ima sameller tupitunta’lli,","dice que cuando iba río abajo los peces lo siguieron,","nu'wanta'sik ima sameller tupitunta'lli,",pdf_textos,T007_N126,True
U00609,G00505,Votemos.,DEK'AWA',votemos.,dek'awa',flashcards,P00609,False
U02216,G01993,Estás atascado.,DA'SEK'SU' ÑAPALA,estás atascado.,da'sek'su' ñapala,flashcards,P02216,False
U00028,G00023,Me caí.,ANU'LEK,me caí.,anu'lek,flashcards,P00028,False
U02653,G02428,“¿Estos qué peces son?”,- “¿Asu’ ma’nen samer a’cha? itullina’.,¿estos qué peces son?,- ¿asu' ma'nen samer a'cha? itullina'.,pdf_textos,T007_N073,True
U01802,G01599,Me supera.,KANA'LLIU,me supera.,kana'lliu,flashcards,P01802,False
