anchor,positive,negative
comeré aquí.,asek werenchek,saka'tapallek asek
¿me oíste?,¿lauk'lun?,¿muwiñin?
"arákayu, dice, era un shingurador.",arakayu ima pillektutek.,nanek imi'na pacher kelli u'ñishala shanchushala.
¿eres tú?,¿kenma'cha'?,¿kenma?
baja aquí.,nu'wanker' asek,mapu'sina asek'
eres inteligente.,iñer' ñinchitapala',tekua'tek nuka'ma
así nos han puesto.,nana nu'su' aku'llinerkenmu'wa'.,papinkumapu'wa'ku'lusa' nana nu'llina'.
estoy bailando.,lansa'palek,yanpu'lek
somos prisioneros.,sipuk'ñapallidek,uki'latek ñapallidek
trabajo aquí.,saka'tapallek asek,kencher' asek
¡ya párale!,¡pilli'ter' nanek!,¡ta'ituler' pa'i!
le ayudo.,katu'palek,mukankanku
como fruta.,ka'apalek wayupi,ka'lek manzanas
nos quedamos.,llia'terwa',perlli'llidek
aquí duele.,asek ikerlli,asu' analli
¡guarden silencio!,¡ta'tu'la'ku!,¡lupersu' ñapala!
escaparon todos.,iñer' chiyekllina',iñer'daper yamerladallina'
buenas.,mulusa',muetchun
¿está durmiendo?,¿wicha'palli?,¿ulanpallincha?
¡qué alivio!,¡enpu'ni mui'pa!,¡illiñi u'chimu!
les creo.,latekdeklek,iyatulek
¿estás lista?,¿insek'diperpi ñapala?,¿kerka' ñinchitapala?
funcionó.,saka'tulli,nupek'tulli
tom saludó.,tom tulli ma'pu'sin,tom waduñi
seré breve.,wiuksu' ñin'chek,wiuksu' lunpalek
tenemos esto.,a'ñapalekwa' asu',asek' pa'apilallidek
lo haré.,nu'techek,epa'echek
los encontré.,kanandeklek,ñinchituwinek'
continuemos.,tupitawa',adanta'wa'
estoy impresionada.,ñapalek imanantusu',inapilante'ñapalek
quiero intentarlo.,yateklerilek,ta'itula'u tekdiperechek
estoy dudando.,ku'la latektapi'nek,tekuawinek
sigue corriendo.,teka'per'i'la,dek'kuntaper'pi'la
nosotros esperamos.,kuda wa'tentulidek,luwantullidek
estábamos bromeando.,si'lentapawiñidek,ku'la yamerapiñidek
estás mintiendo.,tumu'pala,we'inutapalli
¿son hermanas?,¿kai'kualusa' nuka'mama'?,¿suntadulusa'cha?
tom escucha.,tom lauktapalli,tom lauki'lli
hablo francés.,lumpalek frances,a'lek'apalliner'ku frances
los culpables son los que abrieron el camino a moyobamba.,nana usha'wañen muyunpa inchilala ekketcherka'su'.,ipa'la asu' shaya'lusa' inllinsellina' asu' ladanenna'.
estás dormido.,wichi'su' ñapala,tasellun ñapala
de allí le tocó el turno a otro.,naneklima asu' ali'lima panta'lli.,itudek'an ima a'da'dekan ima itudeklli.
¡despierta!,¡nanpiker'!,¡indekker'!
pararon.,ta'itula'llina,aper'llina'
estamos bailando.,lansa'pallidek,lauk'tapallidek
eres paciente.,wa'tentutek nuka'ma,nantapitek ñiker'
tom prometió.,tom tekinchi'walek tulli,tom tumu'pawiñi
gracias.,yuspeinet'echun,muetchun
¿para llevar?,¿ekpa'ak?,¿lauk'lun?
tom palideció.,tom sha'pi'wiñi,tom peklu'tulli
¡qué pérdida!,¡embu'ni wer'ipa'!,¡embu'ni luwer'chi'ñi!
cómanse todo.,ka'ku' iñer',muisu' kankantula
¿estás trabajando?,¿saka'tapala?,¿kana'tapala?
necesito tiempo.,insek'dipersu' ñapi'nek,luwantulek katu'pa'
está nevando.,pulunker'wanpalli,sanek'apalli
no pares.,yataitula'ta,yatumu'ta
"¡apúrensen, muchachas!",¡wiuku' wilalunlusa!,¡tuku' ma'nen'unta'!
escribe libros.,llinsercher' kerka'lusa',lauk'apalek la'la'lusa'
nos reímos.,yamerlek'wa',iya'tulek'wa'
seamos valientes.,ñiawa' nantapitek lusa',yalli'walusa' nuka'kawa'
¡quédate tranquilo!,¡musu' llia'ker'!,¡lupersu' ñapala!
estás atascado.,da'sek'su' ñapala,aper'su' ñapala
ven entra.,weker' da'encher',wenller' kenmasa'
hemos llegado.,ektu'lekwa',tupitawa'
mantente despierto.,ñapaker' nanpiladasu',nantapitek' ñiker'
lo necesitamos.,luwantullidek,luwantulliden
¿lo harás?,¿nu'techu'?,¿a'pe'chapala?
repítemelo.,itununta'u,llinser'chu'u
te necesitamos.,luwantulliden,luwantuwiñen
ven temprano.,wenller' dasu'la,wenller' kenmasa'
enseño francés.,a'lek'tapalek frances,a'lek'apalliner'ku frances
son amarillas.,sha'pi'su'sa' nuker'ka,nuka'kawa taserpilusa'
sígueme.,tupi'tu'u,yamerku'
estoy estudiando.,kerka' ñinchitapalek,utrinwanpalek
estoy ayunando.,weranpi'nek,nakusu' weranek
he terminado.,a'ta'wantulek,ta'itulekchek
ellos atacarán.,nawa panper'chechuna',nawa' lanse'chuna'
solo pregunto.,lektapaleksa',ku'la tunansin
regresa.,adencher',lli'taper'i'la
lo entiendo.,lachek'apalek,latekdeklek
lo intentaste.,intek'lli'wina,luwantulliden
comamos sushi.,ka'awa' sushi,nu'tulekwa' waffles
me vieron.,lli'lliner'ku,wiperi'u
entonces les voy a contar. ¡escuchen!,enta' winterkenma'. ¡lawekku'!,nana'lek llipu'mutu'tan dei'tawa' nana wa'dan!
¿pueden andar?,¿yennitulama' dekkunta'mamak?,¿yennitapala dekkunta'mak?
descolgó.,u'nu'wañi,dekundunlli
mamá lloró.,awa wellek'lli,amu utek'wañi
tengo vino.,vinu' a'ñapalek,kerlliek vinu'
la llamé.,peklu'lek,lau'tulek
vendrán.,wenche'chuna',ekte'chechuna'
estudio coreano.,a'lek'apalliner'ku koreano,kanadiense nuka'a
sólo eso he hablado. ahora me voy a levantar y me voy a ir por otra parte.,nanasa' lunek. ipa'li'na kua yunsanpateku nellupa' pa'achek.,"ta'ser kuanta' wilaku ñamu lawektulek, ipa'la winta'pallenma'."
tomás entiende.,chuma lachek'lli,tomas tumu'palli
"¡apúrensen, muchachos!",¡wiuk'ku wilalusa'!,¡lli'ker' mupallinpa'!
¿es todo?,¿iñer'a'cha?,¿asu' a'cha?
así les dicen en otro idioma al castellano.,"itullina' ali'la'la'leklan, asu' kaschilla.",ipa'la asu' shaya'lusa' inllinsellina' asu' ladanenna'.
¿quiere bailar?,¿yalansa'lli?,¿iyatula?
"¡oye, aguarda!","¡lau'ker', wa'tenter'!",¡wanerker'! ¡apechutek!
¡qué confusión!,¡embu'ni luwer'chi'ñi!,!embu'ni we'inuipa'!
¿está ventoso?,¿nakusu' tanluwatulli?,¿aper'suku a'cha?
me divertí.,sakek'lek,aper'lek
¿eres nuevo?,¿naektu'kellia?,¿musu' ñapala?
son buenos.,u'chimulusa' nuker'ka,sha'mu'su' nuka'ma
manténganse abrigados.,i'shiwansu' ñapaku',ñapaker' nanpiladasu'
él aceleró.,apinta'a'tekalli,ala'sa' yalli' ektukerlli
a octavio le decían ukchapi.,octavio itullina' ukchapi.,tullima lansi' wa'dan uker'apan.
¿fue divertido?,¿mulli'ncha'?,¿chimiñi?
no discutan.,yainyututama',yayamerladatama'
está frío.,sanek'apalli,wapu' werampalli
lo buscaré.,dunker'echek,tekle'rilek'
"entonces, dice que había uno que entendía la lengua shiwilu.",da'ilek ala'si'mi'na lachik'apalli asu' shiwilu la'la'.,nana usha'wañen muyunpa inchilala ekketcherka'su'.
teníamos razón.,a'persu' ñapiñidek,ikinek'uklli werañidek
déjanos entrar.,ta'itula'udek yada'llidek,pa'awa' ekter'lupa'
lo entendieron.,lachek'llina',latektullina'
no duele.,ku'la iker'i'ñi,ku'la dai'nchu
yo contribuí.,kua katu'patulek,kua peklu'tulek
espera allí.,wa'tender' nanek,adipi wantenter'
era fabuloso.,u'chimu'ñiwiñi,welliek'apawiñi
sé puntual.,yatek'da'ta,nantapitek' ñiker'
todos pagaron.,iñer' panwilek'tullina',iñer'daper yamerladallina'
estaba furioso.,yupawinek,yawichi'winek
me traicionaste.,wa'danpilapilun,pinaner'u'ku
estamos despiertos.,nampilalasu' ñapalidek,sakeksu' ñapallidek
tengo diecinueve.,a'ñapalek shunka'iskun,ñapalek sadasu'
más alto.,a'pinta' musenkek,mullincha'
tom ganó.,tom kana'tulli,tom iduñi
trabajemos.,saka'tawa',saka'taterwa'
tú maneja.,kenma ekpa'ker',ta'iter' a'mercha
debo encontrarlo.,kanan'a'kasu' ñapalli,adanta'a'kasu' ñapalli
¿quién sos?,¿denkena'cha?,¿den a'cha?
reemplázalo.,a'pawilek'ker',de'a'merker'
¡gracias nuevamente!,¡yuspeinet'echun nanapu'si'la!,¡peklu'u ma'isik!
le perdonamos.,ta'itula'llidek,impaleriawa'
hazlo ahora.,nu'ter' ipa'la,llia'ker' nanek
¿puedo quedármelo?,¿yennitulek ek'llia'ak?,¿yennitulek katupa'tak?
¡me pellizcó!,¡sek'tek'lliu!,¡kana'tulek!
con eso vamos a golpear sus cabezas para matar a esos wiracochas!,nana'lek llipu'mutu'tan dei'tawa' nana wa'dan!,¡ma'allimi'na enpi' uklli llinserpi namasu' lunpa'kawa'su' ektu'nchinaa!
¿podemos probarlo?,¿yennitulekwa' lata'ak?,¿yennitula lunta'mak?
¿están ocupados?,¿yennichi'nama'?,¿insek'diperpi ñapalama'?
mejora.,tekdiperker,adencher'
como pan.,ka'apalek tanta',ka'lek manzanas
déjalo entrar.,ta'ituler' da'encha'i,ta'iter' a'mercha
es emocionante.,sakeknansu' nuka'a,mukankan'inpu' nuka'a
quien sea.,denpinta' ñi'i,nuka'a nana
soy neutral.,ñidenkinpu' nuka'ka,llinserchutek' nuka'ka
buenas tardes.,muer'wa,lau'ker' musu'
esperé.,wa'ten'nek',wa'tentechek
¡buen pensamiento!,¡u'chimu lli'inu!,¡enpu'ni mui'pa!
¿ayudaste?,¿katu'pa'tula?,¿peklu'tula?
¿juegas boliche?,¿indekllitapala bulichi?,¿empu'dun pichiapala?
no forcejees.,yanantapita,yayamerladatama'
continúe hablando.,lun'aper'pi'la,tuluner'aper'i'la
soy mujer.,ku'aper nuka'ka,mulun nuka'ka
estás loca.,wa'danpindek ñapala,da'sek'su' ñapala
están cansados.,saka'tusu' ñapallina',sha'pi'su'sa' ñapallina
juguemos.,indekllitawa',mu'pallidek'
ellos llamarán.,nawa' peklu'techuna',nawa' lanse'chuna'
obsérvalos.,lli'dek'ku',enchuku'
traeré vino.,kere'chek vinu',kerlliek vinu'
son especiales.,u'chimuinchilusa' nuker'ka,sha'pi'su'sa' nuker'ka
estoy acostumbrado.,ñapalek da'iyasu',ñapalek a'mechailusu
somos hombres.,enmu'pinen nuka'kudek,yalli'walusa' nuka'kawa'
conduce lentamente.,ekpa'ker' utila',ma'pu'su'pintak nu'ter
intenta hacerlo.,teklerier' nu'ta'mak,yennitula nu'ta'mak
¿puedes abrirlo?,¿yennitula ek'ker'cha'mak?,¿yennitula lunta'mak?
estate tranquilo.,musu' ñapaker',nantapitek' ñiker'
soy músico.,tuluner'cheku nuka'ka,lulentutek' nuka'ka
¡qué raro!,¡nerpi'la empu'nipa'!,¡embu'ni wer'ipa'!
sentate ahí.,du'ker' nanek,ta'ituler' asek
llego tarde.,erwa' ektu'lek,etu'kerlek er'wa
¿tienes uno?,¿a'ñapala ala'sa'?,¿wenche'chu nana?
tom mintió.,tom tumu'lli,tom lli'inutulli
ambos murieron.,nu'misansu' chimiñina',ñapawiñina' chimipi
¡quédate quieto!,¡lia'ker' yalenmekta!,¡lupersu' ñapala!
deberías descansar.,neria'masu' ñapalli,saka'techu watensu'
¿quiénes son?,¿denlusa'cha?,¿lu'wan'nun?
estoy gordo.,weipensu' ñapalek,chacha'lek ñapalek
déjame ir.,ta'itula'u pa'ak,ta'itula'u pae'chek
falló.,aper'lli,nakulli
aquí vienen.,asek uk'apilellina',asek ñapallina'
ve adentro.,paker' kinekla,da'ker' kinekla
estaba llorando.,welliek'apawiñi,yawichi'winek
es mes de navidad.,ñiñuduker' nuka'a,sawadu' nuka'a
tienen vino.,a'ñapallina' vinu',a'ñapala' vinu'
veamos.,lli'awa',lli'aterwa'
es verdad.,tekkinchi nuka'a,tumu' nuka'a
¡qué aburrimiento!,¡musu' kankanchi'nek!,¡embu'ni mushipa'!
estoy solo.,kuashasa' ñapalek,chacha'lek ñapalek
te oigo.,lauk'apallien,ma'ichin'chen
sigo vivo.,nanpi'palek'i'la,wiuksu' lunpalek
¡qué bonito!,¡embu'ni mushipa'!,¡empu'ni mushipa'!
eres nervioso.,tekua'tek nuka'ma,wa'danpintek ñapala
"de ahí, dice, ha quedado este pasto que hasta ahora conocemos.",naneklima llia'lli asu' wa'dan panpateklu' ipa'la walek luwetchapalekwa'.,"nanekla, ipa'li'na iñer inapu'su' pa'akwa' luwetllekwa'."
estoy quebrado.,nupek'pi ñapalek,kaluwi'su' ñapalek
después veremos.,nanekla lli'aterwa',ipa' lli'aterwa'
todos sonrieron.,iñer'daper yamerladallina',muisu' kankantullina
estate quieto.,yalenmekta',empu'ni yaluntama'
hasta luego.,pante'chek,kuanta'
tom enseña.,tom a'lektapalli,tom latekte'chu
"hey, cálmate.",lauk'la tuna'ker',"ma'a'tasu', lataker'"
¿puedo entrar?,¿yennitulek da'ak?,¿yennitulek ek'llia'ak?
tenemos planes.,a'ñapallidek ma'nen'un'ta' nu'tak,a'ñapallidek la'la'lusa' latek'ak
¿puedo ayudar?,¿yennitechek katu'pa'tak?,¿yennitulek katupa'tak?
¿estoy gordo?,¿weipensu' ñapalek?,¿wa'danpindek ñapala?
¡estás borracho!,¡lupersu' ñapala!,¡empu'ni mushipa'!
estaré contento.,musu' ñape'chek,musu' ñapechek
eso espero.,nana wa'ten'nek',nana katu'pa'techu
¿quién comió?,¿den'ina' ka'lli?,¿den wer'lli?
dia.,uklli,pa'a
ellos vendrán.,nawa' wenche'chuna',nawa panper'chechuna'
fue fácil.,saka'dekinpu' ñiwiñi,welliek'apawiñi
pórtate bien.,musu' ñiker,musu' dek'la
estamos satisfechos.,sakeksu' ñapallidek,welliek'apallidek
es lunes.,lunes nuka'a,sawadu' nuka'a
estamos ocupados.,a'ñapallidek dudimpu' nu'ta'kawa'su',saka'tusu' ñapalidek
luce pálido.,shapi'tek nuka'a,musuk'i'la lli'inuper'
ama cantar.,tantenñi tuluker'ak,ñinchitapalek tuluner'ak
malallina es la que nos ha hecho darnos cuenta.,malallina nu'su' a'lli'tullundek.,"malallina nana nu'su' a'kankantullundek,"
¡ha venido!,¡wek'lli!,¡dakuti'ñi!
¿es doloroso?,¿ikerli?,¿wichisu'a'cha?
durmiendo,wicha'palek,werampalek
escuchemos.,lauk'tawa',tuluner'awa'
practiquemos.,impaleriawa',tekle'rier'chidek
estoy comprendiendo.,lachek'apilalek,utrinwanpalek
"vamos, hazlo.","pa'awa, nu'ter'","pa'awa, nu'tuku'"
está vibrando.,pada'sa'tapalli,taserpitapilalli
sea breve.,empu'ni yalunta',wila mukankan
otro grupo se fue por ahí mismo queriendo conocer. volviendo ellos también hablaron.,"ali'la musu'nti'ma pa'lli nanalupa'pi'la, yaluwerkun. adencha'n nananta' luncha'lli.","nu'unti'ma kelluluñiñi'ler ka'deklli, pa'nunta'nni'ma ipa' di'tullina'."
estudio francés.,a'lek'apalliner'ku frances,francés nuka'a
estuvo cerca.,ñapawiñi kawik,ucha'paya ñapawiñi
este funciona.,asu' saka'techu',asu' tekdi'per'ker'
¡llámame después!,¡peklu'u ma'isik!,¡ta'itula'u pa'ak!
podemos esperar.,yinnitullidek wa'tentak,yennitulekwa' kana'tak
prometió.,nana tuwiñi nu'techu,iyatulli
lo procuramos.,tekle'rier'chidek,kerka' luntapallidek
debo regresar.,adanta'a'kasu' ñapalli,pa'a'masu' ñapalli
estamos perdiendo.,wer'apallidek,wer'su' ñapallidek
dormimos demasiado.,nakusu' wichi'llidek,sakeksu' ñapallidek
eras mío.,kuakin ñiwina,musu' ñapawina
lo intentaron.,indek'llina',latektullina'
es guapa.,mulunsha nuka'a,dadapu nuka'a
estamos disponibles.,inapi ñapallidek,a'ñapalekwa' da'lusa'
pareces molesto.,yupa'masu'pu'su' lli'tula,musuk'i'la lli'inuper'
eres parcial.,denlekpin'ta' ñapala,wichi'su' ñapala
estabas feliz.,musu' ñapawina,nanpiapamu wilawanek.
me incliné.,yen'ner'lek',pinaner'lek'
tom hablará.,tom lun'echu,tom lansa'palli
tom nadó.,tom iduñi,tom waduñi
huelo gas.,lanerapalek gas,nu'tulekwa' waffles
lo admito.,yan'katektulek,iyatulek
"¡imaginate, ellos sin saber leer!","enta'n, nawa' kerka' ñinchilli'npu'la'pi'na'.",¡empu'ni ñinchidinusu'ta'!
confesé.,lunnek,enmu'lek
nací aquí.,asek wadeklliner'ku,asek werenchek
"desde entonces, ahora todos uno y otro lugar nos vamos a conocer.","nanekla, ipa'li'na iñer inapu'su' pa'akwa' luwetllekwa'.","enta'n, nawa' kerka' ñinchilli'npu'la'pi'na'."
son primos.,i'inlusa' nuker'ka,iyasu'lusa' nuker'ka
quiero más.,a'pinta' luwantulek,iyatulek
¡no dispares!,¡yailantuta!,¡yaindektama'!
es irrelevante.,ma'kek'pachi'ñi,ñinchidinusu'nuka'a
agárrate fuerte.,pili'ker' ikersu',ninchiter' wapu'
jesús.,kishu,mulusa'
estamos hambrientos.,uki'latek ñapallidek,saka'tusu' ñapalidek
a los niños varoncitos los llamó.,wilalusa' enmu'pinenwawalusa' ima peklu'deklli.,ma'i silutulusa' dunkerllina'.
¿me equivoco?,¿aper'lek a'cha?,¿wa'latapalek?
buscaron a los yupaneros.,ma'i silutulusa' dunkerllina'.,amilusi'ma' willekllina' ukki'lanna'.
tom pagará.,tom panwilek'techu,tom latekte'chu
¿puedes encontrarlo?,¿yennitula kanan'a'mak?,¿yennitula lunta'mak?
estás enamorado.,yaku'aper'wana,yanu'tapala
todos mienten.,iñer' tumu'llina',muisu' kankantullina
nos robaron.,aperlliner'kudek,perlli'llidek
están trabajando.,saka'tapallina',kana'tapallina'
bebimos mucho.,nakusu' ullidek,nakusu' wichi'llidek
¿te gustó?,¿iya'tula?,¿muwiñin?
estoy herido.,chacha'lek ñapalek,kaluwi'su' ñapalek
jesús lloró.,kishu wellek'lli,yus nampipalli
podemos ganar.,yennitulekwa' kana'tak,luwantullidek kana'tak
¿son polis?,¿suntadulusa'cha?,¿tekinchi nuka'ma?
espera fuera.,adipi wantenter',tupiter' inpalerian
ahora recuerdo.,ipa'la lli'inutulek,ipa'la ñinchitulek
venga mañana.,weker' eklli,wenller' dasu'la
al convivir salí embarazada.,nanpiapamu wilawanek.,wilaluntamu sudawek kananek.
¡fantástico!,¡u'chimuinchi!,¡mupencha!
sé razonable.,inlli'inuter' musu',lu'uktutek'ken ñiker
queremos votar.,yadekllidek,kuda wa'tentulidek
solo continúa.,tupiter'sa',ta'iter' nakui
sigo estornudando.,a'shupalekpi'la,nerpi'pu' dekundapalek
véase arriba.,li'ker' musenkek,wek'ker' ipia'la
¿empiezo?,¿tenmiansu'chek?,¿ekpa'ak?
lo sabemos.,ñinchitapallidek,a'ñapallidek
tom charló.,tom lunñi,tom malla'lli
¿comés carne?,¿chuchu ka'a'pala?,¿a'ñapala cerveza?
no fumes.,yau'wa'tuta,ku'la dai'nchu
mantente cerca.,ñapaker' kawik,lauk'la tuna'ker'
quiero vivir.,yanampilek,yawelleklek
soy francés.,frances nuka'ka,nuka'a francesa
¿están listos?,¿insek'diperpi ñapalama'?,¿yunsansu' ñapala?
tengo dinero.,kulliker'wanpalek,kulliker'wi'nek
lo dudo.,latek'iñen,lu'wañen
comamos aquí.,weranwa' asek,neriawa' asek
usted prometió.,kenma tuwina nu'techu,kenma nu'techun tuwina
dios existe.,yus nampipalli,pawanpalli chuma
tom recordó.,tom lli'inutulli,tom kana'tulli
¿estudias?,¿kerka' ñinchitapala?,¿ilañiner'ken?
remontemos barriletes.,a'penu'wa' barriletes,ta'itula'dek'ku' idenmaina'
comimos juntos.,weranekwa' kenmu'lek,ku'la yamerapiñidek
los necesito.,luwantudek'lek,luwantuwiñen
tom asintió.,tom tulli ajá,tom indek'lli
comencemos.,tenmiansu'wa,ek'ker'chawa'
¿tienen hijos?,¿wilawanpalama'?,¿pumuladawanpalama'?
quiere más.,a'pinta' luwantulli,nana katu'pa'techu
¡por supuesto!,te'kinchi,!kaluwi'pala!
¿quién desapareció?,¿den wer'lli?,¿den yunsu'lli?
está fresco.,nalu ñapalli,wapu' werampalli
éramos amigos.,ekuanñiwiñidek,kawitusu' ñapawiñidek
entremos.,da'awa',ek'ker'chawa'
esto apesta.,asu' analli,asu' saka'techu'
es abogado.,chimidekpi nuka'a,ñiñuduker' nuka'a
puedo regresar.,yennitulek adanta'ak,yennitulek a'nañiak
¿lo harán?,¿nu'techuma'?,¿te'kuawina?
¡ponte serio!,¡ñiker' musu!,¡enpu'ni aperpipa'!
tom llegó.,tom ektu'lli,tom waduñi
vuelve aquí.,adencher' asek,ta'ituler' asek
te extrañamos.,lu'wanñiden,tu'nek'echidek
corre.,tek'ker',lli'ker'
ignoralos.,luwerchinpu'deker,kana'chi'ñina'
deja pasar.,ta'iter' nakui,ta'ituler' pa'i
soy tímido.,tekua'dande'ku,inapilante'ñapalek
están aquí.,asek ñapallina',nantapi'na
sigue positivo.,musuk'i'la lli'inuper',tupiter' inpalerian
soy panadero.,tanta' nu'tutek nuka'ka,wa'tentutek nuka'ka
¡no hables!,¡yalunta'!,¡yatumu'ta!
"por eso dice, una mujer llamada malallina9,","nana malek imi'na, ala'sa' shaya' llillinen itullina' malallina,","malallina nana nu'su' a'kankantullundek,"
tenemos visita.,a'ñapalekwa' da'lusa',kerka' luntapallidek
tom aplaudió.,tom inllipu'itek'latulli,tom lli'inutulli
¿está muerto?,¿chimiñi?,¿ñapalli muin'su?
déjalo ir.,ta'ituler' pa'i,nu'ter' ipa'la
simpatizo.,musu' lli'apalek,a'imanantulun
estoy jodiendo.,a'perchapalek,yayunsu'lek
soy casado.,sadasu' nuka'ka,apu'pi nuka'ka
tom recordará.,tom lli'inutechu,tom idenmechu
necesitamos ganar.,luwantullidek kana'tak,yinnitullidek katu'pa'tak
concéntrate.,lli'ker' musu',inlli'inuker'
"otros se han ido a quedar en un, este, pasto llamado chota.","ali'lima llia'kuñi ala'sa', ma'i, panpateklu' ima llillinen chota.","kenmami'na nana panpateklu' chota, chotanma'."
trabajaremos.,saka'taterwa',ek'ker'chawa'
te conocen.,luwer'chapalliñer'ken,lli'tula we'inutusu'
no lloren.,yawellektama',yayamerladatama'
te encontré.,kaper'llien,lli'echek
estamos atrapados.,pilli'pi ñapalekwa',yampu'su' ñapallidek
cuando nosotros perezcamos qué cosas quizá aparecerán dijeron antes.,kenmu'wa' chimiansikwa' ma'ilipa' lli'tetchu tullini'ma napi'.,tusu'sa' llillinlusa' napi' a'ñiwinekwa'.
¿nada nuevo?,¿ñimanen nalu?,¿ñapalli a'pinda'?
esperaré.,wa'tentechek,wa'tentapechek
necesito agua.,luwantulek dek',luwantulek saka'tak
es nuevo.,nalu' nuka'a,mulunsha nuka'a
estoy parado.,wanerapalek,tuna'su' ñapalek
descansemos aquí.,neriawa' asek,weranwa' asek
¡buen viaje!,¡paker' musu'!,¡u'chimu lli'inu!
síguele.,tupiter',uencher'
¡huele rico!,¡iyasu' lanelliek!,¡illiñi u'chimu!
tom saltó.,tom indek'lli,tom kana'tulli
¿quién escuchó?,¿den lauk'tulli?,¿den chi'yeklli?
"así han dicho antes los abuelos, las abuelas, tomando hasta la medianoche.","tullina' napi' papinkuku'lusa', amiku'lusa', ikineklli walek uwenna'.","nana malek imi'na, ala'sa' shaya' llillinen itullina' malallina,"
estoy flacucho.,sha'mu'su' ñapalek,wa'danpintek ñapalek
tú mantente.,llia'ker' kenma,kenma techu
respóndanme.,na'piu'ku,a'sakek'u
"ahora tal vez sólo el tigre negro hay, tengan mucho cuidado, no se deja ver más.","ipa'linchi kelluluñiñi'pa' ñapa'n, inlli'inuku', ya'nlli'tapi'ñi a'pinta'.","kenmu'wa' mutupi muda', kenmu'wa' ñi asu'lupa'dei'npu'."
se terminó.,ta'wan'tulli,u'lanñi
nos gusta.,iya'tulek'wa',lunñidek
está fingiendo comer.,intek weranpalli,ipia'la u'lenchu
ten seguridad.,latek'u,musu' sek'kaperechuner'ken
mira allí.,lli'ker' nanek,llia'ker nanek
lo prometió.,tuwiñi nu'techu,nana tuwiñi nu'techu
así vivieron cuántos años quizás.,nu'si'ma nanpillina' enpu'dun ekkilalei'pa'.,nana malallinapu'wa'su' ñillin iñer enmu'pinen.
fue real.,ñiwiñi tekinchi,nudu'pi ñiwiñi
la cogieron.,pilli'tullina',pilli'tullina
no esperé.,wa'tenchi'nek,yawellekta
sentémonos.,du'awa',dek'kuntawa'
no funcionó.,ku'la saka'chi'ñi,ma'kek'pachi'ñi
mantente abrigado.,i'shiwansu' ñaper',nantapitek' ñiker'
es delicioso.,iyasu' nuka'a,u'chimusha nuka'a
llegaran lejos.,wei ek'tue'chuna',saka'tullina' nakusu'
estamos limpios.,pekuipi ñapalidek,sakeksu' ñapallidek
estamos divorciados.,yanpu'su' ñapallidek,nampilalasu' ñapalidek
llegué tarde.,etu'kerlek er'wa,erwa' ektu'lek
canta.,tuluner'ker',uencher'
aguanta.,yan'katekter',kana'tula
¿estabas solo?,¿kenmasa' ñapawina?,¿kenmashasa' ñapala?
no fuma.,ku'la u'wa'ta'pi'ñi,ku'la ikerinchu
¿lo sabes?,¿ñinchitapala?,¿luwer'chapallien?
está listo.,insek'diperpi ñapalli,tekdiperpi ñapalli
los llamé.,peklu'deklek,lau'tulek
le preguntaron.,lek'kllina',latektullina'
