pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,has_audit_flags
P00034,Estoy trabajando.,SAKA'TAPALEK,estoy trabajando.,saka'tapalek,False
P00035,Tengo diecinueve.,A'ÑAPALEK SHUNKA'ISKUN,tengo diecinueve.,a'ñapalek shunka'iskun,False
P00036,Estoy levantado.,YUNSANSU' ÑAPALEK,estoy levantado.,yunsansu' ñapalek,False
P00037,Escucha.,LAU'TER,escucha.,lau'ter,True
P00038,Escuché.,LAU'TULEK,escuché.,lau'tulek,False
P00039,Escuchen.,LAU'TUKU',escuchen.,lau'tuku',False
P00040,Escucharon.,LAU'TULLINA',escucharon.,lau'tullina',False
P00041,Estoy escuchando.,LAU'TAPALEK,estoy escuchando.,lau'tapalek,True
P00042,Estoy abriendo mi boca.,LAUK'APALEK,estoy abriendo mi boca.,lauk'apalek,True
P00043,¡Imposible!,¡SAKA'DEK!,¡imposible!,¡saka'dek!,False
P00044,¿En serio?,¿TEKINCHI?,¿en serio?,¿tekinchi?,True
P00045,¿La verdad?,¿TEKINCHI?,¿la verdad?,¿tekinchi?,True
P00046,¡Gracias!,¡YUSPEINET'ECHUN!,¡gracias!,¡yuspeinet'echun!,True
P00047,Gracias.,YUSPEINET'ECHUN,gracias.,yuspeinet'echun,False
P00048,Pruébalo. (saborear),LATA'KER,pruébalo. (saborear),lata'ker,True
P00049,Pruébalo. (intentar),TEKLE'RIER',pruébalo. (intentar),tekle'rier',True
P00050,Lo procuramos.,TEKLE'RIER'CHIDEK,lo procuramos.,tekle'rier'chidek,False
P00051,Ganamos.,KANA'LLIDEK,ganamos.,kana'llidek,False
P00052,Estate tranquilo.,MUSU' ÑAPAKER',estate tranquilo.,musu' ñapaker',False
P00053,Sean gentiles.,MUKANKAN ÑIKER',sean gentiles.,mukankan ñiker',True
P00054,Sé agradable.,MUKANKAN ÑIKER',sé agradable.,mukankan ñiker',True
P00055,Llámame.,PEKLU'U,llámame.,peklu'u,False
P00056,Llámanos.,PEKLU'UDEK,llámanos.,peklu'udek,False
P00057,Entre.,DA'KERKER',entre.,da'kerker',True
P00058,Pase.,DA'KERKER',pase.,da'kerker',True
P00059,¡Entren!,¡DAKER'KU'!,¡entren!,¡daker'ku'!,False
P00060,Suéltalo.,APU'KER',suéltalo.,apu'ker',True
P00061,Bájate.,NU'WANKER',bájate.,nu'wanker',True
P00062,Sal. ,YUNSUER',sal.,yunsuer',True
P00063,Sal. ,DAMULA,sal.,damula,True
P00064,Salgan.,YUNSU'KU',salgan.,yunsu'ku',False
P00065,¡Largo!,¡PAKER'!,¡largo!,¡paker'!,True
P00066,Largo ,SHIN,largo,shin,False
P00067,¡Vete ya!,¡PAKER'!,¡vete ya!,¡paker'!,True
P00068,Lárguese.,¡PAKU'!,lárguese.,¡paku'!,False
P00069,Vaya despacio.,PAKER' UTI'LA,vaya despacio.,paker' uti'la,False
P00070,¡Hasta luego!,¡PANTE'CHEK!,¡hasta luego!,¡pante'chek!,True
P00071,¡Chau!,¡PANTE'CHEK!,¡chau!,¡pante'chek!,True
P00072,¡Un segundo!,¡IPIA'LASHA!,¡un segundo!,¡ipia'lasha!,False
P00073,Agarra fuertemente.,PILLI'TER' IKERSU',agarra fuertemente.,pilli'ter' ikersu',True
P00074,Dolor,IKER,dolor,iker,False
P00075,El ají pica,NUKA' IKERLLI,el ají pica,nuka' ikerlli,False
P00076,Él vino.,NANA UK'LLI,él vino.,nana uk'lli,True
P00077,Él renunció.,NANA YUNSU'LLI,él renunció.,nana yunsu'lli,True
P00078,Ayúdame.,KATU'PA'U,ayúdame.,katu'pa'u,True
P00079,Ayúdanos.,KATU'PA'UDEK,ayúdanos.,katu'pa'udek,True
P00080,Espera.,WA'TENKER',espera.,wa'tenker',True
P00081,Resista.,YAN'KATEK'TER',resista.,yan'katek'ter',True
P00082,Resiste.,YAN'KATEK'TER',resiste.,yan'katek'ter',True
P00083,De acuerdo.,MUETCHUN,de acuerdo.,muetchun,False
P00084,Me incliné.,YEN'NER'LEK',me incliné.,yen'ner'lek',False
P00085,Dormí.,WICHI'LEK,dormí.,wichi'lek,True
P00086,Durmiendo,WICHA'PALEK,durmiendo,wicha'palek,False
P00087,Me voy a dormir,WICHIN'DEK'CHEK,me voy a dormir,wichin'dek'chek,True
P00088,Voy a dormir,WICHI'ECHEK,voy a dormir,wichi'echek,False
P00089,Lo intenté.,TEKLE'RILEK',lo intenté.,tekle'rilek',False
P00090,Iré.,PA'ECHEK,iré.,pa'echek,True
P00091,Soy Tom.,NUKA'KU TOM,soy tom.,nuka'ku tom,False
P00092,Estoy gordo.,WEIPENSU' ÑAPALEK,estoy gordo.,weipensu' ñapalek,False
P00093,Soy gorda.,WEILUNSU' NUKA'KA,soy gorda.,weilunsu' nuka'ka,True
P00094,Estoy afectado.,MUIN'SU' ÑAPALEK,estoy afectado.,muin'su' ñapalek,True
P00095,Soy viejo.,TASERPIKU,soy viejo.,taserpiku,False
P00096,Soy tímido.,TEKUA'DANDE'KU,soy tímido.,tekua'dande'ku,False
P00097,Estoy mojada.,WIWERAPALEK,estoy mojada.,wiwerapalek,False
P00098,Está bien.,MUPALLI,está bien.,mupalli,True
P00099,Soy yo.,KUA NUKA'KA,soy yo.,kua nuka'ka,False
P00100,Guárdalo.,SEKDIPERKER',guárdalo.,sekdiperker',False
P00101,"Yo, también.",KUANTA',"yo, también.",kuanta',False
P00102,Abre.,EK'KE'CHER',abre.,ek'ke'cher',False
P00103,¡Perfecto!,¡MUPALLI!,¡perfecto!,¡mupalli!,False
P00104,Nos vemos.,INLLI'TER,nos vemos.,inlli'ter,False
P00105,Enséñamelo. (pasar conocimiento),ALEK'U,enséñamelo. (pasar conocimiento),alek'u,True
P00106,Enséñamelo. (muestramelo),ALLI'U,enséñamelo. (muestramelo),alli'u,True
P00107,Muestrame.,ALLI'U,muestrame.,alli'u,True
P00108,Hasta luego.,PANTE'CHEK,hasta luego.,pante'chek,False
P00109,Páralo. (poner vertical),A'WANERKER',páralo. (poner vertical),a'wanerker',True
P00110,Páralo. (detener),TU'NEKER',páralo. (detener),tu'neker',True
P00111,Deténlo.,TU'NEKER',deténlo.,tu'neker',True
P00112,Cógelo.,MAKER',cógelo.,maker',False
P00113,Macambo (fruta),MAKER,macambo (fruta),maker,True
P00114,Dimelo.,ITU'U,dimelo.,itu'u,False
P00115,Tom comió.,TOM WERANPALLI,tom comió.,tom weranpalli,False
P00116,Tom corrió.,TOM TEKA'LLI,tom corrió.,tom teka'lli,True
P00117,Tom ganó.,TOM KANA'TULLI,tom ganó.,tom kana'tulli,False
P00118,Espérame despierto.,WA'TEN'U NANPISU',espérame despierto.,wa'ten'u nanpisu',False
P00119,¡Despierta!,¡NANPIKER'!,¡despierta!,¡nanpiker'!,False
P00120,Despierta.,NANPIKER',despierta.,nanpiker',False
P00121,Crudo,NANPI,crudo,nanpi,True
P00122,Vivo,NANPI,vivo,nanpi,True
P00123,Lo sabemos.,ÑINCHITAPALLIDEK,lo sabemos.,ñinchitapallidek,False
P00124,Perdimos.,WER'LLIDEK,perdimos.,wer'llidek,True
P00125,Bienvenidos.,MUWENCHA'KU',bienvenidos.,muwencha'ku',True
P00126,Bienvenidas.,MUWENCHA'KU',bienvenidas.,muwencha'ku',True
P00127,Bienvenido.,MUWENCHA'KER',bienvenido.,muwencha'ker',False
P00128,¿Quién comió?,¿DEN'INA' KA'LLI?,¿quién comió?,¿den'ina' ka'lli?,False
P00129,¿Quién corría?,¿DEN'INA' TEKA'LLI?,¿quién corría?,¿den'ina' teka'lli?,True
P00130,¿Quién corrió?,¿DEN'INA' TEKA'LLI?,¿quién corrió?,¿den'ina' teka'lli?,True
P00131,¿Quién ganó?,¿DEN'INA' KANA'TULLI?,¿quién ganó?,¿den'ina' kana'tulli?,False
P00132,Corre.,TEK'KER',corre.,tek'ker',False
P00133,Has ganado.,KANA'TULA,has ganado.,kana'tula,False
P00134,¿Estoy gordo?,¿WEIPENSU' ÑAPALEK?,¿estoy gordo?,¿weipensu' ñapalek?,False
P00135,Pregúntale.,LEK'KER',pregúntale.,lek'ker',True
P00136,Pregúntales.,LEK'KER',pregúntales.,lek'ker',True
P00137,Apártate.,PAKER' ÑILUPA',apártate.,paker' ñilupa',False
P00138,Sé fuerte.,NANTAPITEK' ÑIKER',sé fuerte.,nantapitek' ñiker',False
P00139,Sea breve.,EMPU'NI YALUNTA',sea breve.,empu'ni yalunta',False
P00140,Sean breves.,EMPU'NI YALUNTAMA',sean breves.,empu'ni yaluntama',False
P00141,Estate quieto.,YALENMEKTA',estate quieto.,yalenmekta',False
P00142,Anímate.,NANTA'PIKER,anímate.,nanta'piker,False
P00143,Venga.,WENCHER',venga.,wencher',True
P00144,Ven a beber,UENCHER',ven a beber,uencher',False
P00145,¡Cálmate!,¡TUNA'KER'!,¡cálmate!,¡tuna'ker'!,False
P00146,Espósale.,TENPU'KER',espósale.,tenpu'ker',False
P00147,Arregla esto.,ASU' TEKDI'PER'KER',arregla esto.,asu' tekdi'per'ker',False
P00148,Abajo.,DAWIK',abajo.,dawik',False
P00149,Túmbate.,ANU'KER',túmbate.,anu'ker',False
P00150,¡Piérdete!,¡WER'KER'!,¡piérdete!,¡wer'ker'!,False
P00151,¡Piénsalo bien!,¡MUSU' LLI'INUTER'!,¡piénsalo bien!,¡musu' lli'inuter'!,False
P00152,Adelante. (ingresa),DA'ENCHER',adelante. (ingresa),da'encher',True
P00153,Adelante. (parte superior),EKTER,adelante. (parte superior),ekter,True
P00154,Adelántante,EKTE'CHER',adelántante,ekte'cher',False
P00155,Se adelantará.,EKTE'CHECHU,se adelantará.,ekte'chechu,False
P00156,Se adelantarán.,EKTE'CHECHUNA',se adelantarán.,ekte'chechuna',False
P00157,Entra.,DA'ENCHER',entra.,da'encher',True
P00158,Entren.,DA'ENCHA'KU',entren.,da'encha'ku',False
P00159,¡Buen trabajo!,¡MUSA'KA'TUNA!,¡buen trabajo!,¡musa'ka'tuna!,False
P00160,Agárralo.,PILLI'TER',agárralo.,pilli'ter',True
P00161,Diviértanse.,SAKEK'KU',diviértanse.,sakek'ku',False
P00162,Pásala bien.,MUSU'NAKUKER',pásala bien.,musu'nakuker',False
P00163,Pásenla bien.,MUSU'NAKUKU',pásenla bien.,musu'nakuku',False
P00164,Él habló.,NANA LUNÑI,él habló.,nana lunñi,False
P00165,Él prueba.,NANA LATA'LLI,él prueba.,nana lata'lli,False
P00166,Ayúdalo.,KATU'PER',ayúdalo.,katu'per',False
P00167,Buenas.,MULUSA',buenas.,mulusa',False
P00168,¡Qué encanto!,¡EMPU'NI MUSHIPA'!,¡qué encanto!,¡empu'ni mushipa'!,False
P00169,Compláceme.,A'SAKEK'U,compláceme.,a'sakek'u,False
P00170,¡Date prisa!,¡WIUKER'!,¡date prisa!,¡wiuker'!,False
P00171,Apresúrate.,WIUKER',apresúrate.,wiuker',False
P00172,Estoy viejo.,TASERPIKU',estoy viejo.,taserpiku',False
P00173,Puedo ir.,YENNITULEK PA'AK,puedo ir.,yennitulek pa'ak,False
P00174,Lo hice.,NU'TULEK,lo hice.,nu'tulek,False
P00175,Fracasé.,A'APER'LEK',fracasé.,a'aper'lek',False
P00176,Lo olvidé.,PINANER'LEK',lo olvidé.,pinaner'lek',False
P00177,Lo entiendo.,LACHEK'APALEK,lo entiendo.,lachek'apalek,False
P00178,Lo tengo.,A'ÑAPALEK,lo tengo.,a'ñapalek,False
P00179,Me niego.,LUWANCHI'NEK,me niego.,luwanchi'nek,False
P00180,Renuncio.,YUNSU'LEK',renuncio.,yunsu'lek',False
P00181,Lo vi.,LLI'LEK,lo vi.,lli'lek,True
P00182,Sonreí.,YAMERLADALEK',sonreí.,yamerladalek',False
P00183,Reí.,YAMERLEK',reí.,yamerlek',True
P00184,Me quedé.,LLIYA'LEK',me quedé.,lliya'lek',False
P00185,Esperé.,WA'TEN'NEK',esperé.,wa'ten'nek',False
P00186,Yo pagaré.,KUA PANWILEK'TE'CHEK',yo pagaré.,kua panwilek'te'chek',False
P00187,He vuelto.,ADENCHA'LEK,he vuelto.,adencha'lek,True
P00188,Soy calvo.,NUWEK'MUTU'KU,soy calvo.,nuwek'mutu'ku,False
P00189,Estoy calvo.,NUWEK'MUTU' ÑAPALEK,estoy calvo.,nuwek'mutu' ñapalek,False
P00190,Estoy calmado.,TUNA'SU' ÑAPALEK,estoy calmado.,tuna'su' ñapalek,False
P00191,Está calmando. (dolor),LATADA'PILALLI,está calmando. (dolor),latada'pilalli,True
P00192,Estoy tranquilo. (estoy bien),U'CHIMUÑAPALEK,estoy tranquilo. (estoy bien),u'chimuñapalek,True
P00193,He terminado.,A'TA'WANTULEK,he terminado.,a'ta'wantulek,False
P00194,Soy justo. (soy bueno),MUKANKANKU',soy justo. (soy bueno),mukankanku',True
P00195,Soy bueno. (hacer bien algo),U'CHIMUKU,soy bueno. (hacer bien algo),u'chimuku,True
P00196,Estoy perfectamente.,U'CHIMUINCHI ÑAPALEK,estoy perfectamente.,u'chimuinchi ñapalek,False
P00197,¡Soy libre!,¡INAPIKU!,¡soy libre!,¡inapiku!,False
P00198,Estoy lleno.,MER'SU' ÑAPALEK,estoy lleno.,mer'su' ñapalek,True
P00199,Estoy llena.,MER'SU' ÑAPALEK,estoy llena.,mer'su' ñapalek,True
P00200,Estoy aquí.,ASEK' ÑAPALEK,estoy aquí.,asek' ñapalek,True
P00201,Estoy herido.,CHACHA'LEK ÑAPALEK,estoy herido.,chacha'lek ñapalek,False
P00202,Llego tarde.,ERWA' EKTU'LEK,llego tarde.,erwa' ektu'lek,False
P00203,Soy vago.,PERCHEK' NUKA'KA,soy vago.,perchek' nuka'ka,False
P00204,Estoy perdida.,WER'SU' ÑAPALEK,estoy perdida.,wer'su' ñapalek,False
P00205,Soy malo. (maldad),MUKANKAINPU' NUKA'KA,soy malo. (maldad),mukankainpu' nuka'ka,True
P00206,Soy malo. (hacer mal las cosas),MUI'NEK,soy malo. (hacer mal las cosas),mui'nek,True
P00207,Soy pobre.,KULLIKER'WI'NEK,soy pobre.,kulliker'wi'nek,False
P00208,Soy rica.,WAPU' KULLIKER'WANEK,soy rica.,wapu' kulliker'wanek,True
P00209,Soy rico.,WAPU' KULLIKER'WANEK,soy rico.,wapu' kulliker'wanek,True
P00210,Estoy enferma.,KALUWI'SU' ÑAPALEK,estoy enferma.,kaluwi'su' ñapalek,False
P00211,Soy delgado. (masculino),SHAMU'PENSU' NUKA'KA,soy delgado. (masculino),shamu'pensu' nuka'ka,True
P00212,Soy delgada. (femenino),SHAMU'LUNSU' NUKA'KA,soy delgada. (femenino),shamu'lunsu' nuka'ka,True
P00213,Estoy limpio.,PEKUIPI ÑAPALEK,estoy limpio.,pekuipi ñapalek,False
P00214,Estoy calientito.,UKAPISHA ÑAPALEK,estoy calientito.,ukapisha ñapalek,False
P00215,Estoy caliente.,UKAPISU' ÑAPALEK,estoy caliente.,ukapisu' ñapalek,False
P00216,Estoy débil.,MUDINUI'SU' ÑAPALEK,estoy débil.,mudinui'su' ñapalek,False
P00217,Soy listo.,IÑER' ÑINCHITAPALEK,soy listo.,iñer' ñinchitapalek,False
P00218,Estoy listo. (preparado),INSEK'DIPERPIKU' NUKA'KA,estoy listo. (preparado),insek'diperpiku' nuka'ka,True
P00219,Gané.,KANA'TULEK,gané.,kana'tulek,False
P00220,Eso ayuda.,NANA KATU'PATULLI,eso ayuda.,nana katu'patulli,False
P00221,Duele.,IKERLLI,duele.,ikerlli,False
P00222,Funciona.,SAKA'TULLI.,funciona.,saka'tulli.,False
P00223,Es Tom.,TOM NUKA'A,es tom.,tom nuka'a,False
P00224,Es divertido.,WA'DANPINTEK,es divertido.,wa'danpintek,False
P00225,Es suyo.,KENMAKIN NUKA'A,es suyo.,kenmakin nuka'a,False
P00226,Es nuevo.,NALU' NUKA'A,es nuevo.,nalu' nuka'a,False
P00227,Es extraño.,NERPI'LA NUKA'A,es extraño.,nerpi'la nuka'a,True
P00228,Es viejo.,NAPI'DA' NUKA'A,es viejo.,napi'da' nuka'a,True
P00229,Es rojo.,PIPERSU' NUKA'A,es rojo.,pipersu' nuka'a,False
P00230,Es triste.,WE'INU NUKA'A,es triste.,we'inu nuka'a,False
P00231,Prohibido pasar.,KU'LA NAKUI'NCHU,prohibido pasar.,ku'la nakui'nchu,False
P00232,No entrar.,KU'LA DAI'NCHU,no entrar.,ku'la dai'nchu,False
P00233,Déjalo.,TAI'TULER',déjalo.,tai'tuler',False
P00234,Déjame.,TAI'TULA'U,déjame.,tai'tula'u,False
P00235,Déjanos.,TAI'TULA'UDEK,déjanos.,tai'tula'udek,False
P00236,Vamos.,PA'A,vamos.,pa'a,False
P00237,Cuidado.,LLI'KER'LLIA',cuidado.,lli'ker'llia',False
P00238,Cásate conmigo.,SADAKER' KUALEK',cásate conmigo.,sadaker' kualek',False
P00239,¿Puedo ir?,¿YEN'NITULEK PA'AK?,¿puedo ir?,¿yen'nitulek pa'ak?,False
P00240,Ella vino.,NANA UK'LLI,ella vino.,nana uk'lli,True
P00241,Ella murió.,NANA CHIMIÑI,ella murió.,nana chimiñi,False
P00242,Ella corre.,NANA TEKA'LLI,ella corre.,nana teka'lli,False
P00243,Siéntate.,DU'KER',siéntate.,du'ker',True
P00244,Mes. ,DUKER,mes.,duker,True
P00245,Luna,DUKER,luna,duker,True
P00246,Siéntate aquí.,DU'KER' ASEK,siéntate aquí.,du'ker' asek,False
P00247,Prepárate.,INSEK'DIPER'KER',prepárate.,insek'diper'ker',False
P00248,Un momento.,WA'TENKER',un momento.,wa'tenker',True
P00249,Parate,WANERKER',parate,wanerker',False
P00250,¡De pie!,¡WANERKER'!,¡de pie!,¡wanerker'!,False
P00251,¡Genial!,¡U'CHIMU!,¡genial!,¡u'chimu!,False
P00252,Ellos ganaron.,NAWA' KANA'TULLINA',ellos ganaron.,nawa' kana'tullina',False
P00253,Tom vino.,TOM UK'LLI,tom vino.,tom uk'lli,False
P00254,Dia.,UKLLI,dia.,uklli,False
P00255,Tom mintió.,TOM TUMU'LLI,tom mintió.,tom tumu'lli,False
P00256,Tomás miente.,TOMAS TUMU'PALLI,tomás miente.,tomas tumu'palli,False
P00257,Tom perdió.,TOM KANA'CHI'ÑI,tom perdió.,tom kana'chi'ñi,False
P00258,Tom pagó.,TOM PANWILEK'TULLI,tom pagó.,tom panwilek'tulli,False
P00259,Tom renunció.,TOM YUNSU'LLI,tom renunció.,tom yunsu'lli,False
P00260,Tom nadó.,TOM IDUÑI,tom nadó.,tom iduñi,False
P00261,Tom lloró.,TOM WELLIEK'LLI,tom lloró.,tom welliek'lli,False
P00262,Demasiado tarde.,NAKUSUIN'CHI ERWA',demasiado tarde.,nakusuin'chi erwa',False
P00263,Prueben esto. (saborear),LATA'KU' ASU',prueben esto. (saborear),lata'ku' asu',True
P00264,Prueba esto. (saborear),LATA'KER' ASU',prueba esto. (saborear),lata'ker' asu',True
P00265,Usa esto.,PATA'KER' ASU',usa esto.,pata'ker' asu',False
P00266,Mírame.,LLI'U,mírame.,lli'u,True
P00267,Vigílame.,LUWUK'TU'U,vigílame.,luwuk'tu'u,False
P00268,Obsérvame.,LLI'U,obsérvame.,lli'u,True
P00269,Obsérvalos.,LLI'DEK'KU',obsérvalos.,lli'dek'ku',False
P00270,Iremos.,PA'ATERWA',iremos.,pa'aterwa',False
P00271,Estamos bien.,MU'PALLIDEK',estamos bien.,mu'pallidek',False
P00272,¿Para qué?,¿MA'KI'NA?,¿para qué?,¿ma'ki'na?,False
P00273,¡Qué divertido!,¡EMPU'NI WA'DANPINTEK'IPA'!,¡qué divertido!,¡empu'ni wa'danpintek'ipa'!,False
P00274,¿Quién vino?,¿DEN UK'LLI?,¿quién vino?,¿den uk'lli?,False
P00275,¿Quién murió?,¿DEN CHIMIÑI?,¿quién murió?,¿den chimiñi?,False
P00276,¿Quién nadó?,¿DEN IDUÑI?,¿quién nadó?,¿den iduñi?,False
P00277,Escríbeme.,LLINSER'CHU'U,escríbeme.,llinser'chu'u,False
P00278,Tú primero.,KENMAMENTU,tú primero.,kenmamentu,True
P00279,Usted primero.,KENMAMENTU,usted primero.,kenmamentu,True
P00280,Apunta. ¡Fuego!,TAÑITER' . ¡PEN!,apunta. ¡fuego!,tañiter' . ¡pen!,False
P00281,Respóndeme.,NA'PI'U,respóndeme.,na'pi'u,False
P00282,Respóndanme.,NA'PIU'KU,respóndanme.,na'piu'ku,False
P00283,Jesús.,KISHU,jesús.,kishu,False
P00284,Cálmate.,TA'TULER',cálmate.,ta'tuler',True
P00285,Tranquilízate.,TA'TULER',tranquilízate.,ta'tuler',True
P00286,Captúralo.,PILLI'TER',captúralo.,pilli'ter',True
P00287,Captúrenlo.,PILLI'TUKU',captúrenlo.,pilli'tuku',True
P00288,Atrápenlo.,PILLI'TUKU',atrápenlo.,pilli'tuku',True
P00289,Atrápalo.,PILLI'TER',atrápalo.,pilli'ter',True
P00290,Vuelve.,ADEN'CHER',vuelve.,aden'cher',False
P00291,Ven.,WENCHER',ven.,wencher',True
P00292,Venid aquí.,WENCHER' ASEK,venid aquí.,wencher' asek,True
P00293,Vuelve pronto.,ADEN'CHER' WIUK'SU',vuelve pronto.,aden'cher' wiuk'su',False
P00294,Hazlo ahora.,NU'TER' IPA'LA,hazlo ahora.,nu'ter' ipa'la,False
P00295,No preguntes.,YALEK'TUTA,no preguntes.,yalek'tuta,False
P00296,No llores.,YAWELLEKTA,no llores.,yawellekta,False
P00297,¡No llores!,¡YAWELLEKTA!,¡no llores!,¡yawellekta!,False
P00298,No lloren.,YAWELLEKTAMA',no lloren.,yawellektama',False
P00299,No mientas.,YATUMU'TA,no mientas.,yatumu'ta,False
P00300,¡Fantástico!,¡U'CHIMUINCHI!,¡fantástico!,¡u'chimuinchi!,False
P00301,¡Es estupendo!,¡U'CHIMUINCHI NUKA'A!,¡es estupendo!,¡u'chimuinchi nuka'a!,False
P00302,Sígueme.,TUPI'TU'U,sígueme.,tupi'tu'u,False
P00303,Síguenos.,TUPI'TU'UDEK,síguenos.,tupi'tu'udek,False
P00304,Olvídame.,PINANER'U,olvídame.,pinaner'u,False
P00305,Olvídenme.,PINANER'U'KU,olvídenme.,pinaner'u'ku,False
P00306,Preparense.,INSEK'DIPERKU',preparense.,insek'diperku',False
P00307,Agarra esto.,PILLITER' ASU',agarra esto.,pilliter' asu',True
P00308,Sonrió.,YAMERLADALLI,sonrió.,yamerladalli,False
P00309,Es rico. (sabor),IYALLI,es rico. (sabor),iyalli,True
P00310,Acá estoy.,ASEK' ÑAPALEK,acá estoy.,asek' ñapalek,True
P00311,Sostén esto.,PILLITER' ASU',sostén esto.,pilliter' asu',True
P00312,¡Qué horror!,¡IMANAN EMPU'NIPA'!,¡qué horror!,¡imanan empu'nipa'!,False
P00313,¡Qué raro!,¡NERPI'LA EMPU'NIPA'!,¡qué raro!,¡nerpi'la empu'nipa'!,False
P00314,Estoy ocupada.,YEN'NICHI'NEK,estoy ocupada.,yen'nichi'nek,True
P00315,Estoy ocupado.,YEN'NICHI'NEK,estoy ocupado.,yen'nichi'nek,True
P00316,Soy bueno.,MUKANKANKU,soy bueno.,mukankanku,False
P00317,Puedo volar.,YEN'NITULEK PEN'NU'AK',puedo volar.,yen'nitulek pen'nu'ak',False
P00318,Puedo correr.,YEN'NITULEK TEKA'AK',puedo correr.,yen'nitulek teka'ak',False
P00319,Sé correr.,ÑINCHITAPALEK TEKA'AK',sé correr.,ñinchitapalek teka'ak',False
P00320,Quedé inconsciente.,LLIYA'LEK INLLI'INUI'SU',quedé inconsciente.,lliya'lek inlli'inui'su',False
P00321,Me dieron.,ENKA'LLINER'KU,me dieron.,enka'lliner'ku,True
P00322,Me alcanzaron.,ENKA'LLINER'KU,me alcanzaron.,enka'lliner'ku,True
P00323,Lo odio.,LUYULEK',lo odio.,luyulek',False
P00324,Eso espero.,NANA WA'TEN'NEK',eso espero.,nana wa'ten'nek',False
P00325,Lo sabía.,ÑINCHITUWINEK',lo sabía.,ñinchituwinek',False
P00326,Me reí.,YAMERLEK',me reí.,yamerlek',True
P00327,Me gusta.,IYATULEK,me gusta.,iyatulek,False
P00328,¡Lo adoro!,¡TANTE'ÑEK!,¡lo adoro!,¡tante'ñek!,False
P00329,Lo necesito.,LUANTULEK,lo necesito.,luantulek,False
P00330,Le vi.,LLI'LEK,le vi.,lli'lek,True
P00331,Te vi.,LLI'LLIEN,te vi.,lli'llien,False
P00332,Me tropecé.,PI'SER'KATULEK,me tropecé.,pi'ser'katulek,False
P00333,Cantaré.,TULUNER'ECHEK,cantaré.,tuluner'echek,False
P00334,Estoy solo.,KUASHASA' ÑAPALEK,estoy solo.,kuashasa' ñapalek,False
P00335,Estoy enojado.,YUSU' ÑAPALEK,estoy enojado.,yusu' ñapalek,True
P00336,Estoy despierto.,NANPISU' ÑAPALEK,estoy despierto.,nanpisu' ñapalek,False
