ESP,SHIWILU
voy a dormir,wichi'echek
lo intenté,tekle'rilek'
iré,pa'echek
soy tom,nuka'ku tom
estoy gordo,weipensu' ñapalek
soy gorda,weilunsu' nuka'ka
estoy afectado,muin'su' ñapalek
soy viejo,taserpiku
soy tímido,tekua'dande'ku
estoy mojada,wiwerapalek
está bien,mupalli
soy yo,kua nuka'ka
guárdalo,sekdiperker'
yo también,kuanta'
abre,ek'ke'cher'
perfecto,mupalli
nos vemos,inlli'ter
enséñamelo,alek'u
enséñamelo,alli'u
muestrame,alli'u
páralo,a'wanerker'
páralo,tu'neker'
deténlo,tu'neker'
cógelo,maker'
macambo,maker
dimelo,itu'u
tom comió,tom weranpalli
tom corrió,tom teka'lli
tom ganó,tom kana'tulli
espérame despierto,wa'ten'u nanpisu'
despierta,nanpiker'
crudo,nanpi
vivo,nanpi
lo sabemos,ñinchitapallidek
perdimos,wer'llidek
bienvenidos,muwencha'ku'
bienvenidas,muwencha'ku'
bienvenido,muwencha'ker'
quién comió,den'ina' ka'lli
quién corría,den'ina' teka'lli
quién corrió,den'ina' teka'lli
quién ganó,den'ina' kana'tulli
corre,tek'ker'
has ganado,kana'tula
pregúntale,lek'ker'
pregúntales,lek'ker'
apártate,paker' ñilupa'
sé fuerte,nantapitek' ñiker'
sea breve,empu'ni yalunta'
sean breves,empu'ni yaluntama'
estate quieto,yalenmekta'
anímate,nanta'piker
venga,wencher'
ven a beber,uencher'
cálmate,tuna'ker'
espósale,tenpu'ker'
arregla esto,asu' tekdi'per'ker'
abajo,dawik'
túmbate,anu'ker'
piérdete,wer'ker'
piénsalo bien,musu' lli'inuter'
adelante,da'encher'
adelante,ekter
adelántante,ekte'cher'
se adelantará,ekte'chechu
se adelantarán,ekte'chechuna'
entra,da'encher'
entren,da'encha'ku'
buen trabajo,musa'ka'tuna
agárralo,pilli'ter'
diviértanse,sakek'ku'
pásala bien,musu'nakuker'
pásenla bien,musu'nakuku'
él habló,nana lunñi
él prueba,nana lata'lli
ayúdalo,katu'per'
buenas,mulusa'
qué encanto,empu'ni mushipa'
compláceme,a'sakek'u
date prisa,wiuker'
apresúrate,wiuker'
estoy viejo,taserpiku'
puedo ir,yennitulek pa'ak
lo hice,nu'tulek
fracasé,a'aper'lek'
lo olvidé,pinaner'lek'
lo entiendo,lachek'apalek
lo tengo,a'ñapalek
me niego,luwanchi'nek
renuncio,yunsu'lek'
lo vi,lli'lek
sonreí,yamerladalek'
reí,yamerlek'
me quedé,lliya'lek'
esperé,wa'ten'nek'
yo pagaré,kua panwilek'te'chek'
he vuelto,adencha'lek
soy calvo,nuwek'mutu'ku
estoy calvo,nuwek'mutu' ñapalek
estoy calmado,tuna'su' ñapalek
está calmando,latada'pilalli
estoy tranquilo,u'chimuñapalek
he terminado,a'ta'wantulek
soy justo,mukankanku'
soy bueno,u'chimuku
estoy perfectamente,u'chimuinchi ñapalek
soy libre,inapiku
estoy lleno,mer'su' ñapalek
estoy llena,mer'su' ñapalek
estoy aquí,asek' ñapalek
estoy herido,chacha'lek ñapalek
llego tarde,erwa' ektu'lek
soy vago,perchek' nuka'ka
estoy perdida,wer'su' ñapalek
soy malo,mukankainpu' nuka'ka
soy malo,mui'nek
soy pobre,kulliker'wi'nek
soy rica,wapu' kulliker'wanek
soy rico,wapu' kulliker'wanek
estoy enferma,kaluwi'su' ñapalek
soy delgado,shamu'pensu' nuka'ka
soy delgada,shamu'lunsu' nuka'ka
estoy limpio,pekuipi ñapalek
estoy calientito,ukapisha ñapalek
estoy caliente,ukapisu' ñapalek
estoy débil,mudinui'su' ñapalek
soy listo,iñer' ñinchitapalek
estoy listo,insek'diperpiku' nuka'ka
gané,kana'tulek
eso ayuda,nana katu'patulli
duele,ikerlli
funciona,saka'tulli
es tom,tom nuka'a
es divertido,wa'danpintek
es suyo,kenmakin nuka'a
es nuevo,nalu' nuka'a
es extraño,nerpi'la nuka'a
es viejo,napi'da' nuka'a
es rojo,pipersu' nuka'a
es triste,we'inu nuka'a
prohibido pasar,ku'la nakui'nchu
no entrar,ku'la dai'nchu
déjalo,tai'tuler'
déjame,tai'tula'u
déjanos,tai'tula'udek
vamos,pa'a
cuidado,lli'ker'llia'
cásate conmigo,sadaker' kualek'
puedo ir,yen'nitulek pa'ak
ella vino,nana uk'lli
ella murió,nana chimiñi
ella corre,nana teka'lli
siéntate,du'ker'
mes,duker
luna,duker
siéntate aquí,du'ker' asek
prepárate,insek'diper'ker'
un momento,wa'tenker'
parate,wanerker'
de pie,wanerker'
genial,u'chimu
ellos ganaron,nawa' kana'tullina'
tom vino,tom uk'lli
dia,uklli
tom mintió,tom tumu'lli
tomás miente,tomas tumu'palli
tom perdió,tom kana'chi'ñi
tom pagó,tom panwilek'tulli
tom renunció,tom yunsu'lli
tom nadó,tom iduñi
tom lloró,tom welliek'lli
demasiado tarde,nakusuin'chi erwa'
prueben esto,lata'ku' asu'
prueba esto,lata'ker' asu'
usa esto,pata'ker' asu'
mírame,lli'u
vigílame,luwuk'tu'u
obsérvame,lli'u
obsérvalos,lli'dek'ku'
iremos,pa'aterwa'
estamos bien,mu'pallidek'
para qué,ma'ki'na
qué divertido,empu'ni wa'danpintek'ipa'
quién vino,den uk'lli
quién murió,den chimiñi
quién nadó,den iduñi
escríbeme,llinser'chu'u
tú primero,kenmamentu
usted primero,kenmamentu
apunta fuego,tañiter'  pen
respóndeme,na'pi'u
respóndanme,na'piu'ku
jesús,kishu
cálmate,ta'tuler'
tranquilízate,ta'tuler'
captúralo,pilli'ter'
captúrenlo,pilli'tuku'
atrápenlo,pilli'tuku'
atrápalo,pilli'ter'
vuelve,aden'cher'
ven,wencher'
venid aquí,wencher' asek
vuelve pronto,aden'cher' wiuk'su'
hazlo ahora,nu'ter' ipa'la
no preguntes,yalek'tuta
no llores,yawellekta
no lloren,yawellektama'
no mientas,yatumu'ta
fantástico,u'chimuinchi
es estupendo,u'chimuinchi nuka'a
sígueme,tupi'tu'u
síguenos,tupi'tu'udek
olvídame,pinaner'u
olvídenme,pinaner'u'ku
preparense,insek'diperku'
agarra esto,pilliter' asu'
sonrió,yamerladalli
es rico,iyalli
acá estoy,asek' ñapalek
sostén esto,pilliter' asu'
qué horror,imanan empu'nipa'
qué raro,nerpi'la empu'nipa'
estoy ocupada,yen'nichi'nek
estoy ocupado,yen'nichi'nek
soy bueno,mukankanku
puedo volar,yen'nitulek pen'nu'ak'
puedo correr,yen'nitulek teka'ak'
sé correr,ñinchitapalek teka'ak'
quedé inconsciente,lliya'lek inlli'inui'su'
me dieron,enka'lliner'ku
me alcanzaron,enka'lliner'ku
lo odio,luyulek'
eso espero,nana wa'ten'nek'
lo sabía,ñinchituwinek'
me reí,yamerlek'
me gusta,iyatulek
lo adoro,tante'ñek
lo necesito,luantulek
le vi,lli'lek
te vi,lli'llien
me tropecé,pi'ser'katulek
cantaré,tuluner'echek
estoy solo,kuashasa' ñapalek
estoy enojado,yusu' ñapalek
estoy despierto,nanpisu' ñapalek
soy ciega,dapinantek' nuka'ka
soy ciego,dapinantek' nuka'ka
estoy quebrado,nupek'pi ñapalek
estoy loco,wa'danpintek ñapalek
estoy borracho,lupersu' ñapalek
estoy tomada,lupersu' ñapalek
soy amado,luanpi nuka'ka
soy amada,luanpi nuka'ka
soy obeso,weipensu' nuka'ka
soy obesa,weilunsu' nuka'ka
estoy listo,insek'diperpi ñapalek
lo siento,we'inu
he perdido,a'wer'lek
ólvidalo,pinaner'ker'
está tom,ñapalli tom
es grave,nu'la'lli
es malo,mukankan'inpu'
está lejos,weia'cha ñapalli
eres tú,kenma'cha'
se quemó,uker'lli
falló,aper'lli
fracasó,a'aper'lli
llovió,u'lanñi
apesta,analli
funcionó,saka'tulli
hace frío,sanek'wañi
está frío,sanek'apalli
está fresco,nalu ñapalli
está oscuro,kasiser' ñapalli
está listo,insek'diperpi ñapalli
es tarde,er'wa nuka'a
es agradable,mukankan
es agradable,iyalli
se terminó,ta'wan'tulli
se acabó,tekineklli
es verdad,tekkinchi nuka'a
guarda esto,sek'diperker' asu'
guarden esto,sek'diperku' asu'
mantente caliente,ukapisu' ñaper'
manténgase caliente,ukapisu' ñaper'
mantente abrigado,i'shiwansu' ñaper'
manténganse abrigados,i'shiwansu' ñapaku'
ahora vete,paker' ipa'la
ahora lárgate,paker' ipa'la
suéltame,apu'u
déjeme ir,ta'itula'u'ku yapanta'lek
déjame entrar,ta'itula'u yada'lek
déjeme entrar,ta'itula'u yada'lek
déjanos entrar,ta'itula'udek yada'llidek
comamos,weranwa'
veamos,lli'awa'
intentémoslo,intek'klieriwa'
escucha,lauk'ter'
aflójalo,apu'ker'
suéltala,apu'ker'
aflójala,apu'ker'
deja sitio,ta'iter' a'mercha
deja pasar,ta'iter' nakui
buen tiro,musu' dek'la
por supuesto,te'kinchi
perdona,ta'itulau
póntelo,i'shi'ker'
lee esto,luntuker' asu'
lea esto,luntuker' asu'
lean esto,luntuku' asu'
decí hola,ma'pu'sin tuker'
véase arriba,li'ker' musenkek
cogedlo,pilli'ter'
arrestadlo,pilli'ter'
prendedlo,pilli'ter'
ella anda,nana dekundulli
ella camina,nana dekundulli
anda,dekundunlli
está buena,mupalli
firme aquí,linsercher' asek
firma esto,linserker' asu'
sentate ahí,du'ker' nanek
tú mantente,llia'ker' kenma
quieto,du'la'ker'
más despacio,a'pinta' uti'la
fuera,adipi
aléjate,ñilupa'sha
quedate acá,asek lia'ker'
deténlos,nanek lia'ina'
párales,nanek lia'ina'
cuidate,inluukter'
te cuidas,inluukter'
encárgate tú,kenma lli'ker'
toma esto,ma'ta asu'
tome esto,ma'ta asu'
eso es,nana nuka'a
entonces qué,nu'pachin ma'nen
cayeron,anu'llina'
perdieron,kana'chi'ñina'
tomás condujo,tomas ekpa'lli
tom teje,tom lanteñi
tom sabe,tom ñinchitapalli
tom nada,tom idumpalli
tom juró,tom tulli
tomás votó,tomas dek'lli
tom camina,tom dekkuntulli
tom saludó,tom tulli ma'pu'sin
tomás trabaja,tomás saka'tapalli
tom irá,tom pa'echu
pruébatelo,teklerier'
espera aquí,wa'tenter' asek
aguarda aquí,wa'tenter' asek
esperen aquí,wa'tenku' asek
fallamos,aper'llidek
nos olvidamos,pinaner'llidek
conversamos,lunñidek
nosotros esperamos,kuda wa'tentulidek
después veremos,nanekla lli'aterwa'
ya veremos,ipa' lli'aterwa'
hemos ganado,kana'tullidek
qué hay,ma'nen ñapalli
quién es,den a'cha
tú maneja,kenma ekpa'ker'
tú empieza,kenma tenmiansuer'
lo intentaste,intek'lli'wina
más alto,a'pinta' musenkek
me equivoco,aper'lek a'cha
estoy equivocada,aper'suku a'cha
estás bien,mupalan'cha
estás levantado,yunsansu' ñapala
ten cuidado,li'ker'la
sé cuidadoso,li'ker'la
estate contento,ñapaker' musu'kankantusu'
sea paciente,wa'tenker' a'mercha
sé serio,yamercha
traed comida,kencher' weran
trae vino,kencher' vinu'
puedo ayudar,yennitechek katu'pa'tak
lleva esto,ekpa'ker' asu'
comprueba esto,teklerier' asu'
escoge uno,wadunker' ala'sa'
ven solo,wenller' kenmasa'
vente,wenller'
ven temprano,wenller' dasu'la
pásale,enka'ker'
pásenle,enka'ku'
ven rápido,wencher' wiuksu'
vení rápido,wencher' wiuksu'
ya párale,pilli'ter' nanek
fue tom,tom ñiwiñi
no vengas,yawencha'ta
no salten,yaindektama'
no miren,yalli'tama
no cantes,yatuluner'ta
no canten,yatulener'tama
no pares,yataitula'ta
no hables,yalunta'
no esperes,yawa'tenta
no esperen,yawa'tentutama
no esperes,yawa'tentuta
no grites,yalamapu'ta
come despacio,weranker' uti'la
comé despacio,weranker' uti'la
síguele,tupiter'
olvídenlo,pinaner'ku'
perdónenos,taitula'u'kudek
dios existe,yus nampipalli
tosió,chinku'lli
descolgó,u'nu'wañi
está arruinado,sapusu' ñapalli
él miente,nana tumu'palli
es inteligente,ñinchidinusu'nuka'a
aquí está,asek' ñapalli
aquí vamos,asek' pa'apilallidek
hey cálmate,lauk'la tuna'ker'
mantente quieto,yalenmekta
qué aburrimiento,musu' kankanchi'nek
qué bonito,embu'ni mushipa'
encantador,mupencha
lo admito,yan'katektulek
estoy aburrida,muin'su' ñapalek
soy feliz,musu' nampipalek
estoy feliz,musu' nampipalek
puedo saltar,innitulek indek'ak
sé leer,ñinchitapalek lun'ak
puedo cantar,ñinchitapalek tuluner'ak
sé nadar,ñinchitapalek idun'ak
lo dudo,latek'iñen
como aquí,mapu'sina asek'
lo encontré,kananek
me perdí,awer'lek
te detesto,luyullien
te oigo,lauk'apallien
le ayudo,katu'palek
la conozco,luwer'chapalek
lo conozco,luwer'chapalek
ahora sé,ipa'la ñinchitulek
me agradas,tanteñek
me gustó,tantenwinek
lo amo,tanteñek
te quiero,luantullien
te amo,luantullien
me encantó,luwantullien
lo extraño,lu'wanek
necesito hielo,luwantulek sanek
prometí,tuwinek
me acuerdo,lli'inutapalek
yo recuerdo,kua lli'inutapalek
grité,lamapu'lek
yo grité,kua lamapu'lek
sobreviví,chiminllinkekla nampilek
viví,nampilek
eso creo,nanalatekapalek
vomité,enmu'lek
quiero uno,ala'sa' luantulek
quiero una,ala'sa' luantulek
llegué tarde,etu'kerlek er'wa
lo haré,nu'techek
soy francés,frances nuka'ka
soy coreano,koreano nuka'ka
soy gemelo,insilanpi nuka'ka
estoy comprando,mapa'tapalek
soy torpe,ma'kimpu nuka'ka
ahí voy,nanek pa'echek
estoy comiendo,werampalek
soy codicioso,iñer' luantulek wapu'
me mudaré,yunsue'chek
estoy asustado,imanantusu' ñapalek
susto,imanan
estoy soltero,ku'aper'wi'nek
estoy flacucho,sha'mu'su' ñapalek
tengo sueño,yawichi'lek
he comido,weranek'
está muerto,chimiñi
es alto,shipen a'cha
es alto,shilun a'cha
es alto,musenkek a'cha
es gratis,pa'chi'ñin'cha
está bueno,mupallin'cha
es acá,asek a'cha
aquí,asek
está aquí,asek a'cha
es seguro,tekinchi'cha
es verdad,tekinchi'cha
es ese,nana'cha
es así,nu'su' nuka'a
es este,asu' a'cha
eso pasa,nana nakulli
es mío,kuakin nuka'a
está vivo,nanpipalli
está vacío,inantek' nuka'a
está ahí,nanek ñapalli
es blanco,dadapu nuka'a
hace viento,tanluwatapalli
jesús lloró,kishu wellek'lli
continúa,tupiter'
quédate tranquilo,musu' llia'ker'
guarden silencio,ta'tu'la'ku
mantente quieto,yalenmek'ta
manténgase quieto,yalenmek'ta
déjale irse,ta'ituler' pa'i
déjalo entrar,ta'ituler' da'encha'i
déjame salir,ta'itula'u yunsue'chek
déjame ver,ta'itula'u lli'echek
a ver,enta'i'na
charlemos,lun'awa'
besémonos,inmusha'wa'
juguemos,indekllitawa'
renunciemos,yunsu'wa'
cantemos,tuluner'awa'
nademos,idunwa'
conversemos,lun'awa'
votemos,dek'awa'
caminemos,dek'kuntawa'
trabajemos,saka'tawa'
levántalo,usanker'
mira allí,lli'ker' nanek
mamá lloró,awa wellek'lli
sin comentarios,ma'nen' ñi'ñi lun'ak'
reemplázalo,a'pawilek'ker'
di papa,tuker' tata
sonría,yamerladaker'
es vieja,napi'da' nuka'a
es guapa,mulunsha nuka'a
canta,tuluner'ker'
huele esto,lanerker' asu'
huelan esto,lanerku' asu'
empieza aquí,tenmian'suer' asu'
mantente alerta,ñapaker' insek'dipersu'
mantente despierto,ñapaker' nanpiladasu'
mantente cerca,ñapaker' kawik
quédate ahí,nanek llia'ker'
más rápido,a'pinta' wiuksu'
detente ahí,llia'ker' nanek
estudia mucho,ninchiter' wapu'
háblame,luntuu
habla conmigo,lunker' kualek
buen chico,wila mukankan
eso duele,nana ikerlli
eso funciona,nana saka'tapalli
engañaron,tumu'llina'
hicieron trampas,allisek nu'tapallina'
se quedaron,llia'llina'
se mantuvieron,llia'llina'
lo intentaron,indek'llina'
ellos votaron,nawa dekllina'
votaron,dekllina'
hemos llegado,ektu'lekwa'
éste es,asu' nuka'a
esto funciona,asu' saka'tapalli
esto trabaja,asu' saka'tapalli
tomás eructó,chuma ek'lli
tom llamó,tom peklu'tulli
tomás bailó,chuma lansa'lli
tom baila,tom lansa'palli
tom bebe,tom uwapalli
tom toma,tom uwapalli
tomás conduce,chuma ekpa'palli
tom fracasó,tom aper'lli
tom peleó,tom idenmalli
tom luchó,tom idenmalli
tom ayudó,tom katu'pa'tulli
tom saltó,tom indek'lli
tom miró,tom lli'tulli
tom asintió,tom tulli ajá
tom obedeció,tom latek'tulli
tomás llamó,chuma peklu'tulli
tomás llamó soplando hoja,chuma peklu'tulli penmek'tan
tom rezó,tom malla'lli
tom sonrió,tom yamerladalli
tom ronca,tom tukulu'palli
tom charló,tom lunñi
tomás esperó,chuma wa'tentulli
tom caminó,tom dek'kuntulli
tom trabajó,tom saka'tulli
tom bostezó,tom lauki'lli
tom gritó,tom lamapu'lli
tom llorará,tom wellek'echu
tom morirá,tom chiminchu
tom pagará,tom panwilek'techu
enciéndelo,a'tender'
fue divertido,mulli'ncha'
era divertido,muwiñin
mira esto,lli'ker' asu'
miren esto,lli'ku' asu'
somos hombres,enmu'pinen nuka'kudek
podemos ganar,yennitulekwa' kana'tak
nos divertimos,sakeklekwa'
nos reímos,yamerlek'wa'
nos gusta,iya'tulek'wa'
lo hicimos,nu'tulek'wa'
debemos irnos,pa'a'kawa'su' ñapalli
lo queremos,tantenlek'wa'
fracasaremos,teka'per'aterwa'
ayudaremos,katu'pa'taterwa'
nosotros ayudaremos,kuda katu'pa'techidek
cantaremos,tuluner'aterwa'
esperaremos,wa'tentaterwa'
trabajaremos,saka'taterwa'
estamos ocupados,a'ñapallidek dudimpu' nu'ta'kawa'su'
terminamos,a'ta'wantullidek
estamos acá,asek ñapallidek
estamos perdidos,wer'su' ñapallidek
somos pobres,kulliker'wi'ñidek
estamos hartos,perlli'llidek
somos débiles,saputek nuka'kudek
qué pasa,mapu'la
dónde estoy,enñupa'cha ñapalek
quién gritó,den lamapu'lli
llamaste,peklu'tula
tú decides,kenma techu
puedes irte,yennitula pa'a'masu'
pueden irse,yennitulama' pa'a'mama'su'
fallaste,aper'la
ya verás,ipa' lli'echu
eres mala,mukankaninpu' nuka'ma
estás vieja,tasellun ñapala
estás triste,we'inutusu' ñapala
hemos terminado,a'ta'wantulekwa'
estás loco,wa'danpindek ñapala
estás enfadado,yusu' ñapala
eres nuevo,naektu'kellia
como quieras,kenma luwanta'masu'pu'su'
sé discreto,luntek yañita
estate preparado,insek'dipersu' ñapaker'
sé puntual,yatek'da'ta
sé razonable,inlli'inuter' musu'
sé específico,cheksu' ñiker'
especifica más,wintu'u a'pinta
sé tolerante,yan'katek'ter'
estate vigilante,ñaper' lu'uk'tan
estate atento,ñaper' lu'uk'tan
puedo comenzar,yennitulek tenmiansu'ak
podemos hablar,yennitulekwa' lun'ak
podemos conversar,yennitulekwa' lun'ak
puedes ver,yennitulan'cha lli'ta'mak
acercate,kawiter'
cocíname,akusuitu'u
cocíname,kaluitu'u
cuenta conmigo,kua katu'pekchen
ganaste,kana'tula
hazlo ahorita,nu'ter' ipia'la
juegas boliche,indekllitapala bulichi
no discutan,yainyututama'
no copien,nana pu'su' yanu'tutama'
no dispares,yailantuta
no chilles,yalamapu'ta
no sonrías,yayamerladata
no sonrían,yayamerladatama'
no fumes,yau'wa'tuta
termine esto,a'ta'wanter asu'
termina esto,a'ta'wanter asu'
terminen esto,a'ta'wantuku' asu'
vístete,ishinwer'
ponte serio,ñiker' musu
ha venido,ukllin'cha
tome asiento,du'ker'
él envejeció,nana taserpitulli
ha venido,wek'lli
tiene vino,vinu' a'ñapalli
es feliz,musu' nuka'a
le gustó,iyatulli
está fingiendo,intek apalli
está fingiendo comer,intek weranpalli
aquí estamos,asek ñapallidek
qué curioso,empu'ni ñinchidinusu'ta'
qué raro,empu'ni lli'inek
soy cocinero,kalu'tutek' nuka'ka
estoy jodiendo,a'perchapalek
estoy leseando,si'lentapalek
lo compré,mapa'lek
puedo hacerlo,yennitulek nu'tak
puedo compartir,yennitulek a'nañiak
confesé,lunnek
no como,ka'api'nek
como pan,ka'apalek tanta'
como fruta,ka'apalek wayupi
tenía frío,sanek'wantuwinek
te encontré,kaper'llien
me enfadé,yulek
traigo noticias,kera'pilellek la'la'lusa'
tengo tiempo,manennu'tapi'nek
tengo vino,vinu' a'ñapalek
te oí,lauk'llien
los conozco,luwer'chapadeklek
me gustan,iyatudeklek
vivo aquí,asek nanpipalek
la amaba,tantenwinek
lo extrañaba,lu'wanwinek
debo esconderme,insek'kita'kasu'ñapalli
necesito ayuda,luwantulek katu'pa'
los necesito,luwantudek'lek
necesito esto,luwantulek asu'
necesito tiempo,insek'dipersu' ñapi'nek
leo labios,ñinchitapalek ma'tapallinpa'
vendo autos,uku'latapalek wa'nateka'asu'
huelo gas,lanerapalek gas
quiero más,a'pinta' luwantulek
quiero eso,nana luwantulek
quiero este,asu' luwantulek
estaba despierto,ñapawinek nanpiladasu'
estaba mareado,ñapawinek lupersu'
me despidieron,usu'lliner'ku
estaba desnudo,inanpilatek ñapawinek
estaba cansado,saka'tusu' ñapawinek
estaba equivocado,pektunsu' ñapawinek
esperaré,wa'tentechek
trabajo aquí,saka'tapallek asek
lo probaré,lata'echek
soy finlandés,finlandis nuka'ka
soy turco,turku nuka'ka
soy turca,turka nuka'ka
soy panadero,tanta' nu'tutek nuka'ka
soy mujer,ku'aper nuka'ka
tengo curiosidad,ñinchidinupalek
estoy bailando,lansa'palek
estoy comprometida,ñapalek ala'sa' enmu'pinenlek
estoy emocionado,ñapalek sakek'su'
estoy ayunando,weranpi'nek
estoy saludable,ñapalek mudinusu'
me voy,pa'echek
estoy casado,ñapalek sadasu'
soy casado,sadasu' nuka'ka
soy casada,sudasu' nuka'ka
estoy nervioso,amercha tekuasu' ñapalek
soy neutral,ñidenkinpu' nuka'ka
soy paciente,wa'tentutek nuka'ka
estoy leyendo,lunpalek
estoy descansando,neriapalek
soy egoísta,kuakeksa' lli'inupalek
estoy atrapado,ñapalek pilli'pi
estoy esperando,wa'tentapalek
ignoralos,luwerchinpu'deker
para llevar,ekpa'ak
está ventoso,nakusu' tanluwatulli
es suyo,kenmakin'cha
es todo,iñer'a'cha
pasó,nakulli
eso sucedió,nana nakulli
yo invito,kua peklu'tulek
me salvó,katu'palun
estuvo chevere,ucha'paya ñapawiñi
fue fácil,saka'dekinpu' ñiwiñi
fue real,ñiwiñi tekinchi
es lunes,lunes nuka'a
todo bien,iñer musu'
hace fresco,tanluwatapalli
está nublado,pulunker' wanta'palli
es inútil,ma'kinpu' nuka'a
sigue intentando,intekleriaper'ila
déjame ayudarte,taitula'u katu'pe'chen
házmelo saber,a'ñinchitu'u
déjame vivir,taitula'u nanpiak
empecemos,tenmiansu'wa'
comencemos,tenmiansu'wa
bailemos,lansa'wa'
hagámoslo,nu'tawa'
entremos,da'awa'
vayámonos,pa'awa'
míralo,lli'ker'
muchas gracias,yuspeinet'echun
memorízalo,sekdiperker' mutu'penkek
nadie murió,ñiden chimii'ñi
nadie vino,ñiden u'i'ñi
nadie mintió,ñiden tumui'ñi
ahora ayúdame,ipa'la katupa'u
ahora resiste,ipa'la yan'katekter'
ahora sigue,ipa'la tupiter'
ahora continúa,ipa'la tupiter'
ahora prosigue,ipa'la tupiter'
ahora callate,ipa'la ta'tuler'
bájalo,u'nu'wanger'
ponte esto,i'shiker' asu'
póngase esto,i'shiker' asu'
libérale,apu'ker'
recuérdalo,li'inuter'
mándalo dentro,aku'ker' kinekla
mándalo adentro,aku'ker' kinekla
mándenlo adentro,aku'ku' kinekla
nos vamos,pa'ater'
debería ir,pa'echek'ata'
muéstrame cómo,a'li'u ma'pu'su'
dejad sitio,ta'ituku' du'ak
quieto ahí,yalenmekta nanek
quédate quieto,lia'ker' yalenmekta
alto ladrón,wanerker' apechutek
descansad,neriker'
actúa,nu'ter'
eso ayudó,nana katu'pa'tulli
está mojado,wiwersu' ñapalli
allá está,nanek ñapalli
se quemaron,uker'llina'
llamaron,peklu'tullina'
bailaron,lansa'llina'
lo hicieron,nu'tullina'
lo lograron,nu'tullina'
se abrazaron,inwiperi'llina'
se besaron,inmusha'llina'
obedecieron,latektullina'
sonrieron,yamerladallina'
esperaron,wa'tentullina'
caminaron,dek'kuntullina'
ellos caminaron,nawa dek'kuntillina'
pasearon,da'llina'
ellos gritaron,nawa lamapu'llina'
esto apesta,asu' analli
tom llegó,tom ektu'lli
tom cambió,tom a'pawillek'lli
tom varió,tom a'pawillek'lli
tomás aplaudió,tomas inllipu'ite'lalli
tom decidió,tom waduñi
tom escapó,tom chi'ye'klli
tom espiró,tom deklli nerideknen
tom gruñó,tom mermiñi
tom inhaló,tom lanerlli
tom escucha,tom lauktapalli
tom estornudó,tom a'shulli
tom enseña,tom a'lektapalli
tom ayudará,tom katu'pa'techu
pruébate este,lataker' asu'
apágalo,a'tashunker'
esperame,wa'ten'u
espéranos,wa'ten'u'kudek
despertalo,a'nambiker'
camina lentamente,dekunder' uti'la
estaba equivocada,ñapawinek pektunsu'
hacía frío,sanekwanwiñi
estuvo bueno,musu'ñapawiñi
estamos aquí,asek ñapallidek
comimos huevos,ka'llidek kadu'
podemos ayudar,yinnitullidek katu'pa'tak
podemos hablar,yinnitullidek lunnak
podemos esperar,yinnitullidek wa'tentak
nos perdimos,wer'llidek
te queremos,tandenñiden
te amamos,tandenñiden
te extrañamos,lu'wanñiden
te necesitamos,luwantulliden
nos recordamos,lli'inutapallidek
sobrevivimos,chiminllinkekla nampipalekwa'
nosotros conduciremos,kuda ekpekchidek
nosotros compartiremos,kuda a'nañiechidek
compartiremos,a'nañiechidek
