pair_id,ESP,SHIWILU
P00054,Cosechamos yuca por la mañana.,UKA'LLIDEK KER' DASU'LA
P00055,Coseché yuca por la mañana,UKA'LLEK KER' DASU'LA
P00056,Mi tía hace chicha punta.,ASHATU'SHAUK NU'TULLI UKLUPIDEK
P00057,La luna está nueva esta noche.,DUKER WAWALADATULLI
P00058,No me gusta escuchar mucho ruido.,YA LAU'I'NEK ILLINASU' EMPU'NINCHI
P00059,Trajeron sal del pueblo.,KERLLI'NA DAMULA ÑINALUKLAN
P00060,Mi abuelo se fue a pescar.,PAPINKU'UK PA'LLI YA PUR'AN
P00061,Aquí viven tres familias.,ASEK NANPIPAPILLINA' KALA PATUNLUSA'
P00062,¿Has visto a mi hermano?,¿LLI'LAN'CHA YALLI'SHAUK?
P00063,Cantan para llamar la lluvia.,TULUNER'LLINA U'LAN YAPEKLUN'NA'
P00064,Los monos negros están en la cima del arbol.,ETCHU'LUSA ÑAPALLINA' NALAMULUK
P00065,Hoy no hay escuela.,IPA'LA ÑI'ÑI ESCUELA
P00066,La tierra está mojada.,LUPA' WIWERAPALLI
P00067,Ellos están construyendo una casa.,NAWA' NU'TAPALLINA ALA'SA' PIDEK
P00068,Me inqué con una espina.,DA'TU'TULEK ALA'SA' LAWANLEK
P00069,Esta palabra es difícil.,ASU' LA'LA' SAKA'DEK' NUKA'A
P00070,El curandero conoce los remedios.,LULENTUTEK LUWERCHAPALLI ILULENNALUSA'
P00071,Ella pinta con achiote.,NANA LLINSERCHAPALLI LUNKWAPILEK
P00072,Todos trajeron comida.,IÑER' KERLINA' WUERAN 
P00073,El espíritu del agua es fuerte.,DEKMUDA' NANTAPITEK NUKA'A
P00074,Quiero escuchar cuando hablas.,YALAULEK' LUN'A'SIN
P00075,El niño está enfermo.,WILA KALUWI'PALLI 
P00076,¿Cómo se dice eso en tu lengua?,"MA'PU'SI'NA PEKLUKEK ""NANA"" LA'LA'PENKEK?"
P00077,La comunidad se reúne hoy.,ÑINALU' INDIUNTUNCHU IPA'LA
P00078,El tambor suena lejos.,TUNTUN ILLANPALLI WEY
P00079,Vamos a sembrar maíz.,ENLLU TRA'A CHITER'
P00080,La canoa está rota.,NUN NUCHINKATUSU' ÑAPALLI
P00081,Trae la medicina natural.,KENCHER' ILULENNA ÑICHINTA'
P00082,Los pájaros vuelan juntos.,SHUNPULALUSA' PENU'LLINA' MUMU'SU'
P00083,¿Tienes hermano?,¿IINWANPALA? | ¿I INWANPALA? 
P00084,Este camino es largo.,ASU DE'KUN SHIN NUKA'A
P00085,Bebí agua del manantial.,ULEK DEK' LUPAKINEKLALA
P00086,Hoy buen día.,IPA'LA MULALALLI
P00087,Hoy es un buen día.,IPA'LA NUKA'A ALASA MULALALLI
P00088,El abuelo nos enseñó a leer libro.,PAPINKU A'ALEK'LLIENMU' KER'KA' LUNTAK
P00089,¿Qué significa esta palabra?,¿MATULEKI'NA' ASU' LA'LA'KEK?
P00090,Me gustaría aprender más.,YA ÑINCHICHINA'KA A'PINTA'
P00091,Las estrellas brillan mucho.,TANDULALUSA' UKLALA'TULLINA' NAKUSU'
P00092,Las estrellas brillan,TANDULALUSA' UKLALA'TULLINA'
P00093,Cuidado con la serpiente.,LLI'KER'LA' DAWANLEK'
P00094,Comimos contigo al anochecer.,WERANEK KENMALEK KASISER'APILASIK
P00095,Los niños escuchan atentos.,WILALUSA' LAUK' LLINA' MUSU'
P00096,"¿Puedes repetir eso, por favor?",TUNUNDA' NANSIN ASU' YUSMALEK
P00097,Aquí no se balea.,ASEK ILANCHI'NEK'
P00098,Mi abuela prepara las medicinas.,AMIUK NU'TAPALLI ILULENNALUSA'
P00099,El río está crecido.,KUPINDEKSHADEK KUPIDEK'APALLI
P00100,Esa palabra es resonante .,NANA LA'LA' ILLINDEK' NUKA'A
P00101,El bosque habla en silencio.,TANANLU' LUMPALLI TA'TU'LA'
P00102,Voy a escribir tu historia.,LIINSERECHECHEK NANPIA'MASU'
P00103,Mi lengua vive en mi memoria.,LA'LA'UK NANPIPALLI MUTU'UKEK
P00104,Enseñemos a cuidar las plantas.,ALEKTAWA' LUUK'TER'KEK TRA'LUSA'
P00105,¿Quieres contarme tu historia?,¿YA WINTULUN'CHA NANPIA'MASU'?
P00106,Vamos a cantar todos.,IÑER' KENMU'WA' TULUNER'AWA'
P00107,el niño abre el cuaderno.,NANA' WILA EK'KER'CHULLI KER'KA'
P00108,ellas abren el cuaderno.,NAWA' EK'KER'CHULLINA KER'KA'
P00109,ellas no abren el cuaderno.,NAWA' EK'KER'CHI'ÑINA' KER'KA'
P00110,ellas no abren la puerta.,NAWA' EK'KER'CHI'ÑINA' UNKUNAN
P00111,ellos abren la ventana.,NAWA' EK'KER'CHULLINA VENTANA
P00112,la niña abre la ventana.,NANA WILA KU'APER EK'KER'CHULLI VENTANA
P00113,nosotras no abrimos la puerta.,KUDA EK'KER'CHI'ÑIDEK UNKUNAN
P00114,nosotros abrimos la puerta.,KUDA EK'KER'CHULLIDEK UNKUNAN
P00115,tú abres el cuaderno.,KENMA EK'KER'CHULA KER'KA'
P00116,tú abres la puerta.,KENMA EK'KER'CHULA UNKUNAN
P00117,ustedes abren la ventana.,KENMAMA' EK'KER'CHULAMA' VENTANA
P00118,él abre la puerta.,NANA' EK'KER'CHULLI UNKUNAN
P00119,el niño no ama la naturaleza.,NANA' WILA TANTENI'ÑI DUDIMPU'LUSA' LUPA'KLA
P00120,ella no ama a sus amigos.,NANA' TANTENI'ÑI EKKUANENLUSA'
P00121,ella ama a sus amigos.,NANA' TANTENÑI EKKUANENLUSA'
P00122,ella ama a su familia.,NANA' TANTENÑI PATUN'NENLUSA
P00123,ellas aman a su familia.,NAWA' TANTENÑINA PATUN'NENLUSA
P00124,ellas no aman a sus amigos.,NANA' TANTENI'ÑINA' EKKUANENLUSA'
P00125,ellos aman a su familia.,NAWA' TANTENÑINA' PATUN'NENLUSA
P00126,ellos no aman a su familia.,NAWA' KU'LA TANTENI'ÑINA' PATUN'NENLUSA
P00127,ellos aman la naturaleza.,NAWA' TANTENÑINA'  DUDIMPU'LUSA' LUPA'KLA
P00128,la niña no ama la naturaleza.,NANA WILA KU'APER TANTENÑI  DUDIMPU'LUSA' LUPA'KLA
P00129,los niños aman a su familia.,WILALUSA' TANTENÑINA' PATUN'NENLUSA'
P00130,nosotras no amamos a su familia.,KUDA TANTENI'ÑIDEK' PATUN'UKLUSA'
P00131,tú no amas a sus amigos.,KENMA TANTENI'NA' EKKUANENLUSA'
P00132,el niño no baila con sus amigos.,NANA WILA LANSA'IÑI EKKUANENLUSA'LEK
P00133,ella baila con alegría.,NANA LANSA'LLI SAKE'KSU'
P00134,ella baila con sus amigos.,NANA LANSA'LLI EKKUANENLUSA'LEK
P00135,ella no baila con alegría.,NANA LANSA'LLI SAKEKIN'SU'
P00136,ellas no bailan en la casa.,NAWA' LANSA'PI'ÑINA' PIDIK
P00137,ellas bailan con alegría.,NAWA' LANSA'LLINA' SAKEK'SU'
P00138,ellas no bailan en la escuela.,NAWA' LANSA'PI'ÑINA' ÑINCHITUPIDEK'KEK'
P00139,ellas no bailan con alegría.,NAWA' LANSA'PI'ÑINA' SAKEK'SU'
P00140,la niña baila con alegría.,NANA WILA KU'APER LANSA'LLI' SAKEK'SU'
P00141,la niña no baila con sus amigos.,NANA WILA KU'APER  LANSA'IÑI EKKUANENLUSA'LEK
P00142,las niñas bailan con alegría.,WILA KU'APERLUSA' LANSA'LLINA' SAKEK'SU'
P00143,las niñas no bailan con alegría.,WILA KU'APERLUSA' LANSAI'ÑINA' SAKEK'SU'
P00144,los niños no bailan con sus amigos.,WILALUSA' LANSAI'ÑINA' EKKUANENLUSA'LEK
P00145,nosotras no bailamos en la escuela.,KUDA LANSA'PI'ÑIDEK' ÑINCHITUPIDEK'KEK'
P00146,ustedes bailan en la casa.,KENMAMA' LANSA'PALAMA' PIDIK
P00147,yo bailo con alegría.,KUA LANSA'LEK' SAKEK'SU'
P00148,yo no bailo en la casa.,KUA LANSAI'NEK' PIDIK
P00149,él baila con alegría.,NANA LANSA'LLI SAKEK'SU'
P00150,él no baila con alegría.,NANA LANSAI'ÑI SAKEK'SU'
P00151,el niño baja la escalera.,NANAWILA NU'WAÑI CHINTEN'NAKLA'
P00152,ella baja la escalera.,NANA NU'WAÑI CHINTEN'NAKLA'
P00153,ella baja al río.,NANA NU'WAÑI KUPIN'DEK'SHADIK
P00154,ellas no bajan al primer piso.,NAWA' NU'WAN'IÑINA' DAWIK 
P00155,ellas bajan al río.,NAWA' NU'WAÑINA' KUPIN'DEK'SHADIK
P00156,ellos bajan al río.,NAWA' NU'WAÑINA' KUPIN'DEK'SHADIK
P00157,ellos bajan la escalera.,NAWA' NU'WAÑINA' CHINTEN'NA
P00158,la niña no baja al primer piso.,NANA WILA KU'APER NU'WAN'IÑI' DAWIK 
P00159,las niñas no bajan al primer piso.,NANA WILALUSA KU'APER NU'WAN'IÑINA' DAWIK
P00160,los niños no bajan al río.,WILALUSA NU'WAN'PI'ÑINA' KUPIN'DEK'SHADIK
P00161,los niños no bajan al primer piso.,WILALUSA NU'WAN'IÑINA' DAWIK 
P00162,los niños bajan al río.,WILALUSA NU'WAN'ÑINA' KUPIN'DEK'SHADIK
P00163,nosotras no bajamos al primer piso., KUDA NU'WAN'PI'ÑIDEK' DAWIK
P00164,nosotras bajamos la escalera.,KUDA NU'WAN'TAPALLIDEK' CHINTEN'NA
P00165,nosotros no bajamos al río.,KUDA NU'WAN'PI'ÑIDEK' KUPIN'DEK'SHADIK
P00166,tú no bajas al río.,KENMA NU'WAN'PINA KUPIN'DEK'SHADIK
P00167,tú bajas al río.,KENMA NU'WAN'PALA KUPIN'DEK'SHADIK
P00168,ustedes no bajan la escalera.,KENMAMA' NU'WAN'TAPINAMA' CHINTEN'NA
P00169,él baja al río.,NANA NU'WAN'TAPALLI KUPIN'DEK'SHADEK
P00170,él baja al primer piso.,NANA NU'WAN'TAPALLI DAWIK
P00171,él no baja al río.,NANA NU'WAN'PI'ÑI KUPIN'DEK'SHADIK
P00172,el niño camina en la escuela.,NANAWILA DEKKUNTULLI ÑINCHITUPIDEK'KEK'
P00173,el niño camina muy rápido.,NANAWILA DEKKUNTULLI NAKUSU' WIU'KSU'
P00174,ella camina muy rápido.,NANAWILA DEKKUNTULLI NAKUSU' WIU'KSU'
P00175,ellas caminan en silencio.,NAWA' DEKKUNTULLINA' TATULA'NA
P00176,ellas no caminan muy rápido.,NAWA' KU'LA DEKKUNCHIÑINA' NAKUSU WIU'KSU'
P00177,ellas caminan muy rápido.,NAWA' DEKKUNTULLINA' NAKUSU' WIU'KSU'
P00178,ellos caminan muy rápido.,NAWA' DEKKUNTULLINA' NAKUSU' WIU'KSU'
P00179,ellos caminan en la escuela.,NAWA' DEKKUNTULLINA' ÑINCHITUPIDEK'KEK'
P00180,la niña camina con su familia.,NANA WILA KU'APER DEKKUNTULLI PATUNENLEK'
P00181,la niña camina muy rápido.,NANA WILA KU'APER DEKKUNTULLI NAKUSU' WIU'KSU'
P00182,la niña camina en la escuela.,NANA WILA KU'APER DEKKUNTULLI ÑINCHITUPIDEK'KEK'
P00183,las niñas no caminan muy rápido.,WILA KU'APERLUSA  DEKKUNCHI'ÑINA' ENPUNI WIU'KSU'
P00184,los niños caminan muy rápido.,WILALUSA DEKKUNTULLINA' NAKUSU' WIU'KSU'
P00185,nosotros no caminamos en silencio.,KUDA KU'LA DEKKUNCHI'ÑIDEK TA'TULA'MUDEK
P00186,nosotros no caminamos en la escuela.,KUDA KU'LA DEKKUNCHI'ÑIDEK ÑINCHITUPIDEK'KEK'
P00187,nosotros caminamos muy rápido.,KUDA DEKKUNTULLIDEK NAKUSU' WIU'KSU'
P00188,tú caminas con su familia.,KENMA DEKKUNTULA PATUNENLEK'
P00189,tú caminas muy rápido.,KENMA DEKKUNTULA NAKUSU' WIU'KSU'
P00190,ustedes caminan con su familia.,KENMAMA' DEKKUNTULAMA PATUNENLEK'
P00191,ustedes caminan en la escuela.,KENMAMA' DEKKUNTULAMA ÑINCHITUPIDEK'KEK'
P00192,yo no camino muy rápido.,KUA DEKKUNTAPINEK ENPU'NI WIU'KSU'
P00193,yo camino muy rápido.,KUA DEKKUNTULEK ENPU'NI WIU'KSU'IPA
P00194,él no camina en silencio.,NANA DEKKUNCHIÑI TA'TULA'
P00195,él camina con su familia.,NANA DEKKUNTULLI PATUNENLEK'
P00196,él camina muy rápido.,NANA DEKKUNTULLI ENPU'NI WIU'KSU'IPA
P00197,el niño cierra el libro.,NANA WILA UNKU'LLI NANA KERKA'
P00198,ella no cierra la mochila.,NANA KU'LA UNKUI'ÑI NANA MUCHILA
P00199,ella cierra la puerta.,NANA UNKU'LLI UNKUNAN
P00200,ellas no cierran la puerta.,NAWA' KU'LA UNKUI'ÑINA UNKUNAN
P00201,ellas cierran el libro.,NAWA' KU'LA UNKUI'ÑINA NANA KERKA'
P00202,ellos no cierran la puerta.,NAWA' KU'LA UNKUI'ÑINA NANA UNKUNAN
P00203,las niñas cierran la puerta.,WILA KU'APERLUSA UNKU'LLINA NANA UNKUNAN
P00204,las niñas no cierran el libro.,WILA KU'APERLUSA KU'LA UNKUI'ÑINA NANA KERKA'
P00205,nosotras no cerramos la puerta.,KUDA KU'LA UNKUI'ÑIDEK NANA UNKUNAN
P00206,nosotros cerramos el libro.,KUDA UNKU'LLIDEK NANA KERKA'
P00207,tú cierras la mochila.,KENMA UNKU'LA NANA MUCHILA 
P00208,ustedes no cierran la mochila.,KENMAMA' KU'LA UNKUI'NAMA' NANA MUCHILA
P00209,ustedes no cierran el libro.,KENMAMA' KU'LA UNKUI'NAMA' NANA KERKA'
P00210,yo no cierro el libro.,KUA KU'LA UNKUI'NEK NANA KERKA'
P00211,él no cierra el libro.,NANA KU'LA UNKUI'ÑI NANA KERKA'
P00212,él no cierra la mochila.,NANA KU'LA UNKUI'ÑI NANA MUCHILA
P00213,ella no construye un puente.,NANA KU'LA NU'TAPI'ÑI ALA'SA' PENTUNAN
P00214,ella construye un puente.,NANA NU'TAPI'ÑI ALA'SA' PENTUNAN
P00215,ellas no construen una casa.,NAWA' KU'LA NU'TAPI'ÑINA' ALA'SA' PIDEK
P00216,ellas construyen una casa.,NAWA' NU'TAPALLINA ALA'SA' PIDEK
P00217,la niña construye una casa.,NANA WILA KU'APER NU'TULLI ALA'SA' PIDEK
P00218,la niña no construye una casa.,NANA WILA KU'APER KU'LA NU'CHIÑI ALA'SA' PIDEK
P00219,los niños construyen una torre.,WILALUSA' NU'TULLINA ALA'SA' TORRE
P00220,nosotras no construimos una casa.,KUDA KU'APERLUSA KU'LA NU'CHIÑIDEK ALA'SA' PIDEK
P00221,nosotros no construimos una torre.,KUDA KU'LA NUTAPI'ÑIDEK ALA'SA' TORRE
P00222,tú construyes una casa.,KENMA NU'TULA ALA'SA' PIDEK
P00223,tú construyes un puente.,KENMA NU'TULA ALA'SA' PENTUNAN
P00224,ustedes construyen un puente.,KENMAMA' NU'TULAMA' ALA'SA' PENTUNAN
P00225,yo construyo un puente.,KUA NU'TULEK ALA'SA' PENTUNAN
P00226,él no construye una torre.,NANA KU'LA NU'CHI'ÑI ALA'SA' TORRE
P00227,ella no corre bajo la lluvia.,NANA KU'LA TEKA'PI'ÑI U'LAN WILENKEK
P00228,ella no corre muy rápido.,NANA KU'LA TEKA'PI'ÑI ENPU'NI WIU'KSU'
P00229,ellas no corren muy rápido.,NAWA' KU'LA TEKA'PI'ÑINA NAKUSU WIU'KSU'
P00230,ellas corren muy rápido.,NAWA' TEKA'LLINA NAKUSU WIU'KSU'
P00231,ellos corren en el patio.,NAWA' TEKA'LLINA INYULATEK'KEK
P00232,la niña no corre bajo la lluvia.,NANA WILA KU'APER KU'LA TEKA'PI'ÑI U'LAN WILENKEK
P00233,las niñas no corren en el patio.,WILA KU'APERLUSA KU'LA TEKA'PI'ÑINA' INYULATEK'KEK
P00234,las niñas corren muy rápido.,WILA KU'APERLUSA TEKA'LLINA NAKUSU WIU'KSU'
P00235,las niñas no corren bajo la lluvia.,WILA KU'APERLUSA KU'LA TEKA'IÑINA U'LAN WILENKEK
P00236,las niñas corren bajo la lluvia.,WILA KU'APERLUSA TEKA'LLINA U'LAN WILENKEK
P00237,las niñas corren por las mañanas.,WILA KU'APERLUSA TEKA'LLINA DASU'LALUSA'
P00238,nosotras no corremos en el patio.,KUDA KU'APERLUSA KU'LA TEKA'PI'ÑIDEK INYULATEK'KEK
P00239,nosotros no corremos bajo la lluvia.,KUDA KU'APERLUSA KU'LA TEKA'PI'ÑIDEK U'LAN WILENKEK
P00240,tú corres por las mañanas.,KENMA TEKA'PALA' DASU'LALUSAK'
P00241,ustedes no corren muy rápido.,KENMAMA' KU'LA TEKA'PI'NAMA' ENPU'NI WIU'KSU'
P00242,yo no corro bajo la lluvia.,KUA KU'LA TEKA'PI'NEK' U'LAN WILENKEK
P00243,yo corro bajo la lluvia.,KUA TEKA'PALEK U'LAN WILENKEK
P00244,yo no corro por las mañanas.,KUA KU'LA TEKA'PI'NEK' DASU'LALUSAK'
P00245,él corre muy rápido.,NANA TEKA'LLI NAKUSU' WIU'KSU'
P00246,el niño no enseña a los niños.,NANA WILA KU'LA  ALEK'APADEKI'ÑI WILALUSA'
P00247,ella no enseña matemáticas.,NANA KU'LA A'LEKTAPI'ÑI MATEMATICA
P00248,ellas no enseñan a los niños.,NAWA' KU'LA A'LEK'API'ÑINA' WILALUSA' 
P00249,la niña enseña a los niños.,WILA KU'APER A'LEKDEK'LLI WILALUSA'
P00250,nosotras no enseñamos una escritura.,KUDA KU'LA A'LEKTAPI'ÑIDEK ALA'SA' LLINSERPI
P00251,nosotras enseñamos a contar.,KUDA A'LEK' TAPALLIDEK PICHITAK
P00252,nosotros no enseñamos una lección.,KUDA KU'LA A'LEKTAPI'ÑIDEK ALA'SA' LECCIÓN
P00253,nosotros no enseñamos a los niños.,KUDA KU'LA A'LEKTAPI'ÑIDEK  WILALUSA'
P00254,ustedes no enseñan a los niños.,KENMAMA' KU'LA A'LEK'API'NAMA' WILALUSA'
P00255,ustedes enseñan a contar.,KENMAMA' A'LEKTULAMA PICHITAK
P00256,yo enseño a escribir.,KUA A'LEKTULEK LLINSERCHAK'
P00257,él enseña a los niños.,NANA A'LEK'DEKLLI WILALUSA'
P00258,él no enseña a escribir.,NANA KU'LA A'LEKCHIÑI LLINSERCHAK
P00259,el niño no escribe su historia.,NANA WILA LINSERCHULLI NANPIA'SU'NEN
P00260,el niño escribe una carta.,NANA WILA LINSERCHULLI ALASA' LA'LA'
P00261,ellas no escriben sus nombres.,NAWA' KU'LA LLINSERCHI'ÑINA' LLILLINNENNA'
P00262,la niña no escribe su nombre.,NANA WILAKU'APER KU'LA LLINSERCHI'ÑI LLILLINNEN
P00263,los niños no escriben sus historias.,WILALUSA' KU'LA LLINSERCHI'ÑINA NANPIER'KASU'
P00264,nosotras no escribimos una carta.,KUDA KU'LA LLINSERCHI'ÑIDEK ALA'SA' KERKA'
P00265,nosotros no escribimos una carta.,KUDA KU'LA LLINSERCHI'ÑIDEK ALA'SA' KERKA'
P00266,tú escribes una historia.,KENMA LLINSERCHULA ALA'SA' NANPIER'KASU'
P00267,tú escribes su nombre.,KENMA LLINSERCHULA LLILLINNEN
P00268,yo escribo su nombre.,KUA LLINSERCHULEK LLILLINNEN
P00269,ellas escuchan la música.,NAWA' LAUKLLINA' TULUNER'
P00270,ellas no escuchan música.,NAWA' KU'LA LAUK'I'ÑINA' TULUNER'
P00271,ellos escuchan a su maestro.,NAWA' LAUK'LLINA' A'LEKTUTEKNEN
P00272,la niña no escucha música.,WILA KU'APER KU'LA LAUK'I'ÑI' TULUNER'
P00273,la niña no escucha la música.,WILA KU'APER KU'LA LAUK'I'ÑI' TULUNER'
P00274,las niñas escuchan música.,WILA KU'APERLUSA' LAUK'LLINA' TULUNER' 
P00275,los niños no escuchan música.,WILALUSA' KU'LA LAUK'I'ÑINA' TULUNER'
P00276,los niños escuchan la música.,WILALUSA' LAUK'LLINA TULUNER'
P00277,los niños no escuchan la música.,WILALUSA' KU'LA LAUK'I'ÑINA' TULUNER'
P00278,nosotras escuchamos la música.,KUDA LAUK'LLIDEK TULUNER'
P00279,nosotras no escuchamos música.,KUDA KU'LA LAUK'I'ÑIDEK TULUNER'
P00280,nosotros escuchamos la musica.,KUDA LAUK'LLIDEK TULUNER'
P00281,nosotros no escuchamos música.,KUDA KU'LA LAUK'I'ÑIDEK TULUNER'
P00282,nosotros no escuchamos a su maestro.,KUDA KU'LA LAUK'I'ÑIDEK A'LEKTUTEK'NEN
P00283,nosotros escuchamos a su maestro.,KUDA LAUK'LLIDEK A'LEKTUTEK'NEN
P00284,tú no escuchas a su maestro.,KENMA KU'LA LAUK'I'NA A'LEKTUTEK'NEN
P00285,tú no escuchas la musica.,KENMA KU'LA LAUK'I'NA TULUNER'
P00286,tú escuchas música.,KENMA LAUK'LA TULUNER'
P00287,ustedes escuchan a su maestro.,KENMAMA' LAUK'LAMA' A'LEKTUTEKPENMA'
P00288,yo escucho a su maestro.,KUA LAUK'LEK A'LEKTUTEKNEN
P00289,el niño no espera en la casa.,WILA KU'LA WA'TENCHI'ÑI PIDEK'KEK
P00290,el niño no espera tranquilo.,NANA WILA KU'LA WA'TENCHI'ÑI MUSICLANLEK'
P00291,ella espera en la escuela.,NANA WA'TENTULLI ÑINCHITUNAPIDEK'KEK
P00292,ellas no esperan en silencio.,NAWA' KU'LA WA'TENCHI'ÑINA' TA'TULAN'NA'
P00293,ellas esperan con tranquilidad.,NAWA' WA'TENTULLINA' MUSICLANLEK'
P00294,ellas esperan en silencio.,NAWA' WA'TENTULLINA' TA'TULAN'NA'
P00295,ellos no esperan en silencio.,NAWA' KU'LA WA'TENCHI'ÑINA' TA'TULAN'NA'
P00296,la niña no espera en la casa.,NANA' WILA KU'APER KU'LA WA'TENCHI'ÑI PIDEK'KEK
P00297,la niña no espera con tranquilidad.,NANA' WILA KU'APER KU'LA WA'TENCHI'ÑI MUSICLANLEK'
P00298,nosotras no esperamos en la escuela.,KUDA KU'LA WA'TENCHI'ÑIDEK ÑINCHITUNAPIDEK'KEK
P00299,nosotras esperamos en silencio.,KUDA WA'TEN'TULLI'DEK TA'TULA'MUDEK
P00300,nosotros esperamos con tranquilidad.,KUDA WA'TEN'TULLI'DEK MUSICLANLEK'
P00301,nosotros esperamos en la casa.,KUDA WA'TEN'TULLI'DEK  PIDEK'KEK
P00302,tú no esperas con tranquilidad.,KENMA WA'TEN'CHI'NA MUSICLANLEK'
P00303,tú esperas en la escuela.,KENMA WA'TEN'TULA ÑINCHITUNAPIDEK'KEK
P00304,tú esperas en la casa.,KENMA WA'TEN'TULA PIDEK'KEK
P00305,ustedes no esperan en la casa.,KENMAMA' KU'LA WA'TENCHI'NAMA' PIDEK'KEK
P00306,ustedes no esperan en silencio.,KENMAMA' KU'LA WA'TENCHI'NAMA' TA'TULAN'MA
P00307,ustedes esperan con tranquilidad.,KENMAMA' WA'TEN'TULAMA' MUSICLANLEK'
P00308,yo espero con tranquilidad.,KUA PUR'LEK MUSICLANLEK'
