pair_id,ESP,SHIWILU
P00045,"nuestras costumbres,","nanpikudeksu’,"
P00046,"lo que vivieron antes nuestros abuelos ya fallecidos, las abuelas finadas.","napi’ nanpirkasu’ papinkuku’lusa’, amiku’lusa’."
P00047,Ya que a mis hijos no les enseñé.,Wilaweklusa’pa’ ma’sha a’lekdek’i’nek.
P00048,Ninguno de mis hijos entiende.,Ñienkasu’ wilaweklusa’ lachek’i’ñina’.
P00049,"Hartos hijos he parido, hartos hijos he criado.","U’dun wawalu’ wadek’a’kasu’, u’dun wawalu’ kua teksusu’kasu’."
P00050,Ninguno sabe de esta lengua porque no les he hablado.,Ñienkasu’ ñinchichillina’ namasu’ la’lekla lunchinpu’dek’a’kasu’ malek.
P00051,¿Por qué no entienden?,¿Ma’ki’na ñinchichi’ñina’?
P00052,Yo tengo la culpa de no haberles enseñado a mis hijos.,kua usha’wanek a’lek’inpu’dek’amu wilaweklusa’.
P00053,Ahora ellos quisieran aprender pero es difícil.,Ipa’li’na nawa’ yañinchituwiñina’ saka’dek.
P00054,"Yo sí que tengo la culpa por no enseñarles a mis hijos,","Kui’na usha’wanek wilaweklusa’ a’lek’inpu’dek’amu,"
P00055,"todo lo que sabemos de los antiguos,","iñer ñinchita’kudeksu’ napi’ku’lusa’ki,"
P00056,"de las mujeres ya fallecidas,","kaikku’lusa’ki,"
P00057,de las tías (paternas) finadas.,inetchaku’lusa’ki.
P00058,Van consumiéndose todos.,Taker’apilallina’ iñer.
P00059,El idioma Shiwilu se está terminando.,Shiwilu la’la’ ta’wantapilalli.
P00060,"Para bien esta hermana desde otro pueblo,","Mula’si’la asu’ kai kua nerñinanlukla,"
P00061,desde una ciudad grande ha venido.,kupin ñinanlukla weklli.
P00062,"Ella dice que quiere aprender (mi idioma),","Nanima yañinchitulli,"
P00063,le estoy enseñando.,nana a’lek’apalek.
P00064,Llevándolo ella también que enseñe por otros lugares,"Ekpanta’n nananta’ a’lekchii, a’lektan nanalupa’"
P00065,para que no se acabe aquí esta lengua que hablamos.,ta’wanchinpu’ek asu’lupa namasu’ la’la’ lu’nkawasu’.
P00066,Para que no se acabe aquí digo yo.,Ta’wanchinpu’ek asek tulek kua.
P00067,"Todos los que están aquí,","Iñer asek ñapalusa’,"
P00068,"niños,","wilalusa’,"
P00069,"jóvenes,","nadi’neklusa’,"
P00070,"muchachas, no saben pues esta lengua nuestra,","wilalunlusa’, ñi ñinchichi’ñina’ namasu’ la’la’mapu’wa’,"
P00071,"la lengua shiwilu,","Shiwilu la’la’,"
P00072,el shiwilu que yo hablo no lo saben.,Shiwilu lu’nkasu’ ñinchichi’ñina’.
P00073,No.,Ma’sha.
P00074,Los niños ahora hablan sólo el castellano,"Wilalusa’ ipa’la Kaschilla’ la’leklansa’ lunna’,"
P00075,y han olvidado la lengua shiwilu.,ipa’li’na Shiwilu la’la’ pinanetllina’.
P00076,"No quieren (saber) nada,","Ñi luwanchi’ñina’,"
P00077,"no les importa,","ñi yalui’ñina’,"
P00078,no pueden hablar.,innichi’ñina’ lu’nkasu’.
P00079,Por eso tengo pena.,Nu’amu kua wa’inutulek.
P00080,"Los que sabemos hablar nos estamos extinguiendo,","Ñinchilu’nkudeksu’ taker’apilallidek,"
P00081,nos estamos muriendo.,chimianpilallidek.
P00082,"Todo se está terminando. Jeberos, 25 de julio del 2005",Iñer ta’wantapilallina’.
P00083,"Ahora mis hermanas menores, señoras, les voy a contar,","Ipa’li’na kai kuaweklusa’, senñula’lusa’, wintetchenma’"
P00084,les voy a enseñar la elaboración de la chicha punta.,a’lek’etchenma’ kuda ukluta’kudeksu’.
P00085,De la chicha punta quieren conocer.,Uklupidekkin yañinchitulama’.
P00086,"Ustedes también quieren aprender de qué manera se hace,","Yañinchitulama’ kenmama’nta’ ma’pu’si’pa’ nu’tulek,"
P00087,cómo se prepara la bebida.,uklutulek.
P00088,Se hace así.,Nu’tulek u’su’.
P00089,"Primero se va a traer yuca de la chacra,","Nanentu ker’ manta’lek menmikda’,"
P00090,"se la extrae, se la pela.","uka’lek, eksu’lek."
P00091,"Pelada, se trae a la casa y se la guarda.","Eksu’, kencha’lek pidik, aku’lek."
P00092,Cuando amanece entonces se lava (la yuca) y se la pone en una olla.,"Ukllinantusik ipa’linchi pamu’lek, a’du’lek uktak."
P00093,Se junta la leña (para el fuego) debajo de la olla de aluminio y se hierve.,Dintuntulek wa’naukta ukluka’lli.
P00094,Mientras está hirviendo se tuesta el maíz desgranado.,Ukluka’pasik kenmu’nta’ inyalalatulek chitetlla.
P00095,Un kilo de maíz se tuesta en una tostadora.,Ala’ kilu inyalek chiter inyalalanantekkek.
P00096,Una vez tostado se lo muele.,Inyek ipa’linchi peksanek.
P00097,Poniéndolo en el batán los antiguos molían con moledor de palo.,Pitak aku’n peksantunanlek napi’ku’lusa’ peksantullina’.
P00098,Ahora ya no hacen así.,Ipa’li’na nui’ñina’.
P00099,Ahora a máquina muelen bien menudito.,Ipa’li’na makinak peksanpallina’ damellu’shasu’.
P00100,"Mientras muelo voy asando también la yuca, cinco yucas enteras.",Peksantapamu nana inkaluner ker’unta’ a’ler’apalek alei’teklundan.
P00101,"Después, al maíz pulverizado y la yuca asada desmenuzada se los apiacha (se mezclan a mano formando una masa).",Ipa’linchi chitetllu’ kellu’lek seklekka’lek.
P00102,Ahí nomás se endulza con azúcar.,Nanekpi’la a’kasetllek asukallek.
P00103,Después bonito se lava uno la boca y se lava los dientes.,"Nanekla mushasu’ inkawilalek, inpamu’lateklek."
P00104,Entonces se empieza a mascar formando líquido.,Ipa’linchi ukdinu’tulek.
P00105,Luego se pone en la boca.,Ipa’linchi katennek.
P00106,"Mientras se masca en la boca, ya está hirviendo la olla de aluminio con la yuca.","Katentapek walek, ukluka’palli wa’naukta kellek."
P00107,Cuando hierve se tantea para estar segura de que esté suave.,Ukluka’sik pata’lek unmellinpa’ta’kasu’.
P00108,"Una vez tanteado entonces se chanca,","Patak ipa’linchi u’deklek,"
P00109,"en la misma olla se chanca y se va batiendo,","wa’nauktak i’la u’deklek, pitawilek,"
P00110,se lo va batiendo con este.... con un remo se lo bate.,pitawilek ma’ilek nerku’teklek pitawilek.
P00111,Pero anteriormente las abuelas finadas batían con el batidor “utawitunantek”.,Napi’ i’na amiku’lusa’ utawitunanteklek utawillina’.
P00112,"Cuando está humeando, humeando, humeando,","Mu’ka mu’ka mu’katapasik,"
P00113,cuando hierve se lo echa en otra olla de barro grande que está enterrada (hasta la mitad).,"ukluka’sik, ali’lak kupin uktak pekdu’a’kasu’ upellek."
P00114,Ahora ya no se ven las ollas grandes de barro.,Ipa’la a’pinta’ kupin ukta lli’tapi’ñi.
P00115,Ahora a ese recipiente (grande de plástico) que le llaman“timbu”,Ipa’li’na nana wa’napi “tinpu” iterkasu’
P00116,se lo sienta y entonces ahí se vacea (el líquido para ser guardado).,nana a’duk ipa’linchi nanek upellek.
P00117,"Se sigue trasladando el líquido, se sigue vaciando (la yuca disuelta).","Uper’apilalek, uper’apilalek."
P00118,"Entonces cuando se termina, nuevamente la yuca sobrante se hierve (con el agua nueva que ha puesto) y se vuelve a trasladar.",Ipa’linchi ta’wantununta’sik nu’nipi’la ñapalli ker‘ ukluka’sik upetñunta’lek.
P00119,Luego se vuelve a agregar agua.,Nu’sik upetchununta’lek deklek.
P00120,Cuando vuelve a hervir se vuelve a batir....,"Ukluka’nunta’sik, utawinunta’lek..."
P00121,Entonces mientras se va masticando se va batiendo el líquido y se masca el afrecho (lo último de la yuca disuelta).,"Ipa’linchi katentamupu’su’ pitawitapalek, ka’latulek."
P00122,Cuando todo está mascado y enfriado,"Iñer ka’latak saneksik,"
P00123,ese líquido al anochecer se lo endulza discursando a la abeja “mi’len”2:,nana di’din er’washinchi a’kasekchulek mi’len ulen’ak:
P00124,"“Abeja mi’len, tú sí que nunca has hecho una chicha insípida.","“Mi’lencháaaa, kenmapa ñenpi’ laki’dek uwapi’naaa."
P00125,"Abeja mi’len, tú qué cantidad de chicha que hagas siempre la endulzas.","Mi’lencháaa, kenma enpu’nipi’nta’ uklutetchu iñer a’kaser apalaaa."
P00126,La mía también icáramela”.,kuanta’ uklupidekwek pekkuituu”.
P00127,Maíz crudo molido también se hierve en otra olla.,Chiter nanpi peksanpi nananta’ ali’la uktak a’ukluka’lek.
P00128,Así también yuca cruda rallada también se hierve en otra olla.,Nu’sik ker’ su’watek nananta’ a’ukluka’lek ali’la uktak.
P00129,En una sola olla grande se mezcla todo lo de esas tres ollas.,Ala’sa’ kupin uktaksa’ iñer nana kaladaper uktakda’ sekdunek.
P00130,"Entonces con lo que se ha mascado (entre varias mujeres) se endulza. 2 “ramichi”, en español regional.",Ipa’linchi ukdinu’ta’kasu’lek a’kasetllek.
P00131,"Después de endulzar (el líquido con el mascado), se cierne en la sedama (cernidor).",A’kaser’a’kasu’ supinak ukllinkek sulatulek.
P00132,Antes las abuelitas ya finadas hacían sedama de los tallos de la palmera “ma’a”.,Napi’ amishaku’lusa’ nu’tullina’ ukllin ma’alanlankekla.
P00133,A la madrugada siguiente una se levanta nuevamente para cutipar (haciéndole hervir otra vez).,Dasu’dekpilli yunsa’nnunta’lek ya’pi’dektak.
P00134,Entonces cuando se está cutipando (se está haciendo hervir nuevamente) está amaneciendo.,Ipa’linchi a’pi’dektapa’sik ukllapilelli.
P00135,"Después de cutipar, se deposita (la bebida) en una olla grande (que está enterrada hasta la mitad).",A’pi’dekta’kasu’ supinak a’du’dektulek kupin uktak.
P00136,"Hecho esto, se cubre con esteras (formando un techo).","Nu’tak, lanchimeklek atantulek."
P00137,Ahí se enfría sola.,Nanek sanek’i nanasa’.
P00138,Nadie la toca para que no se malogre.,Ñidenler pata’pi’ñi aper’inpu’ek.
P00139,"Cuando pasan cuatro días, cuando fermenta, bebemos.","Ínkatu’ uklli nakusik, deksik, ullidek."
P00140,La espuma de la chicha punta se parece a la bebida que toman los wiracochas (cerveza).,Uklu’pidekdinpunen ma’lusa’ wa’danlusa’ uwerkasu’pu’lli.
P00141,"Así se hace hermanas, señoras,","Nu’tulek kai kualusa’, senñula’lusa’,"
P00142,como hacían antes las abuelas ya finadas.,napi’ amiku’lusa’pu’su’.
P00143,"A ver, pues, vamos a conversar.",Enta’ten i’na lunterkenma’.
P00144,Usted señora quiere aprender esta nuestra lengua shiwilu.,Kenma senñula’ yañinchitula asu’ Shiwilu la’la’mapu’wa’.
P00145,Nuestra lengua shiwilu es bonita.,Shiwilu la’la’mapu’wa’ u’chimusha.
P00146,"Los que la entienden, la entienden, pero los que no la entienden no pueden entender.","Lachek’erkasu’ lachekllina’, lachek’inpu’erkasui’na innichi’ñina’ lachek’erkasu’."
P00147,"Los niños ahora no la entienden, ahora sí que ellos ya no comprenden nuestra lengua shiwilu.","Wilalusa’ ipa’la ñi lachek’i’ñina’, ipa’li’na Shiwilu la’la’mapu’wa’ nawa’ lachek’i’ñina’."
P00148,Antes cuando era niñita hablaba bonito el shiwilu.,Napi’ wilashakuñamu asu’ Shiwilu la’la’ mushasu’ lunek.
P00149,"Ahora, en cambio, un poco la quiero desviar.",Ipa’li’na a’metcha yateknellek.
P00150,"Pero no la desvío, todavía la sé bien.","Ma’shi’na teknerinek, ñinchitapalek i’la."
P00151,lo domino.,"Musu’ lunpalek i’la Shiwilu la’la’mapu’wa’, kuaki Shiwilu la’la’ musu’ lunpalek i’la. Todavía hablo bien nuestra lengua shiwilu, mi idioma shiwilu todavía"
P00152,"Esto queriendo llevar lejos, a otro pueblo, quieres aprender, de qué manera vivo aquí en Jeberos.","Asu’ yekpantan wei ali’la ñinanluk yañinchitula, ma’pu’sui’pa nanpilek kua asu’ Shiwiluk."
P00153,En mi Jeberos a mis hijos he criado cuando su padre vivía.,Shiwiluwekkek wilaweklusa’ teksusudeklek papina’ nanpipasik.
P00154,Hace tiempo me casé con mi esposo.,Napi’ sudawek sudatulek.
P00155,Después de casarme tuve hijos.,Sudawamu wilawanek.
P00156,Ellos ahora ven por mí.,Nawa’ ipa’la lli’apallinerku.
P00157,Ahora que soy una mujer enferma ellos me cuidan.,Kaluwi’tekku ipa’la ñaseku nawa’ luwektapallinerku.
P00158,Felizmente tengo hijos.,Mula’si’la wilawanek.
P00159,"Si no tuviera hijos ya me habría muerto, el hambre me hubiera matado, la enfermedad y el hambre me hubieran matado.","Wilawi’nek’ipa’ chiminpinek, uki’la di’tunansinku, kaluwi’ uki’la di’tunansinku."
P00160,"Pero como tengo hijos ellos me están viendo, de mi comida, de mi bebida, de todo me están viendo mis hijos.","Wilawamui’na nawa’ lli’apallinerku, uran’ukeklan3, uweklan, iñerkeklan lli’apallinerku wilaweklusa’."
P00161,Ahora en mi Jeberos ya no hablan más esta nuestra lengua shiwilu.,Ipa’la Shiwiluwekkek ñi a’pinta’ lunpi’ñina’ asu’ Shiwilu la’la’mapu’wa’.
P00162,Hablando más en castellano ya no hablan shiwilu.,"A’pinta’ Kaschilleklansa’ lunna’, ñi a’pinta’ Shiwilu la’la’ lunpi’ñina’."
P00163,"Algunitos de mis hijos quizás me estén entendiendo, pero ya no entienden bien.4",Nu’unta’shasi’pa’ wilaweklusa’ lachek’apilanti’ñina’.
P00164,"Ahí están mi hermana menor Florencia, mi hermana menor María, con ellas hablo.","Ma’atana kai kuawek Florencia, kai kuawek María, nawa’lekku lunpalek."
P00165,Así ellas me dicen.,Nu’anna’ itullinerku
P00166,"“¿Estás aquí, hermana?” me viene a decir. 3 Una forma alternativa es weranwekkeklan. 4 Se refiere a sus hijos presentes durante la sesión de grabación.","- “Ñapala, ñañá?” itukellu."
P00167,"“Sí, aquí estoy, hermana. Ven a visitarme”.","- “Ajá, ñapalek, ñañá. Uker lli’ker’ú”."
P00168,“Estoy viniendo queriendo verte. Como fui a la chacra tantos días no te he visitado”.,- “Uk’apincha’lek yalli’amun. Pa’amu menmik u’dun uklli lli’ker’i’ñen”.
P00169,“Por eso te estoy echando de menos. ¿Qué teniendo mi hermana no me visita?” estoy diciendo.,- “Nu’amuntana luwanpallen. ¿Ma’pun a’cha kai kuawek lli’ker’i’ñu?” tapalek.
P00170,Al fin tú como estás sana te vas a la chacra.,Kenma ten mudinupan menmik pa’apala.
P00171,En cambio yo por estar enferma no puedo ir a ninguna parte.,Kui’na kaluwi’mu innichi’nek ñi enñupa’ pa’a’kasu’.
P00172,Postrada me la paso.,Ñapamu erwatapalek.
P00173,Mis hijos se van todos a la chacra y me dejan sola.,Wilaweklusa’ menmik chiketllapipallinerku.
P00174,Yo solita sentada me pongo a llorar.,kuashasa’ du’wimu willeklek.
P00175,Lloro porque mis hijos se van todos a la chacra y me quedo sola.,Willeklek wilaweklusa’ chiketllapitapallinerku menmik.
P00176,"Sentada me la paso, tarde llegan.","Du’anpamu erwatulek, erwa uncha’llina’."
P00177,Uno a uno van llegando.....,"Ali’la uncha’lli, ali’la uncha’lli...."
P00178,"“¿Recién vienen?” les digo en castellano, “¿Ya han venido, hijos?” les digo.","“¿Nauncha’lama’? Kaschilleklan itulek, “¿Ya han venido, hijos?” itudeklek."
P00179,"Me levanto pueda o no pueda, masatito te voy a traer (pensando).","Yunsamu innichinpu’la’wimu, uklulu’sha manta’mu."
P00180,"“Bebe, hijito” les digo.","- “Uker, hijito” itudeklek."
P00181,"“Nosotros mismos vamos a servirnos masato y vamos a beber, mamá” me dicen. “Nosotros mismos vamos a servirnos”.","- “Kudinchi madektupatekkudek, uwetchidek, mamá. Kudinchi mapatekkudek uklulu’ uwetchidek” itullinerku."
P00182,Así vivo con mis hijos.,Nu’su’ nanpipalek wilaweklusa’lek.
P00183,"Buenos son mis hijos, todos mis hijos son buenos.","U’chimu wilaweklusa’, iñerdaper mukankañina’ wilaweklusa’."
P00184,"Felizmente bonito les he criado a mis hijos, con su padre.","Mula’si’la u’chimusha teksusudeklek wilaweklusa’, papinalek."
P00185,Yo nunca he tenido hijos sin haberme esposado.,Ñi wilanwanpa’tamu ñi’nek.
P00186,Con su padre les he criado.,Papinalek teksusudeklek.
P00187,Después su padre murió dejándome sola.,Nanekla papina chiminlapillun.
P00188,"Con ellos ahora vivo, con mis hijos.","Nawa’lekku ipa’la nanpiapalek, wilaweklusa’lek."
P00189,Ahí están doscitas mis hijas.,Ma’ata’na katu’ta’shadaper ku’tinweklusa’.
P00190,Ellas me cuidan.,Nawa’ lli’apallinerku.
P00191,"Ellas son doscitas, dos hijas mujeres.","Nawa’ katu’shadaper, katu’ta’ ku’aperwawalusa’."
P00192,"Sólo ellas me cuidan, me lavan la ropa.","Nawa’sa’ lli’apallinerku, peksaduintullinerku."
P00193,"Preparando la comida me dan de comer, me alimentan.","Akusutuker’anna’ a’ka’llinerku, a’uranñinerku."
P00194,"“Mamá, queremos ir a la chacra”.","- “Mamá, menmik yapa’llidek”."
P00195,trabajar” les digo.,"- “Ah, pakuuu kenmamá’. Lliinuta’mama’su’ yasaka’tulama’” itudeklek. “Ah, vayan ustedes, conforme acordaron van a"
P00196,Se van. Luego de ir vienen tarde.,Pa’llina’. Pa’anna’ erwa uncha’llina’.
P00197,"“Mamá, estoy viniendo de la chacra”.","- “Mamá, uk’apincha’lek menmiklan”."
P00198,"“¿Ah, ya has venido?”","- “¿Ah, ipa’cha uncha’la?”"
P00199,"“Ya he venido, mamá. Te voy a servir masato, mamá”.","- “Ipa uncha’lek, mamá. Uklulu’ a’werken, mamá”."
P00200,"“Ah, a ver pues, desde la mañana no he bebido nada”.","- “Ah, enta’n’i’na dasu’laklanek uwi’nek”."
P00201,Como ahora con este dolor de pierna no puedo caminar.,Ma’pu’sui’na ikellandu’mu innichi’nek dekkunta’kasu’.
P00202,Por eso estoy sentada.,Nu’amu du’apalek.
P00203,Recogiendo (masato) de la tinaja me dan de beber.,Madettanna’ a’ullinerku.
P00204,"Eso nomás, no tomo mucho, poquito cuando tengo sed bebo,","Nanasa’, kupin uwapi’nek, u’nisha iyumu uwapalek,"
P00205,no como antes que bebía bastante.,ñi napi’pu’su’ kupin uwapawinek.
P00206,Así nomás vivo ahora yo aquí. 24 de julio del 2005,Nu’la’su’ nanpipalek ipa’la asek kua.
P00207,Yo me llamo Jesús.,Kui’na llillinwek Kishu.
P00208,Les voy a contar del canasto que caminaba antiguamente.,Wintetchenma’ lantekpi dekkunta’su’ napi’.
P00209,El canasto caminaba.,Nana lantekpi dekkuntulli.
P00210,"Sus piernitas eran muy flaquitas, piernas chuecas,","U’ñikuchu’chekshalima, kunsek kutu’,"
P00211,como el motelo caminaba.,madupu’su’ dekkuntuwiñi.
P00212,Los antiguos lo llevaban a sus chacras.,Napi’ku’lusa’ler ekpa’llina’ menminennak.
P00213,"Sacando yuca la depositaban,","Ker’ uka’nna’ kala’tullina’,"
P00214,llenaban el canasto y lo sentaban.,"pi’murllina’, a’du’llina’."
P00215,Su dueño dice le decía “¡Tú vete yendo!”,"Wa’anler imi’na itulli “ ¡Pa’apilanter, kenmá!”"
P00216,Así el canasto caminaba antiguamente.,Nu’su’ lantekpi dekkuntuwiñi napi’.
P00217,Un día dos muchachas y dos muchachos encontrándolo (en el camino) se burlaron de él.,Ala’lu’sa’ katu’ta’ wilalunlusa’ katu’ta’ yuyu’walusa’ler kaper’anna’ lumellina’.
P00218,"Avergonzado, en un desnivel del camino se cayó el canasto.",Dakutan inchilalak anu’lli nana lantekpi.
P00219,"Hasta hoy, hasta ahora no se levanta.","Ipa’lalek, ipa’la walek yunsi’ñi."
P00220,El canasto habló “¿Por qué ustedes se burlaron de mí?,Nana lantekpi luñi “¿Ma’ki’na kenmama’ lumellama’u’ku?
P00221,Ahora sí nunca más voy a caminar.,Ipa’la’ka enpi’pu’sha dekkunchi’nchek.
P00222,"Cargando (toda su vida) van a morir, todo el tiempo que vivan.” Jeberos, julio 2007","Pipektapapachenma’ chiminchuma’, nanpia’mama’ walek.”"
P00223,Yo soy jeberina auténtica.,kua Shiwilulunku nuka’ka.
P00224,Ahí me alumbró mi madre en Jeberos.,Nanek wadekllun awawek Shiwiluk.
P00225,Verdaderamente yo he aprendido la lengua shiwilu.,Tekkinchintana kua ñinchitulek Shiwilu la’la’.
P00226,"Con ella mi padre y mi madre me criaron, yo la hablo.","Nanalek tatawek awawek teksusullun, kua nana lu’nkasu’."
P00227,"A mí esta señora me está hacienda hablar,","kua asu’ senñula’ a’lunpallun,"
P00228,"este, tal vez sobre cómo he criado a mis hijos,","ma’i, ma’pu’si’pa’ kua wilaweklusa’ teksudeklek,"
P00229,a qué he venido a Yurimaguas.,"ma’pu’a’kasu’ asek weklek Yurimawek,"
P00230,Todo eso quiere saber esta señora.,Nanadaper iñer asu’ senñula’ yañinchitulli.
P00231,Yo he sufrido mucho en mi vida.,Kui’na enpu’nipa’ insekluten’a’kasu’ nanpi’kasu’.
P00232,Hace mucho yo viví en Varadero.,kua napi’ Simirkek nanpilek.
P00233,Cuando tenía diez años he salido de Jeberos.,Shunka’ ekkilala a’ñamu Shiwiluklan yunsu’lek.
P00234,Yendo al monte mi padre baleaba (animales).,Tanak pa’an tatawek ilantulli.
P00235,"Yendo baleaba sajino, baleaba huangana.","Pa’an amantek ilañi, laman ilañi."
P00236,Comiendo eso he crecido.,Nana ka’amu susulek.
P00237,Mi madre y mi padre murieron en Varadero.,Awawek tatawek chimiñina’ Simirkek.
P00238,La víbora mordió a mi padre.,Da’wanler kiteklli tatawek.
P00239,"Ahora, cuando murieron mis padres nos hemos quedado huérfanos.",Ipa’la tatawek awawek chiminsik i’na dinsuwilallidek.
P00240,“¿Cómo viviré ahora que ha muerto mi padre?” me preguntaba.,“¿Ma’pu’si’pa’ nanpichek tatawek chiminsik?” tulek.
P00241,Con mi hermana mayor nomás me quedé.,Kaikshawekleksa’ llia’lek.
P00242,De ahí seguía viviendo en Varadero mismo.,Nanekla nanpipawinek Simirkek i’la.
P00243,Después he salido a Yurimaguas.,Nanekla yunsu’lek Yurimawek.
P00244,Viniendo he tenido sólo seis hijos.,kua wek’amu suktasa’ willaweklusa’ a’ñilek.
P00245,Para hacer estudiar a mis hijos he trabajado bastante.,Wilaweklusa’ ya’ñinchillintudek’amu enpu’nipa’ saka’tulek.
P00246,"Entonces, mucho he sufrido para hacer educar a mis hijos.",Iya’linchi muinchi kua insekluten’amu wilaweklusa’ a’ñinchillintudeklek.
P00247,Por eso ahora estoy aquí.,Ipa’la nu’amu asek ñapalek.
P00248,Después me hicieron abuela.,Nanekla amitullinerku.
P00249,Entonces a mí viniendo ahora esta señora me está haciendo contar.,Nanek kua wek’amu ipa’la asek asu’ senñula’ a’lunpallun.
P00250,La señora me preguntó “¿Cómo vives?”,Senñula’ “¿Ma’pu’su’cha nanpipala?” itullun.
P00251,"Yo solita vivo, no tengo parientes,","kuashasa’ ñienkasu’ patunwi’nek,"
P00252,acá no tengo ningún familiar.,asek kua patun a’ñinekta’la.
P00253,Ahora esta señora me pidió “¡Habla la lengua shiwilu!”,Ipa’la asu’ senñula’ itullun “¡Lunker Shiwilu la’la’!”
P00254,“Si usted supiera hablar conversaríamos”.,“Ñinchilu’nma’su’ ñilli inluntunansu’”.
P00255,Pero ella no entiende.,Ma’sha nana lauk’api’ñi.
P00256,Ella también quiere aprender.,Nananti’mi’na yañinchitulli.
