pair_id,ESP,SHIWILU
P00098,yuca,ker'
P00099,sol,keki
P00100,humo,kellu
P00101,sangre que huele mal,ukeklli
P00102,tiene frío,umkelli
P00103,añsua (k. fish),kilen
P00104,adentro,kinekla
P00105,para papa,tatain
P00106,sol,keki
P00107,mujer,ku'aper
P00108,boa,kupiwin
P00109,pasó,nakulli
P00110,dinero,kuiker'
P00111,me hicieron abuela,amituinerku
P00112,pie,lantek
P00113,agua,dek
P00114,sol,keki
P00115,enseñó,a'lek
P00116,de ahí,nanekla
P00117,ahí,nanek'
P00118,vereda,pidek'sek'lla
P00119,yo,kwa
P00120,Juan,kwaini
P00121,esto es pesado,asu'kwe'li
P00122,y yo,kwina
P00123,pesado,kwer'li
P00124,pesado,kwer
P00125,hueco,lala
P00126,ojo,lada
P00127,diente,latek'
P00128,huele,laner
P00129,pie,lantek
P00130,idioma,la'la'
P00131,naranja,lalansu'
P00132,surí de aguaje,lenmasun
P00133,añsua,kilen
P00134,enseñó,a'lek
P00135,yo hablo,kwa lumbalek
P00136,cinco,ala'tek'lun
P00137,otro,ali'a
P00138,de ahí,nanekla
P00139,entonces,ipa'linli
P00140,tierra; suelo,lu'pa'
P00141,soga,lulinlintek'
P00142,arpienteete,luna'te'
P00143,conversador,tuntek'
P00144,garganta,kulupi
P00145,niño(s),wila
P00146,corazón,dinlupi
P00147,cinco,ala'tek'lun
P00148,uña de la menstruación,lek'lun
P00149,humo,kellu
P00150,añañinga,ellek
P00151,cunchi,ikellala
P00152,shamillito,samellu'
P00153,pescado,samer
P00154,varios pescados,samerlisa'
P00155,nombre antiguo de hombre,llachek'
P00156,afrecho,ketlla
P00157,vereda,setla
P00158,tipo de bagrecito; cunchi,ikellala
P00159,escopeta,illapa
P00160,he olido,llanellek
P00161,añañinga,ellek
P00162,Lima,llima'
P00163,limón,llimu'
P00164,río,lli'li
P00165,nombre,llinlin
P00166,cola,llindek'
P00167,apodo de Dolores,yullu
P00168,me vio,lli'linu
P00169,humo,kellu
P00170,shamillito,samellu'
P00171,motelo,madu
P00172,comprar,mapa'
P00173,cerdo,nana malli
P00174,qué es?,ma'nen
P00175,no,ma'shia
P00176,tigre,amana'
P00177,sajino,amandek'
P00178,suave,meru'
P00179,voy a coger; voy a levantar,useyek'
P00180,panza,mechek
P00181,panza,merchek'
P00182,barriga,merpi
P00183,maduro,merpi
P00184,pescado,samer
P00185,cuñado del hombre,mek'shi
P00186,chacra,memin
P00187,estoy lleno,merllek
P00188,hoja,lalune'
P00189,yarina,milek
P00190,collar,midu
P00191,pavo,mikarawa'
P00192,nido,mipek
P00193,abuela,ami
P00194,murió,chininiñin
P00195,chacra,memin
P00196,tímpano; caracolito,mincher
P00197,cabeza,mu'tu'
P00198,teta,mudin
P00199,gente,muda?
P00200,bueno,mukangan
P00201,copa de árbol,mulu'
P00202,así siendo,nu'amu
P00203,malo,mukanganibu'
P00204,torcacita,munchi
P00205,flaco,shamuntek'
P00206,nosotros,kanmu'wa'
P00207,él; ella,nana
P00208,antiguamente,napi'
P00209,palo,nala
P00210,nuevo,nalu
P00211,shushupe,nater
P00212,podrido (pescado),analu'
P00213,tigre,amana'
P00214,se despertó,nambilin
P00215,aliento,neri
P00216,nariz,nerek'
P00217,diferente,nerpi'la
P00218,adentro,kinekla
P00219,he olido,lanellek
P00220,evader,nanet'lli
P00221,así dice,nanim'na
P00222,dijeron,tullina'
P00223,no se puede apagar,inichiñitashu'unsu
P00224,soy,nuka'ka
P00225,ha hecho,nu'tulli
P00226,entonces,nu'pachin
P00227,animal sin cola,unu'lli
P00228,elefante,unu'kañi'
P00229,canoa,num
P00230,Narcisa,ñashi
P00231,lo que es; lo que ha estado,ña?su?
P00232,todo,iñer
P00233,entero,iñer'pi
P00234,donde vivo,ñer'
P00235,perro,ñini'wa
P00236,lengua,ñinek'la
P00237,se ha extraviado,pektuñin
P00238,donde no hay,ñinupek
P00239,de dónde?,i'ñupa?la
P00240,vasija para sacar agua,puiñu
P00241,palmera pulponota; tasha ponilla,pada
P00242,perforar,patala'
P00243,abuelo,papinku
P00244,bufeo; lombriz gruesa,sapana'
P00245,anda; vete,panter'
P00246,se ha ido,pa'lli
P00247,tierra,lu'pa'
P00248,Pampayacu,pampadek'
P00249,candela,pen
P00250,pato,penku
P00251,sóplale,pekuter'
P00252,lavar ropa,peksadun
P00253,agarrar,pillinter'
P00254,espalda,pi'tek'
P00255,casa,pidek'
P00256,corazón,dinlupi
P00257,tabaco,pinder
P00258,alúmbrale,pinter'
P00259,boa,kupiwan
P00260,hierba,pumu
P00261,pucahuicsa,pupun
P00262,charapa,puka'
P00263,lechuza,putek
P00264,pescar,pur'
P00265,hartos,wapu'
P00266,vamos a desgranar,'enchupua
P00267,está pescando,pur'apalli
P00268,vasija de barro para agua,puiñu
P00269,no tiene nada,ma'puñi
P00270,Francisco,ransisco
P00271,anda planta,terer'
P00272,pavo,mikarawa'
P00273,comida; comer,uran
P00274,venado,uru
P00275,suave,meru'
P00276,yuca,ker'
P00277,lleno,mur'
P00278,pescar,pur'
P00279,pescado,samer
P00280,no son hartos,wapu' daper' imbu'
P00281,Viejo,taserpi
P00282,Barriga,merpi
P00283,Maduro,mer'pi
P00284,bufeo,sapana'
P00285,catalán,sasa'
P00286,pescado,samer
P00287,viruela,sa'la'
P00288,guaba,sa'lek'
P00289,lago,sennan
P00290,gotera,set'lla
P00291,viejo,taserpi
P00292,vieja,tasellun
P00293,doncella,da'wanser
P00294,erizo,sisek'
P00295,delgado; finito,simek'
P00296,noche; oscuro,kasiser'
P00297,tubo grueso,a'llupisi
P00298,gallinazo,supu'
P00299,a pie del árbol,sunan
P00300,mono choro,sulu'
P00301,soga; pretina,sudutek'
P00302,machete (antiguo),sunki
P00303,esto,asu'
P00304,pichico,sha'kek'
P00305,mujer; hermana,shaya'
P00306,paujil,isha
P00307,mujer de edad; hermana mayor,sha'sha
P00308,empapado,pisha'
P00309,Amarillo,sha'pi'
P00310,mono fraile,sha'wan
P00311,chancho,kusher
P00312,joven alto,shi'pan
P00313,soga larga,shillin
P00314,cuñado del hombre,mek'shi
P00315,mandar,kamashir'
P00316,largo,shillin
P00317,sol cuando levanta,shinker
P00318,camarón,wanshen
P00319,padre,tata
P00320,lagarto,tada
P00321,mojarra,pek'ta
P00322,Viejo,taserpi
P00323,brazo; rama,tamba'
P00324,estrella,tandula
P00325,viento,tanlua
P00326,chinchi,tanker
P00327,palometa,terek'
P00328,plantar,tera'
P00329,piel,chipitek'
P00330,voy a decir,windechek' itek'chek'
P00331,dile,iter'
P00332,mi tío,tiuwak'
P00333,tu tía,tiapen
P00334,mi tía,tiawek'
P00335,que se vayan,pan'dina'
P00336,rodilla,tu'tu'pi
P00337,muslo,tula
P00338,palmera para cumba,tumek'
P00339,cabeza,mutu'
P00340,dos,katu'a'
P00341,bebé,wawaser'
P00342,párate,warenker'
P00343,hartos,wapu'
P00344,mijano,wadi'
P00345,carachama grande,walatek'
P00346,sonar,wa'la
P00347,viento,tanluwa
P00348,lejos,we'
P00349,viene,uk'apinya'lli
P00350,comida,uran
P00351,llorar,wellek
P00352,oír,lauk'
P00353,niño,wila
P00354,poner al niño en brazos,wi'pu
P00355,oreja; cuerno,wi'wek'
P00356,cerca,kawi
P00357,curhuinsi,wilek
P00358,Qué vamos a hacer?,yama'pu'lan
P00359,manteca,iyadek'
P00360,solearse el cuerpo,yenbilli
P00361,rabioso,yutek'
P00362,flor de Santa Rosa,yulu'danku
P00363,cascabel,siyuwa
