pair_id,ESP,SHIWILU
P00140,"Siendo así, no sabía cómo hacer para engordarse.",Nu’ani’na ñinchichi’ñi ma’pu’si’pa’ weietchu.
P00141,"Estando andando pensó “¿cómo me engordaría, caramba?”, dijo la Mujer Sachavaca.","Pa’apan inlli’inutulli “¿ma’pu’su’ta’ weinaseku ten?”, tulli Panwalalun."
P00142,Primero fue donde las aves.,Nanentu ilanser’lusak palli.
P00143,"A ellas les quitó sus carnes, a todas les desolló.","Nawa’ lu’lunnenlusa’ siwerchudeklli, iñer’ sekkektudeklli."
P00144,Primero fue donde la Mujer Pinsha.,Nanentu pa’lli Duwinlunkek.
P00145,Haciéndole cosquillas le quitó su carne.,Shikillek’an siwerchulli lu’lunnen. 
P00146,Luego fue donde la Mujer Pucacunga.,Nanekla pa’lli Chunserlunkek.
P00147,"A ella también, cosquilleándole, le quitó su carne.",Nananta’ shikillek’an siwerchulli lu’lunnen.
P00148,Así estaba aumentando su carne.,Nu’su’ a’nadapilawiñi lu’lunnen.
P00149,También fue donde la Mujer Perdiz.,Nu’sik’unta’ pa’lli Dunkululunkek.
P00150,"A ella también, cosquilleándole, quería quitarle su carne.",Nananta’ shikillek’an yasiwerchuwiñin lu’lunnen.
P00151,Pero ella se bocabajó bien.,Nani’na per’pa’lli musu’.
P00152,"Aunque le había cosquilleado, ella no se rió.","Shikillikwiñi, nani’na yameri’ñi."
P00153,Por eso la Mujer Sachavaca no le quitó toda su carne.,Nanamalek Panwalalunler siwer’chi’ñi iñer’ lu’lunnen.
P00154,De su espalda nomás se la cogió.,Piteknenkeksakla meitulli.
P00155,"Por eso, la perdiz tiene bastante carne en su pecho.",Nanamalek dunkululun wapu’ lu’lunwanpalli chi’teknenkek.
P00156,(La Mujer Sachavaca) no se sentía bien al no completar su carne.,Musu’ kankanchi’ñi a’yennichinpu’ lu’lunnen.
P00157,"Entonces, dijo: “No puedo engordarme, mejor sería que aumente mi carne con arcilla”.","Nanekli’na tulli: “Yennichi’nek weya’kasu’, a’pimuetchun diteklulek lu’lunuk a’nadaetchek”."
P00158,"Diciendo esto, la Mujer Sachavaca se fue al monte a buscar arcilla.",Tan ima Panwalalun pa’lli tanak diteklu’ yadunker’an.
P00159,"Entonces, hallando la arcilla y sacándola, se lo embarró todo su cuerpo.","Ipa’linchi, diteklu’ kanan usuk, iñer’ pinenkek a’per’ku’tulli"
P00160,"De ahí, pues, la Mujer Sachavaca se engordó.","Nanekla, ipa’linchi, Panwalalun weiluñi."
P00161,"Entonces, se sintió bien.",Ipa’linchi musu’ kankantulli.
P00162,"Por eso, ahora, convirtiéndose en animal la sachavace tiene bastante carne.","Nanamalek, ipa’la, panwala añimarñan wapu’ lu’lunwanpalli."
P00163,"“Con arcilla le ha aumentado”, han dicho las antiguas.","“Di’teklu’lek a’nadalli”, tullina’ amiku’lusa’."
P00164,Por eso a la sachavaca no le comen algunos.,Nanamalek panwala ka’api’ñina’ nu’unta’lusa.
P00165,Porque aumentó su carne con arcilla.,Diteklu’lek a’nada’su’ malek lu’lunen.
P00166,A veces la sachavaca anda buscando arcilla.,Nerpi’pu’lusa’ panwala pa’apalli dunker’an di’teklu’.
P00167,Hasta ahora come arcilla porque tiene un poco de sal.,Di’teklu’ ipa’lalek ka’apalli a’mercha damulawansu’ malek
P00168,"Su carne es rica; por eso, a veces, cuando se la encuentra se la mata, porque tiene bastante carne.","Lu’lunnen iyalli; nanamalek, nerpi’pu’, kanak dei’tu’lek, lu’lunnen wapu’ a’ña’su’ malek."
P00169,La sachavaca vive en el monte.,Panwala tanak nanpipalli.
P00170,Tiene su trocha como la de la gente.,A’ñapalli dekkunnen muda’kinpu’su’.
P00171,La sachavaca es un lindo animal.,Panwali’na u’chimu añimar nuka’a.
P00172,Ahora les voy a contar porqué quizás la iguana tiene lindas pintitas.,Ipa’la wintetchenma’ ma’malek ipa’ pekkuala u’chimu llinsercha a’ñapalli.
P00173,Y porqué quizás el motelo tiene tremendas pintotas nomás.,Madu ma’malek ipa’ u’nei llinsersa’ a’ñapalli.
P00174,"Antiguamente, la Iguana y la Motelo eran gente, dos señoritas bonititas eran.",Napi’ ima Pekkuala Madulek muda’ ñanna’ katu’ta’ wilalunlusa’ u’chimulunlunshala ñiwiñina’.
P00175,"Un día, dijeron “¡Vamos a la fiesta!”",Nanekli’na tullina’ “¡Enchu pistak!”
P00176,“Está bien” acordaron.,“Mu’chun” tullina’.
P00177,“Pero para ir a la fiesta hay que pintarse diseños (en el cuerpo)” dijeron.,“Pistak i’na yapa’ak inllinserlek” tullina’.
P00178,"“Esta bien, pintémonos la una a la otra”.","“Mu’chun, inllinser’a”. "
P00179,"Entonces, empezaron a pintarse (el cuerpo).",Nanekli’na tenmiansu’llina’ inllinsererkek.
P00180,Primero fue pintada la Iguana.,Nanentu llinserllina’ Pekkuala.
P00181,La Iguana dijo “Esta pintita quiero yo” y le mostró (el diseño) a la Motelo.,Pekkuala tulli “Asu’ llinsercha kua luwantulek” tan a’lli’lli Madu.
P00182,Entonces la Motelo le pintó todo su cuerpo bien bonito (a la Iguana).,Maduler i’na u’chimusha iñer’ pinen llinserlli.
P00183,"Acabando de pintarla, la Motelo dijo “¡A mí también píntame!”","Tekkinek’an llinsera’su’ tulli: “¡Kuanta’ llinser’u!”, tulli Madu."
P00184,Motelo le mostró (a la Iguana cómo quería que la pinte).,Madu llinser’an tanpa’nenkek a’lli’lli. 
P00185,“Así como esto quiero que me pintes” dijo la Motelo.,“Asu’pu’su’ kua luwantulek llinsera’musu’” tulli Madu.
P00186,Muy bien” dijo la Iguana.,“Mu’chun” tulli Pekkuala.
P00187,La Iguana comenzó a pintar a la Motelo.,Pekkuala tenmiansu’lli llinsera’su’ Madu.
P00188,Comenzó por su espalda.,Piteknenkekla tenmiansu’lli.
P00189,La Motelo no veía cómo le estaban pintando.,Madu lli’i’ñi ma’pu’si’pa’ llinserapallina’.
P00190,Después de pintar (a la Motelo) la Iguana le dijo “Ya te diseñé. ¡Vamos a la fiesta!”,Ipa’linchi llinseran Pekkualaler itulli “Ipa’ llinserllen. Enchu pistak pa’a”.
P00191,“Vamos” le contestó (la Motelo).,“Pa’a” itulli.
P00192,"Y, así, se fueron a la fiesta las dos.",Pistak pa’llina’ ipa’linchi katu’daper.
P00193,"Entrando a la fiesta, bailaron. Han bailado.",Pistak da’anna’ ipa’linchi lansa’llina’. Llansa’llina’.
P00194,"Al ver a la Motelo, la gente se burlaba de ella debido a sus diseños.",Madu lli’anna’ llinsenñenmalek lumellina’.
P00195,Pero ella (la Motelo) no entendía porqué se,Nana ñinchichi’ñi ma’malek ipa’ lumerapallina’.
P00196,"“¿Por qué será que se ríen de mí, caramba?” preguntó la Motelo.",“¿Ma’malek a’ta’ lumerllinerku ten?” tulli Madu.
P00197,Alguien le dijo “Se están burlando de ti debido a tus diseños”.,Ali’laler itulli “Llinserpenmalek lumerapallinerken”.
P00198,"Entonces, recién se enteró de que sus diseños eran feos.",Nanek tekkinchi ñinchitulli u’chimuinpu’ llinsenñen.
P00199,"Por eso, hasta el día de hoy la Motelo lleva nomás las tremendas pintotas que le diseñó la Iguana.","Nanamalek ipa’lalek ekpa’palli Madu u’nei llinsercheksa’, Pekkualaler llinsera’su’."
P00200,La Motelo le pintó bien bonito (a la Iguana).,Maduler u’chimusha llinserlli.
P00201,"Por eso, hasta el día de hoy ella tiene sus pintitas bonitas.",Nanamalek nana ipa’lalek llinserchanen a’ñapalli u’chimusha.
P00202,Así quedó la Motelo hasta el día de hoy.,Nu’su’ llia’lli ipa’lalek Madu.
P00203,Así quedó la Iguana hasta el día de hoy.,Nu’su’ llia’lli Pekkuala ipa’lalek.
P00204,¡Quién sabe hasta cuándo llevarán estas pintas!,¡Enpi’walek ipa’ nana llinser ekpetchuna’!
P00205,"Antiguamente, dice, el Carachupa era pifuanero.",Chi’lek ima napi’ pilenñantutek ñiwiñi.
P00206,Muy bonito tocaba su pifuano el Carachupa en ese tiempo.,Enpu’nipa’ u’chimusha pilenñantulli Chi’lek napi’.
P00207,"Cuando pifuaneaba, todas las mujeres bailaban.",Pilenñantusik ima lansa’llina’ iñer’ ima ku’apellusa’
P00208,"Antes, a las mujeres les decían yungururu, paujil, pucacunga, perdiz…","Napi’ ima ku’apellusa’ itudekllina’ asu’ dunkululun, isha, chunser, uwek…"
P00209,Ellas bailaban cuando pifuaneaba el Carachupa.,Nawa’lusi’ma lansa’llina’ pilenñantusik Chi’lek.
P00210,"Entonces, andaba (por ahí) el abuelo Tigre.",Nu’an ima pa’apilallima asu’ papinku Amana’.
P00211,"Andando, el abuelo se fue a ver a las que bailaban tanto, cuando pifuaneaba el Carachupa.","Papinku pa’apilan lli’kuñima enpu’nipi’ma lansa’pa’ser’, pilenñantusik Chi’lek."
P00212,"Entonces, yendo a ver, les dijo a las mujeres:",Nu’an imi’na nanek lli’apakun ku’aperllusa’ itudeklli:
P00213,“¿Por qué bailan ustedes cuando pifuanea este Carachupa?” se fue a decirles.,"“Ma’ki’na kenmama’ lansa’palama’ asu’ Chi’lek pilenñantusik”, tukuñima."
P00214,"“Ya que a nosotras nos gusta cuando él pifuanea, estamos bailando”, le contestaron.",“Kudanta’ nana luwantamudek pilenñantusik lansa’pallidek” na’pillina’’.
P00215,"“Entonces, yo ahora le voy a quitar su pifuano a este Carachupa,” dijo el abuelo Tigre.","“Nu’pachi kua ipa’la asu’ Chi’lek siwerchechek pilenñanen”, tulli papinku Amana’."
P00216,Las mujeres le dijeron: “¿Por qué le vas a quitar? Cuando pifuanea nosotras también queremos bailar”.,"Nana shaya’lusa’ler itullina’: “Ma’ki’na siwerc hechu, pilenñantusik kudanta’ yalans a’llidek ”."
P00217,"“No, yo le voy a quitar. Yo también voy a pifuanear”, diciendo, se acercó al Carachupa.","“Ma’sha, kualer siwerchechek. Kuanta’ nu’pachi pilenñantechek,” tan ima Chi’lek kawilli."
P00218,"“¿Dónde está tu pifuano, sobrino?” fue a decirle entrando.","“¿Enka’chana pilenñanpen, surinú?” itunta’llima"
P00219,"“Aquí está el pifuano, tío”, diciendo el Carachupa se lo dio.","“Ma’atasu’ pilenñanwek, apetchá”, tan Chi’lekler enka’lli."
P00220,"“A ver, yo también quiero soplar”, le dijo.","“Enta’n kuanta’ yapenñek,” itullima."
P00221,"El Tigre trató de soplar, pero el pifuano no sonó.","Amana’ yapenwiñi, ku’li’na illi’ñi pilenñan."
P00222,"La boca del Tigre, dice, era grande y se equivocó allí nomás, su respiración no daba.","A’llupila’la’ ima nana Amana’, nanimi’na inpektunla’lli, nerideknen ima yenñichi’ñi."
P00223,"Le hizo sonar, dice, pero no le hizo sonar tan bonito como pifuaneaba el Carachupa.","A’illiwiñima, ma’shi’na mushasu’ nana Chi’lek pilenñanta’su’pu’su’ a’illi’ñi."
P00224,Sin…sin…sin…sin…. Así nomás (feo) le hacía sonar.,Sin…sin…sin…sin… tula’si’ma a’illiñi.
P00225,"Así, pues, de cualquier manera le hizo sonar el",Nu’an imi’na ma’pu’su’pi’nta’ a’illiñi Amana’.
P00226,Dice que ya no quería devolverle su pifuano al Carachupa; se lo llevó donde él vivía.,A’pinti’ma yaenki’ñi Chi’lek pilenñanen; ekpei’tunta’lli enñupi’pa nana ñak.
P00227,"El Tigre se iba solo, haciendo sonar sin…sin…sin,","Pa’apilanta’llima, sin…sin...sin a’tapilanta’la’llima, pilenñantan Amana’ pidekñikwalek."
P00228,"El Carachupa, dice, le siguió al Tigre para quitarle su pifuano.","Chi’lek ima tupitunta’lli Amana’, pilenñanen yasiwerchan."
P00229,"Llegando a la casa del Tigre le gritó: “¡Ven a comerme, tío! ¡Ven a comerme, tío!”","Ektunta’n ima Amana’ pidik lamapu’tulli “¡Ka’encha’u, apetchá! ¡Ka’encha’u apetchá!”"
P00230,"Entonces, el Tigre vino corriendo para agarrar al Carahupa.","Ipa’linchi Amana’ tekkencha’lli, Chi’lek yapilli’tan."
P00231,"Pero el Carachupa, dice, se metió a un hueco.",Chi’lek imi’na lallik da’kuñi.
P00232,"Después de que entró al hueco, el Tigre metió su moquete y le agarró al Carachupa de la punta de su cola.",Da’lapisik ima isa’tukuñi pilli’tulli wiñisen llintekñikla Chi’lek.
P00233,“¿Acaso te he agarrado?” le preguntó.,"¿“Pilli’tullen a’cha,”? itullima."
P00234,"“Solo has agarrado la raíz de un árbol, tío” le respondió.","“Nalaiteksa’ pilli’tula, apetchá,” itullima."
P00235,El Tigre le soltó un poco la cola y el Carachupa se metió más al fondo.,"Amana’ler a’mercha apu’lli llinteknen, nanek"
P00236,"“Aquí te voy a esperar. Cuando sientas hambre y salgas, te voy a comer”.","“Asek wa’ten’etchen kua. Uki’lan yunsu’encha’a’sin, kua ka’etchen,” itulli Amana’ler."
P00237,"Ahí, dice, el Tigre estaba sentado.",Nanek ima Amana’ du’apallima.
P00238,"Haciendo eso, dice, el Carachupa se metió más adentro y cavó una vuelta.","Nu’apan ima Chi’lek da’kun a’pinta’, iwa’tulli kuner’su’."
