pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank,risk_flags
U00780,G00657,tengo vino.,vinu' a'ñapalek,kerlliek vinu',traje vino.,U01712,G01515,medium,0.8766567707061768,0.7030717134475708,0.1735850572586059,2,shared_shiwilu_tokens
U00626,G00521,mantente despierto.,ñapaker' nanpiladasu',ñapaker' musu'kankantusu',estate contento.,U00465,G00380,medium,0.8499772548675537,0.6980408430099487,0.1519364118576049,8,shared_shiwilu_tokens
U01586,G01397,somos egoístas.,kenmu'sak lli'i'nupalekwa',saputek'lusa' nuker'ka,son débiles.,U01212,G01053,hard,0.6465827226638794,0.5953460931777954,0.0512366294860839,16,very_close_margin
U03120,G02895,de esta manera ahora están olvidando la lengua shiwilu.,ipa'la nu'anna' ipa' shiwilu la'la' pinaner'apilallina'.,ipa'la asu' senñula' itullun ¡lunker shiwilu la'la'!,ahora esta señora me pidió ¡habla la lengua shiwilu!,U02504,G02279,hard,0.8592577576637268,0.785237193107605,0.0740205645561218,3,shared_shiwilu_tokens
U03120,G02895,de esta manera ahora están olvidando la lengua shiwilu.,ipa'la nu'anna' ipa' shiwilu la'la' pinaner'apilallina'.,da'ilek ala'si'mi'na lachik'apalli asu' shiwilu la'la'.,"entonces, dice que había uno que entendía la lengua shiwilu.",U02974,G02749,medium,0.8592577576637268,0.7028400897979736,0.1564176678657531,4,shared_shiwilu_tokens
U03064,G02839,"nosotros somos bastantes, ellos son doscitos nomas.","kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'.","kenmu'wa' mutupi muda', kenmu'wa' ñi asu'lupa'dei'npu'.","nosotros somos gente de cerro, nosotros no somos de aquí.",U03150,G02925,medium,0.8094678521156311,0.6484353542327881,0.161032497882843,2,shared_shiwilu_tokens
U02347,G02122,una vez tostado se lo muele.,inyek ipa'linchi peksanek.,ipa'linchi a'pi'dektapa'sik ukllapilelli.,entonces cuando se está cutipando (se está haciendo hervir nuevamente) está amaneciendo.,U02385,G02160,medium,0.6619747281074524,0.5098702311515808,0.1521044969558715,20,shared_shiwilu_tokens
U00646,G00539,esto funciona.,asu' saka'tapalli,asu' saka'techu',este funciona.,U01872,G01666,hard,0.8794289231300354,0.7643211483955383,0.115107774734497,4,shared_shiwilu_tokens
U00647,G00539,esto trabaja.,asu' saka'tapalli,asu' saka'techu',este funciona.,U01872,G01666,hard,0.875119149684906,0.7580256462097168,0.1170935034751892,4,shared_shiwilu_tokens
U00647,G00539,esto trabaja.,asu' saka'tapalli,asu' katu'pa'techu,esto ayudará.,U01213,G01054,medium,0.875119149684906,0.654510498046875,0.220608651638031,5,shared_shiwilu_tokens
U00675,G00565,tom morirá.,tom chiminchu,tom idenmechu,tom luchará.,U01877,G01671,hard,0.9015951156616212,0.8124352693557739,0.0891598463058471,2,shared_shiwilu_tokens
U00675,G00565,tom morirá.,tom chiminchu,tom panwilek'techu,tom pagará.,U00676,G00566,medium,0.9015951156616212,0.7497283220291138,0.1518667936325073,4,shared_shiwilu_tokens
U00897,G00768,se besaron.,inmusha'llina',yamerladallina',sonrieron.,U00899,G00770,hard,0.790229856967926,0.7387572526931763,0.0514726042747497,2,very_close_margin
U01037,G00898,"espera, tom.",wa'tenker' tom,"tupiter', tom","prosigue, tom.",U01154,G01006,hard,0.862822949886322,0.7177917957305908,0.1450311541557312,2,shared_shiwilu_tokens
U01037,G00898,"espera, tom.",wa'tenker' tom,wiuk'er' tom,"apúrate, tom.",U01382,G01207,medium,0.862822949886322,0.6807072758674622,0.1821156740188598,4,shared_shiwilu_tokens
U02127,G01907,son amarillas.,sha'pi'su'sa' nuker'ka,u'chimuinchilusa' nuker'ka,son especiales.,U02149,G01929,hard,0.8016847968101501,0.7514463663101196,0.0502384305000305,7,very_close_margin|shared_shiwilu_tokens
U02127,G01907,son amarillas.,sha'pi'su'sa' nuker'ka,iñer' ñinchitulusa' nuker'ka,son inteligentes.,U01300,G01131,medium,0.8016847968101501,0.6300908327102661,0.171593964099884,13,shared_shiwilu_tokens
U01615,G01426,pareces ocupado.,ma'nen'nu'tapa'masu'pu'su' lli'tula,kaluwinanpu'su' lli'tula,pareces enfermo.,U01616,G01427,hard,0.7002075910568237,0.6007455587387085,0.0994620323181152,5,shared_shiwilu_tokens
U00690,G00577,fracasaremos.,teka'per'aterwa',pa'echidek,nos vamos.,U01583,G01394,hard,0.7205953598022461,0.6661529541015625,0.0544424057006835,6,very_close_margin
U01008,G00871,¡míralo!,¡lli'ker'!,¡paku'!,lárguese.,U00068,G00052,hard,0.8561623692512512,0.8029301762580872,0.053232192993164,2,very_close_margin
U02332,G02107,nos estamos muriendo.,chimianpilallidek.,perlli'llidek,estamos hartos.,U00701,G00587,hard,0.8344146013259888,0.7812310457229614,0.0531835556030273,4,very_close_margin
U00202,G00155,llego tarde.,erwa' ektu'lek,etu'kerlek er'wa,llegué tarde.,U00551,G00456,hard,0.8004535436630249,0.7480106949806213,0.0524428486824035,2,very_close_margin
U02364,G02139,cuando hierve se lo echa en otra olla de barro grande que está enterrada (hasta la mitad).,"ukluka'sik, ali'lak kupin uktak pekdu'a'kasu' upellek.",we'chimu luntulek senñula' enpi'pu' lunchinpu'a'kasu'.,bonito le hablo a esta señora con quien nunca antes había conversado.,U02288,G02063,hard,0.689160168170929,0.639004111289978,0.0501560568809509,9,very_close_margin
U01731,G01533,hice panecitos.,nutulek tanta'shala,ka'lek manzanas,comí manzanas.,U01061,G00920,hard,0.8132749795913696,0.7599712610244751,0.0533037185668945,2,very_close_margin
U01795,G01594,fue ameno.,u'chimu ñiwiñi,nudu'pi ñiwiñi,fue repugnante.,U01124,G00977,hard,0.8343108296394348,0.7739782929420471,0.0603325366973876,4,shared_shiwilu_tokens
U01796,G01594,era perfecto.,u'chimu ñiwiñi,ñiwiñi tekinchi,fue real.,U00842,G00718,medium,0.8282978534698486,0.6540139317512512,0.1742839217185974,5,shared_shiwilu_tokens
U00397,G00322,¡por supuesto!,te'kinchi,¡pante'chek!,¡hasta pronto!,U01167,G01018,hard,0.7079361081123352,0.6528395414352417,0.0550965666770935,4,very_close_margin
U01589,G01400,miramos,lli'aterwa',lli'dek'ku',obsérvalos.,U00269,G00215,hard,0.8669068813323975,0.8096218705177307,0.0572850108146667,3,very_close_margin
U00000,G00000,ve.,paker',yunsuer',sal.,U00062,G00048,hard,0.6255969405174255,0.5751117467880249,0.0504851937294006,8,very_close_margin
U01968,G01757,¿comés carne?,¿chuchu ka'a'pala?,¿empu'dun pichiapala?,¿cuánto mides?,U02248,G02023,hard,0.7620353102684021,0.7023167014122009,0.0597186088562011,4,very_close_margin
U02713,G02488,"el lago junto al pelejo se secó,","kundetchek enñi,","mitan nakusik ima adanta'n,","cuando pasó el carnaval regresó,",U02688,G02463,hard,0.8066999912261963,0.7550378441810608,0.0516621470451355,7,very_close_margin
U01248,G01085,estábamos heridos.,llipu'pi ñapawiñidek,insek'diperpi ñapawiñidek,estábamos listos.,U01236,G01075,hard,0.852546751499176,0.7932011485099792,0.0593456029891967,5,very_close_margin|shared_shiwilu_tokens
U03075,G02850,buscaron a los yupaneros.,ma'i silutulusa' dunkerllina'.,llinanlusi'ma tanpa'nen ukunñina'.,las ramas de las lupunas quebradas se mantenían colgadas (ya el duende los estaba hipnotizando).,U02944,G02719,hard,0.6470032930374146,0.5925058126449585,0.054497480392456,7,very_close_margin
U02052,G01835,voy saliendo.,yunsu'pilalek,yunsue'chek,me mudaré.,U00561,G00466,hard,0.7592180967330933,0.7080830335617065,0.0511350631713867,8,very_close_margin
U02944,G02719,las ramas de las lupunas quebradas se mantenían colgadas (ya el duende los estaba hipnotizando).,llinanlusi'ma tanpa'nen ukunñina'.,nana lupa' lenmek'a'su' supinak nalalusi'ma pada'sa'tulli.,cuando calmó el temblor los árboles se sacudieron.,U02943,G02718,hard,0.6003385782241821,0.549138605594635,0.0511999726295471,6,very_close_margin
U01863,G01657,ellos ayudarán.,nawa' katu'pa'techuna',nawa' wenche'chuna',ellos vendrán.,U01204,G01045,medium,0.9046388268470764,0.7458264827728271,0.1588123440742492,3,shared_shiwilu_tokens
U00988,G00852,¿estás lleno?,¿mer'su' ñapala?,¿inapiken ñapala?,¿estás soltero?,U01649,G01458,hard,0.8331517577171326,0.7752836346626282,0.0578681230545043,9,very_close_margin|shared_shiwilu_tokens
U00988,G00852,¿estás lleno?,¿mer'su' ñapala?,¿enñupa'cha ñapala?,¿dónde estás?,U01602,G01413,medium,0.8331517577171326,0.6745771765708923,0.1585745811462402,20,shared_shiwilu_tokens
U01974,G01763,¿lo recuerdas?,¿lli'inutapala?,¿kerka' ñinchitapala?,¿estudias?,U02221,G01998,hard,0.7870035171508789,0.7334655523300171,0.0535379648208618,6,very_close_margin
U01190,G01033,eso ayudará.,nana katu'pa'techu,nana katu'patulli,eso ayuda.,U00220,G00172,medium,0.8679196238517761,0.7111849188804626,0.1567347049713134,5,shared_shiwilu_tokens
U00625,G00520,mantente alerta.,ñapaker' insek'dipersu',insek'dipersu' ñapaker',estate preparado.,U00721,G00605,hard,0.8323689103126526,0.7692826390266418,0.0630862712860107,4,shared_shiwilu_tokens
U02041,G01825,estaré esperando.,wa'tentapechek,wa'tentutek ñiechek,seré paciente.,U02040,G01824,hard,0.8707575798034668,0.8122679591178894,0.0584896206855773,2,very_close_margin
U02578,G02353,así dicen que pampayacu se quemó.,nu'sui'ma asu' panpadek uksu'ketchulli.,naneklimaka asu' nana lanla' pitunta' uwentunta'lli.,"de ahí, esta la ballena poza se redujo.",U02831,G02606,hard,0.7373350858688354,0.6605531573295593,0.0767819285392761,2,shared_shiwilu_tokens
U03136,G02911,"no quería que (los shiwilu) se estiraran cuando trabajaban, hasta que se hacía bien tarde (los obligaban a trabajar), hasta que se hacía bien oscuro y el grillo (cantaba) chanchanchan.","yenchenterka'su' saka'tapanna', iñer er'werwalek ipa' kasiserapilek walek ipa' asu' inkella chanchanchan.","katu'shunka' alei'teklun ekkilala ñisik ima, nana wa'anku'lusa' malallinalek lu'rnkasu' nawei'ma ipa' chimia'ser adankenñunta'llina'.",veinticinco años pasaron y cuando las autoridades que habían hablado con malallina murieron volvieron (a jeberos).,U03086,G02861,hard,0.6491511464118958,0.5372793078422546,0.1118718385696411,2,shared_shiwilu_tokens
U03136,G02911,"no quería que (los shiwilu) se estiraran cuando trabajaban, hasta que se hacía bien tarde (los obligaban a trabajar), hasta que se hacía bien oscuro y el grillo (cantaba) chanchanchan.","yenchenterka'su' saka'tapanna', iñer er'werwalek ipa' kasiserapilek walek ipa' asu' inkella chanchanchan.","asu' yekpantan wei ali'la ñinanluk yañinchitula, ma'pu'sui'pa nanpilek kua asu' shiwiluk.","esto queriendo llevar lejos, a otro pueblo, quieres aprender, de qué manera vivo aquí en jeberos.",U02403,G02178,medium,0.6491511464118958,0.4976218044757843,0.1515293419361114,4,shared_shiwilu_tokens
U01528,G01341,sé positivo.,inlli'inuter' musuk,musu'nakuker',pásala bien.,U00162,G00120,hard,0.7643369436264038,0.7065035104751587,0.0578334331512451,8,very_close_margin
U01940,G01730,¿estás casado?,¿sadasu'cha ñapala?,¿kadu'lunsu' ñapala?,¿estás embarazada?,U02219,G01996,hard,0.8225720524787903,0.76674884557724,0.0558232069015502,4,very_close_margin|shared_shiwilu_tokens
U01940,G01730,¿estás casado?,¿sadasu'cha ñapala?,¿mer'su' ñapala?,¿estás lleno?,U00988,G00852,medium,0.8225720524787903,0.6436954140663147,0.1788766384124755,10,shared_shiwilu_tokens
U02035,G01819,seguiré.,tupiechek,yute'chek,le reñiré.,U01766,G01566,hard,0.745398759841919,0.6950518488883972,0.0503469109535217,2,very_close_margin
U02062,G01845,¿es maestro?,¿a'lek'tutek' nuka'a?,¿tekinchi nuka'ma?,¿eres real?,U02218,G01995,hard,0.7052827477455139,0.6550834774971008,0.050199270248413,7,very_close_margin
U02403,G02178,"esto queriendo llevar lejos, a otro pueblo, quieres aprender, de qué manera vivo aquí en jeberos.","asu' yekpantan wei ali'la ñinanluk yañinchitula, ma'pu'sui'pa nanpilek kua asu' shiwiluk.","- asui'na asu'lupa' da'kellek kua samer yapektawamu, panpadek nuka'a tullima.","por acá he entrado yo para criar peces, se llama pampayacu arákayu les respondió",U02599,G02374,medium,0.7528039813041687,0.5430858731269836,0.209718108177185,2,shared_shiwilu_tokens
U02854,G02629,entonces otro viejo soñador dijo:,nanek ima ali'la taserpi wa'lata'su' tulli:,nu'an ima waneran tulli:,después poniéndose de pie dijo:,U02695,G02470,hard,0.866435706615448,0.7878056764602661,0.0786300301551818,3,shared_shiwilu_tokens
U01707,G01510,"¡apúrensen, muchachos!",¡wiuk'ku wilalusa'!,¡wiuku' wilalunlusa!,"¡apúrensen, muchachas!",U01998,G01784,hard,0.8135105967521667,0.7611788511276245,0.0523317456245422,2,very_close_margin
U02534,G02309,cuando estábamos agarrando pescado nos botaron porque tenemos esta enfermedad sa'la'.,samer mapa'sekudek dinsulullinerkudek asu' sa'la' a'kudeksu' malek.,nanalupa' uk'anna' asu' utapakellinerkenmu'wa'.,viniendo por ahí nos están viniendo a hacer esto.,U03115,G02890,medium,0.794999897480011,0.5366722345352173,0.2583276629447937,2,shared_shiwilu_tokens
U01750,G01552,quiero hablar.,yalun'nek,yasaka'tulek,quiero trabajar.,U01751,G01553,hard,0.700251042842865,0.6450372934341431,0.0552137494087219,6,very_close_margin
U00419,G00339,aléjate.,ñilupa'sha,nu'wanker',baje.,U01014,G00876,hard,0.7375916242599487,0.6868094205856323,0.0507822036743164,3,very_close_margin
U00623,G00518,huelan esto.,lanerku' asu',sek'diperku' asu',guarden esto.,U00375,G00306,hard,0.8301418423652649,0.7359015345573425,0.0942403078079223,2,shared_shiwilu_tokens
U00623,G00518,huelan esto.,lanerku' asu',pilliter' asu',sostén esto.,U00311,G00248,medium,0.8301418423652649,0.6757161617279053,0.1544256806373596,13,shared_shiwilu_tokens
U02864,G02639,un grupo que vaya durmiendo y el otro grupo que haga guardia.,"ala'musun wicha'pai, ali'la musui'na nanpiladapai.",nanpincha'a'ser nawa' nanpiladaperkek walek ali'la musun'unta' wichi'chu'.,"cuando se despierten los unos, hasta que estén despiertos ellos los otros que duerman.",U02865,G02640,medium,0.7325956225395203,0.5704355835914612,0.162160038948059,2,shared_shiwilu_tokens
U02706,G02481,"dice que cuando iba río abajo los peces lo siguieron,","nu'wanta'sik ima sameller tupitunta'lli,","iñer u'lan'ukllik wisunanpalli,","todas las temporadas de lluvias inunda,",U02753,G02528,hard,0.6515583992004395,0.6003885269165039,0.0511698722839355,4,very_close_margin
U00609,G00505,votemos.,dek'awa',pa'inpu'wa',no vayamos.,U01150,G01003,hard,0.6591634750366211,0.6020321846008301,0.057131290435791,21,very_close_margin
U02216,G01993,estás atascado.,da'sek'su' ñapala,lupersu' ñapala,estás borracha.,U01293,G01124,hard,0.8808376789093018,0.8293922543525696,0.0514454245567321,4,very_close_margin|shared_shiwilu_tokens
U01304,G01135,estás equivocado.,aper'su' ñapala,wa'danpintek ñapala,estás loco.,U01291,G01122,hard,0.7571590542793274,0.7070322036743164,0.0501268506050109,12,very_close_margin|shared_shiwilu_tokens
U02477,G02252,"con ella mi padre y mi madre me criaron, yo la hablo.","nanalek tatawek awawek teksusullun, kua nana lu'nkasu'.","nanpipakun tatawek ima wilawañinerku, wadekllinerku, asek i'la susulek.","conviviendo con mi padre me engendraron, me parieron y aquí mismo crecí.",U02253,G02028,hard,0.7823701500892639,0.7200021743774414,0.0623679757118225,2,shared_shiwilu_tokens
U02477,G02252,"con ella mi padre y mi madre me criaron, yo la hablo.","nanalek tatawek awawek teksusullun, kua nana lu'nkasu'.","iskun duker a'ña'seku awawek chiminlapillun, amishawek teksusullun.",cuando tenía nueve meses murió mi madre y me crió mi abuelita.,U02254,G02029,medium,0.7823701500892639,0.6196846961975098,0.1626854538917541,3,shared_shiwilu_tokens
U00863,G00739,nadie mintió.,ñiden tumui'ñi,ñiden lamapui'ñi,nadie gritó.,U01834,G01630,hard,0.8889034986495972,0.833079993724823,0.0558235049247741,2,very_close_margin|shared_shiwilu_tokens
U01562,G01374,estamos arruinados.,nakusu' muin'su' ñapallidek,wer'su' ñapallidek,estamos perdidos.,U00699,G00585,hard,0.8714950680732727,0.8166443705558777,0.054850697517395,14,very_close_margin|shared_shiwilu_tokens
U01563,G01374,estamos condenados.,nakusu' muin'su' ñapallidek,pekuipi ñapalidek,estamos limpios.,U00944,G00812,hard,0.8108871579170227,0.7522549629211426,0.0586321949958801,16,very_close_margin
U00275,G00221,¿quién murió?,¿den chimiñi?,¿den kana'tulli?,¿quién gana?,U01605,G01416,hard,0.8549357652664185,0.7663544416427612,0.0885813236236572,2,shared_shiwilu_tokens
U00275,G00221,¿quién murió?,¿den chimiñi?,¿den ata'wantulli?,¿quién canceló?,U01258,G01094,medium,0.8549357652664185,0.6868301033973694,0.168105661869049,10,shared_shiwilu_tokens
U00093,G00277,soy gorda.,weilunsu' nuka'ka,insilanpi nuka'ka,soy gemelo.,U00555,G00460,hard,0.7252334952354431,0.6747544407844543,0.0504790544509887,12,very_close_margin|shared_shiwilu_tokens
U00346,G00277,soy obesa.,weilunsu' nuka'ka,mukankainpu' nuka'ka,soy malo. (maldad),U00205,G00158,hard,0.7492502927780151,0.6945352554321289,0.0547150373458862,15,very_close_margin|shared_shiwilu_tokens
U00346,G00277,soy obesa.,weilunsu' nuka'ka,doktor nuka'ka,soy doctor.,U01098,G00957,medium,0.7492502927780151,0.5965307354927063,0.1527195572853088,32,shared_shiwilu_tokens
U01686,G01491,todos pagaron.,iñer' panwilek'tullina',iñer' kana'tullina',todos ganan.,U01353,G01180,hard,0.874916672706604,0.7771116495132446,0.0978050231933593,2,shared_shiwilu_tokens
U00642,G00535,ellos votaron.,nawa dekllina',nawa' werañina',ellos cenaron.,U02129,G01909,hard,0.7617024779319763,0.7032917141914368,0.0584107637405395,6,very_close_margin
U00642,G00535,ellos votaron.,nawa dekllina',nawa panper'chechuna',ellos atacarán.,U01866,G01660,medium,0.7617024779319763,0.5707443356513977,0.1909581422805786,11,shared_shiwilu_tokens
U01583,G01394,nos vamos.,pa'echidek,adanta'wa',volvamos.,U01504,G01320,hard,0.8583332300186157,0.8027844429016113,0.0555487871170043,5,very_close_margin
U01178,G01026,no discutas.,yainyututa,yawencha'ta,no vengas.,U00483,G00396,hard,0.7120196223258972,0.6598921418190002,0.0521274805068969,16,very_close_margin
U00671,G00561,tom trabajó.,tom saka'tulli,tom malla'lli,tom rezó.,U00665,G00555,hard,0.8234946727752686,0.7514835596084595,0.072011113166809,2,shared_shiwilu_tokens
U00671,G00561,tom trabajó.,tom saka'tulli,tom nakusu' a'teka'lli,tom aceleró.,U02152,G01932,medium,0.8234946727752686,0.6434546113014221,0.1800400614738464,7,shared_shiwilu_tokens
U01779,G01578,me demandaron.,iker'lalak aku'llinerku,a'apitulliner'ku,fui enmarcado.,U01088,G00947,hard,0.7460291385650635,0.6945828795433044,0.051446259021759,10,very_close_margin
U00793,G00670,leo labios.,ñinchitapalek ma'tapallinpa',ñinchitapalek idun'ak,sé nadar.,U00520,G00431,hard,0.74777752161026,0.6772027015686035,0.0705748200416565,4,shared_shiwilu_tokens
U00220,G00172,eso ayuda.,nana katu'patulli,nana saka'tapalli,eso funciona.,U00636,G00531,hard,0.8432524800300598,0.7318339943885803,0.1114184856414794,5,shared_shiwilu_tokens
U02935,G02710,"cuentan que dijo así el hombre que detectó, eso dijo ese soñador:","tullima nana lunanpichita'su', tullima nana wa'lata'su':",nakupila'ser yasaka'tanna' nana kaschilla lu'nsu'lek peklu'dek'an itudeklli:,y cuando (los shawala) estaban pasando a trabajar con esos castellano-hablantes los llamó y les dijo:,U03059,G02834,medium,0.7937477827072144,0.6113726496696472,0.1823751330375671,4,shared_shiwilu_tokens
U01564,G01375,tenemos hambre.,uki'lallidek,yampu'su' ñapallidek,estamos separados.,U02184,G01964,hard,0.8318672776222229,0.7763115763664246,0.0555557012557983,5,very_close_margin
U02198,G01976,anota esto.,llinser'ker' asu',llinser'ker' nana,anota eso.,U02196,G01975,hard,0.8606042265892029,0.8059653043746948,0.054638922214508,6,very_close_margin|shared_shiwilu_tokens
U02198,G01976,anota esto.,llinser'ker' asu',a'ta'wanter asu',termine esto.,U00747,G00627,medium,0.8606042265892029,0.6926622986793518,0.167941927909851,25,shared_shiwilu_tokens
U02199,G01976,anote esto.,llinser'ker' asu',luntuku' asu',lean esto.,U00402,G00326,hard,0.8638874292373657,0.812220573425293,0.0516668558120727,6,very_close_margin|shared_shiwilu_tokens
U02199,G01976,anote esto.,llinser'ker' asu',a'ta'wanter asu',termina esto.,U00748,G00627,medium,0.8638874292373657,0.7042684555053711,0.1596189737319946,25,shared_shiwilu_tokens
