pair_id,texto_id,item_number,SHIWILU,ESP,quality_flag
T001_N040,1,40,"Nana ekpanta’i, ekpanta’i nerñinanluk,","Ella que lleve (mi palabra) a otro pueblo,",ok
T001_N041,1,41,"nananta’ a’lekchii, ñinchichii,","ella también que enseñe para que (otros) la aprendan,",ok
T001_N042,1,42,ma’sha asek i’la ta’wanchinpu’kek.,para que aquí nomás no se termine.,ok
T001_N043,1,43,A’pinta’ tupichina’ nawa’.,Más que sigan ellos (difundiéndola).,ok
T001_N044,1,44,"Nerñinanluk ñinchichinna’ nawa’nta’ Shiwilu,","En otros pueblos que conozcan también el shiwilu,",ok
T001_N045,1,45,"napi’ Shiwilu,","el shiwilu de antes,",ok
T001_N046,1,46,"nanpikudeksu’,","nuestras costumbres,",fallback_last_line_as_spanish
T001_N047,1,47,"napi’ nanpirkasu’ papinkuku’lusa’, amiku’lusa’.","lo que vivieron antes nuestros abuelos ya fallecidos, las abuelas finadas.",ok
T001_N048,1,48,Wilaweklusa’pa’ ma’sha a’lekdek’i’nek.,Ya que a mis hijos no les enseñé.,ok
T001_N049,1,49,Ñienkasu’ wilaweklusa’ lachek’i’ñina’.,Ninguno de mis hijos entiende.,ok
T001_N050,1,50,"U’dun wawalu’ wadek’a’kasu’, u’dun wawalu’ kua teksusu’kasu’.","Hartos hijos he parido, hartos hijos he criado.",fallback_last_line_as_spanish
T001_N051,1,51,Ñienkasu’ ñinchichillina’ namasu’ la’lekla lunchinpu’dek’a’kasu’ malek.,Ninguno sabe de esta lengua porque no les he hablado.,ok
T001_N052,1,52,¿Ma’ki’na ñinchichi’ñina’?,¿Por qué no entienden?,ok
T001_N053,1,53,kua usha’wanek a’lek’inpu’dek’amu wilaweklusa’.,Yo tengo la culpa de no haberles enseñado a mis hijos.,ok
T001_N054,1,54,Ipa’li’na nawa’ yañinchituwiñina’ saka’dek.,Ahora ellos quisieran aprender pero es difícil.,ok
T001_N055,1,55,"Kui’na usha’wanek wilaweklusa’ a’lek’inpu’dek’amu,","Yo sí que tengo la culpa por no enseñarles a mis hijos,",ok
T001_N056,1,56,"iñer ñinchita’kudeksu’ napi’ku’lusa’ki,","todo lo que sabemos de los antiguos,",ok
T001_N057,1,57,"kaikku’lusa’ki,","de las mujeres ya fallecidas,",ok
T001_N058,1,58,inetchaku’lusa’ki.,de las tías (paternas) finadas.,ok
T001_N059,1,59,Taker’apilallina’ iñer.,Van consumiéndose todos.,ok
T001_N060,1,60,Shiwilu la’la’ ta’wantapilalli.,El idioma Shiwilu se está terminando.,ok
T001_N061,1,61,"Mula’si’la asu’ kai kua nerñinanlukla,","Para bien esta hermana desde otro pueblo,",fallback_last_line_as_spanish
T001_N062,1,62,kupin ñinanlukla weklli.,desde una ciudad grande ha venido.,fallback_last_line_as_spanish
T001_N063,1,63,"Nanima yañinchitulli,","Ella dice que quiere aprender (mi idioma),",ok
T001_N064,1,64,nana a’lek’apalek.,le estoy enseñando.,fallback_last_line_as_spanish
T001_N065,1,65,"Ekpanta’n nananta’ a’lekchii, a’lektan nanalupa’",Llevándolo ella también que enseñe por otros lugares,ok
T001_N066,1,66,ta’wanchinpu’ek asu’lupa namasu’ la’la’ lu’nkawasu’.,para que no se acabe aquí esta lengua que hablamos.,ok
T001_N067,1,67,Ta’wanchinpu’ek asek tulek kua.,Para que no se acabe aquí digo yo.,ok
T001_N068,1,68,"Iñer asek ñapalusa’,","Todos los que están aquí,",ok
T001_N069,1,69,"wilalusa’,","niños,",fallback_last_line_as_spanish
T001_N070,1,70,"nadi’neklusa’,","jóvenes,",ok
T001_N071,1,71,"wilalunlusa’, ñi ñinchichi’ñina’ namasu’ la’la’mapu’wa’,","muchachas, no saben pues esta lengua nuestra,",ok
T001_N072,1,72,"Shiwilu la’la’,","la lengua shiwilu,",fallback_last_line_as_spanish
T001_N073,1,73,Shiwilu lu’nkasu’ ñinchichi’ñina’.,el shiwilu que yo hablo no lo saben.,ok
T001_N074,1,74,Ma’sha.,No.,ok
T001_N075,1,75,"Wilalusa’ ipa’la Kaschilla’ la’leklansa’ lunna’,",Los niños ahora hablan sólo el castellano,ok
T001_N076,1,76,ipa’li’na Shiwilu la’la’ pinanetllina’.,y han olvidado la lengua shiwilu.,ok
T001_N077,1,77,"Ñi luwanchi’ñina’,","No quieren (saber) nada,",fallback_last_line_as_spanish
T001_N078,1,78,"ñi yalui’ñina’,","no les importa,",ok
T001_N079,1,79,innichi’ñina’ lu’nkasu’.,no pueden hablar.,ok
T001_N080,1,80,Nu’amu kua wa’inutulek.,Por eso tengo pena.,fallback_last_line_as_spanish
T001_N081,1,81,"Ñinchilu’nkudeksu’ taker’apilallidek,","Los que sabemos hablar nos estamos extinguiendo,",ok
T001_N082,1,82,chimianpilallidek.,nos estamos muriendo.,fallback_last_line_as_spanish
T001_N083,1,83,Iñer ta’wantapilallina’.,"Todo se está terminando. Jeberos, 25 de julio del 2005",ok
T002_N001,2,1,"Ipa’li’na kai kuaweklusa’, senñula’lusa’, wintetchenma’","Ahora mis hermanas menores, señoras, les voy a contar,",fallback_last_line_as_spanish
T002_N002,2,2,a’lek’etchenma’ kuda ukluta’kudeksu’.,les voy a enseñar la elaboración de la chicha punta.,ok
T002_N003,2,3,Uklupidekkin yañinchitulama’.,De la chicha punta quieren conocer.,ok
T002_N004,2,4,"Yañinchitulama’ kenmama’nta’ ma’pu’si’pa’ nu’tulek,","Ustedes también quieren aprender de qué manera se hace,",ok
T002_N005,2,5,uklutulek.,cómo se prepara la bebida.,ok
T002_N006,2,6,Nu’tulek u’su’.,Se hace así.,ok
T002_N007,2,7,"Nanentu ker’ manta’lek menmikda’,","Primero se va a traer yuca de la chacra,",ok
T002_N008,2,8,"uka’lek, eksu’lek.","se la extrae, se la pela.",ok
T002_N009,2,9,"Eksu’, kencha’lek pidik, aku’lek.","Pelada, se trae a la casa y se la guarda.",ok
T002_N010,2,10,"Ukllinantusik ipa’linchi pamu’lek, a’du’lek uktak.",Cuando amanece entonces se lava (la yuca) y se la pone en una olla.,ok
T002_N011,2,11,Dintuntulek wa’naukta ukluka’lli.,Se junta la leña (para el fuego) debajo de la olla de aluminio y se hierve.,ok
T002_N012,2,12,Ukluka’pasik kenmu’nta’ inyalalatulek chitetlla.,Mientras está hirviendo se tuesta el maíz desgranado.,ok
T002_N013,2,13,Ala’ kilu inyalek chiter inyalalanantekkek.,Un kilo de maíz se tuesta en una tostadora.,ok
T002_N014,2,14,Inyek ipa’linchi peksanek.,Una vez tostado se lo muele.,ok
T002_N015,2,15,Pitak aku’n peksantunanlek napi’ku’lusa’ peksantullina’.,Poniéndolo en el batán los antiguos molían con moledor de palo.,ok
T002_N016,2,16,Ipa’li’na nui’ñina’.,Ahora ya no hacen así.,ok
T002_N017,2,17,Ipa’li’na makinak peksanpallina’ damellu’shasu’.,Ahora a máquina muelen bien menudito.,ok
T002_N018,2,18,Peksantapamu nana inkaluner ker’unta’ a’ler’apalek alei’teklundan.,"Mientras muelo voy asando también la yuca, cinco yucas enteras.",ok
T002_N019,2,19,Ipa’linchi chitetllu’ kellu’lek seklekka’lek.,"Después, al maíz pulverizado y la yuca asada desmenuzada se los apiacha (se mezclan a mano formando una masa).",ok
T002_N020,2,20,Nanekpi’la a’kasetllek asukallek.,Ahí nomás se endulza con azúcar.,ok
T002_N021,2,21,"Nanekla mushasu’ inkawilalek, inpamu’lateklek.",Después bonito se lava uno la boca y se lava los dientes.,ok
T002_N022,2,22,Ipa’linchi ukdinu’tulek.,Entonces se empieza a mascar formando líquido.,ok
T002_N023,2,23,Ipa’linchi katennek.,Luego se pone en la boca.,ok
T002_N024,2,24,"Katentapek walek, ukluka’palli wa’naukta kellek.","Mientras se masca en la boca, ya está hirviendo la olla de aluminio con la yuca.",ok
T002_N025,2,25,Ukluka’sik pata’lek unmellinpa’ta’kasu’.,Cuando hierve se tantea para estar segura de que esté suave.,ok
T002_N026,2,26,"Patak ipa’linchi u’deklek,","Una vez tanteado entonces se chanca,",ok
T002_N027,2,27,"wa’nauktak i’la u’deklek, pitawilek,","en la misma olla se chanca y se va batiendo,",ok
T002_N028,2,28,pitawilek ma’ilek nerku’teklek pitawilek.,se lo va batiendo con este.... con un remo se lo bate.,ok
T002_N029,2,29,Napi’ i’na amiku’lusa’ utawitunanteklek utawillina’.,Pero anteriormente las abuelas finadas batían con el batidor “utawitunantek”.,ok
T002_N030,2,30,"Mu’ka mu’ka mu’katapasik,","Cuando está humeando, humeando, humeando,",ok
T002_N031,2,31,"ukluka’sik, ali’lak kupin uktak pekdu’a’kasu’ upellek.",cuando hierve se lo echa en otra olla de barro grande que está enterrada (hasta la mitad).,ok
T002_N032,2,32,Ipa’la a’pinta’ kupin ukta lli’tapi’ñi.,Ahora ya no se ven las ollas grandes de barro.,ok
T002_N033,2,33,Ipa’li’na nana wa’napi “tinpu” iterkasu’,Ahora a ese recipiente (grande de plástico) que le llaman“timbu”,ok
T002_N034,2,34,nana a’duk ipa’linchi nanek upellek.,se lo sienta y entonces ahí se vacea (el líquido para ser guardado).,ok
T002_N035,2,35,"Uper’apilalek, uper’apilalek.","Se sigue trasladando el líquido, se sigue vaciando (la yuca disuelta).",ok
T002_N036,2,36,Ipa’linchi ta’wantununta’sik nu’nipi’la ñapalli ker‘ ukluka’sik upetñunta’lek.,"Entonces cuando se termina, nuevamente la yuca sobrante se hierve (con el agua nueva que ha puesto) y se vuelve a trasladar.",ok
T002_N037,2,37,Nu’sik upetchununta’lek deklek.,Luego se vuelve a agregar agua.,ok
T002_N038,2,38,"Ukluka’nunta’sik, utawinunta’lek...",Cuando vuelve a hervir se vuelve a batir....,ok
T002_N039,2,39,"Ipa’linchi katentamupu’su’ pitawitapalek, ka’latulek.",Entonces mientras se va masticando se va batiendo el líquido y se masca el afrecho (lo último de la yuca disuelta).,ok
T002_N040,2,40,"Iñer ka’latak saneksik,",Cuando todo está mascado y enfriado,ok
T002_N041,2,41,nana di’din er’washinchi a’kasekchulek mi’len ulen’ak:,ese líquido al anochecer se lo endulza discursando a la abeja “mi’len”2:,ok
T002_N042,2,42,"“Mi’lencháaaa, kenmapa ñenpi’ laki’dek uwapi’naaa.","“Abeja mi’len, tú sí que nunca has hecho una chicha insípida.",fallback_last_line_as_spanish
T002_N043,2,43,"Mi’lencháaa, kenma enpu’nipi’nta’ uklutetchu iñer a’kaser apalaaa.","Abeja mi’len, tú qué cantidad de chicha que hagas siempre la endulzas.",ok
T002_N044,2,44,kuanta’ uklupidekwek pekkuituu”.,La mía también icáramela”.,ok
T002_N045,2,45,Chiter nanpi peksanpi nananta’ ali’la uktak a’ukluka’lek.,Maíz crudo molido también se hierve en otra olla.,ok
T002_N046,2,46,Nu’sik ker’ su’watek nananta’ a’ukluka’lek ali’la uktak.,Así también yuca cruda rallada también se hierve en otra olla.,ok
T002_N047,2,47,Ala’sa’ kupin uktaksa’ iñer nana kaladaper uktakda’ sekdunek.,En una sola olla grande se mezcla todo lo de esas tres ollas.,ok
T002_N048,2,48,Ipa’linchi ukdinu’ta’kasu’lek a’kasetllek.,"Entonces con lo que se ha mascado (entre varias mujeres) se endulza. 2 “ramichi”, en español regional.",ok
T002_N049,2,49,A’kaser’a’kasu’ supinak ukllinkek sulatulek.,"Después de endulzar (el líquido con el mascado), se cierne en la sedama (cernidor).",ok
T002_N050,2,50,Napi’ amishaku’lusa’ nu’tullina’ ukllin ma’alanlankekla.,Antes las abuelitas ya finadas hacían sedama de los tallos de la palmera “ma’a”.,ok
T002_N051,2,51,Dasu’dekpilli yunsa’nnunta’lek ya’pi’dektak.,A la madrugada siguiente una se levanta nuevamente para cutipar (haciéndole hervir otra vez).,ok
T002_N052,2,52,Ipa’linchi a’pi’dektapa’sik ukllapilelli.,Entonces cuando se está cutipando (se está haciendo hervir nuevamente) está amaneciendo.,ok
T002_N053,2,53,A’pi’dekta’kasu’ supinak a’du’dektulek kupin uktak.,"Después de cutipar, se deposita (la bebida) en una olla grande (que está enterrada hasta la mitad).",ok
T002_N054,2,54,"Nu’tak, lanchimeklek atantulek.","Hecho esto, se cubre con esteras (formando un techo).",ok
T002_N055,2,55,Nanek sanek’i nanasa’.,Ahí se enfría sola.,ok
T002_N056,2,56,Ñidenler pata’pi’ñi aper’inpu’ek.,Nadie la toca para que no se malogre.,ok
T002_N057,2,57,"Ínkatu’ uklli nakusik, deksik, ullidek.","Cuando pasan cuatro días, cuando fermenta, bebemos.",ok
T002_N058,2,58,Uklu’pidekdinpunen ma’lusa’ wa’danlusa’ uwerkasu’pu’lli.,La espuma de la chicha punta se parece a la bebida que toman los wiracochas (cerveza).,ok
T002_N059,2,59,"Nu’tulek kai kualusa’, senñula’lusa’,","Así se hace hermanas, señoras,",ok
T002_N060,2,60,napi’ amiku’lusa’pu’su’.,como hacían antes las abuelas ya finadas.,ok
T003_N001,3,1,Enta’ten i’na lunterkenma’.,"A ver, pues, vamos a conversar.",fallback_last_line_as_spanish
T003_N002,3,2,Kenma senñula’ yañinchitula asu’ Shiwilu la’la’mapu’wa’.,Usted señora quiere aprender esta nuestra lengua shiwilu.,fallback_last_line_as_spanish
T003_N003,3,3,Shiwilu la’la’mapu’wa’ u’chimusha.,Nuestra lengua shiwilu es bonita.,fallback_last_line_as_spanish
T003_N004,3,4,"Lachek’erkasu’ lachekllina’, lachek’inpu’erkasui’na innichi’ñina’ lachek’erkasu’.","Los que la entienden, la entienden, pero los que no la entienden no pueden entender.",ok
T003_N005,3,5,"Wilalusa’ ipa’la ñi lachek’i’ñina’, ipa’li’na Shiwilu la’la’mapu’wa’ nawa’ lachek’i’ñina’.","Los niños ahora no la entienden, ahora sí que ellos ya no comprenden nuestra lengua shiwilu.",ok
T003_N006,3,6,Napi’ wilashakuñamu asu’ Shiwilu la’la’ mushasu’ lunek.,Antes cuando era niñita hablaba bonito el shiwilu.,fallback_last_line_as_spanish
T003_N007,3,7,Ipa’li’na a’metcha yateknellek.,"Ahora, en cambio, un poco la quiero desviar.",ok
T003_N008,3,8,"Ma’shi’na teknerinek, ñinchitapalek i’la.","Pero no la desvío, todavía la sé bien.",ok
T003_N009,3,9,"Musu’ lunpalek i’la Shiwilu la’la’mapu’wa’, kuaki Shiwilu la’la’ musu’ lunpalek i’la. Todavía hablo bien nuestra lengua shiwilu, mi idioma shiwilu todavía",lo domino.,fallback_last_line_as_spanish
T003_N010,3,10,"Asu’ yekpantan wei ali’la ñinanluk yañinchitula, ma’pu’sui’pa nanpilek kua asu’ Shiwiluk.","Esto queriendo llevar lejos, a otro pueblo, quieres aprender, de qué manera vivo aquí en Jeberos.",ok
T003_N011,3,11,Shiwiluwekkek wilaweklusa’ teksusudeklek papina’ nanpipasik.,En mi Jeberos a mis hijos he criado cuando su padre vivía.,ok
T003_N012,3,12,Napi’ sudawek sudatulek.,Hace tiempo me casé con mi esposo.,ok
T003_N013,3,13,Sudawamu wilawanek.,Después de casarme tuve hijos.,ok
T003_N014,3,14,Nawa’ ipa’la lli’apallinerku.,Ellos ahora ven por mí.,ok
T003_N015,3,15,Kaluwi’tekku ipa’la ñaseku nawa’ luwektapallinerku.,Ahora que soy una mujer enferma ellos me cuidan.,ok
T003_N016,3,16,Mula’si’la wilawanek.,Felizmente tengo hijos.,fallback_last_line_as_spanish
T003_N017,3,17,"Wilawi’nek’ipa’ chiminpinek, uki’la di’tunansinku, kaluwi’ uki’la di’tunansinku.","Si no tuviera hijos ya me habría muerto, el hambre me hubiera matado, la enfermedad y el hambre me hubieran matado.",ok
T003_N018,3,18,"Wilawamui’na nawa’ lli’apallinerku, uran’ukeklan3, uweklan, iñerkeklan lli’apallinerku wilaweklusa’.","Pero como tengo hijos ellos me están viendo, de mi comida, de mi bebida, de todo me están viendo mis hijos.",ok
T003_N019,3,19,Ipa’la Shiwiluwekkek ñi a’pinta’ lunpi’ñina’ asu’ Shiwilu la’la’mapu’wa’.,Ahora en mi Jeberos ya no hablan más esta nuestra lengua shiwilu.,ok
T003_N020,3,20,"A’pinta’ Kaschilleklansa’ lunna’, ñi a’pinta’ Shiwilu la’la’ lunpi’ñina’.",Hablando más en castellano ya no hablan shiwilu.,ok
T003_N021,3,21,Nu’unta’shasi’pa’ wilaweklusa’ lachek’apilanti’ñina’.,"Algunitos de mis hijos quizás me estén entendiendo, pero ya no entienden bien.4",ok
T003_N022,3,22,"Ma’atana kai kuawek Florencia, kai kuawek María, nawa’lekku lunpalek.","Ahí están mi hermana menor Florencia, mi hermana menor María, con ellas hablo.",ok
T003_N023,3,23,Nu’anna’ itullinerku,Así ellas me dicen.,ok
T003_N024,3,24,"- “Ñapala, ñañá?” itukellu.","“¿Estás aquí, hermana?” me viene a decir. 3 Una forma alternativa es weranwekkeklan. 4 Se refiere a sus hijos presentes durante la sesión de grabación.",ok
T003_N025,3,25,"- “Ajá, ñapalek, ñañá. Uker lli’ker’ú”.","“Sí, aquí estoy, hermana. Ven a visitarme”.",fallback_last_line_as_spanish
T003_N026,3,26,- “Uk’apincha’lek yalli’amun. Pa’amu menmik u’dun uklli lli’ker’i’ñen”.,“Estoy viniendo queriendo verte. Como fui a la chacra tantos días no te he visitado”.,ok
T003_N027,3,27,- “Nu’amuntana luwanpallen. ¿Ma’pun a’cha kai kuawek lli’ker’i’ñu?” tapalek.,“Por eso te estoy echando de menos. ¿Qué teniendo mi hermana no me visita?” estoy diciendo.,ok
T003_N028,3,28,Kenma ten mudinupan menmik pa’apala.,Al fin tú como estás sana te vas a la chacra.,ok
T003_N029,3,29,Kui’na kaluwi’mu innichi’nek ñi enñupa’ pa’a’kasu’.,En cambio yo por estar enferma no puedo ir a ninguna parte.,ok
T003_N030,3,30,Ñapamu erwatapalek.,Postrada me la paso.,ok
T003_N031,3,31,Wilaweklusa’ menmik chiketllapipallinerku.,Mis hijos se van todos a la chacra y me dejan sola.,ok
T003_N032,3,32,kuashasa’ du’wimu willeklek.,Yo solita sentada me pongo a llorar.,ok
T003_N033,3,33,Willeklek wilaweklusa’ chiketllapitapallinerku menmik.,Lloro porque mis hijos se van todos a la chacra y me quedo sola.,ok
T003_N034,3,34,"Du’anpamu erwatulek, erwa uncha’llina’.","Sentada me la paso, tarde llegan.",ok
T003_N035,3,35,"Ali’la uncha’lli, ali’la uncha’lli....",Uno a uno van llegando.....,fallback_last_line_as_spanish
T003_N036,3,36,"“¿Nauncha’lama’? Kaschilleklan itulek, “¿Ya han venido, hijos?” itudeklek.","“¿Recién vienen?” les digo en castellano, “¿Ya han venido, hijos?” les digo.",ok
T003_N037,3,37,"Yunsamu innichinpu’la’wimu, uklulu’sha manta’mu.","Me levanto pueda o no pueda, masatito te voy a traer (pensando).",ok
T003_N038,3,38,"- “Uker, hijito” itudeklek.","“Bebe, hijito” les digo.",fallback_last_line_as_spanish
T003_N039,3,39,"- “Kudinchi madektupatekkudek, uwetchidek, mamá. Kudinchi mapatekkudek uklulu’ uwetchidek” itullinerku.","“Nosotros mismos vamos a servirnos masato y vamos a beber, mamá” me dicen. “Nosotros mismos vamos a servirnos”.",ok
T003_N040,3,40,Nu’su’ nanpipalek wilaweklusa’lek.,Así vivo con mis hijos.,ok
T003_N041,3,41,"U’chimu wilaweklusa’, iñerdaper mukankañina’ wilaweklusa’.","Buenos son mis hijos, todos mis hijos son buenos.",fallback_last_line_as_spanish
T003_N042,3,42,"Mula’si’la u’chimusha teksusudeklek wilaweklusa’, papinalek.","Felizmente bonito les he criado a mis hijos, con su padre.",ok
T003_N043,3,43,Ñi wilanwanpa’tamu ñi’nek.,Yo nunca he tenido hijos sin haberme esposado.,ok
T003_N044,3,44,Papinalek teksusudeklek.,Con su padre les he criado.,ok
T003_N045,3,45,Nanekla papina chiminlapillun.,Después su padre murió dejándome sola.,ok
T003_N046,3,46,"Nawa’lekku ipa’la nanpiapalek, wilaweklusa’lek.","Con ellos ahora vivo, con mis hijos.",ok
T003_N047,3,47,Ma’ata’na katu’ta’shadaper ku’tinweklusa’.,Ahí están doscitas mis hijas.,ok
T003_N048,3,48,Nawa’ lli’apallinerku.,Ellas me cuidan.,ok
T003_N049,3,49,"Nawa’ katu’shadaper, katu’ta’ ku’aperwawalusa’.","Ellas son doscitas, dos hijas mujeres.",fallback_last_line_as_spanish
T003_N050,3,50,"Nawa’sa’ lli’apallinerku, peksaduintullinerku.","Sólo ellas me cuidan, me lavan la ropa.",ok
T003_N051,3,51,"Akusutuker’anna’ a’ka’llinerku, a’uranñinerku.","Preparando la comida me dan de comer, me alimentan.",ok
T003_N052,3,52,"- “Mamá, menmik yapa’llidek”.","“Mamá, queremos ir a la chacra”.",ok
T003_N053,3,53,"- “Ah, pakuuu kenmamá’. Lliinuta’mama’su’ yasaka’tulama’” itudeklek. “Ah, vayan ustedes, conforme acordaron van a",trabajar” les digo.,fallback_last_line_as_spanish
T003_N054,3,54,Pa’llina’. Pa’anna’ erwa uncha’llina’.,Se van. Luego de ir vienen tarde.,ok
T003_N055,3,55,"- “Mamá, uk’apincha’lek menmiklan”.","“Mamá, estoy viniendo de la chacra”.",ok
T003_N056,3,56,"- “¿Ah, ipa’cha uncha’la?”","“¿Ah, ya has venido?”",ok
T003_N057,3,57,"- “Ipa uncha’lek, mamá. Uklulu’ a’werken, mamá”.","“Ya he venido, mamá. Te voy a servir masato, mamá”.",ok
T003_N058,3,58,"- “Ah, enta’n’i’na dasu’laklanek uwi’nek”.","“Ah, a ver pues, desde la mañana no he bebido nada”.",fallback_last_line_as_spanish
T003_N059,3,59,Ma’pu’sui’na ikellandu’mu innichi’nek dekkunta’kasu’.,Como ahora con este dolor de pierna no puedo caminar.,ok
T003_N060,3,60,Nu’amu du’apalek.,Por eso estoy sentada.,ok
T003_N061,3,61,Madettanna’ a’ullinerku.,Recogiendo (masato) de la tinaja me dan de beber.,ok
T003_N062,3,62,"Nanasa’, kupin uwapi’nek, u’nisha iyumu uwapalek,","Eso nomás, no tomo mucho, poquito cuando tengo sed bebo,",ok
T003_N063,3,63,ñi napi’pu’su’ kupin uwapawinek.,no como antes que bebía bastante.,ok
T003_N064,3,64,Nu’la’su’ nanpipalek ipa’la asek kua.,Así nomás vivo ahora yo aquí. 24 de julio del 2005,ok
T004_N001,4,1,Kui’na llillinwek Kishu.,Yo me llamo Jesús.,ok
T004_N002,4,2,Wintetchenma’ lantekpi dekkunta’su’ napi’.,Les voy a contar del canasto que caminaba antiguamente.,fallback_last_line_as_spanish
T004_N003,4,3,Nana lantekpi dekkuntulli.,El canasto caminaba.,fallback_last_line_as_spanish
T004_N004,4,4,"U’ñikuchu’chekshalima, kunsek kutu’,","Sus piernitas eran muy flaquitas, piernas chuecas,",fallback_last_line_as_spanish
T004_N005,4,5,madupu’su’ dekkuntuwiñi.,como el motelo caminaba.,ok
T004_N006,4,6,Napi’ku’lusa’ler ekpa’llina’ menminennak.,Los antiguos lo llevaban a sus chacras.,ok
T004_N007,4,7,"Ker’ uka’nna’ kala’tullina’,","Sacando yuca la depositaban,",ok
