source_pair_id,shiwilu_original,shiwilu_variant,detected_suffix,swapped_with,spanish_kept,status,warning
U00561,yunsue'chek,yunsue'cha',ek,a',me mudaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00561,yunsue'chek,yunsue'chu',ek,u',me mudaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00561,yunsue'chek,yunsue'chna',ek,na',me mudaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02082,lataker'sa',lataker'sek,a',ek,solo pruébatela.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02082,lataker'sa',lataker'su',a',u',solo pruébatela.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02082,lataker'sa',lataker'sna',a',na',solo pruébatela.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01036,muuklli,muuka',lli,a',buenos días.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01036,muuklli,muukek,lli,ek,buenos días.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01036,muuklli,muuku',lli,u',buenos días.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00499,taitula'u'kudek,taitula'u'kuda',ek,a',perdónenos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00499,taitula'u'kudek,taitula'u'kudu',ek,u',perdónenos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00499,taitula'u'kudek,taitula'u'kudna',ek,na',perdónenos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00050,tekle'rier'chidek,tekle'rier'chida',ek,a',lo procuramos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00050,tekle'rier'chidek,tekle'rier'chidu',ek,u',lo procuramos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00050,tekle'rier'chidek,tekle'rier'chidna',ek,na',lo procuramos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00897,inmusha'llina',inmusha'lla',ina',a',se besaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00897,inmusha'llina',inmusha'llek,ina',ek,se besaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00897,inmusha'llina',inmusha'llu',ina',u',se besaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00098,mupalli,mupaa',lli,a',está bien.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00098,mupalli,mupaek,lli,ek,está bien.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00098,mupalli,mupau',lli,u',está bien.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00411,mupalli,mupaa',lli,a',está buena.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00411,mupalli,mupaek,lli,ek,está buena.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00411,mupalli,mupau',lli,u',está buena.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01127,mupalli,mupaa',lli,a',está perfecto.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01127,mupalli,mupaek,lli,ek,está perfecto.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01127,mupalli,mupau',lli,u',está perfecto.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00690,teka'per'aterwa',teka'per'aterwek,a',ek,fracasaremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00690,teka'per'aterwa',teka'per'aterwu',a',u',fracasaremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00690,teka'per'aterwa',teka'per'aterwna',a',na',fracasaremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00606,tuluner'awa',tuluner'awek,a',ek,cantemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00606,tuluner'awa',tuluner'awu',a',u',cantemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00606,tuluner'awa',tuluner'awna',a',na',cantemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02037,tekdiper'echek,tekdiper'echa',ek,a',lo arreglaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02037,tekdiper'echek,tekdiper'echu',ek,u',lo arreglaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02037,tekdiper'echek,tekdiper'echna',ek,na',lo arreglaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00540,tuwinek,tuwina',ek,a',prometí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00540,tuwinek,tuwinu',ek,u',prometí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00540,tuwinek,tuwinna',ek,na',prometí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00641,indek'llina',indek'lla',ina',a',lo intentaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00641,indek'llina',indek'llek,ina',ek,lo intentaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00641,indek'llina',indek'llu',ina',u',lo intentaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01589,lli'aterwa',lli'aterwek,a',ek,miramos,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01589,lli'aterwa',lli'aterwu',a',u',miramos,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01589,lli'aterwa',lli'aterwna',a',na',miramos,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00178,a'ñapalek,a'ñapaa',lek,a',lo tengo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00178,a'ñapalek,a'ñapaek,lek,ek,lo tengo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00178,a'ñapalek,a'ñapau',lek,u',lo tengo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00610,dek'kuntawa',dek'kuntawek,a',ek,caminemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00610,dek'kuntawa',dek'kuntawu',a',u',caminemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00610,dek'kuntawa',dek'kuntawna',a',na',caminemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02052,yunsu'pilalek,yunsu'pilaa',lek,a',voy saliendo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02052,yunsu'pilalek,yunsu'pilaek,lek,ek,voy saliendo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02052,yunsu'pilalek,yunsu'pilau',lek,u',voy saliendo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02041,wa'tentapechek,wa'tentapecha',ek,a',estaré esperando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02041,wa'tentapechek,wa'tentapechu',ek,u',estaré esperando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02041,wa'tentapechek,wa'tentapechna',ek,na',estaré esperando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02035,tupiechek,tupiecha',ek,a',seguiré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02035,tupiechek,tupiechu',ek,u',seguiré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02035,tupiechek,tupiechna',ek,na',seguiré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01887,si'lentapawiñidek,si'lentapawiñida',ek,a',estábamos bromeando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01887,si'lentapawiñidek,si'lentapawiñidu',ek,u',estábamos bromeando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01887,si'lentapawiñidek,si'lentapawiñidna',ek,na',estábamos bromeando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01750,yalun'nek,yalun'na',ek,a',quiero hablar.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01750,yalun'nek,yalun'nu',ek,u',quiero hablar.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01750,yalun'nek,yalun'nna',ek,na',quiero hablar.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00609,dek'awa',dek'awek,a',ek,votemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00609,dek'awa',dek'awu',a',u',votemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00609,dek'awa',dek'awna',a',na',votemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00028,anu'lek,anu'a',lek,a',me caí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00028,anu'lek,anu'ek,lek,ek,me caí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00028,anu'lek,anu'u',lek,u',me caí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01583,pa'echidek,pa'echida',ek,a',nos vamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01583,pa'echidek,pa'echidu',ek,u',nos vamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01583,pa'echidek,pa'echidna',ek,na',nos vamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01564,uki'lallidek,uki'lallida',ek,a',tenemos hambre.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01564,uki'lallidek,uki'lallidu',ek,u',tenemos hambre.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01564,uki'lallidek,uki'lallidna',ek,na',tenemos hambre.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01746,yanampilek,yanampia',lek,a',quiero vivir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01746,yanampilek,yanampiek,lek,ek,quiero vivir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01746,yanampilek,yanampiu',lek,u',quiero vivir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00063,damula,damua',la,a',sal.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00063,damula,damuek,la,ek,sal.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00063,damula,damuu',la,u',sal.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01422,yawerannek,yaweranna',ek,a',quiero comer.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01422,yawerannek,yawerannu',ek,u',quiero comer.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01422,yawerannek,yawerannna',ek,na',quiero comer.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00527,katu'palek,katu'paa',lek,a',le ayudo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00527,katu'palek,katu'paek,lek,ek,le ayudo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00527,katu'palek,katu'pau',lek,u',le ayudo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00691,katu'pa'taterwa',katu'pa'taterwek,a',ek,ayudaremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00691,katu'pa'taterwa',katu'pa'taterwu',a',u',ayudaremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00691,katu'pa'taterwa',katu'pa'taterwna',a',na',ayudaremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00039,lau'tuku',lau'tuka',u',a',escuchen.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00039,lau'tuku',lau'tukek,u',ek,escuchen.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00039,lau'tuku',lau'tukna',u',na',escuchen.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00899,yamerladallina',yamerladalla',ina',a',sonrieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00899,yamerladallina',yamerladallek,ina',ek,sonrieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00899,yamerladallina',yamerladallu',ina',u',sonrieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01297,tumu'pala,tumu'paa',la,a',estás mintiendo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01297,tumu'pala,tumu'paek,la,ek,estás mintiendo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01297,tumu'pala,tumu'pau',la,u',estás mintiendo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00938,lli'inutapallidek,lli'inutapallida',ek,a',nos recordamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00938,lli'inutapallidek,lli'inutapallidu',ek,u',nos recordamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00938,lli'inutapallidek,lli'inutapallidna',ek,na',nos recordamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02134,tenpu'llinerku',tenpu'llinerka',u',a',me ataron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02134,tenpu'llinerku',tenpu'llinerkek,u',ek,me ataron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02134,tenpu'llinerku',tenpu'llinerkna',u',na',me ataron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01411,tumu'tuleklek,tumu'tuleka',lek,a',les mentí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01411,tumu'tuleklek,tumu'tulekek,lek,ek,les mentí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01411,tumu'tuleklek,tumu'tuleku',lek,u',les mentí.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02056,nanpi'palek'i'la,nanpi'palek'i'a',la,a',sigo vivo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02056,nanpi'palek'i'la,nanpi'palek'i'ek,la,ek,sigo vivo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02056,nanpi'palek'i'la,nanpi'palek'i'u',la,u',sigo vivo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00900,wa'tentullina',wa'tentulla',ina',a',esperaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00900,wa'tentullina',wa'tentullek,ina',ek,esperaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00900,wa'tentullina',wa'tentullu',ina',u',esperaron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00807,lata'echek,lata'echa',ek,a',lo probaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00807,lata'echek,lata'echu',ek,u',lo probaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00807,lata'echek,lata'echna',ek,na',lo probaré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00237,lli'ker'llia',lli'ker'lliek,a',ek,cuidado.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00237,lli'ker'llia',lli'ker'lliu',a',u',cuidado.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00237,lli'ker'llia',lli'ker'llina',a',na',cuidado.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01208,pa'llina',pa'lla',ina',a',se fueron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01208,pa'llina',pa'llek,ina',ek,se fueron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01208,pa'llina',pa'llu',ina',u',se fueron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00079,katu'pa'udek,katu'pa'uda',ek,a',ayúdanos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00079,katu'pa'udek,katu'pa'udu',ek,u',ayúdanos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00079,katu'pa'udek,katu'pa'udna',ek,na',ayúdanos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01324,katu'pa'udek,katu'pa'uda',ek,a',apóyanos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01324,katu'pa'udek,katu'pa'udu',ek,u',apóyanos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01324,katu'pa'udek,katu'pa'udna',ek,na',apóyanos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01431,ta'itulekchek,ta'itulekcha',ek,a',lo permitiré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01431,ta'itulekchek,ta'itulekchu',ek,u',lo permitiré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01431,ta'itulekchek,ta'itulekchna',ek,na',lo permitiré.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01702,yapa'lli,yapa'a',lli,a',quiere ir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01702,yapa'lli,yapa'ek,lli,ek,quiere ir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01702,yapa'lli,yapa'u',lli,u',quiere ir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00856,da'awa',da'awek,a',ek,entremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00856,da'awa',da'awu',a',u',entremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00856,da'awa',da'awna',a',na',entremos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01086,yapa'lek,yapa'a',lek,a',quiero ir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01086,yapa'lek,yapa'ek,lek,ek,quiero ir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01086,yapa'lek,yapa'u',lek,u',quiero ir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00490,yalunta',yaluntek,a',ek,no hables.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00490,yalunta',yaluntu',a',u',no hables.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00490,yalunta',yaluntna',a',na',no hables.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01575,lachek'apallidek,lachek'apallida',ek,a',lo entendemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01575,lachek'apallidek,lachek'apallidu',ek,u',lo entendemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01575,lachek'apallidek,lachek'apallidna',ek,na',lo entendemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01506,tupi'wa',tupi'wek,a',ek,mantengámoslo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01506,tupi'wa',tupi'wu',a',u',mantengámoslo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01506,tupi'wa',tupi'wna',a',na',mantengámoslo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01507,tupi'wa',tupi'wek,a',ek,prosigamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01507,tupi'wa',tupi'wu',a',u',prosigamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01507,tupi'wa',tupi'wna',a',na',prosigamos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01842,pilli'tullina',pilli'tulla',ina',a',la cogieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01842,pilli'tullina',pilli'tullek,ina',ek,la cogieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01842,pilli'tullina',pilli'tullu',ina',u',la cogieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00548,enmu'lek,enmu'a',lek,a',vomité.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00548,enmu'lek,enmu'ek,lek,ek,vomité.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00548,enmu'lek,enmu'u',lek,u',vomité.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01391,latekdeklek,latekdeka',lek,a',les creo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01391,latekdeklek,latekdekek,lek,ek,les creo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01391,latekdeklek,latekdeku',lek,u',les creo.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01540,chimin'er'kasu'ñapalli,chimin'er'kasu'ñapaa',lli,a',deben morir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01540,chimin'er'kasu'ñapalli,chimin'er'kasu'ñapaek,lli,ek,deben morir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01540,chimin'er'kasu'ñapalli,chimin'er'kasu'ñapau',lli,u',deben morir.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00767,si'lentapalek,si'lentapaa',lek,a',estoy leseando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00767,si'lentapalek,si'lentapaek,lek,ek,estoy leseando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00767,si'lentapalek,si'lentapau',lek,u',estoy leseando.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00922,wa'ten'u'kudek,wa'ten'u'kuda',ek,a',espéranos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00922,wa'ten'u'kudek,wa'ten'u'kudu',ek,u',espéranos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00922,wa'ten'u'kudek,wa'ten'u'kudna',ek,na',espéranos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00602,lun'awa',lun'awek,a',ek,charlemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00602,lun'awa',lun'awu',a',u',charlemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00602,lun'awa',lun'awna',a',na',charlemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00608,lun'awa',lun'awek,a',ek,conversemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00608,lun'awa',lun'awu',a',u',conversemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00608,lun'awa',lun'awna',a',na',conversemos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00685,yamerlek'wa',yamerlek'wek,a',ek,nos reímos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00685,yamerlek'wa',yamerlek'wu',a',u',nos reímos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00685,yamerlek'wa',yamerlek'wna',a',na',nos reímos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00894,nu'tullina',nu'tulla',ina',a',lo hicieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00894,nu'tullina',nu'tullek,ina',ek,lo hicieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00894,nu'tullina',nu'tullu',ina',u',lo hicieron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00895,nu'tullina',nu'tulla',ina',a',lo lograron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00895,nu'tullina',nu'tullek,ina',ek,lo lograron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00895,nu'tullina',nu'tullu',ina',u',lo lograron.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01999,peklu'lek,peklu'a',lek,a',la llamé.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01999,peklu'lek,peklu'ek,lek,ek,la llamé.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01999,peklu'lek,peklu'u',lek,u',la llamé.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00187,adencha'lek,adencha'a',lek,a',he vuelto.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U00187,adencha'lek,adencha'ek,lek,ek,he vuelto.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
