CODIGO,ESP,SHIWILU,Grabado?,Defectuosos?,
FL2_0058,Entre.,DA'KERKER',TRUE,FALSE,
FL2_0059,Pase.,DA'KERKER',TRUE,FALSE,
FL2_0060,¡Entren!,¡DAKER'KU'!,TRUE,FALSE,
FL2_0061,Suéltalo.,APU'KER',TRUE,FALSE,
FL2_0062,Bájate.,NU'WANKER',TRUE,FALSE,
FL2_0063,Sal. ,YUNSUER',TRUE,FALSE,(verb . salir)
FL2_0064,Sal. ,DAMULA,TRUE,FALSE,(sust. insumo)
FL2_0065,Salgan.,YUNSU'KU',TRUE,FALSE,
FL2_0066,¡Largo!,¡PAKER'!,TRUE,FALSE,
FL2_0067,Largo ,SHIN,TRUE,FALSE,(medida)
FL2_0068,¡Vete ya!,¡PAKER'!,TRUE,FALSE,
FL2_0069,Lárguese.,¡PAKU'!,TRUE,FALSE,
FL2_0070,Vaya despacio.,PAKER' UTI'LA,TRUE,FALSE,
FL2_0071,¡Hasta luego!,¡PANTE'CHEK!,TRUE,FALSE,
FL2_0072,¡Chau!,¡PANTE'CHEK!,TRUE,FALSE,
FL2_0073,¡Un segundo!,¡IPIA'LASHA!,TRUE,FALSE,t.e: ¡Ahorita!
FL2_0074,Agarra fuertemente.,PILLI'TER' IKERSU',TRUE,FALSE,
FL2_0075,Dolor,IKER,TRUE,FALSE,
FL2_0076,El ají pica,NUKA' IKERLLI,TRUE,FALSE,
FL2_0077,Él vino.,NANA UK'LLI,TRUE,FALSE,
FL2_0078,Él renunció.,NANA YUNSU'LLI,TRUE,FALSE,t.e: el salió
FL2_0079,Ayúdame.,KATU'PA'U,TRUE,FALSE,
,Ayudame.,--,,,
FL2_0080,Ayúdanos.,KATU'PA'UDEK,TRUE,FALSE,
FL2_0081,Espera.,WA'TENKER',TRUE,FALSE,
FL2_0082,Resista.,YAN'KATEK'TER',TRUE,FALSE,
FL2_0083,Resiste.,YAN'KATEK'TER',TRUE,FALSE,
FL2_0084,De acuerdo.,MUETCHUN,TRUE,FALSE,
FL2_0085,Me incliné.,YEN'NER'LEK',TRUE,TRUE,
FL2_0086,Dormí.,WICHI'LEK,TRUE,FALSE,
FL2_0087,Durmiendo,WICHA'PALEK,TRUE,FALSE,
FL2_0088,Me voy a dormir,WICHIN'DEK'CHEK,TRUE,FALSE,
FL2_0089,Voy a dormir,WICHI'ECHEK,TRUE,FALSE,
FL2_0090,Lo intenté.,TEKLE'RILEK',TRUE,FALSE,
FL2_0091,Iré.,PA'ECHEK,TRUE,FALSE,
FL2_0092,Soy Tom.,NUKA'KU TOM,TRUE,FALSE,
FL2_0093,Estoy gordo.,WEIPENSU' ÑAPALEK,TRUE,FALSE,
FL2_0094,Soy gorda.,WEILUNSU' NUKA'KA,TRUE,FALSE,
FL2_0095,Estoy afectado.,MUIN'SU' ÑAPALEK,TRUE,FALSE,
FL2_0096,Soy viejo.,TASERPIKU,TRUE,FALSE,
FL2_0097,Soy tímido.,TEKUA'DANDE'KU,TRUE,FALSE,
FL2_0098,Estoy mojada.,WIWERAPALEK,TRUE,FALSE,
FL2_0099,Está bien.,MUPALLI,TRUE,FALSE,
FL2_0100,Soy yo.,KUA NUKA'KA,TRUE,FALSE,
FL2_0101,Guárdalo.,SEKDIPERKER',TRUE,FALSE,
FL2_0102,"Yo, también.",KUANTA',TRUE,FALSE,
FL2_0103,Abre.,EK'KE'CHER',TRUE,FALSE,
FL2_0104,¡Perfecto!,¡MUPALLI!,TRUE,FALSE,
FL2_0105,Nos vemos.,INLLI'TER,TRUE,FALSE,
FL2_0106,Enséñamelo. (pasar conocimiento),ALEK'U,TRUE,FALSE,
FL2_0107,Enséñamelo. (muestramelo),ALLI'U,TRUE,FALSE,
FL2_0108,Muestrame.,ALLI'U,TRUE,FALSE,
FL2_0109,Hasta luego.,PANTE'CHEK,TRUE,FALSE,
FL2_0110,Páralo. (poner vertical),A'WANERKER',TRUE,FALSE,
FL2_0111,Páralo. (detener),TU'NEKER',TRUE,FALSE,
FL2_0112,Deténlo.,TU'NEKER',TRUE,FALSE,
FL2_0113,Cógelo.,MAKER',TRUE,FALSE,
FL2_0114,Macambo (fruta),MAKER,TRUE,FALSE,
FL2_0115,Dimelo.,ITU'U,TRUE,FALSE,
FL2_0116,Tom comió.,TOM WERANPALLI,TRUE,FALSE,
FL2_0117,Tom corrió.,TOM TEKA'LLI,TRUE,FALSE,
FL2_0118,Tom ganó.,TOM KANA'TULLI,TRUE,FALSE,
FL2_0119,Espérame despierto.,WA'TEN'U NANPISU',TRUE,FALSE,
FL2_0120,¡Despierta!,¡NANPIKER'!,TRUE,FALSE,
,¡Despertate!,--,,,
FL2_0121,Despierta.,NANPIKER',TRUE,FALSE,
FL2_0122,Crudo,NANPI,TRUE,FALSE,
FL2_0123,Vivo,NANPI,TRUE,FALSE,
,Nos preocupamos.,--,,,
FL2_0124,Lo sabemos.,ÑINCHITAPALLIDEK,TRUE,TRUE,
FL2_0125,Perdimos.,WER'LLIDEK,TRUE,TRUE,
FL2_0126,Bienvenidos.,MUWENCHA'KU',TRUE,FALSE,
FL2_0127,Bienvenidas.,MUWENCHA'KU',TRUE,FALSE,
FL2_0128,Bienvenido.,MUWENCHA'KER',TRUE,FALSE,
FL2_0129,¿Quién comió?,¿DEN'INA' KA'LLI?,TRUE,FALSE,
FL2_0130,¿Quién corría?,¿DEN'INA' TEKA'LLI?,TRUE,FALSE,
FL2_0131,¿Quién corrió?,¿DEN'INA' TEKA'LLI?,TRUE,FALSE,
FL2_0132,¿Quién ganó?,¿DEN'INA' KANA'TULLI?,TRUE,FALSE,
FL2_0133,Corre.,TEK'KER',TRUE,FALSE,
FL2_0134,Has ganado.,KANA'TULA,TRUE,FALSE,
FL2_0135,¿Estoy gordo?,¿WEIPENSU' ÑAPALEK?,TRUE,FALSE,
FL2_0136,Pregúntale.,LEK'KER',TRUE,FALSE,
FL2_0137,Pregúntales.,LEK'KER',TRUE,FALSE,
,Aparta.,--,,,
FL2_0138,Apártate.,PAKER' ÑILUPA',TRUE,FALSE,
FL2_0139,Sé fuerte.,NANTAPITEK' ÑIKER',TRUE,FALSE,
FL2_0140,Sea breve.,EMPU'NI YALUNTA',TRUE,FALSE,t.e: No hables mucho
FL2_0141,Sean breves.,EMPU'NI YALUNTAMA',TRUE,FALSE,
FL2_0142,Estate quieto.,YALENMEKTA',TRUE,FALSE,t.e: No te muevas
FL2_0143,Anímate.,NANTA'PIKER,TRUE,FALSE,t.e: Ten fuerza
FL2_0144,Venga.,WENCHER',TRUE,FALSE,
FL2_0145,Ven a beber,UENCHER',TRUE,FALSE,
FL2_0146,¡Cálmate!,¡TUNA'KER'!,TRUE,FALSE,
FL2_0147,Espósale.,TENPU'KER',TRUE,FALSE,
FL2_0148,Arregla esto.,ASU' TEKDI'PER'KER',TRUE,FALSE,
FL2_0149,Abajo.,DAWIK',TRUE,FALSE,
FL2_0150,Túmbate.,ANU'KER',TRUE,FALSE,
FL2_0151,¡Piérdete!,¡WER'KER'!,TRUE,FALSE,
FL2_0152,¡Piénsalo bien!,¡MUSU' LLI'INUTER'!,TRUE,FALSE,
FL2_0153,Adelante. (ingresa),DA'ENCHER',TRUE,FALSE,
FL2_0154,Adelante. (parte superior),EKTER,TRUE,FALSE,
FL2_0155,Adelántante,EKTE'CHER',TRUE,FALSE,
FL2_0156,Se adelantará.,EKTE'CHECHU,TRUE,FALSE,
FL2_0157,Se adelantarán.,EKTE'CHECHUNA',TRUE,FALSE,
FL2_0158,Entra.,DA'ENCHER',TRUE,FALSE,
FL2_0159,Entren.,DA'ENCHA'KU',TRUE,FALSE,
,Entrá.,--,,,
FL2_0160,¡Buen trabajo!,¡MUSA'KA'TUNA!,TRUE,FALSE,
FL2_0161,Agárralo.,PILLI'TER',TRUE,FALSE,
FL2_0162,Diviértanse.,SAKEK'KU',TRUE,FALSE,
FL2_0163,Pásala bien.,MUSU'NAKUKER',TRUE,FALSE,
FL2_0164,Pásenla bien.,MUSU'NAKUKU',TRUE,FALSE,
FL2_0165,Él habló.,NANA LUNÑI,TRUE,FALSE,
FL2_0166,Él prueba.,NANA LATA'LLI,TRUE,FALSE,
FL2_0167,Ayúdalo.,KATU'PER',TRUE,FALSE,
FL2_0168,Buenas.,MULUSA',TRUE,FALSE,
FL2_0169,¡Qué encanto!,¡EMPU'NI MUSHIPA'!,TRUE,FALSE,
FL2_0170,Compláceme.,A'SAKEK'U,TRUE,FALSE,
FL2_0171,¡Date prisa!,¡WIUKER'!,TRUE,FALSE,
FL2_0172,Apresúrate.,WIUKER',TRUE,FALSE,
,Convine.,--,,,
,Acepté.,--,,,
,Accedí.,--,,,
FL2_0173,Estoy viejo.,TASERPIKU',TRUE,FALSE,
FL2_0174,Puedo ir.,YENNITULEK PA'AK,TRUE,FALSE,
FL2_0175,Lo hice.,NU'TULEK,TRUE,FALSE,
FL2_0176,Fracasé.,A'APER'LEK',TRUE,FALSE,
FL2_0177,Lo olvidé.,PINANER'LEK',TRUE,FALSE,
FL2_0178,Lo entiendo.,LACHEK'APALEK,TRUE,FALSE,
FL2_0179,Lo tengo.,A'ÑAPALEK,TRUE,FALSE,
FL2_0180,Me niego.,LUWANCHI'NEK,TRUE,FALSE,
FL2_0181,Renuncio.,YUNSU'LEK',TRUE,FALSE,
FL2_0182,Lo vi.,LLI'LEK,TRUE,FALSE,
FL2_0183,Sonreí.,YAMERLADALEK',TRUE,FALSE,
FL2_0184,Reí.,YAMERLEK',TRUE,FALSE,
FL2_0185,Me quedé.,LLIYA'LEK',TRUE,FALSE,
FL2_0186,Esperé.,WA'TEN'NEK',TRUE,FALSE,
FL2_0187,Yo pagaré.,KUA PANWILEK'TE'CHEK',TRUE,FALSE,
FL2_0188,He vuelto.,ADENCHA'LEK,TRUE,FALSE,
FL2_0189,Soy calvo.,NUWEK'MUTU'KU,TRUE,FALSE,
FL2_0190,Estoy calvo.,NUWEK'MUTU' ÑAPALEK,TRUE,FALSE,
FL2_0191,Estoy calmado.,TUNA'SU' ÑAPALEK,TRUE,FALSE,
FL2_0192,Está calmando. (dolor),LATADA'PILALLI,TRUE,FALSE,
FL2_0193,Estoy tranquilo. (estoy bien),U'CHIMUÑAPALEK,TRUE,FALSE,
FL2_0194,He terminado.,A'TA'WANTULEK,TRUE,FALSE,
FL2_0195,Soy justo. (soy bueno),MUKANKANKU',TRUE,FALSE,
FL2_0196,Soy bueno. (hacer bien algo),U'CHIMUKU,TRUE,FALSE,
FL2_0197,Estoy perfectamente.,U'CHIMUINCHI ÑAPALEK,TRUE,FALSE,
FL2_0198,¡Soy libre!,¡INAPIKU!,TRUE,FALSE,
FL2_0199,Estoy lleno.,MER'SU' ÑAPALEK,TRUE,FALSE,
FL2_0200,Estoy llena.,MER'SU' ÑAPALEK,TRUE,FALSE,
FL2_0201,Estoy aquí.,ASEK' ÑAPALEK,TRUE,FALSE,
FL2_0202,Estoy herido.,CHACHA'LEK ÑAPALEK,TRUE,FALSE,
FL2_0203,Llego tarde.,ERWA' EKTU'LEK,TRUE,FALSE,
FL2_0204,Soy vago.,PERCHEK' NUKA'KA,TRUE,FALSE,
FL2_0205,Estoy perdida.,WER'SU' ÑAPALEK,TRUE,FALSE,
FL2_0206,Soy malo. (maldad),MUKANKAINPU' NUKA'KA,TRUE,FALSE,
FL2_0207,Soy malo. (hacer mal las cosas),MUI'NEK,TRUE,FALSE,
FL2_0208,Soy pobre.,KULLIKER'WI'NEK,TRUE,FALSE,
FL2_0209,Soy rica.,WAPU' KULLIKER'WANEK,TRUE,FALSE,
FL2_0210,Soy rico.,WAPU' KULLIKER'WANEK,TRUE,FALSE,
FL2_0211,Estoy enferma.,KALUWI'SU' ÑAPALEK,TRUE,FALSE,
FL2_0212,Soy delgado. (masculino),SHAMU'PENSU' NUKA'KA,TRUE,FALSE,
FL2_0213,Soy delgada. (femenino),SHAMU'LUNSU' NUKA'KA,TRUE,FALSE,
FL2_0214,Estoy limpio.,PEKUIPI ÑAPALEK,TRUE,FALSE,
FL2_0215,Estoy calientito.,UKAPISHA ÑAPALEK,TRUE,FALSE,
FL2_0216,Estoy caliente.,UKAPISU' ÑAPALEK,TRUE,FALSE,
FL2_0217,Estoy débil.,MUDINUI'SU' ÑAPALEK,TRUE,FALSE,
FL2_0218,Soy listo.,IÑER' ÑINCHITAPALEK,TRUE,FALSE,
FL2_0219,Estoy listo. (preparado),INSEK'DIPERPIKU' NUKA'KA,TRUE,FALSE,
FL2_0220,Gané.,KANA'TULEK,TRUE,FALSE,
FL2_0221,Eso ayuda.,NANA KATU'PATULLI,TRUE,FALSE,
FL2_0222,Duele.,IKERLLI,TRUE,FALSE,
FL2_0223,Funciona.,SAKA'TULLI.,TRUE,FALSE,
FL2_0224,Es Tom.,TOM NUKA'A,TRUE,FALSE,
FL2_0225,Es divertido.,WA'DANPINTEK,TRUE,FALSE,
FL2_0226,Es suyo.,KENMAKIN NUKA'A,TRUE,FALSE,
FL2_0227,Es nuevo.,NALU' NUKA'A,TRUE,FALSE,
FL2_0228,Es extraño.,NERPI'LA NUKA'A,TRUE,FALSE,
FL2_0229,Es viejo.,NAPI'DA' NUKA'A,TRUE,FALSE,
FL2_0230,Es rojo.,PIPERSU' NUKA'A,TRUE,FALSE,
FL2_0231,Es triste.,WE'INU NUKA'A,TRUE,FALSE,
FL2_0232,Prohibido pasar.,KU'LA NAKUI'NCHU,TRUE,FALSE,
FL2_0233,No entrar.,KU'LA DAI'NCHU,TRUE,FALSE,
FL2_0234,Déjalo.,TAI'TULER',TRUE,FALSE,
FL2_0235,Déjame.,TAI'TULA'U,TRUE,FALSE,
FL2_0236,Déjanos.,TAI'TULA'UDEK,TRUE,FALSE,
FL2_0237,Vamos.,PA'A,TRUE,FALSE,
FL2_0238,Cuidado.,LLI'KER'LLIA',TRUE,FALSE,
FL2_0239,Cásate conmigo.,SADAKER' KUALEK',TRUE,FALSE,
FL2_0240,¿Puedo ir?,¿YEN'NITULEK PA'AK?,TRUE,FALSE,
FL2_0241,Ella vino.,NANA UK'LLI,TRUE,FALSE,
FL2_0242,Ella murió.,NANA CHIMIÑI,TRUE,FALSE,
FL2_0243,Ella corre.,NANA TEKA'LLI,TRUE,FALSE,
FL2_0244,Siéntate.,DU'KER',TRUE,FALSE,
FL2_0245,Mes. ,DUKER,TRUE,FALSE,
FL2_0246,Luna,DUKER,TRUE,FALSE,
FL2_0247,Siéntate aquí.,DU'KER' ASEK,TRUE,FALSE,
FL2_0248,Prepárate.,INSEK'DIPER'KER',TRUE,FALSE,
FL2_0249,Un momento.,WA'TENKER',TRUE,FALSE,
FL2_0250,Parate,WANERKER',TRUE,FALSE,
FL2_0251,¡De pie!,¡WANERKER'!,TRUE,FALSE,
FL2_0252,¡Genial!,¡U'CHIMU!,TRUE,FALSE,
FL2_0253,Ellos ganaron.,NAWA' KANA'TULLINA',TRUE,FALSE,
FL2_0254,Tom vino.,TOM UK'LLI,TRUE,FALSE,
FL2_0255,Dia.,UKLLI,TRUE,FALSE,
FL2_0256,Tom mintió.,TOM TUMU'LLI,TRUE,FALSE,
FL2_0257,Tomás miente.,TOMAS TUMU'PALLI,TRUE,FALSE,
FL2_0258,Tom perdió.,TOM KANA'CHI'ÑI,TRUE,FALSE,
FL2_0259,Tom pagó.,TOM PANWILEK'TULLI,TRUE,FALSE,
FL2_0260,Tom renunció.,TOM YUNSU'LLI,TRUE,FALSE,
FL2_0261,Tom nadó.,TOM IDUÑI,TRUE,FALSE,
FL2_0262,Tom lloró.,TOM WELLIEK'LLI,TRUE,FALSE,
FL2_0263,Demasiado tarde.,NAKUSUIN'CHI ERWA',TRUE,FALSE,
FL2_0264,Prueben esto. (saborear),LATA'KU' ASU',TRUE,FALSE,
FL2_0265,Prueba esto. (saborear),LATA'KER' ASU',TRUE,FALSE,
FL2_0266,Usa esto.,PATA'KER' ASU',TRUE,FALSE,
FL2_0267,Mírame.,LLI'U,TRUE,FALSE,
FL2_0268,Vigílame.,LUWUK'TU'U,TRUE,FALSE,
FL2_0269,Obsérvame.,LLI'U,TRUE,FALSE,
FL2_0270,Obsérvalos.,LLI'DEK'KU',TRUE,FALSE,
,Lo intentamos.,--,,,
FL2_0271,Iremos.,PA'ATERWA',TRUE,FALSE,
FL2_0272,Estamos bien.,MU'PALLIDEK',TRUE,FALSE,
FL2_0273,¿Para qué?,¿MA'KI'NA?,TRUE,FALSE,
FL2_0274,¡Qué divertido!,¡EMPU'NI WA'DANPINTEK'IPA'!,TRUE,FALSE,
FL2_0275,¿Quién vino?,¿DEN UK'LLI?,TRUE,FALSE,
FL2_0276,¿Quién murió?,¿DEN CHIMIÑI?,TRUE,FALSE,
FL2_0277,¿Quién nadó?,¿DEN IDUÑI?,TRUE,FALSE,
FL2_0278,Escríbeme.,LLINSER'CHU'U,TRUE,FALSE,
FL2_0279,Tú primero.,KENMAMENTU,TRUE,FALSE,
FL2_0280,Usted primero.,KENMAMENTU,TRUE,FALSE,
FL2_0281,Apunta. ¡Fuego!,TAÑITER' . ¡PEN!,TRUE,FALSE,
FL2_0282,Respóndeme.,NA'PI'U,TRUE,FALSE,
,Respondedme.,--,,,
FL2_0283,Respóndanme.,NA'PIU'KU,TRUE,TRUE,
FL2_0284,Jesús.,KISHU,TRUE,FALSE,
FL2_0285,Cálmate.,TA'TULER',TRUE,FALSE,
FL2_0286,Tranquilízate.,TA'TULER',TRUE,FALSE,
FL2_0287,Captúralo.,PILLI'TER',TRUE,FALSE,
FL2_0288,Captúrenlo.,PILLI'TUKU',TRUE,FALSE,
FL2_0289,Atrápenlo.,PILLI'TUKU',TRUE,FALSE,
FL2_0290,Atrápalo.,PILLI'TER',TRUE,FALSE,
FL2_0291,Vuelve.,ADEN'CHER',TRUE,FALSE,
FL2_0292,Ven.,WENCHER',TRUE,FALSE,
FL2_0293,Venid aquí.,WENCHER' ASEK,TRUE,FALSE,
FL2_0294,Vuelve pronto.,ADEN'CHER' WIUK'SU',TRUE,FALSE,
FL2_0295,Hazlo ahora.,NU'TER' IPA'LA,TRUE,TRUE,--
FL2_0296,No preguntes.,YALEK'TUTA,TRUE,FALSE,
FL2_0297,No llores.,YAWELLEKTA,TRUE,FALSE,
,¡No llorés!,--,,,
FL2_0298,¡No llores!,¡YAWELLEKTA!,TRUE,FALSE,
FL2_0299,No lloren.,YAWELLEKTAMA',TRUE,FALSE,
FL2_0300,No mientas.,YATUMU'TA,TRUE,FALSE,
FL2_0301,¡Fantástico!,¡U'CHIMUINCHI!,TRUE,FALSE,
FL2_0302,¡Es estupendo!,¡U'CHIMUINCHI NUKA'A!,TRUE,FALSE,
,Tienta esto.,--,,,
FL2_0303,Sígueme.,TUPI'TU'U,TRUE,FALSE,
FL2_0304,Síguenos.,TUPI'TU'UDEK,TRUE,FALSE,
FL2_0305,Olvídame.,PINANER'U,TRUE,FALSE,
FL2_0306,Olvídenme.,PINANER'U'KU,TRUE,FALSE,
FL2_0307,Preparense.,INSEK'DIPERKU',TRUE,FALSE,
FL2_0308,Agarra esto.,PILLITER' ASU',TRUE,FALSE,
FL2_0309,Sonrió.,YAMERLADALLI,TRUE,FALSE,*
FL2_0310,Es rico. (sabor),IYALLI,TRUE,FALSE,
FL2_0311,Acá estoy.,ASEK' ÑAPALEK,TRUE,FALSE,
FL2_0312,Sostén esto.,PILLITER' ASU',TRUE,FALSE,
FL2_0313,¡Qué horror!,¡IMANAN EMPU'NIPA'!,TRUE,FALSE,
FL2_0314,¡Qué raro!,¡NERPI'LA EMPU'NIPA'!,TRUE,FALSE,
FL2_0315,Estoy ocupada.,YEN'NICHI'NEK,TRUE,FALSE,
FL2_0316,Estoy ocupado.,YEN'NICHI'NEK,TRUE,FALSE,
FL2_0317,Soy bueno.,MUKANKANKU,TRUE,FALSE,
FL2_0318,Puedo volar.,YEN'NITULEK PEN'NU'AK',TRUE,FALSE,
FL2_0319,Puedo correr.,YEN'NITULEK TEKA'AK',TRUE,FALSE,
FL2_0320,Sé correr.,ÑINCHITAPALEK TEKA'AK',TRUE,FALSE,
FL2_0321,Quedé inconsciente.,LLIYA'LEK INLLI'INUI'SU',TRUE,FALSE,t.e : Quedé sin recuerdo
FL2_0322,Me dieron.,ENKA'LLINER'KU,TRUE,FALSE,
FL2_0323,Me alcanzaron.,ENKA'LLINER'KU,TRUE,FALSE,
FL2_0324,Lo odio.,LUYULEK',TRUE,TRUE,
FL2_0325,Eso espero.,NANA WA'TEN'NEK',TRUE,TRUE,
FL2_0326,Lo sabía.,ÑINCHITUWINEK',TRUE,TRUE,
FL2_0327,Me reí.,YAMERLEK',TRUE,TRUE,
FL2_0328,Me gusta.,IYATULEK,TRUE,TRUE,
FL2_0329,¡Lo adoro!,¡TANTE'ÑEK!,TRUE,TRUE,
FL2_0330,Lo necesito.,LUANTULEK,TRUE,TRUE,
FL2_0331,Le vi.,LLI'LEK,TRUE,TRUE,
FL2_0332,Te vi.,LLI'LLIEN,TRUE,TRUE,
FL2_0333,Me tropecé.,PI'SER'KATULEK,TRUE,TRUE,
FL2_0334,Cantaré.,TULUNER'ECHEK,TRUE,TRUE,
FL2_0335,Estoy solo.,KUASHASA' ÑAPALEK,TRUE,TRUE,
FL2_0336,Estoy enojado.,YUSU' ÑAPALEK,TRUE,TRUE,
FL2_0337,Estoy despierto.,NANPISU' ÑAPALEK,TRUE,TRUE,
FL2_0338,Soy ciega.,DAPINANTEK' NUKA'KA,TRUE,TRUE,
FL2_0339,Soy ciego.,DAPINANTEK' NUKA'KA,TRUE,TRUE,
FL2_0340,Estoy quebrado.,NUPEK'PI ÑAPALEK,TRUE,TRUE,
FL2_0341,Estoy loco.,WA'DANPINTEK ÑAPALEK,TRUE,TRUE,
FL2_0342,Estoy borracho.,LUPERSU' ÑAPALEK,TRUE,TRUE,
FL2_0343,Estoy tomada.,LUPERSU' ÑAPALEK,TRUE,TRUE,
,Estoy prendida.,--,,,
FL2_0344,Soy amado.,LUANPI NUKA'KA,TRUE,TRUE,
FL2_0345,Soy amada.,LUANPI NUKA'KA,TRUE,TRUE,
FL2_0346,Soy obeso.,WEIPENSU' NUKA'KA,TRUE,TRUE,
FL2_0347,Soy obesa.,WEILUNSU' NUKA'KA,TRUE,TRUE,
FL2_0348,Estoy listo.,INSEK'DIPERPI ÑAPALEK,TRUE,TRUE,
FL2_0349,Lo siento.,WE'INU,TRUE,TRUE,
FL2_0350,He perdido.,A'WER'LEK,TRUE,TRUE,
FL2_0351,Ólvidalo.,PINANER'KER',TRUE,TRUE,
FL2_0352,¿Está Tom?,¿ÑAPALLI TOM?,TRUE,TRUE,
FL2_0353,¿Es grave?,¿NU'LA'LLI?,TRUE,TRUE,
FL2_0354,¿Es malo?,¿MUKANKAN'INPU'?,TRUE,TRUE,
FL2_0355,¿Está lejos?,¿WEIA'CHA ÑAPALLI?,TRUE,TRUE,
FL2_0356,¿Eres tú?,¿KENMA'CHA'?,TRUE,TRUE,
FL2_0357,Se quemó.,UKER'LLI,TRUE,TRUE,
