pair_id,group_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id,has_audit_flags
U02912,G02681,"Regresaron y le contaron al gobernante, quien convocó al pueblo.","Adenchanna’ wa’an wintullina’, ñinanlu’ peklu’lli.","regresaron y le contaron al gobernante, quien convocó al pueblo.","adenchanna' wa'an wintullina', ñinanlu' peklu'lli.",pdf_textos,P00661,True
U02622,G02391,"No tiene nada, no tiene hijos, no tiene perro, no tiene gallinas, no tiene nada”.","Ñi ma’wi’ñi, wilawi’ñi, ñi ñiñi’wi’ñi, wa’dantekwi’ñi, ñi ma’wi’ñi”.","no tiene nada, no tiene hijos, no tiene perro, no tiene gallinas, no tiene nada.","ñi ma'wi'ñi, wilawi'ñi, ñi ñiñi'wi'ñi, wa'dantekwi'ñi, ñi ma'wi'ñi.",pdf_textos,P00371,True
U00900,G00765,Esperaron.,WA'TENTULLINA',esperaron.,wa'tentullina',flashcards2,P00900,False
U02388,G02157,Ahí se enfría sola.,Nanek sanek’i nanasa’.,ahí se enfría sola.,nanek sanek'i nanasa'.,pdf_textos,P00137,True
U00925,G00788,¿Estaba equivocada?,¿ÑAPAWINEK PEKTUNSU'?,¿estaba equivocada?,¿ñapawinek pektunsu'?,flashcards2,P00925,False
U01203,G01038,Ellos llamarán.,NAWA' PEKLU'TECHUNA',ellos llamarán.,nawa' peklu'techuna',flashcards2,P01203,False
U04364,G04099,Hemos descansado un poco. Meneleo encendió su,"A’mercha nerillidek. Miñiku, a’tentan pinterñen, u’wa’t ulli.",hemos descansado un poco. meneleo encendió su,"a'mercha nerillidek. miñiku, a'tentan pinterñen, u'wa't ulli.",fidel_lomas,P00488,True
U04076,G03813,La Motelo le pintó bien bonito (a la Iguana).,Maduler u’chimusha llinserlli.,la motelo le pintó bien bonito (a la iguana).,maduler u'chimusha llinserlli.,fidel_lomas,P00200,True
U01805,G01596,Es idéntico.,NANAPU'SU' NUKA'A,es idéntico.,nanapu'su' nuka'a,flashcards2,P01805,False
U00299,G00234,No mientas.,YATUMU'TA,no mientas.,yatumu'ta,flashcards2,P00299,False
U00990,G00848,¿Estás perdido?,¿WER'SU' ÑAPALA?,¿estás perdido?,¿wer'su' ñapala?,flashcards2,P00990,False
U02330,G02099,Por eso tengo pena.,Nu’amu kua wa’inutulek.,por eso tengo pena.,nu'amu kua wa'inutulek.,pdf_textos,P00079,True
U01520,G01329,¿Debo continuar?,¿TUPITE'CHEKPI'LA?,¿debo continuar?,¿tupite'chekpi'la?,flashcards2,P01520,False
U00866,G00736,Ahora sigue.,IPA'LA TUPITER',ahora sigue.,ipa'la tupiter',flashcards2,P00866,True
U00867,G00736,Ahora continúa.,IPA'LA TUPITER',ahora continúa.,ipa'la tupiter',flashcards2,P00867,True
U00868,G00736,Ahora prosigue.,IPA'LA TUPITER',ahora prosigue.,ipa'la tupiter',flashcards2,P00868,True
U01191,G01028,Así es.,NU'SU' NUKA'A,así es.,nu'su' nuka'a,flashcards2,P01191,False
U00114,G00077,Dimelo.,ITU'U,dimelo.,itu'u,flashcards2,P00114,False
U02325,G02094,Los niños ahora hablan sólo el castellano,"Wilalusa’ ipa’la Kaschilla’ la’leklansa’ lunna’,",los niños ahora hablan sólo el castellano,"wilalusa' ipa'la kaschilla' la'leklansa' lunna',",pdf_textos,P00074,True
U01254,G01084,Estamos bromeando.,SI'LENTAPALLIDEK,estamos bromeando.,si'lentapallidek,flashcards2,P01254,False
U04218,G03954,pero en las afueras las calles no son buenas.,dunsanlupi’na kallilusa’ mui’ñina’,pero en las afueras las calles no son buenas.,dunsanlupi'na kallilusa' mui'ñina',fidel_lomas,P00342,True
U04053,G03790,“Pero para ir a la fiesta hay que pintarse diseños (en el cuerpo)” dijeron.,“Pistak i’na yapa’ak inllinserlek” tullina’.,pero para ir a la fiesta hay que pintarse diseños (en el cuerpo) dijeron.,pistak i'na yapa'ak inllinserlek tullina'.,fidel_lomas,P00177,True
U02504,G02273,Ahora esta señora me pidió “¡Habla la lengua shiwilu!”,Ipa’la asu’ senñula’ itullun “¡Lunker Shiwilu la’la’!”,ahora esta señora me pidió ¡habla la lengua shiwilu!,ipa'la asu' senñula' itullun ¡lunker shiwilu la'la'!,pdf_textos,P00253,True
U03451,G03214,yo no corro por las mañanas.,KUA KU'LA TEKA'PI'NEK' DASU'LALUSAK',yo no corro por las mañanas.,kua ku'la teka'pi'nek' dasu'lalusak',flashcards_oraciones,P00244,False
U02272,G02041,La que más me cuida es mi hija que es casada.,A’pinta’ luwektapa’nkusui’na ku’aperwawa suda’su’.,la que más me cuida es mi hija que es casada.,a'pinta' luwektapa'nkusui'na ku'aperwawa suda'su'.,pdf_textos,P00021,True
U04007,G03744,"El joven se acercó; acercándose, le dijo: “¿Qué
quieres?”","Nadi’nekler kawilli; kawin “¿Ma’nen luwantula?”,
itulli.","el joven se acercó; acercándose, le dijo: ¿qué quieres?","nadi'nekler kawilli; kawin ¿ma'nen luwantula?, itulli.",fidel_lomas,P00131,True
U01404,G01221,Odio perder.,LUYULEK WER'AK,odio perder.,luyulek wer'ak,flashcards2,P01404,True
U01405,G01221,Detesto perder.,LUYULEK WER'AK,detesto perder.,luyulek wer'ak,flashcards2,P01405,True
U02926,G02695,Dice que cuando llegaron les dijo (el duende):,Ektu’a’ser ima itudeklli:,dice que cuando llegaron les dijo (el duende):,ektu'a'ser ima itudeklli:,pdf_textos,P00675,True
U01128,G00975,Está nevando.,PULUNKER'WANPALLI,está nevando.,pulunker'wanpalli,flashcards2,P01128,False
U04014,G03751,"Así vive, por eso nunca se despega.","Nu’su’ nanpipalli, ñinpi’ apu’tapi’ñi.","así vive, por eso nunca se despega.","nu'su' nanpipalli, ñinpi' apu'tapi'ñi.",fidel_lomas,P00138,True
U03202,G02971,No saben pronunciar.,Ninchipeklui'npu'la'pi'na'.,no saben pronunciar.,ninchipeklui'npu'la'pi'na'.,pdf_textos,P00951,False
U03853,G03598,tú no viajas por las noches.,KENMA KU'LA PA'APINA DEKPILLI'LUSA',tú no viajas por las noches.,kenma ku'la pa'apina dekpilli'lusa',flashcards_oraciones,P00646,False
U03074,G02843,"""Así vamos a hacer entonces”, dijeron haciendo mazo.","""Nu'awa' nu'pachi tanni'ma llisanala nu'tanna'.","así vamos a hacer entonces, dijeron haciendo mazo.",nu'awa' nu'pachi tanni'ma llisanala nu'tanna'.,pdf_textos,P00823,True
U04441,G04176,Esa doncella era de carne impecable.,NANA DA’WANSER MULU’SHA’SU’.,esa doncella era de carne impecable.,nana da'wanser mulu'sha'su'.,vs_textos_narrativos,P00003,True
U00195,G00146,Soy bueno. (hacer bien algo),U'CHIMUKU,soy bueno. (hacer bien algo),u'chimuku,flashcards2,P00195,True
U03630,G03384,nosotras nadamos en la cocha.,KUDA IDUNPALLIDEK SENANKEK,nosotras nadamos en la cocha.,kuda idunpallidek senankek,flashcards_oraciones,P00423,False
U03306,G03074,El río está crecido.,KUPINDEKSHADEK KUPIDEK'APALLI,el río está crecido.,kupindekshadek kupidek'apalli,flashcards_oraciones,P00099,False
U04383,G04118,"De ahí, otra vez hemos surcado.",Nanekla penwinernunta’llidek.,"de ahí, otra vez hemos surcado.",nanekla penwinernunta'llidek.,fidel_lomas,P00507,True
U01717,G01514,No sigo.,KU'LA TUPIAPI'NEK,no sigo.,ku'la tupiapi'nek,flashcards2,P01717,False
U03461,G03224,ustedes no enseñan a los niños.,KENMAMA' KU'LA A'LEK'API'NAMA' WILALUSA',ustedes no enseñan a los niños.,kenmama' ku'la a'lek'api'nama' wilalusa',flashcards_oraciones,P00254,False
U01745,G01541,Quiero ayudar.,YAKATUPA'TULEK,quiero ayudar.,yakatupa'tulek,flashcards2,P01745,False
U01238,G01071,Tenemos vino.,A'ÑAPALLIDEK VINU',tenemos vino.,a'ñapallidek vinu',flashcards2,P01238,False
U02543,G02312,“Después levántense y corran hasta un árbol inclinado.,- “Nanekla yunsanma’ tekka’nta’ku’ ala’sa’ nala inner’apek walek.,después levántense y corran hasta un árbol inclinado.,- nanekla yunsanma' tekka'nta'ku' ala'sa' nala inner'apek walek.,pdf_textos,P00292,True
U02088,G01864,Déjame llevarlo.,TA'ITULA'U EKPE'CHEK,déjame llevarlo.,ta'itula'u ekpe'chek,flashcards2,P02088,False
U00602,G00500,Charlemos.,LUN'AWA',charlemos.,lun'awa',flashcards2,P00602,True
U00608,G00500,Conversemos.,LUN'AWA',conversemos.,lun'awa',flashcards2,P00608,True
U01927,G01712,Eres paciente.,WA'TENTUTEK NUKA'MA,eres paciente.,wa'tentutek nuka'ma,flashcards2,P01927,False
U01574,G01379,Deberíamos comer.,KA'A'KAWA'SU' ÑAPALLI,deberíamos comer.,ka'a'kawa'su' ñapalli,flashcards2,P01574,False
U01073,G00926,La abracé.,WIPERI'LEK,la abracé.,wiperi'lek,flashcards2,P01073,False
U03859,G03604,el niño vive en el campo.,NANA WILA NANPIPALLI MENMIK,el niño vive en el campo.,nana wila nanpipalli menmik,flashcards_oraciones,P00652,False
U02020,G01799,Lo reconozco.,LUWER'CHULEK,lo reconozco.,luwer'chulek,flashcards2,P02020,False
U03327,G03094,ella no ama a sus amigos.,NANA' TANTENI'ÑI EKKUANENLUSA',ella no ama a sus amigos.,nana' tanteni'ñi ekkuanenlusa',flashcards_oraciones,P00120,False
U02769,G02538,"dijeron los antiguos sentados,","tullina’ napi’ku’lusa’ du’anna’,","dijeron los antiguos sentados,","tullina' napi'ku'lusa' du'anna',",pdf_textos,P00518,True
U03205,G02974,"Ahora ""¿Estás yendo compadre?"" diciendo pasan, sin mirarle la cara.","Ipa'li'na ""¿Pa'apilala, kunpá?"" tan nakutulli, lli'ladeinpu'la'pi'.","ahora ¿estás yendo compadre? diciendo pasan, sin mirarle la cara.","ipa'li'na ¿pa'apilala, kunpá? tan nakutulli, lli'ladeinpu'la'pi'.",pdf_textos,P00954,True
U02060,G01837,Tuve suficiente.,A'ÑIWINEK NANASA',tuve suficiente.,a'ñiwinek nanasa',flashcards2,P02060,False
U01935,G01720,¿Están bien?,¿MUSU' ÑAPALAMA'?,¿están bien?,¿musu' ñapalama'?,flashcards2,P01935,False
U04223,G03959,"Cuando caminas por la calle, así doble de barro se pega a tu zapato.","Pa’a’sin kallilupa’, u’ne tanalu’ mumulu’ pasuñi.","cuando caminas por la calle, así doble de barro se pega a tu zapato.","pa'a'sin kallilupa', u'ne tanalu' mumulu' pasuñi.",fidel_lomas,P00347,True
U00020,G00017,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!,¡al ataque!,¡paku' llipu'tudek'kunku'!,flashcards2,P00020,False
U03426,G03189,los niños construyen una torre.,WILALUSA' NU'TULLINA ALA'SA' TORRE,los niños construyen una torre.,wilalusa' nu'tullina ala'sa' torre,flashcards_oraciones,P00219,False
U03468,G03231,ellas no escriben sus nombres.,NAWA' KU'LA LLINSERCHI'ÑINA' LLILLINNENNA',ellas no escriben sus nombres.,nawa' ku'la llinserchi'ñina' llillinnenna',flashcards_oraciones,P00261,False
U01801,G01592,Es mes de navidad.,ÑIÑUDUKER' NUKA'A,es mes de navidad.,ñiñuduker' nuka'a,flashcards2,P01801,False
U02195,G01968,Escribe algo.,LLINSE'CHER' MANEN'UNTA',escribe algo.,llinse'cher' manen'unta',flashcards2,P02195,False
U01553,G01359,Tom recuerda.,TOM LLI'INUTAPALLI,tom recuerda.,tom lli'inutapalli,flashcards2,P01553,False
U03770,G03518,las niñas no recuerdan una historia.,NANA WILA KUAPERLUSA KU'LA LLI'INUTAPI'ÑINA ALA'SA' HISTURIA,las niñas no recuerdan una historia.,nana wila kuaperlusa ku'la lli'inutapi'ñina ala'sa' histuria,flashcards_oraciones,P00563,False
U00431,G00344,Perdieron.,KANA'CHI'ÑINA',perdieron.,kana'chi'ñina',flashcards2,P00431,False
U00477,G01487,¡Pásale!,ENKA'KER',¡pásale!,enka'ker',flashcards2,P00477,True
U01687,G01487,Dáselo.,ENKA'KER',dáselo.,enka'ker',flashcards2,P01687,True
U01689,G01487,Pásaselo.,ENKA'KER',pásaselo.,enka'ker',flashcards2,P01689,True
U02040,G01818,Seré paciente.,WA'TENTUTEK ÑIECHEK,seré paciente.,wa'tentutek ñiechek,flashcards2,P02040,False
U01932,G01717,Quien sea.,DENPINTA' ÑI'I,quien sea.,denpinta' ñi'i,flashcards2,P01932,False
U02280,G02049,quiere aprender el idioma shiwilu.,Shiwilu la’la’ yañinchitulli.,quiere aprender el idioma shiwilu.,shiwilu la'la' yañinchitulli.,pdf_textos,P00029,True
U04349,G04084,Con quién también hablaba . No tenía pereza de hablar.,Denlekpi’nta’ luñi. Peri’ñi yalun.,con quién también hablaba . no tenía pereza de hablar.,denlekpi'nta' luñi. peri'ñi yalun.,fidel_lomas,P00473,True
U01316,G01139,¿Eres feliz?,¿MUSU' ÑAPALA?,¿eres feliz?,¿musu' ñapala?,flashcards2,P01316,False
U00460,G00372,¿Estoy equivocada?,¿APER'SUKU A'CHA?,¿estoy equivocada?,¿aper'suku a'cha?,flashcards2,P00460,False
U04029,G03766,Por eso la Mujer Sachavaca no le quitó toda su carne.,Nanamalek Panwalalunler siwer’chi’ñi iñer’ lu’lunnen.,por eso la mujer sachavaca no le quitó toda su carne.,nanamalek panwalalunler siwer'chi'ñi iñer' lu'lunnen.,fidel_lomas,P00153,True
U04003,G03740,"Le llamó, “Ven, quiero hablarte”, le dijo.","Peklu’lli. “Wekker’, yaluntullen”, itulli.","le llamó, ven, quiero hablarte, le dijo.","peklu'lli. wekker', yaluntullen, itulli.",fidel_lomas,P00127,True
U00492,G00401,¡No esperen!,¡YAWA'TENTUTAMA!,¡no esperen!,¡yawa'tentutama!,flashcards2,P00492,False
U03146,G02915,Así lo que han dicho he oído cuando era muchacho y ahora les estoy contando.,"Ta'ser kuanta' wilaku ñamu lawektulek, ipa'la winta'pallenma'.",así lo que han dicho he oído cuando era muchacho y ahora les estoy contando.,"ta'ser kuanta' wilaku ñamu lawektulek, ipa'la winta'pallenma'.",pdf_textos,P00895,False
U00216,G00164,Estoy débil.,MUDINUI'SU' ÑAPALEK,estoy débil.,mudinui'su' ñapalek,flashcards2,P00216,False
U03475,G03237,yo escribo su nombre.,KUA LLINSERCHULEK LLILLINNEN,yo escribo su nombre.,kua llinserchulek llillinnen,flashcards_oraciones,P00268,False
U01869,G01657,Están dentro.,KINEKLA' ÑAPALLINA',están dentro.,kinekla' ñapallina',flashcards2,P01869,False
U01810,G01601,Déjame irme.,TA'ITULA'U PAE'CHEK,déjame irme.,ta'itula'u pae'chek,flashcards2,P01810,False
U01763,G01559,Los llamaré.,PEKLUE'CHENMA',los llamaré.,peklue'chenma',flashcards2,P01763,False
U01129,G00976,Está funcionando.,SAKA'TAPALLI,está funcionando.,saka'tapalli,flashcards2,P01129,False
U04022,G03759,Luego fue donde la Mujer Pucacunga.,Nanekla pa’lli Chunserlunkek.,luego fue donde la mujer pucacunga.,nanekla pa'lli chunserlunkek.,fidel_lomas,P00146,True
U00053,G00042,Sean gentiles.,MUKANKAN ÑIKER',sean gentiles.,mukankan ñiker',flashcards2,P00053,True
U00054,G00042,Sé agradable.,MUKANKAN ÑIKER',sé agradable.,mukankan ñiker',flashcards2,P00054,True
U03075,G02844,Buscaron a los yupaneros.,Ma'i silutulusa' dunkerllina'.,buscaron a los yupaneros.,ma'i silutulusa' dunkerllina'.,pdf_textos,P00824,False
U01642,G01446,Estás tratando.,YANU'TAPALA,estás tratando.,yanu'tapala,flashcards2,P01642,False
U01897,G01685,Los tenemos.,A'ÑAPALEKDEKWA',los tenemos.,a'ñapalekdekwa',flashcards2,P01897,False
U01543,G01349,Están vivos.,NANPIPALLINA',están vivos.,nanpipallina',flashcards2,P01543,False
U00254,G00197,Dia.,UKLLI,dia.,uklli,flashcards2,P00254,False
U03014,G02783,Los culpables son los que abrieron el camino a Moyobamba.,Nana usha'wañen Muyunpa inchilala ekketcherka'su'.,los culpables son los que abrieron el camino a moyobamba.,nana usha'wañen muyunpa inchilala ekketcherka'su'.,pdf_textos,P00763,False
U00787,G00660,Debo esconderme.,INSEK'KITA'KASU'ÑAPALLI,debo esconderme.,insek'kita'kasu'ñapalli,flashcards2,P00787,False
U04244,G03980,muchos policías murieron.,muinchi suntaDulusa’ chimiñina’.,muchos policías murieron.,muinchi suntadulusa' chimiñina'.,fidel_lomas,P00368,True
U01686,G01485,Todos pagaron.,IÑER' PANWILEK'TULLINA',todos pagaron.,iñer' panwilek'tullina',flashcards2,P01686,False
U04276,G04012,¡Cuánto dinero quizás estará gastando nuestro país comprando la vacuna!,¡Kupin ñinanlu’mapu’wa’ enpu’dun kulliker’ ipa’ dekker’apalli ilulenna mapa’tan!,¡cuánto dinero quizás estará gastando nuestro país comprando la vacuna!,¡kupin ñinanlu'mapu'wa' enpu'dun kulliker' ipa' dekker'apalli ilulenna mapa'tan!,fidel_lomas,P00400,True
U00695,G00578,Trabajaremos.,SAKA'TATERWA',trabajaremos.,saka'taterwa',flashcards2,P00695,False
U02858,G02627,"Después, dice otro viejo dijo: “Eso lo que están hablando no es falso,","Naneklima, ali’la taserpi tulli “Nana tapa’mamasu’ ñi da’pininpu’,","después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",pdf_textos,P00607,True
U03131,G02900,"Cuentan que Apu’tek tenía plata, mientras que a Sekputchek lo trajeron para que supervise a los trabajadores.","Apu’tek ima kullikerwa'su', Sekputchek imi'na saka'tulusa' luwekta'su' nanakin kelli.","cuentan que apu'tek tenía plata, mientras que a sekputchek lo trajeron para que supervise a los trabajadores.","apu'tek ima kullikerwa'su', sekputchek imi'na saka'tulusa' luwekta'su' nanakin kelli.",pdf_textos,P00880,True
U02868,G02637,"cuando le contemos el viejo va a decir,","nana wintupatekwa’ nana tetchu,","cuando le contemos el viejo va a decir,","nana wintupatekwa' nana tetchu,",pdf_textos,P00617,True
U02329,G02098,no pueden hablar.,innichi’ñina’ lu’nkasu’.,no pueden hablar.,innichi'ñina' lu'nkasu'.,pdf_textos,P00078,True
U00977,G01443,Eres libre.,INAPIKEN NUKA'MA,eres libre.,inapiken nuka'ma,flashcards2,P00977,True
U01639,G01443,Estás soltero.,INAPIKEN NUKA'MA,estás soltero.,inapiken nuka'ma,flashcards2,P01639,True
U03828,G03573,los niños no ven a sus amigos.,NANA WILA'LU'SA' KU'LA' LLIAPI'ÑI'NA' PATU'NENLU'SA',los niños no ven a sus amigos.,nana wila'lu'sa' ku'la' lliapi'ñi'na' patu'nenlu'sa',flashcards_oraciones,P00621,False
U01330,G01152,¿Puedo entrar?,¿YENNITULEK DA'AK?,¿puedo entrar?,¿yennitulek da'ak?,flashcards2,P01330,False
U01791,G01584,Es sábado.,SAWADU' NUKA'A,es sábado.,sawadu' nuka'a,flashcards2,P01791,False
U03002,G02771,"Lloraron entre ellos, se besaron las manos, así dijeron como dialogando con sus compadres. Ahí bebiendo todas estas cosas hablaban. 8 Probablemente el narrador hace alusión a los espa ñoles conocidos como Apu’tek y Sekputchek. Véanse las narraciones siguientes.","Inwellektanna', inmusha'iteklanna', tullini'ma kunpallinenna' luntanna'pu'su'. Nanek uwanna', tusu'sa' luñina'.","lloraron entre ellos, se besaron las manos, así dijeron como dialogando con sus compadres. ahí bebiendo todas estas cosas hablaban. 8 probablemente el narrador hace alusión a los espa ñoles conocidos como apu'tek y sekputchek. véanse las narraciones siguientes.","inwellektanna', inmusha'iteklanna', tullini'ma kunpallinenna' luntanna'pu'su'. nanek uwanna', tusu'sa' luñina'.",pdf_textos,P00751,True
U02749,G02518,"la taricaya salió,","damer’ita yunsu’lli,","la taricaya salió,","damer'ita yunsu'lli,",pdf_textos,P00498,True
U03995,G03739,"Por eso, triste la Mujer Renaco iba en la calle.",Nanamalek we’inutusu’ Ellalun pa’lli kallik.,"por eso, triste la mujer renaco iba en la calle.",nanamalek we'inutusu' ellalun pa'lli kallik.,fidel_lomas,P00119,True
U04292,G04028,"Los fierros que corren (carros), ellos también llevan las enfermedades.","Wa’nalusa’ tekka’er’kasu’, nawa’nta’ kaluwi’ ekpa’pallina’.","los fierros que corren (carros), ellos también llevan las enfermedades.","wa'nalusa' tekka'er'kasu', nawa'nta' kaluwi' ekpa'pallina'.",fidel_lomas,P00416,True
U04079,G03816,Así quedó la Iguana hasta el día de hoy.,Nu’su’ llia’lli Pekkuala ipa’lalek.,así quedó la iguana hasta el día de hoy.,nu'su' llia'lli pekkuala ipa'lalek.,fidel_lomas,P00203,True
U01684,G01483,Cómanse todo.,KA'KU' IÑER',cómanse todo.,ka'ku' iñer',flashcards2,P01684,False
