pair_id,ESP_normalizado,SHIWILU_normalizado,similarity_score
U00053,sean gentiles.,mukankan ñiker',0.8203172087669373
U00054,sé agradable.,mukankan ñiker',0.8400824069976807
U00055,llámame.,peklu'u,0.8343663215637207
U00056,llámanos.,peklu'udek,0.8492143154144287
U00057,entre.,da'kerker',0.8369574546813965
U00058,pase.,da'kerker',0.8467151522636414
U00059,¡entren!,¡daker'ku'!,0.881308913230896
U00060,suéltalo.,apu'ker',0.8411959409713745
U00061,bájate.,nu'wanker',0.8486989736557007
U00062,sal.,yunsuer',0.8339604735374451
U00063,sal.,damula,0.8235288858413696
U00064,salgan.,yunsu'ku',0.8263514637947083
U00065,¡largo!,¡paker'!,0.88677579164505
U00066,largo,shin,0.8105030059814453
U00067,¡vete ya!,¡paker'!,0.8868051767349243
U00068,lárguese.,¡paku'!,0.8721268177032471
U00069,vaya despacio.,paker' uti'la,0.8496264219284058
U00070,¡hasta luego!,¡pante'chek!,0.8852487802505493
U00071,¡chau!,¡pante'chek!,0.8926751017570496
U00072,¡un segundo!,¡ipia'lasha!,0.8935697674751282
U00073,agarra fuertemente.,pilli'ter' ikersu',0.8437385559082031
U00074,dolor,iker,0.7932184338569641
U00075,el ají pica,nuka' ikerlli,0.8061140179634094
U00076,él vino.,nana uk'lli,0.8781343698501587
U00077,él renunció.,nana yunsu'lli,0.8213067650794983
U00078,ayúdame.,katu'pa'u,0.8546783924102783
U00079,ayúdanos.,katu'pa'udek,0.8591102361679077
U00080,espera.,wa'tenker',0.8536390066146851
U00081,resista.,yan'katek'ter',0.8605819940567017
U00082,resiste.,yan'katek'ter',0.8762429356575012
U00083,de acuerdo.,muetchun,0.8316159248352051
U00084,me incliné.,yen'ner'lek',0.8471826314926147
U00085,dormí.,wichi'lek,0.838270366191864
U00086,durmiendo,wicha'palek,0.8387769460678101
U00087,me voy a dormir,wichin'dek'chek,0.8434937000274658
U00088,voy a dormir,wichi'echek,0.8485843539237976
U00089,lo intenté.,tekle'rilek',0.8858417272567749
U00090,iré.,pa'echek,0.8655229806900024
U00091,soy tom.,nuka'ku tom,0.886558473110199
U00092,estoy gordo.,weipensu' ñapalek,0.8626695871353149
U00093,soy gorda.,weilunsu' nuka'ka,0.8160360455513
U00094,estoy afectado.,muin'su' ñapalek,0.8831773996353149
U00095,soy viejo.,taserpiku,0.8466489315032959
U00096,soy tímido.,tekua'dande'ku,0.85923171043396
U00097,estoy mojada.,wiwerapalek,0.84276282787323
U00098,está bien.,mupalli,0.8249884247779846
U00099,soy yo.,kua nuka'ka,0.8423554301261902
U00100,guárdalo.,sekdiperker',0.8473047018051147
U00101,"yo, también.",kuanta',0.8504813313484192
U00102,abre.,ek'ke'cher',0.8544087409973145
U00103,¡perfecto!,¡mupalli!,0.8979736566543579
U00104,nos vemos.,inlli'ter,0.8442585468292236
U00105,enséñamelo. (pasar conocimiento),alek'u,0.8324203491210938
U00106,enséñamelo. (muestramelo),alli'u,0.834673285484314
U00107,muestrame.,alli'u,0.862514078617096
U00108,hasta luego.,pante'chek,0.8617520332336426
U00109,páralo. (poner vertical),a'wanerker',0.8485236763954163
U00110,páralo. (detener),tu'neker',0.85526043176651
U00111,deténlo.,tu'neker',0.8551607131958008
U00112,cógelo.,maker',0.8515619039535522
U00113,macambo (fruta),maker,0.8183181285858154
U00114,dimelo.,itu'u,0.8537101745605469
U00115,tom comió.,tom weranpalli,0.8825987577438354
U00116,tom corrió.,tom teka'lli,0.8890068531036377
U00117,tom ganó.,tom kana'tulli,0.8698596358299255
U00118,espérame despierto.,wa'ten'u nanpisu',0.8473721742630005
U00119,¡despierta!,¡nanpiker'!,0.8780132532119751
U00120,despierta.,nanpiker',0.8634805679321289
U00121,crudo,nanpi,0.8063082098960876
U00122,vivo,nanpi,0.8024301528930664
U00123,lo sabemos.,ñinchitapallidek,0.8778237104415894
U00124,perdimos.,wer'llidek,0.8731461763381958
U00125,bienvenidos.,muwencha'ku',0.8590812683105469
U00126,bienvenidas.,muwencha'ku',0.8586157560348511
U00127,bienvenido.,muwencha'ker',0.8642647862434387
U00128,¿quién comió?,¿den'ina' ka'lli?,0.8180344104766846
U00129,¿quién corría?,¿den'ina' teka'lli?,0.8279756903648376
U00130,¿quién corrió?,¿den'ina' teka'lli?,0.8112589120864868
U00131,¿quién ganó?,¿den'ina' kana'tulli?,0.8005174398422241
U00132,corre.,tek'ker',0.8551715016365051
U00133,has ganado.,kana'tula,0.8870772123336792
U00134,¿estoy gordo?,¿weipensu' ñapalek?,0.8433852195739746
U00135,pregúntale.,lek'ker',0.8311622142791748
U00136,pregúntales.,lek'ker',0.8335778713226318
U00137,apártate.,paker' ñilupa',0.8516484498977661
U00138,sé fuerte.,nantapitek' ñiker',0.827975869178772
U00139,sea breve.,empu'ni yalunta',0.8535254001617432
U00140,sean breves.,empu'ni yaluntama',0.8082584142684937
U00141,estate quieto.,yalenmekta',0.8663977980613708
U00142,anímate.,nanta'piker,0.8750349283218384
U00143,venga.,wencher',0.8661683797836304
U00144,ven a beber,uencher',0.815237820148468
U00145,¡cálmate!,¡tuna'ker'!,0.879228949546814
U00146,espósale.,tenpu'ker',0.8509157299995422
U00147,arregla esto.,asu' tekdi'per'ker',0.8469376564025879
U00148,abajo.,dawik',0.8594982624053955
U00149,túmbate.,anu'ker',0.8462066650390625
U00150,¡piérdete!,¡wer'ker'!,0.8872790336608887
U00151,¡piénsalo bien!,¡musu' lli'inuter'!,0.8742663860321045
U00152,adelante. (ingresa),da'encher',0.8496500253677368
U00153,adelante. (parte superior),ekter,0.8222686052322388
U00154,adelántante,ekte'cher',0.8253304958343506
U00155,se adelantará.,ekte'chechu,0.8479517698287964
U00156,se adelantarán.,ekte'chechuna',0.8457738161087036
U00157,entra.,da'encher',0.8659342527389526
U00158,entren.,da'encha'ku',0.844826340675354
U00159,¡buen trabajo!,¡musa'ka'tuna!,0.8697823286056519
U00160,agárralo.,pilli'ter',0.8369903564453125
U00161,diviértanse.,sakek'ku',0.8356084823608398
U00162,pásala bien.,musu'nakuker',0.8364881277084351
U00163,pásenla bien.,musu'nakuku',0.8406387567520142
U00164,él habló.,nana lunñi,0.8420932292938232
U00165,él prueba.,nana lata'lli,0.8653834462165833
U00166,ayúdalo.,katu'per',0.8532181978225708
U00167,buenas.,mulusa',0.8517577648162842
U00168,¡qué encanto!,¡empu'ni mushipa'!,0.8673743009567261
U00169,compláceme.,a'sakek'u,0.8633097410202026
U00170,¡date prisa!,¡wiuker'!,0.8727563619613647
U00171,apresúrate.,wiuker',0.8573634624481201
U00172,estoy viejo.,taserpiku',0.8684741258621216
U00173,puedo ir.,yennitulek pa'ak,0.842706561088562
U00174,lo hice.,nu'tulek,0.8558462262153625
U00175,fracasé.,a'aper'lek',0.8591513633728027
U00176,lo olvidé.,pinaner'lek',0.8448777198791504
U00177,lo entiendo.,lachek'apalek,0.8726232051849365
U00178,lo tengo.,a'ñapalek,0.8671776056289673
U00179,me niego.,luwanchi'nek,0.8664371371269226
U00180,renuncio.,yunsu'lek',0.8402112722396851
U00181,lo vi.,lli'lek,0.8608580231666565
U00182,sonreí.,yamerladalek',0.8534848690032959
U00183,reí.,yamerlek',0.857331395149231
U00184,me quedé.,lliya'lek',0.8597270250320435
U00185,esperé.,wa'ten'nek',0.8577448725700378
U00186,yo pagaré.,kua panwilek'te'chek',0.8306642174720764
U00187,he vuelto.,adencha'lek,0.8697892427444458
U00188,soy calvo.,nuwek'mutu'ku,0.869960367679596
U00189,estoy calvo.,nuwek'mutu' ñapalek,0.8618496656417847
U00190,estoy calmado.,tuna'su' ñapalek,0.8829382658004761
U00191,está calmando. (dolor),latada'pilalli,0.8632466793060303
U00192,estoy tranquilo. (estoy bien),u'chimuñapalek,0.8742228746414185
U00193,he terminado.,a'ta'wantulek,0.8754503130912781
U00194,soy justo. (soy bueno),mukankanku',0.8406464457511902
U00195,soy bueno. (hacer bien algo),u'chimuku,0.8279868960380554
U00196,estoy perfectamente.,u'chimuinchi ñapalek,0.8675575256347656
U00197,¡soy libre!,¡inapiku!,0.8883309364318848
U00198,estoy lleno.,mer'su' ñapalek,0.8882507085800171
U00199,estoy llena.,mer'su' ñapalek,0.8853724598884583
U00200,estoy aquí.,asek' ñapalek,0.8833986520767212
U00201,estoy herido.,chacha'lek ñapalek,0.8835290670394897
U00202,llego tarde.,erwa' ektu'lek,0.8559832572937012
U00203,soy vago.,perchek' nuka'ka,0.8497101068496704
U00204,estoy perdida.,wer'su' ñapalek,0.8764688968658447
U00205,soy malo. (maldad),mukankainpu' nuka'ka,0.8178385496139526
U00206,soy malo. (hacer mal las cosas),mui'nek,0.8105908036231995
U00207,soy pobre.,kulliker'wi'nek,0.8520089387893677
U00208,soy rica.,wapu' kulliker'wanek,0.838939905166626
U00209,soy rico.,wapu' kulliker'wanek,0.8396019339561462
U00210,estoy enferma.,kaluwi'su' ñapalek,0.8688653707504272
U00211,soy delgado. (masculino),shamu'pensu' nuka'ka,0.8353491425514221
U00212,soy delgada. (femenino),shamu'lunsu' nuka'ka,0.8325585126876831
U00213,estoy limpio.,pekuipi ñapalek,0.8657310009002686
U00214,estoy calientito.,ukapisha ñapalek,0.8631432056427002
U00215,estoy caliente.,ukapisu' ñapalek,0.8604023456573486
U00216,estoy débil.,mudinui'su' ñapalek,0.8703762888908386
U00217,soy listo.,iñer' ñinchitapalek,0.8310168385505676
U00218,estoy listo. (preparado),insek'diperpiku' nuka'ka,0.8475478887557983
U00219,gané.,kana'tulek,0.8604069948196411
U00220,eso ayuda.,nana katu'patulli,0.8313449621200562
U00221,duele.,ikerlli,0.8346487879753113
U00222,funciona.,saka'tulli.,0.8638812303543091
U00223,es tom.,tom nuka'a,0.9012390971183777
U00224,es divertido.,wa'danpintek,0.8681910037994385
U00225,es suyo.,kenmakin nuka'a,0.8456135988235474
U00226,es nuevo.,nalu' nuka'a,0.8716991543769836
U00227,es extraño.,nerpi'la nuka'a,0.8662914633750916
U00228,es viejo.,napi'da' nuka'a,0.8414174914360046
U00229,es rojo.,pipersu' nuka'a,0.8436970710754395
U00230,es triste.,we'inu nuka'a,0.8498761653900146
U00231,prohibido pasar.,ku'la nakui'nchu,0.8343939781188965
U00232,no entrar.,ku'la dai'nchu,0.8745647668838501
U00233,déjalo.,tai'tuler',0.8438883423805237
U00234,déjame.,tai'tula'u,0.8721072673797607
U00235,déjanos.,tai'tula'udek,0.868462324142456
U00236,vamos.,pa'a,0.8492900133132935
U00237,cuidado.,lli'ker'llia',0.8549133539199829
U00238,cásate conmigo.,sadaker' kualek',0.8578157424926758
U00239,¿puedo ir?,¿yen'nitulek pa'ak?,0.8564859628677368
U00240,ella vino.,nana uk'lli,0.867598831653595
U00241,ella murió.,nana chimiñi,0.8557480573654175
U00242,ella corre.,nana teka'lli,0.8638263940811157
U00243,siéntate.,du'ker',0.8318325281143188
U00244,mes.,duker,0.8215713500976562
U00245,luna,duker,0.7754757404327393
U00246,siéntate aquí.,du'ker' asek,0.8599874973297119
U00247,prepárate.,insek'diper'ker',0.8495229482650757
U00248,un momento.,wa'tenker',0.8383350372314453
U00249,parate,wanerker',0.7884827852249146
U00250,¡de pie!,¡wanerker'!,0.8873323202133179
U00251,¡genial!,¡u'chimu!,0.8785931468009949
U00252,ellos ganaron.,nawa' kana'tullina',0.8442060351371765
U00253,tom vino.,tom uk'lli,0.8871978521347046
U00254,dia.,uklli,0.8382313251495361
U00255,tom mintió.,tom tumu'lli,0.8835372924804688
U00256,tomás miente.,tomas tumu'palli,0.8609806299209595
U00257,tom perdió.,tom kana'chi'ñi,0.8872740268707275
U00258,tom pagó.,tom panwilek'tulli,0.8862630724906921
U00259,tom renunció.,tom yunsu'lli,0.8561728000640869
U00260,tom nadó.,tom iduñi,0.8851392269134521
U00261,tom lloró.,tom welliek'lli,0.8676941394805908
U00262,demasiado tarde.,nakusuin'chi erwa',0.8403252959251404
U00263,prueben esto. (saborear),lata'ku' asu',0.8408535718917847
U00264,prueba esto. (saborear),lata'ker' asu',0.8548766374588013
U00265,usa esto.,pata'ker' asu',0.8672885894775391
U00266,mírame.,lli'u,0.8529077768325806
U00267,vigílame.,luwuk'tu'u,0.8863565325737
U00268,obsérvame.,lli'u,0.8498082756996155
U00269,obsérvalos.,lli'dek'ku',0.8470362424850464
U00270,iremos.,pa'aterwa',0.8478131294250488
U00271,estamos bien.,mu'pallidek',0.873511791229248
U00272,¿para qué?,¿ma'ki'na?,0.8729335069656372
U00273,¡qué divertido!,¡empu'ni wa'danpintek'ipa'!,0.8638453483581543
U00274,¿quién vino?,¿den uk'lli?,0.8159274458885193
U00275,¿quién murió?,¿den chimiñi?,0.8186545372009277
U00276,¿quién nadó?,¿den iduñi?,0.8100190758705139
U00277,escríbeme.,llinser'chu'u,0.8874320983886719
U00278,tú primero.,kenmamentu,0.8663991689682007
U00279,usted primero.,kenmamentu,0.8757450580596924
U00280,apunta. ¡fuego!,tañiter' . ¡pen!,0.8875159025192261
U00281,respóndeme.,na'pi'u,0.844875693321228
U00282,respóndanme.,na'piu'ku,0.8427934646606445
U00283,jesús.,kishu,0.8514779806137085
U00284,cálmate.,ta'tuler',0.8538424372673035
U00285,tranquilízate.,ta'tuler',0.8652908802032471
U00286,captúralo.,pilli'ter',0.860129177570343
U00287,captúrenlo.,pilli'tuku',0.8716309070587158
U00288,atrápenlo.,pilli'tuku',0.8581063747406006
U00289,atrápalo.,pilli'ter',0.8455542325973511
U00290,vuelve.,aden'cher',0.8476284146308899
U00291,ven.,wencher',0.8620837926864624
U00292,venid aquí.,wencher' asek,0.8650494813919067
U00293,vuelve pronto.,aden'cher' wiuk'su',0.8472070693969727
U00294,hazlo ahora.,nu'ter' ipa'la,0.8565058708190918
U00295,no preguntes.,yalek'tuta,0.8526151180267334
U00296,no llores.,yawellekta,0.8718578815460205
U00297,¡no llores!,¡yawellekta!,0.8876926898956299
U00298,no lloren.,yawellektama',0.8473497629165649
U00299,no mientas.,yatumu'ta,0.8502678275108337
U00300,¡fantástico!,¡u'chimuinchi!,0.896713376045227
U00301,¡es estupendo!,¡u'chimuinchi nuka'a!,0.8877384662628174
U00302,sígueme.,tupi'tu'u,0.899889349937439
U00303,síguenos.,tupi'tu'udek,0.8883764743804932
U00304,olvídame.,pinaner'u,0.8528832197189331
U00305,olvídenme.,pinaner'u'ku,0.8457417488098145
U00306,preparense.,insek'diperku',0.8761707544326782
U00307,agarra esto.,pilliter' asu',0.858562707901001
U00308,sonrió.,yamerladalli,0.8525590896606445
U00309,es rico. (sabor),iyalli,0.8156850934028625
U00310,acá estoy.,asek' ñapalek,0.8496636152267456
U00311,sostén esto.,pilliter' asu',0.851543664932251
U00312,¡qué horror!,¡imanan empu'nipa'!,0.8663292527198792
U00313,¡qué raro!,¡nerpi'la empu'nipa'!,0.8598932027816772
U00314,estoy ocupada.,yen'nichi'nek,0.8687195777893066
U00315,estoy ocupado.,yen'nichi'nek,0.8739362359046936
U00316,soy bueno.,mukankanku,0.8601030111312866
U00317,puedo volar.,yen'nitulek pen'nu'ak',0.83673095703125
U00318,puedo correr.,yen'nitulek teka'ak',0.8522365093231201
U00319,sé correr.,ñinchitapalek teka'ak',0.836217999458313
U00320,quedé inconsciente.,lliya'lek inlli'inui'su',0.850401759147644
U00321,me dieron.,enka'lliner'ku,0.8851730823516846
U00322,me alcanzaron.,enka'lliner'ku,0.8647904396057129
U00323,lo odio.,luyulek',0.8529838919639587
U00324,eso espero.,nana wa'ten'nek',0.8292163610458374
U00325,lo sabía.,ñinchituwinek',0.8513997197151184
U00326,me reí.,yamerlek',0.8556792736053467
U00327,me gusta.,iyatulek,0.853190541267395
U00328,¡lo adoro!,¡tante'ñek!,0.8916692137718201
U00329,lo necesito.,luantulek,0.8302797079086304
U00330,le vi.,lli'lek,0.8695162534713745
U00331,te vi.,lli'llien,0.8417593836784363
U00332,me tropecé.,pi'ser'katulek,0.8662081360816956
U00333,cantaré.,tuluner'echek,0.8776260614395142
U00334,estoy solo.,kuashasa' ñapalek,0.8632159233093262
U00335,estoy enojado.,yusu' ñapalek,0.8662163019180298
U00336,estoy despierto.,nanpisu' ñapalek,0.8822835683822632
U00337,soy ciega.,dapinantek' nuka'ka,0.8306131362915039
U00338,soy ciego.,dapinantek' nuka'ka,0.8317708373069763
U00339,estoy quebrado.,nupek'pi ñapalek,0.8698376417160034
U00340,estoy loco.,wa'danpintek ñapalek,0.8653610944747925
U00341,estoy borracho.,lupersu' ñapalek,0.8695430159568787
U00342,estoy tomada.,lupersu' ñapalek,0.8653380870819092
U00343,soy amado.,luanpi nuka'ka,0.8313561081886292
U00344,soy amada.,luanpi nuka'ka,0.8320661187171936
U00345,soy obeso.,weipensu' nuka'ka,0.8448007106781006
U00346,soy obesa.,weilunsu' nuka'ka,0.8507449626922607
U00347,estoy listo.,insek'diperpi ñapalek,0.8529208898544312
U00348,lo siento.,we'inu,0.8477839827537537
U00349,he perdido.,a'wer'lek,0.8589892387390137
U00350,ólvidalo.,pinaner'ker',0.8354787826538086
U00351,¿está tom?,¿ñapalli tom?,0.9020001292228699
U00352,¿es grave?,¿nu'la'lli?,0.8593788146972656
U00353,¿es malo?,¿mukankan'inpu'?,0.8564519286155701
U00354,¿está lejos?,¿weia'cha ñapalli?,0.8742861747741699
U00355,¿eres tú?,¿kenma'cha'?,0.8729064464569092
U00356,se quemó.,uker'lli,0.8505245447158813
U00357,falló.,aper'lli,0.843727707862854
U00358,fracasó.,a'aper'lli,0.8571425676345825
U00359,llovió.,u'lanñi,0.8494406938552856
U00360,apesta.,analli,0.8422207236289978
U00361,funcionó.,saka'tulli,0.861435055732727
U00362,hace frío.,sanek'wañi,0.8773730397224426
U00363,está frío.,sanek'apalli,0.8658926486968994
U00364,está fresco.,nalu ñapalli,0.8796660900115967
U00365,está oscuro.,kasiser' ñapalli,0.8634657859802246
U00366,¡está listo!,¡insek'diperpi ñapalli!,0.8709593415260315
U00367,es tarde.,er'wa nuka'a,0.8642715215682983
U00368,es agradable. (persona),mukankan,0.8281765580177307
U00369,es agradable. (sabor),iyalli,0.7992228269577026
U00370,se terminó.,ta'wan'tulli,0.8686854243278503
U00371,se acabó.,tekineklli,0.8750971555709839
U00372,¡es verdad!,¡tekkinchi nuka'a!,0.8805090188980103
U00373,es verdad.,tekkinchi nuka'a,0.8615460395812988
U00374,guarda esto.,sek'diperker' asu',0.8598864078521729
U00375,guarden esto.,sek'diperku' asu',0.8504331707954407
U00376,mantente caliente.,ukapisu' ñaper',0.8355683088302612
U00377,manténgase caliente.,ukapisu' ñaper',0.8370936512947083
U00378,mantente abrigado.,i'shiwansu' ñaper',0.8460696935653687
U00379,manténganse abrigados.,i'shiwansu' ñapaku',0.8878881931304932
U00380,ahora vete.,paker' ipa'la,0.8585513234138489
U00381,ahora lárgate.,paker' ipa'la,0.8362894058227539
U00382,¡suéltame!,¡apu'u!,0.8954090476036072
U00383,¡déjeme ir!,¡ta'itula'u'ku yapanta'lek!,0.8702892065048218
U00384,déjame entrar.,ta'itula'u yada'lek,0.8645058870315552
U00385,déjeme entrar.,ta'itula'u yada'lek,0.8458249568939209
U00386,déjanos entrar.,ta'itula'udek yada'llidek,0.8252536058425903
U00387,comamos.,weranwa',0.853594183921814
U00388,veamos.,lli'awa',0.858384370803833
U00389,¡intentémoslo!,¡intek'klieriwa'!,0.8797901272773743
U00390,escucha.,lauk'ter',0.8464444875717163
U00391,aflójalo.,apu'ker',0.8565767407417297
U00392,suéltala.,apu'ker',0.8321506977081299
U00393,aflójala.,apu'ker',0.849757194519043
U00394,deja sitio.,ta'iter' a'mercha,0.8503063917160034
U00395,deja pasar.,ta'iter' nakui,0.8599997162818909
U00396,¡buen tiro!,musu' dek'la,0.8479539155960083
U00397,¡por supuesto!,te'kinchi,0.8399707078933716
U00398,¿perdona?,ta'itulau,0.8367280960083008
U00399,póntelo.,i'shi'ker',0.8494405150413513
U00400,lee esto.,luntuker' asu',0.8731019496917725
U00401,lea esto.,luntuker' asu',0.8702325820922852
U00402,lean esto.,luntuku' asu',0.8663191795349121
U00403,decí hola.,ma'pu'sin tuker',0.8391062021255493
U00404,véase arriba.,li'ker' musenkek,0.8647270798683167
U00405,¡cogedlo!,pilli'ter',0.8230390548706055
U00406,¡arrestadlo!,pilli'ter',0.8307801485061646
U00407,¡prendedlo!,pilli'ter',0.8289104700088501
U00408,ella anda.,nana dekundulli,0.8602842092514038
U00409,ella camina.,nana dekundulli,0.8647117614746094
U00410,anda.,dekundunlli,0.8410139083862305
U00411,está buena.,mupalli,0.8171653151512146
U00412,firme aquí.,linsercher' asek,0.8545405268669128
U00413,firma esto.,linserker' asu',0.8424770832061768
U00414,sentate ahí.,du'ker' nanek,0.8533879518508911
U00415,tú mantente.,llia'ker' kenma,0.8429080843925476
U00416,quieto.,du'la'ker',0.8433709144592285
U00417,más despacio.,a'pinta' uti'la,0.8461993932723999
U00418,fuera.,adipi,0.8510880470275879
U00419,aléjate.,ñilupa'sha,0.8642920255661011
U00420,quedate acá.,asek lia'ker',0.8479952216148376
U00421,deténlos.,nanek lia'ina',0.8349509239196777
U00422,párales.,nanek lia'ina',0.8123360872268677
U00423,¡cuidate!,inluukter',0.8476592898368835
U00424,¡te cuidas!,inluukter',0.848051905632019
U00425,encárgate tú.,kenma lli'ker',0.8439986705780029
U00426,toma esto.,ma'ta asu',0.8633725643157959
U00427,tome esto.,ma'ta asu',0.8625994920730591
U00428,eso es.,nana nuka'a,0.8413277864456177
U00429,¿entonces qué?,¿nu'pachin ma'nen?,0.8325191736221313
U00430,cayeron.,anu'llina',0.8509695529937744
U00431,perdieron.,kana'chi'ñina',0.852310061454773
U00432,tomás condujo.,tomas ekpa'lli,0.8373785018920898
U00433,tom teje.,tom lanteñi,0.8581157922744751
U00434,tom sabe.,tom ñinchitapalli,0.8943326473236084
U00435,tom nada.,tom idumpalli,0.8671113848686218
U00436,tom juró.,tom tulli,0.8629623651504517
U00437,tomás votó.,tomas dek'lli,0.8401312232017517
U00438,tom camina.,tom dekkuntulli,0.8948752284049988
U00439,tom saludó.,tom tulli ma'pu'sin,0.8806570768356323
U00440,tomás trabaja.,tomás saka'tapalli,0.8831691145896912
U00441,tom irá.,tom pa'echu,0.8884798288345337
U00442,pruébatelo.,teklerier',0.8493008613586426
U00443,espera aquí.,wa'tenter' asek,0.8717632293701172
U00444,aguarda aquí.,wa'tenter' asek,0.8672013878822327
U00445,esperen aquí.,wa'tenku' asek,0.8709977865219116
U00446,fallamos.,aper'llidek,0.8763190507888794
U00447,nos olvidamos.,pinaner'llidek,0.8566292524337769
U00448,conversamos.,lunñidek,0.8722641468048096
U00449,nosotros esperamos.,kuda wa'tentulidek,0.8539360165596008
U00450,después veremos.,nanekla lli'aterwa',0.8688886165618896
U00451,ya veremos.,ipa' lli'aterwa',0.8575003147125244
U00452,¡hemos ganado!,¡kana'tullidek!,0.876973032951355
U00453,¿qué hay?,¿ma'nen ñapalli?,0.8551758527755737
U00454,¿quién es?,¿den a'cha?,0.8579651117324829
U00455,tú maneja.,kenma ekpa'ker',0.8280457258224487
U00456,tú empieza.,kenma tenmiansuer',0.8483908176422119
U00457,lo intentaste.,intek'lli'wina,0.8742010593414307
U00458,más alto.,a'pinta' musenkek,0.8559850454330444
U00459,¿me equivoco?,¿aper'lek a'cha?,0.8708170652389526
U00460,¿estoy equivocada?,¿aper'suku a'cha?,0.8567114472389221
U00461,¿estás bien?,¿mupalan'cha?,0.8788049221038818
U00462,¿estás levantado?,¿yunsansu' ñapala?,0.8658465147018433
U00463,¡ten cuidado!,¡li'ker'la!,0.8736276626586914
U00464,¡sé cuidadoso!,¡li'ker'la!,0.8764941692352295
U00465,estate contento.,ñapaker' musu'kankantusu',0.8767896890640259
U00466,sea paciente.,wa'tenker' a'mercha.,0.8701323866844177
U00467,sé serio.,yamercha,0.8037911057472229
U00468,traed comida.,kencher' weran,0.8626797199249268
U00469,trae vino.,kencher' vinu',0.8954911231994629
U00470,¿puedo ayudar?,¿yennitechek katu'pa'tak?,0.8585753440856934
U00471,lleva esto.,ekpa'ker' asu',0.8598517179489136
U00472,comprueba esto.,teklerier' asu',0.8547992706298828
U00473,escoge uno.,wadunker' ala'sa',0.8578537106513977
U00474,ven solo.,wenller' kenmasa',0.857903242111206
U00475,vente.,wenller',0.8605589866638184
U00476,ven temprano.,wenller' dasu'la,0.8555769920349121
U00477,¡pásale!,enka'ker',0.8389495611190796
U00478,¡pásenle!,enka'ku',0.8480635285377502
U00479,¡ven rápido!,¡wencher' wiuksu'!,0.8760591745376587
U00480,¡vení rápido!,¡wencher' wiuksu'!,0.8819246292114258
