id,pair_id,group_id,source,target,source_lang,target_lang,split,has_audit_flags,origin_source
U03029__spa2shw,U03029,G02798,"sin embargo, ellos viendo a los astros (decían) miren por qué reverbean las estrellas, después se vuelan (las estrellas fugaces).","da'ilek i'na, pi'tandulalusa' lli'anna', lli'ker, ma'pu'n ipa' asu' tandula ulu' ulu'tulli, nu'an pennu'lli.",spa,shw,train,True,pdf_textos
U00493__shw2spa,U00493,G00402,yawa'tentuta,no esperes.,shw,spa,train,False,flashcards2
U00493__spa2shw,U00493,G00402,no esperes.,yawa'tentuta,spa,shw,train,False,flashcards2
U02150__shw2spa,U02150,G01924,kualek ñapallina',están conmigo.,shw,spa,train,False,flashcards2
U02150__spa2shw,U02150,G01924,están conmigo.,kualek ñapallina',spa,shw,train,False,flashcards2
U02746__shw2spa,U02746,G02515,enpinantekllina' sennanlusa'.,se secaron las cochas.,shw,spa,train,True,pdf_textos
U02746__spa2shw,U02746,G02515,se secaron las cochas.,enpinantekllina' sennanlusa'.,spa,shw,train,True,pdf_textos
U04450__shw2spa,U04450,G04185,nu'asu malek iñetller luyalli.,por eso todos la ambicionaban.,shw,spa,train,True,vs_textos_narrativos
U04450__spa2shw,U04450,G04185,por eso todos la ambicionaban.,nu'asu malek iñetller luyalli.,spa,shw,train,True,vs_textos_narrativos
U03037__shw2spa,U03037,G02806,ter'kasu'pi'la papinkuku'lusa' enpi' uklli kenmama' awapenma'lek pa'api'nchuma'.,lo que han anunciado los abuelos ya finados algún día ustedes con sus madres ya no van a estar caminando.,shw,spa,train,True,pdf_textos
U03037__spa2shw,U03037,G02806,lo que han anunciado los abuelos ya finados algún día ustedes con sus madres ya no van a estar caminando.,ter'kasu'pi'la papinkuku'lusa' enpi' uklli kenmama' awapenma'lek pa'api'nchuma'.,spa,shw,train,True,pdf_textos
U01242__shw2spa,U01242,G01074,luwantullidek,lo necesitamos.,shw,spa,train,False,flashcards2
U01242__spa2shw,U01242,G01074,lo necesitamos.,luwantullidek,spa,shw,train,False,flashcards2
U04253__shw2spa,U04253,G03989,"nanekla nadi'neklusa',",", después a los jóvenes,",shw,spa,train,True,fidel_lomas
U04253__spa2shw,U04253,G03989,", después a los jóvenes,","nanekla nadi'neklusa',",spa,shw,train,True,fidel_lomas
U02803__shw2spa,U02803,G02572,ñi'na ñiden kudaler yawinchi'ñidek latekchiñina'.,pero a nadie queremos contarle porque no creen.,shw,spa,train,True,pdf_textos
U02803__spa2shw,U02803,G02572,pero a nadie queremos contarle porque no creen.,ñi'na ñiden kudaler yawinchi'ñidek latekchiñina'.,spa,shw,train,True,pdf_textos
U00674__shw2spa,U00674,G00560,tom wellek'echu,tom llorará.,shw,spa,train,False,flashcards2
U00674__spa2shw,U00674,G00560,tom llorará.,tom wellek'echu,spa,shw,train,False,flashcards2
U02241__shw2spa,U02241,G02010,ku'la u'wa'ta'pi'ñi,no fuma.,shw,spa,train,False,flashcards2
U02241__spa2shw,U02241,G02010,no fuma.,ku'la u'wa'ta'pi'ñi,spa,shw,train,False,flashcards2
U01505__shw2spa,U01505,G01315,nuwanta'wa',vayamos abajo.,shw,spa,train,False,flashcards2
U01505__spa2shw,U01505,G01315,vayamos abajo.,nuwanta'wa',spa,shw,train,False,flashcards2
U00840__shw2spa,U00840,G00710,ucha'paya ñapawiñi,estuvo chevere.,shw,spa,train,False,flashcards2
U00840__spa2shw,U00840,G00710,estuvo chevere.,ucha'paya ñapawiñi,spa,shw,train,False,flashcards2
U03609__shw2spa,U03609,G03363,nana wilalusa pekkui'llina misa',los niños limpian la mesa.,shw,spa,train,False,flashcards_oraciones
U03609__spa2shw,U03609,G03363,los niños limpian la mesa.,nana wilalusa pekkui'llina misa',spa,shw,train,False,flashcards_oraciones
U01380__shw2spa,U01380,G01199,¿enpu'dun chimiñina'?,¿cuántos murieron?,shw,spa,train,False,flashcards2
U01380__spa2shw,U01380,G01199,¿cuántos murieron?,¿enpu'dun chimiñina'?,spa,shw,train,False,flashcards2
U01025__shw2spa,U01025,G00881,¿u'wa'tapala?,¿fumas?,shw,spa,train,False,flashcards2
U01025__spa2shw,U01025,G00881,¿fumas?,¿u'wa'tapala?,spa,shw,train,False,flashcards2
U02729__shw2spa,U02729,G02498,"tanpen, enpulula' yapur'anna' uncha'a'ser di'setchudekker. hombre candela, cuando alguna vez queriendo pescar vengan,",quémalos.,shw,spa,train,True,pdf_textos
U02729__spa2shw,U02729,G02498,quémalos.,"tanpen, enpulula' yapur'anna' uncha'a'ser di'setchudekker. hombre candela, cuando alguna vez queriendo pescar vengan,",spa,shw,train,True,pdf_textos
U00594__shw2spa,U00594,G00490,¡ta'tu'la'ku!,¡guarden silencio!,shw,spa,train,False,flashcards2
U00594__spa2shw,U00594,G00490,¡guarden silencio!,¡ta'tu'la'ku!,spa,shw,train,False,flashcards2
U01853__shw2spa,U01853,G01641,nuka'a nana,es ese.,shw,spa,train,False,flashcards2
U01853__spa2shw,U01853,G01641,es ese.,nuka'a nana,spa,shw,train,False,flashcards2
U01110__shw2spa,U01110,G00961,llinserchapalek,estoy pintando.,shw,spa,train,False,flashcards2
U01110__spa2shw,U01110,G00961,estoy pintando.,llinserchapalek,spa,shw,train,False,flashcards2
U02912__shw2spa,U02912,G02681,"adenchanna' wa'an wintullina', ñinanlu' peklu'lli.","regresaron y le contaron al gobernante, quien convocó al pueblo.",shw,spa,train,True,pdf_textos
U02912__spa2shw,U02912,G02681,"regresaron y le contaron al gobernante, quien convocó al pueblo.","adenchanna' wa'an wintullina', ñinanlu' peklu'lli.",spa,shw,train,True,pdf_textos
U02622__shw2spa,U02622,G02391,"ñi ma'wi'ñi, wilawi'ñi, ñi ñiñi'wi'ñi, wa'dantekwi'ñi, ñi ma'wi'ñi.","no tiene nada, no tiene hijos, no tiene perro, no tiene gallinas, no tiene nada.",shw,spa,train,True,pdf_textos
U02622__spa2shw,U02622,G02391,"no tiene nada, no tiene hijos, no tiene perro, no tiene gallinas, no tiene nada.","ñi ma'wi'ñi, wilawi'ñi, ñi ñiñi'wi'ñi, wa'dantekwi'ñi, ñi ma'wi'ñi.",spa,shw,train,True,pdf_textos
U00900__shw2spa,U00900,G00765,wa'tentullina',esperaron.,shw,spa,train,False,flashcards2
U00900__spa2shw,U00900,G00765,esperaron.,wa'tentullina',spa,shw,train,False,flashcards2
U02388__shw2spa,U02388,G02157,nanek sanek'i nanasa'.,ahí se enfría sola.,shw,spa,train,True,pdf_textos
U02388__spa2shw,U02388,G02157,ahí se enfría sola.,nanek sanek'i nanasa'.,spa,shw,train,True,pdf_textos
U00925__shw2spa,U00925,G00788,¿ñapawinek pektunsu'?,¿estaba equivocada?,shw,spa,train,False,flashcards2
U00925__spa2shw,U00925,G00788,¿estaba equivocada?,¿ñapawinek pektunsu'?,spa,shw,train,False,flashcards2
U01203__shw2spa,U01203,G01038,nawa' peklu'techuna',ellos llamarán.,shw,spa,train,False,flashcards2
U01203__spa2shw,U01203,G01038,ellos llamarán.,nawa' peklu'techuna',spa,shw,train,False,flashcards2
U04364__shw2spa,U04364,G04099,"a'mercha nerillidek. miñiku, a'tentan pinterñen, u'wa't ulli.",hemos descansado un poco. meneleo encendió su,shw,spa,train,True,fidel_lomas
U04364__spa2shw,U04364,G04099,hemos descansado un poco. meneleo encendió su,"a'mercha nerillidek. miñiku, a'tentan pinterñen, u'wa't ulli.",spa,shw,train,True,fidel_lomas
U04076__shw2spa,U04076,G03813,maduler u'chimusha llinserlli.,la motelo le pintó bien bonito (a la iguana).,shw,spa,train,True,fidel_lomas
U04076__spa2shw,U04076,G03813,la motelo le pintó bien bonito (a la iguana).,maduler u'chimusha llinserlli.,spa,shw,train,True,fidel_lomas
U01805__shw2spa,U01805,G01596,nanapu'su' nuka'a,es idéntico.,shw,spa,train,False,flashcards2
U01805__spa2shw,U01805,G01596,es idéntico.,nanapu'su' nuka'a,spa,shw,train,False,flashcards2
U00299__shw2spa,U00299,G00234,yatumu'ta,no mientas.,shw,spa,train,False,flashcards2
U00299__spa2shw,U00299,G00234,no mientas.,yatumu'ta,spa,shw,train,False,flashcards2
U00990__shw2spa,U00990,G00848,¿wer'su' ñapala?,¿estás perdido?,shw,spa,train,False,flashcards2
U00990__spa2shw,U00990,G00848,¿estás perdido?,¿wer'su' ñapala?,spa,shw,train,False,flashcards2
U02330__shw2spa,U02330,G02099,nu'amu kua wa'inutulek.,por eso tengo pena.,shw,spa,train,True,pdf_textos
U02330__spa2shw,U02330,G02099,por eso tengo pena.,nu'amu kua wa'inutulek.,spa,shw,train,True,pdf_textos
U01520__shw2spa,U01520,G01329,¿tupite'chekpi'la?,¿debo continuar?,shw,spa,train,False,flashcards2
U01520__spa2shw,U01520,G01329,¿debo continuar?,¿tupite'chekpi'la?,spa,shw,train,False,flashcards2
U00866__shw2spa,U00866,G00736,ipa'la tupiter',ahora sigue.,shw,spa,train,True,flashcards2
U00866__spa2shw,U00866,G00736,ahora sigue.,ipa'la tupiter',spa,shw,train,True,flashcards2
U00867__shw2spa,U00867,G00736,ipa'la tupiter',ahora continúa.,shw,spa,train,True,flashcards2
U00867__spa2shw,U00867,G00736,ahora continúa.,ipa'la tupiter',spa,shw,train,True,flashcards2
U00868__shw2spa,U00868,G00736,ipa'la tupiter',ahora prosigue.,shw,spa,train,True,flashcards2
U00868__spa2shw,U00868,G00736,ahora prosigue.,ipa'la tupiter',spa,shw,train,True,flashcards2
U01191__shw2spa,U01191,G01028,nu'su' nuka'a,así es.,shw,spa,train,False,flashcards2
U01191__spa2shw,U01191,G01028,así es.,nu'su' nuka'a,spa,shw,train,False,flashcards2
U00114__shw2spa,U00114,G00077,itu'u,dimelo.,shw,spa,train,False,flashcards2
U00114__spa2shw,U00114,G00077,dimelo.,itu'u,spa,shw,train,False,flashcards2
U02325__shw2spa,U02325,G02094,"wilalusa' ipa'la kaschilla' la'leklansa' lunna',",los niños ahora hablan sólo el castellano,shw,spa,train,True,pdf_textos
U02325__spa2shw,U02325,G02094,los niños ahora hablan sólo el castellano,"wilalusa' ipa'la kaschilla' la'leklansa' lunna',",spa,shw,train,True,pdf_textos
U01254__shw2spa,U01254,G01084,si'lentapallidek,estamos bromeando.,shw,spa,train,False,flashcards2
U01254__spa2shw,U01254,G01084,estamos bromeando.,si'lentapallidek,spa,shw,train,False,flashcards2
U04218__shw2spa,U04218,G03954,dunsanlupi'na kallilusa' mui'ñina',pero en las afueras las calles no son buenas.,shw,spa,train,True,fidel_lomas
U04218__spa2shw,U04218,G03954,pero en las afueras las calles no son buenas.,dunsanlupi'na kallilusa' mui'ñina',spa,shw,train,True,fidel_lomas
U04053__shw2spa,U04053,G03790,pistak i'na yapa'ak inllinserlek tullina'.,pero para ir a la fiesta hay que pintarse diseños (en el cuerpo) dijeron.,shw,spa,train,True,fidel_lomas
U04053__spa2shw,U04053,G03790,pero para ir a la fiesta hay que pintarse diseños (en el cuerpo) dijeron.,pistak i'na yapa'ak inllinserlek tullina'.,spa,shw,train,True,fidel_lomas
U02504__shw2spa,U02504,G02273,ipa'la asu' senñula' itullun ¡lunker shiwilu la'la'!,ahora esta señora me pidió ¡habla la lengua shiwilu!,shw,spa,train,True,pdf_textos
U02504__spa2shw,U02504,G02273,ahora esta señora me pidió ¡habla la lengua shiwilu!,ipa'la asu' senñula' itullun ¡lunker shiwilu la'la'!,spa,shw,train,True,pdf_textos
U03451__shw2spa,U03451,G03214,kua ku'la teka'pi'nek' dasu'lalusak',yo no corro por las mañanas.,shw,spa,train,False,flashcards_oraciones
U03451__spa2shw,U03451,G03214,yo no corro por las mañanas.,kua ku'la teka'pi'nek' dasu'lalusak',spa,shw,train,False,flashcards_oraciones
U02272__shw2spa,U02272,G02041,a'pinta' luwektapa'nkusui'na ku'aperwawa suda'su'.,la que más me cuida es mi hija que es casada.,shw,spa,train,True,pdf_textos
U02272__spa2shw,U02272,G02041,la que más me cuida es mi hija que es casada.,a'pinta' luwektapa'nkusui'na ku'aperwawa suda'su'.,spa,shw,train,True,pdf_textos
U04007__shw2spa,U04007,G03744,"nadi'nekler kawilli; kawin ¿ma'nen luwantula?, itulli.","el joven se acercó; acercándose, le dijo: ¿qué quieres?",shw,spa,train,True,fidel_lomas
U04007__spa2shw,U04007,G03744,"el joven se acercó; acercándose, le dijo: ¿qué quieres?","nadi'nekler kawilli; kawin ¿ma'nen luwantula?, itulli.",spa,shw,train,True,fidel_lomas
U01404__shw2spa,U01404,G01221,luyulek wer'ak,odio perder.,shw,spa,train,True,flashcards2
U01404__spa2shw,U01404,G01221,odio perder.,luyulek wer'ak,spa,shw,train,True,flashcards2
U01405__shw2spa,U01405,G01221,luyulek wer'ak,detesto perder.,shw,spa,train,True,flashcards2
U01405__spa2shw,U01405,G01221,detesto perder.,luyulek wer'ak,spa,shw,train,True,flashcards2
U02926__shw2spa,U02926,G02695,ektu'a'ser ima itudeklli:,dice que cuando llegaron les dijo (el duende):,shw,spa,train,True,pdf_textos
U02926__spa2shw,U02926,G02695,dice que cuando llegaron les dijo (el duende):,ektu'a'ser ima itudeklli:,spa,shw,train,True,pdf_textos
U01128__shw2spa,U01128,G00975,pulunker'wanpalli,está nevando.,shw,spa,train,False,flashcards2
U01128__spa2shw,U01128,G00975,está nevando.,pulunker'wanpalli,spa,shw,train,False,flashcards2
U04014__shw2spa,U04014,G03751,"nu'su' nanpipalli, ñinpi' apu'tapi'ñi.","así vive, por eso nunca se despega.",shw,spa,train,True,fidel_lomas
U04014__spa2shw,U04014,G03751,"así vive, por eso nunca se despega.","nu'su' nanpipalli, ñinpi' apu'tapi'ñi.",spa,shw,train,True,fidel_lomas
U03202__shw2spa,U03202,G02971,ninchipeklui'npu'la'pi'na'.,no saben pronunciar.,shw,spa,train,False,pdf_textos
U03202__spa2shw,U03202,G02971,no saben pronunciar.,ninchipeklui'npu'la'pi'na'.,spa,shw,train,False,pdf_textos
U03853__shw2spa,U03853,G03598,kenma ku'la pa'apina dekpilli'lusa',tú no viajas por las noches.,shw,spa,train,False,flashcards_oraciones
U03853__spa2shw,U03853,G03598,tú no viajas por las noches.,kenma ku'la pa'apina dekpilli'lusa',spa,shw,train,False,flashcards_oraciones
U03074__shw2spa,U03074,G02843,nu'awa' nu'pachi tanni'ma llisanala nu'tanna'.,"así vamos a hacer entonces, dijeron haciendo mazo.",shw,spa,train,True,pdf_textos
U03074__spa2shw,U03074,G02843,"así vamos a hacer entonces, dijeron haciendo mazo.",nu'awa' nu'pachi tanni'ma llisanala nu'tanna'.,spa,shw,train,True,pdf_textos
U04441__shw2spa,U04441,G04176,nana da'wanser mulu'sha'su'.,esa doncella era de carne impecable.,shw,spa,train,True,vs_textos_narrativos
U04441__spa2shw,U04441,G04176,esa doncella era de carne impecable.,nana da'wanser mulu'sha'su'.,spa,shw,train,True,vs_textos_narrativos
U00195__shw2spa,U00195,G00146,u'chimuku,soy bueno. (hacer bien algo),shw,spa,train,True,flashcards2
U00195__spa2shw,U00195,G00146,soy bueno. (hacer bien algo),u'chimuku,spa,shw,train,True,flashcards2
U03630__shw2spa,U03630,G03384,kuda idunpallidek senankek,nosotras nadamos en la cocha.,shw,spa,train,False,flashcards_oraciones
U03630__spa2shw,U03630,G03384,nosotras nadamos en la cocha.,kuda idunpallidek senankek,spa,shw,train,False,flashcards_oraciones
U03306__shw2spa,U03306,G03074,kupindekshadek kupidek'apalli,el río está crecido.,shw,spa,train,False,flashcards_oraciones
U03306__spa2shw,U03306,G03074,el río está crecido.,kupindekshadek kupidek'apalli,spa,shw,train,False,flashcards_oraciones
U04383__shw2spa,U04383,G04118,nanekla penwinernunta'llidek.,"de ahí, otra vez hemos surcado.",shw,spa,train,True,fidel_lomas
U04383__spa2shw,U04383,G04118,"de ahí, otra vez hemos surcado.",nanekla penwinernunta'llidek.,spa,shw,train,True,fidel_lomas
U01717__shw2spa,U01717,G01514,ku'la tupiapi'nek,no sigo.,shw,spa,train,False,flashcards2
U01717__spa2shw,U01717,G01514,no sigo.,ku'la tupiapi'nek,spa,shw,train,False,flashcards2
U03461__shw2spa,U03461,G03224,kenmama' ku'la a'lek'api'nama' wilalusa',ustedes no enseñan a los niños.,shw,spa,train,False,flashcards_oraciones
U03461__spa2shw,U03461,G03224,ustedes no enseñan a los niños.,kenmama' ku'la a'lek'api'nama' wilalusa',spa,shw,train,False,flashcards_oraciones
U01745__shw2spa,U01745,G01541,yakatupa'tulek,quiero ayudar.,shw,spa,train,False,flashcards2
U01745__spa2shw,U01745,G01541,quiero ayudar.,yakatupa'tulek,spa,shw,train,False,flashcards2
U01238__shw2spa,U01238,G01071,a'ñapallidek vinu',tenemos vino.,shw,spa,train,False,flashcards2
U01238__spa2shw,U01238,G01071,tenemos vino.,a'ñapallidek vinu',spa,shw,train,False,flashcards2
U02543__shw2spa,U02543,G02312,- nanekla yunsanma' tekka'nta'ku' ala'sa' nala inner'apek walek.,después levántense y corran hasta un árbol inclinado.,shw,spa,train,True,pdf_textos
U02543__spa2shw,U02543,G02312,después levántense y corran hasta un árbol inclinado.,- nanekla yunsanma' tekka'nta'ku' ala'sa' nala inner'apek walek.,spa,shw,train,True,pdf_textos
U02088__shw2spa,U02088,G01864,ta'itula'u ekpe'chek,déjame llevarlo.,shw,spa,train,False,flashcards2
U02088__spa2shw,U02088,G01864,déjame llevarlo.,ta'itula'u ekpe'chek,spa,shw,train,False,flashcards2
U00602__shw2spa,U00602,G00500,lun'awa',charlemos.,shw,spa,train,True,flashcards2
U00602__spa2shw,U00602,G00500,charlemos.,lun'awa',spa,shw,train,True,flashcards2
U00608__shw2spa,U00608,G00500,lun'awa',conversemos.,shw,spa,train,True,flashcards2
U00608__spa2shw,U00608,G00500,conversemos.,lun'awa',spa,shw,train,True,flashcards2
U01927__shw2spa,U01927,G01712,wa'tentutek nuka'ma,eres paciente.,shw,spa,train,False,flashcards2
U01927__spa2shw,U01927,G01712,eres paciente.,wa'tentutek nuka'ma,spa,shw,train,False,flashcards2
U01574__shw2spa,U01574,G01379,ka'a'kawa'su' ñapalli,deberíamos comer.,shw,spa,train,False,flashcards2
U01574__spa2shw,U01574,G01379,deberíamos comer.,ka'a'kawa'su' ñapalli,spa,shw,train,False,flashcards2
U01073__shw2spa,U01073,G00926,wiperi'lek,la abracé.,shw,spa,train,False,flashcards2
U01073__spa2shw,U01073,G00926,la abracé.,wiperi'lek,spa,shw,train,False,flashcards2
U03859__shw2spa,U03859,G03604,nana wila nanpipalli menmik,el niño vive en el campo.,shw,spa,train,False,flashcards_oraciones
U03859__spa2shw,U03859,G03604,el niño vive en el campo.,nana wila nanpipalli menmik,spa,shw,train,False,flashcards_oraciones
U02020__shw2spa,U02020,G01799,luwer'chulek,lo reconozco.,shw,spa,train,False,flashcards2
U02020__spa2shw,U02020,G01799,lo reconozco.,luwer'chulek,spa,shw,train,False,flashcards2
U03327__shw2spa,U03327,G03094,nana' tanteni'ñi ekkuanenlusa',ella no ama a sus amigos.,shw,spa,train,False,flashcards_oraciones
U03327__spa2shw,U03327,G03094,ella no ama a sus amigos.,nana' tanteni'ñi ekkuanenlusa',spa,shw,train,False,flashcards_oraciones
U02769__shw2spa,U02769,G02538,"tullina' napi'ku'lusa' du'anna',","dijeron los antiguos sentados,",shw,spa,train,True,pdf_textos
U02769__spa2shw,U02769,G02538,"dijeron los antiguos sentados,","tullina' napi'ku'lusa' du'anna',",spa,shw,train,True,pdf_textos
U03205__shw2spa,U03205,G02974,"ipa'li'na ¿pa'apilala, kunpá? tan nakutulli, lli'ladeinpu'la'pi'.","ahora ¿estás yendo compadre? diciendo pasan, sin mirarle la cara.",shw,spa,train,True,pdf_textos
U03205__spa2shw,U03205,G02974,"ahora ¿estás yendo compadre? diciendo pasan, sin mirarle la cara.","ipa'li'na ¿pa'apilala, kunpá? tan nakutulli, lli'ladeinpu'la'pi'.",spa,shw,train,True,pdf_textos
U02060__shw2spa,U02060,G01837,a'ñiwinek nanasa',tuve suficiente.,shw,spa,train,False,flashcards2
U02060__spa2shw,U02060,G01837,tuve suficiente.,a'ñiwinek nanasa',spa,shw,train,False,flashcards2
U01935__shw2spa,U01935,G01720,¿musu' ñapalama'?,¿están bien?,shw,spa,train,False,flashcards2
U01935__spa2shw,U01935,G01720,¿están bien?,¿musu' ñapalama'?,spa,shw,train,False,flashcards2
U04223__shw2spa,U04223,G03959,"pa'a'sin kallilupa', u'ne tanalu' mumulu' pasuñi.","cuando caminas por la calle, así doble de barro se pega a tu zapato.",shw,spa,train,True,fidel_lomas
U04223__spa2shw,U04223,G03959,"cuando caminas por la calle, así doble de barro se pega a tu zapato.","pa'a'sin kallilupa', u'ne tanalu' mumulu' pasuñi.",spa,shw,train,True,fidel_lomas
U00020__shw2spa,U00020,G00017,¡paku' llipu'tudek'kunku'!,¡al ataque!,shw,spa,train,False,flashcards2
U00020__spa2shw,U00020,G00017,¡al ataque!,¡paku' llipu'tudek'kunku'!,spa,shw,train,False,flashcards2
U03426__shw2spa,U03426,G03189,wilalusa' nu'tullina ala'sa' torre,los niños construyen una torre.,shw,spa,train,False,flashcards_oraciones
U03426__spa2shw,U03426,G03189,los niños construyen una torre.,wilalusa' nu'tullina ala'sa' torre,spa,shw,train,False,flashcards_oraciones
U03468__shw2spa,U03468,G03231,nawa' ku'la llinserchi'ñina' llillinnenna',ellas no escriben sus nombres.,shw,spa,train,False,flashcards_oraciones
U03468__spa2shw,U03468,G03231,ellas no escriben sus nombres.,nawa' ku'la llinserchi'ñina' llillinnenna',spa,shw,train,False,flashcards_oraciones
U01801__shw2spa,U01801,G01592,ñiñuduker' nuka'a,es mes de navidad.,shw,spa,train,False,flashcards2
U01801__spa2shw,U01801,G01592,es mes de navidad.,ñiñuduker' nuka'a,spa,shw,train,False,flashcards2
U02195__shw2spa,U02195,G01968,llinse'cher' manen'unta',escribe algo.,shw,spa,train,False,flashcards2
U02195__spa2shw,U02195,G01968,escribe algo.,llinse'cher' manen'unta',spa,shw,train,False,flashcards2
U01553__shw2spa,U01553,G01359,tom lli'inutapalli,tom recuerda.,shw,spa,train,False,flashcards2
U01553__spa2shw,U01553,G01359,tom recuerda.,tom lli'inutapalli,spa,shw,train,False,flashcards2
U03770__shw2spa,U03770,G03518,nana wila kuaperlusa ku'la lli'inutapi'ñina ala'sa' histuria,las niñas no recuerdan una historia.,shw,spa,train,False,flashcards_oraciones
U03770__spa2shw,U03770,G03518,las niñas no recuerdan una historia.,nana wila kuaperlusa ku'la lli'inutapi'ñina ala'sa' histuria,spa,shw,train,False,flashcards_oraciones
U00431__shw2spa,U00431,G00344,kana'chi'ñina',perdieron.,shw,spa,train,False,flashcards2
