pair_id,column,rule_name,before,after
P00043,SHIWILU,lowercase,¡SAKA'DEK!,¡saka'dek!
P00044,ESP,lowercase,¿En serio?,¿en serio?
P00044,SHIWILU,lowercase,¿TEKINCHI?,¿tekinchi?
P00045,ESP,lowercase,¿La verdad?,¿la verdad?
P00045,SHIWILU,lowercase,¿TEKINCHI?,¿tekinchi?
P00046,ESP,lowercase,¡Gracias!,¡gracias!
P00046,SHIWILU,lowercase,¡YUSPEINET'ECHUN!,¡yuspeinet'echun!
P00047,ESP,lowercase,Gracias.,gracias.
P00047,SHIWILU,lowercase,YUSPEINET'ECHUN,yuspeinet'echun
P00048,ESP,lowercase,Pruébalo. (saborear),pruébalo. (saborear)
P00048,SHIWILU,lowercase,LATA'KER,lata'ker
P00049,ESP,lowercase,Pruébalo. (intentar),pruébalo. (intentar)
P00049,SHIWILU,lowercase,TEKLE'RIER',tekle'rier'
P00050,ESP,lowercase,Lo procuramos.,lo procuramos.
P00050,SHIWILU,lowercase,TEKLE'RIER'CHIDEK,tekle'rier'chidek
P00051,ESP,lowercase,Ganamos.,ganamos.
P00051,SHIWILU,lowercase,KANA'LLIDEK,kana'llidek
P00052,ESP,lowercase,Estate tranquilo.,estate tranquilo.
P00052,SHIWILU,lowercase,MUSU' ÑAPAKER',musu' ñapaker'
P00053,ESP,lowercase,Sean gentiles.,sean gentiles.
P00053,SHIWILU,lowercase,MUKANKAN ÑIKER',mukankan ñiker'
P00054,ESP,lowercase,Sé agradable.,sé agradable.
P00054,SHIWILU,lowercase,MUKANKAN ÑIKER',mukankan ñiker'
P00055,ESP,lowercase,Llámame.,llámame.
P00055,SHIWILU,lowercase,PEKLU'U,peklu'u
P00056,ESP,lowercase,Llámanos.,llámanos.
P00056,SHIWILU,lowercase,PEKLU'UDEK,peklu'udek
P00057,ESP,lowercase,Entre.,entre.
P00057,SHIWILU,lowercase,DA'KERKER',da'kerker'
P00058,ESP,lowercase,Pase.,pase.
P00058,SHIWILU,lowercase,DA'KERKER',da'kerker'
P00059,ESP,lowercase,¡Entren!,¡entren!
P00059,SHIWILU,lowercase,¡DAKER'KU'!,¡daker'ku'!
P00060,ESP,lowercase,Suéltalo.,suéltalo.
P00060,SHIWILU,lowercase,APU'KER',apu'ker'
P00061,ESP,lowercase,Bájate.,bájate.
P00061,SHIWILU,lowercase,NU'WANKER',nu'wanker'
P00062,ESP,trim,Sal. ,Sal.
P00062,ESP,lowercase,Sal.,sal.
P00062,SHIWILU,lowercase,YUNSUER',yunsuer'
P00063,ESP,trim,Sal. ,Sal.
P00063,ESP,lowercase,Sal.,sal.
P00063,SHIWILU,lowercase,DAMULA,damula
P00064,ESP,lowercase,Salgan.,salgan.
P00064,SHIWILU,lowercase,YUNSU'KU',yunsu'ku'
P00065,ESP,lowercase,¡Largo!,¡largo!
P00065,SHIWILU,lowercase,¡PAKER'!,¡paker'!
P00066,ESP,trim,Largo ,Largo
P00066,ESP,lowercase,Largo,largo
P00066,SHIWILU,lowercase,SHIN,shin
P00067,ESP,lowercase,¡Vete ya!,¡vete ya!
P00067,SHIWILU,lowercase,¡PAKER'!,¡paker'!
P00068,ESP,lowercase,Lárguese.,lárguese.
P00068,SHIWILU,lowercase,¡PAKU'!,¡paku'!
P00069,ESP,lowercase,Vaya despacio.,vaya despacio.
P00069,SHIWILU,lowercase,PAKER' UTI'LA,paker' uti'la
P00070,ESP,lowercase,¡Hasta luego!,¡hasta luego!
P00070,SHIWILU,lowercase,¡PANTE'CHEK!,¡pante'chek!
P00071,ESP,lowercase,¡Chau!,¡chau!
P00071,SHIWILU,lowercase,¡PANTE'CHEK!,¡pante'chek!
P00072,ESP,lowercase,¡Un segundo!,¡un segundo!
P00072,SHIWILU,lowercase,¡IPIA'LASHA!,¡ipia'lasha!
P00073,ESP,lowercase,Agarra fuertemente.,agarra fuertemente.
P00073,SHIWILU,lowercase,PILLI'TER' IKERSU',pilli'ter' ikersu'
P00074,ESP,lowercase,Dolor,dolor
P00074,SHIWILU,lowercase,IKER,iker
P00075,ESP,lowercase,El ají pica,el ají pica
P00075,SHIWILU,lowercase,NUKA' IKERLLI,nuka' ikerlli
P00076,ESP,lowercase,Él vino.,él vino.
P00076,SHIWILU,lowercase,NANA UK'LLI,nana uk'lli
P00077,ESP,lowercase,Él renunció.,él renunció.
P00077,SHIWILU,lowercase,NANA YUNSU'LLI,nana yunsu'lli
P00078,ESP,lowercase,Ayúdame.,ayúdame.
P00078,SHIWILU,lowercase,KATU'PA'U,katu'pa'u
P00079,ESP,lowercase,Ayúdanos.,ayúdanos.
P00079,SHIWILU,lowercase,KATU'PA'UDEK,katu'pa'udek
P00080,ESP,lowercase,Espera.,espera.
P00080,SHIWILU,lowercase,WA'TENKER',wa'tenker'
P00081,ESP,lowercase,Resista.,resista.
P00081,SHIWILU,lowercase,YAN'KATEK'TER',yan'katek'ter'
P00082,ESP,lowercase,Resiste.,resiste.
P00082,SHIWILU,lowercase,YAN'KATEK'TER',yan'katek'ter'
P00083,ESP,lowercase,De acuerdo.,de acuerdo.
P00083,SHIWILU,lowercase,MUETCHUN,muetchun
P00084,ESP,lowercase,Me incliné.,me incliné.
P00084,SHIWILU,lowercase,YEN'NER'LEK',yen'ner'lek'
P00085,ESP,lowercase,Dormí.,dormí.
P00085,SHIWILU,lowercase,WICHI'LEK,wichi'lek
P00086,ESP,lowercase,Durmiendo,durmiendo
P00086,SHIWILU,lowercase,WICHA'PALEK,wicha'palek
P00087,ESP,lowercase,Me voy a dormir,me voy a dormir
P00087,SHIWILU,lowercase,WICHIN'DEK'CHEK,wichin'dek'chek
P00088,ESP,lowercase,Voy a dormir,voy a dormir
P00088,SHIWILU,lowercase,WICHI'ECHEK,wichi'echek
P00089,ESP,lowercase,Lo intenté.,lo intenté.
P00089,SHIWILU,lowercase,TEKLE'RILEK',tekle'rilek'
P00090,ESP,lowercase,Iré.,iré.
P00090,SHIWILU,lowercase,PA'ECHEK,pa'echek
P00091,ESP,lowercase,Soy Tom.,soy tom.
P00091,SHIWILU,lowercase,NUKA'KU TOM,nuka'ku tom
P00092,ESP,lowercase,Estoy gordo.,estoy gordo.
P00092,SHIWILU,lowercase,WEIPENSU' ÑAPALEK,weipensu' ñapalek
P00093,ESP,lowercase,Soy gorda.,soy gorda.
P00093,SHIWILU,lowercase,WEILUNSU' NUKA'KA,weilunsu' nuka'ka
P00094,ESP,lowercase,Estoy afectado.,estoy afectado.
P00094,SHIWILU,lowercase,MUIN'SU' ÑAPALEK,muin'su' ñapalek
P00095,ESP,lowercase,Soy viejo.,soy viejo.
P00095,SHIWILU,lowercase,TASERPIKU,taserpiku
P00096,ESP,lowercase,Soy tímido.,soy tímido.
P00096,SHIWILU,lowercase,TEKUA'DANDE'KU,tekua'dande'ku
P00097,ESP,lowercase,Estoy mojada.,estoy mojada.
P00097,SHIWILU,lowercase,WIWERAPALEK,wiwerapalek
P00098,ESP,lowercase,Está bien.,está bien.
P00098,SHIWILU,lowercase,MUPALLI,mupalli
P00099,ESP,lowercase,Soy yo.,soy yo.
P00099,SHIWILU,lowercase,KUA NUKA'KA,kua nuka'ka
P00100,ESP,lowercase,Guárdalo.,guárdalo.
P00100,SHIWILU,lowercase,SEKDIPERKER',sekdiperker'
P00101,ESP,lowercase,"Yo, también.","yo, también."
P00101,SHIWILU,lowercase,KUANTA',kuanta'
P00102,ESP,lowercase,Abre.,abre.
P00102,SHIWILU,lowercase,EK'KE'CHER',ek'ke'cher'
P00103,ESP,lowercase,¡Perfecto!,¡perfecto!
P00103,SHIWILU,lowercase,¡MUPALLI!,¡mupalli!
P00104,ESP,lowercase,Nos vemos.,nos vemos.
P00104,SHIWILU,lowercase,INLLI'TER,inlli'ter
P00105,ESP,lowercase,Enséñamelo. (pasar conocimiento),enséñamelo. (pasar conocimiento)
P00105,SHIWILU,lowercase,ALEK'U,alek'u
P00106,ESP,lowercase,Enséñamelo. (muestramelo),enséñamelo. (muestramelo)
P00106,SHIWILU,lowercase,ALLI'U,alli'u
P00107,ESP,lowercase,Muestrame.,muestrame.
P00107,SHIWILU,lowercase,ALLI'U,alli'u
P00108,ESP,lowercase,Hasta luego.,hasta luego.
P00108,SHIWILU,lowercase,PANTE'CHEK,pante'chek
P00109,ESP,lowercase,Páralo. (poner vertical),páralo. (poner vertical)
P00109,SHIWILU,lowercase,A'WANERKER',a'wanerker'
P00110,ESP,lowercase,Páralo. (detener),páralo. (detener)
P00110,SHIWILU,lowercase,TU'NEKER',tu'neker'
P00111,ESP,lowercase,Deténlo.,deténlo.
P00111,SHIWILU,lowercase,TU'NEKER',tu'neker'
P00112,ESP,lowercase,Cógelo.,cógelo.
P00112,SHIWILU,lowercase,MAKER',maker'
P00113,ESP,lowercase,Macambo (fruta),macambo (fruta)
P00113,SHIWILU,lowercase,MAKER,maker
P00114,ESP,lowercase,Dimelo.,dimelo.
P00114,SHIWILU,lowercase,ITU'U,itu'u
P00115,ESP,lowercase,Tom comió.,tom comió.
P00115,SHIWILU,lowercase,TOM WERANPALLI,tom weranpalli
P00116,ESP,lowercase,Tom corrió.,tom corrió.
P00116,SHIWILU,lowercase,TOM TEKA'LLI,tom teka'lli
P00117,ESP,lowercase,Tom ganó.,tom ganó.
P00117,SHIWILU,lowercase,TOM KANA'TULLI,tom kana'tulli
P00118,ESP,lowercase,Espérame despierto.,espérame despierto.
P00118,SHIWILU,lowercase,WA'TEN'U NANPISU',wa'ten'u nanpisu'
P00119,ESP,lowercase,¡Despierta!,¡despierta!
P00119,SHIWILU,lowercase,¡NANPIKER'!,¡nanpiker'!
P00120,ESP,lowercase,Despierta.,despierta.
P00120,SHIWILU,lowercase,NANPIKER',nanpiker'
P00121,ESP,lowercase,Crudo,crudo
P00121,SHIWILU,lowercase,NANPI,nanpi
P00122,ESP,lowercase,Vivo,vivo
P00122,SHIWILU,lowercase,NANPI,nanpi
P00123,ESP,lowercase,Lo sabemos.,lo sabemos.
P00123,SHIWILU,lowercase,ÑINCHITAPALLIDEK,ñinchitapallidek
P00124,ESP,lowercase,Perdimos.,perdimos.
P00124,SHIWILU,lowercase,WER'LLIDEK,wer'llidek
P00125,ESP,lowercase,Bienvenidos.,bienvenidos.
P00125,SHIWILU,lowercase,MUWENCHA'KU',muwencha'ku'
P00126,ESP,lowercase,Bienvenidas.,bienvenidas.
P00126,SHIWILU,lowercase,MUWENCHA'KU',muwencha'ku'
P00127,ESP,lowercase,Bienvenido.,bienvenido.
P00127,SHIWILU,lowercase,MUWENCHA'KER',muwencha'ker'
P00128,ESP,lowercase,¿Quién comió?,¿quién comió?
P00128,SHIWILU,lowercase,¿DEN'INA' KA'LLI?,¿den'ina' ka'lli?
P00129,ESP,lowercase,¿Quién corría?,¿quién corría?
P00129,SHIWILU,lowercase,¿DEN'INA' TEKA'LLI?,¿den'ina' teka'lli?
P00130,ESP,lowercase,¿Quién corrió?,¿quién corrió?
P00130,SHIWILU,lowercase,¿DEN'INA' TEKA'LLI?,¿den'ina' teka'lli?
P00131,ESP,lowercase,¿Quién ganó?,¿quién ganó?
P00131,SHIWILU,lowercase,¿DEN'INA' KANA'TULLI?,¿den'ina' kana'tulli?
P00132,ESP,lowercase,Corre.,corre.
P00132,SHIWILU,lowercase,TEK'KER',tek'ker'
P00133,ESP,lowercase,Has ganado.,has ganado.
P00133,SHIWILU,lowercase,KANA'TULA,kana'tula
P00134,ESP,lowercase,¿Estoy gordo?,¿estoy gordo?
P00134,SHIWILU,lowercase,¿WEIPENSU' ÑAPALEK?,¿weipensu' ñapalek?
P00135,ESP,lowercase,Pregúntale.,pregúntale.
P00135,SHIWILU,lowercase,LEK'KER',lek'ker'
P00136,ESP,lowercase,Pregúntales.,pregúntales.
P00136,SHIWILU,lowercase,LEK'KER',lek'ker'
P00137,ESP,lowercase,Apártate.,apártate.
P00137,SHIWILU,lowercase,PAKER' ÑILUPA',paker' ñilupa'
P00138,ESP,lowercase,Sé fuerte.,sé fuerte.
P00138,SHIWILU,lowercase,NANTAPITEK' ÑIKER',nantapitek' ñiker'
P00139,ESP,lowercase,Sea breve.,sea breve.
P00139,SHIWILU,lowercase,EMPU'NI YALUNTA',empu'ni yalunta'
P00140,ESP,lowercase,Sean breves.,sean breves.
P00140,SHIWILU,lowercase,EMPU'NI YALUNTAMA',empu'ni yaluntama'
P00141,ESP,lowercase,Estate quieto.,estate quieto.
P00141,SHIWILU,lowercase,YALENMEKTA',yalenmekta'
P00142,ESP,lowercase,Anímate.,anímate.
P00142,SHIWILU,lowercase,NANTA'PIKER,nanta'piker
P00143,ESP,lowercase,Venga.,venga.
P00143,SHIWILU,lowercase,WENCHER',wencher'
P00144,ESP,lowercase,Ven a beber,ven a beber
P00144,SHIWILU,lowercase,UENCHER',uencher'
P00145,ESP,lowercase,¡Cálmate!,¡cálmate!
P00145,SHIWILU,lowercase,¡TUNA'KER'!,¡tuna'ker'!
P00146,ESP,lowercase,Espósale.,espósale.
P00146,SHIWILU,lowercase,TENPU'KER',tenpu'ker'
P00147,ESP,lowercase,Arregla esto.,arregla esto.
P00147,SHIWILU,lowercase,ASU' TEKDI'PER'KER',asu' tekdi'per'ker'
P00148,ESP,lowercase,Abajo.,abajo.
P00148,SHIWILU,lowercase,DAWIK',dawik'
P00149,ESP,lowercase,Túmbate.,túmbate.
P00149,SHIWILU,lowercase,ANU'KER',anu'ker'
P00150,ESP,lowercase,¡Piérdete!,¡piérdete!
P00150,SHIWILU,lowercase,¡WER'KER'!,¡wer'ker'!
P00151,ESP,lowercase,¡Piénsalo bien!,¡piénsalo bien!
P00151,SHIWILU,lowercase,¡MUSU' LLI'INUTER'!,¡musu' lli'inuter'!
P00152,ESP,lowercase,Adelante. (ingresa),adelante. (ingresa)
P00152,SHIWILU,lowercase,DA'ENCHER',da'encher'
P00153,ESP,lowercase,Adelante. (parte superior),adelante. (parte superior)
P00153,SHIWILU,lowercase,EKTER,ekter
P00154,ESP,lowercase,Adelántante,adelántante
P00154,SHIWILU,lowercase,EKTE'CHER',ekte'cher'
P00155,ESP,lowercase,Se adelantará.,se adelantará.
P00155,SHIWILU,lowercase,EKTE'CHECHU,ekte'chechu
P00156,ESP,lowercase,Se adelantarán.,se adelantarán.
P00156,SHIWILU,lowercase,EKTE'CHECHUNA',ekte'chechuna'
P00157,ESP,lowercase,Entra.,entra.
P00157,SHIWILU,lowercase,DA'ENCHER',da'encher'
P00158,ESP,lowercase,Entren.,entren.
P00158,SHIWILU,lowercase,DA'ENCHA'KU',da'encha'ku'
P00159,ESP,lowercase,¡Buen trabajo!,¡buen trabajo!
P00159,SHIWILU,lowercase,¡MUSA'KA'TUNA!,¡musa'ka'tuna!
P00160,ESP,lowercase,Agárralo.,agárralo.
P00160,SHIWILU,lowercase,PILLI'TER',pilli'ter'
P00161,ESP,lowercase,Diviértanse.,diviértanse.
P00161,SHIWILU,lowercase,SAKEK'KU',sakek'ku'
P00162,ESP,lowercase,Pásala bien.,pásala bien.
P00162,SHIWILU,lowercase,MUSU'NAKUKER',musu'nakuker'
P00163,ESP,lowercase,Pásenla bien.,pásenla bien.
P00163,SHIWILU,lowercase,MUSU'NAKUKU',musu'nakuku'
P00164,ESP,lowercase,Él habló.,él habló.
P00164,SHIWILU,lowercase,NANA LUNÑI,nana lunñi
P00165,ESP,lowercase,Él prueba.,él prueba.
P00165,SHIWILU,lowercase,NANA LATA'LLI,nana lata'lli
P00166,ESP,lowercase,Ayúdalo.,ayúdalo.
P00166,SHIWILU,lowercase,KATU'PER',katu'per'
P00167,ESP,lowercase,Buenas.,buenas.
P00167,SHIWILU,lowercase,MULUSA',mulusa'
P00168,ESP,lowercase,¡Qué encanto!,¡qué encanto!
P00168,SHIWILU,lowercase,¡EMPU'NI MUSHIPA'!,¡empu'ni mushipa'!
P00169,ESP,lowercase,Compláceme.,compláceme.
P00169,SHIWILU,lowercase,A'SAKEK'U,a'sakek'u
P00170,ESP,lowercase,¡Date prisa!,¡date prisa!
P00170,SHIWILU,lowercase,¡WIUKER'!,¡wiuker'!
P00171,ESP,lowercase,Apresúrate.,apresúrate.
P00171,SHIWILU,lowercase,WIUKER',wiuker'
P00172,ESP,lowercase,Estoy viejo.,estoy viejo.
P00172,SHIWILU,lowercase,TASERPIKU',taserpiku'
P00173,ESP,lowercase,Puedo ir.,puedo ir.
P00173,SHIWILU,lowercase,YENNITULEK PA'AK,yennitulek pa'ak
P00174,ESP,lowercase,Lo hice.,lo hice.
P00174,SHIWILU,lowercase,NU'TULEK,nu'tulek
P00175,ESP,lowercase,Fracasé.,fracasé.
P00175,SHIWILU,lowercase,A'APER'LEK',a'aper'lek'
P00176,ESP,lowercase,Lo olvidé.,lo olvidé.
P00176,SHIWILU,lowercase,PINANER'LEK',pinaner'lek'
P00177,ESP,lowercase,Lo entiendo.,lo entiendo.
P00177,SHIWILU,lowercase,LACHEK'APALEK,lachek'apalek
P00178,ESP,lowercase,Lo tengo.,lo tengo.
P00178,SHIWILU,lowercase,A'ÑAPALEK,a'ñapalek
P00179,ESP,lowercase,Me niego.,me niego.
P00179,SHIWILU,lowercase,LUWANCHI'NEK,luwanchi'nek
P00180,ESP,lowercase,Renuncio.,renuncio.
P00180,SHIWILU,lowercase,YUNSU'LEK',yunsu'lek'
P00181,ESP,lowercase,Lo vi.,lo vi.
P00181,SHIWILU,lowercase,LLI'LEK,lli'lek
P00182,ESP,lowercase,Sonreí.,sonreí.
P00182,SHIWILU,lowercase,YAMERLADALEK',yamerladalek'
P00183,ESP,lowercase,Reí.,reí.
P00183,SHIWILU,lowercase,YAMERLEK',yamerlek'
P00184,ESP,lowercase,Me quedé.,me quedé.
P00184,SHIWILU,lowercase,LLIYA'LEK',lliya'lek'
P00185,ESP,lowercase,Esperé.,esperé.
P00185,SHIWILU,lowercase,WA'TEN'NEK',wa'ten'nek'
P00186,ESP,lowercase,Yo pagaré.,yo pagaré.
P00186,SHIWILU,lowercase,KUA PANWILEK'TE'CHEK',kua panwilek'te'chek'
P00187,ESP,lowercase,He vuelto.,he vuelto.
P00187,SHIWILU,lowercase,ADENCHA'LEK,adencha'lek
P00188,ESP,lowercase,Soy calvo.,soy calvo.
P00188,SHIWILU,lowercase,NUWEK'MUTU'KU,nuwek'mutu'ku
P00189,ESP,lowercase,Estoy calvo.,estoy calvo.
P00189,SHIWILU,lowercase,NUWEK'MUTU' ÑAPALEK,nuwek'mutu' ñapalek
P00190,ESP,lowercase,Estoy calmado.,estoy calmado.
P00190,SHIWILU,lowercase,TUNA'SU' ÑAPALEK,tuna'su' ñapalek
P00191,ESP,lowercase,Está calmando. (dolor),está calmando. (dolor)
P00191,SHIWILU,lowercase,LATADA'PILALLI,latada'pilalli
P00192,ESP,lowercase,Estoy tranquilo. (estoy bien),estoy tranquilo. (estoy bien)
P00192,SHIWILU,lowercase,U'CHIMUÑAPALEK,u'chimuñapalek
P00193,ESP,lowercase,He terminado.,he terminado.
P00193,SHIWILU,lowercase,A'TA'WANTULEK,a'ta'wantulek
P00194,ESP,lowercase,Soy justo. (soy bueno),soy justo. (soy bueno)
P00194,SHIWILU,lowercase,MUKANKANKU',mukankanku'
P00195,ESP,lowercase,Soy bueno. (hacer bien algo),soy bueno. (hacer bien algo)
P00195,SHIWILU,lowercase,U'CHIMUKU,u'chimuku
P00196,ESP,lowercase,Estoy perfectamente.,estoy perfectamente.
P00196,SHIWILU,lowercase,U'CHIMUINCHI ÑAPALEK,u'chimuinchi ñapalek
P00197,ESP,lowercase,¡Soy libre!,¡soy libre!
P00197,SHIWILU,lowercase,¡INAPIKU!,¡inapiku!
P00198,ESP,lowercase,Estoy lleno.,estoy lleno.
P00198,SHIWILU,lowercase,MER'SU' ÑAPALEK,mer'su' ñapalek
P00199,ESP,lowercase,Estoy llena.,estoy llena.
P00199,SHIWILU,lowercase,MER'SU' ÑAPALEK,mer'su' ñapalek
P00200,ESP,lowercase,Estoy aquí.,estoy aquí.
P00200,SHIWILU,lowercase,ASEK' ÑAPALEK,asek' ñapalek
P00201,ESP,lowercase,Estoy herido.,estoy herido.
P00201,SHIWILU,lowercase,CHACHA'LEK ÑAPALEK,chacha'lek ñapalek
P00202,ESP,lowercase,Llego tarde.,llego tarde.
P00202,SHIWILU,lowercase,ERWA' EKTU'LEK,erwa' ektu'lek
P00203,ESP,lowercase,Soy vago.,soy vago.
P00203,SHIWILU,lowercase,PERCHEK' NUKA'KA,perchek' nuka'ka
P00204,ESP,lowercase,Estoy perdida.,estoy perdida.
P00204,SHIWILU,lowercase,WER'SU' ÑAPALEK,wer'su' ñapalek
P00205,ESP,lowercase,Soy malo. (maldad),soy malo. (maldad)
P00205,SHIWILU,lowercase,MUKANKAINPU' NUKA'KA,mukankainpu' nuka'ka
P00206,ESP,lowercase,Soy malo. (hacer mal las cosas),soy malo. (hacer mal las cosas)
P00206,SHIWILU,lowercase,MUI'NEK,mui'nek
P00207,ESP,lowercase,Soy pobre.,soy pobre.
P00207,SHIWILU,lowercase,KULLIKER'WI'NEK,kulliker'wi'nek
P00208,ESP,lowercase,Soy rica.,soy rica.
P00208,SHIWILU,lowercase,WAPU' KULLIKER'WANEK,wapu' kulliker'wanek
P00209,ESP,lowercase,Soy rico.,soy rico.
P00209,SHIWILU,lowercase,WAPU' KULLIKER'WANEK,wapu' kulliker'wanek
P00210,ESP,lowercase,Estoy enferma.,estoy enferma.
P00210,SHIWILU,lowercase,KALUWI'SU' ÑAPALEK,kaluwi'su' ñapalek
P00211,ESP,lowercase,Soy delgado. (masculino),soy delgado. (masculino)
P00211,SHIWILU,lowercase,SHAMU'PENSU' NUKA'KA,shamu'pensu' nuka'ka
P00212,ESP,lowercase,Soy delgada. (femenino),soy delgada. (femenino)
P00212,SHIWILU,lowercase,SHAMU'LUNSU' NUKA'KA,shamu'lunsu' nuka'ka
P00213,ESP,lowercase,Estoy limpio.,estoy limpio.
P00213,SHIWILU,lowercase,PEKUIPI ÑAPALEK,pekuipi ñapalek
P00214,ESP,lowercase,Estoy calientito.,estoy calientito.
P00214,SHIWILU,lowercase,UKAPISHA ÑAPALEK,ukapisha ñapalek
P00215,ESP,lowercase,Estoy caliente.,estoy caliente.
