original_index,ESP,SHIWILU,removal_reason
2608,Llévalo arriba.,,SHIWILU es NaN
2609,Llévame contigo.,,SHIWILU es NaN
2610,Ten precaución.,,SHIWILU es NaN
2611,Cordialmente gracias.,,SHIWILU es NaN
2612,Suena justo.,,SHIWILU es NaN
2613,Podría mejorarse.,,SHIWILU es NaN
2614,Ambos rieron.,,SHIWILU es NaN
2615,Son cantantes.,,SHIWILU es NaN
2616,Desaparecieron.,,SHIWILU es NaN
2617,Beben mucho.,,SHIWILU es NaN
2618,Te mintieron.,,SHIWILU es NaN
2619,Están peleando.,,SHIWILU es NaN
2620,Son inmaduros.,,SHIWILU es NaN
2621,Están involucrados.,,SHIWILU es NaN
2622,Están equivocados.,,SHIWILU es NaN
2623,Son estudiantes.,,SHIWILU es NaN
2624,Son traidores.,,SHIWILU es NaN
2625,Están mirando.,,SHIWILU es NaN
2626,Es patético.,,SHIWILU es NaN
2627,Esto faltaba.,,SHIWILU es NaN
2628,Tom aparecerá.,,SHIWILU es NaN
2629,Tengan cuidado.,,SHIWILU es NaN
2630,Aceptamos cheques.,,SHIWILU es NaN
2631,Llegamos primero.,,SHIWILU es NaN
2632,Ambos competimos.,,SHIWILU es NaN
2633,Vinimos juntos.,,SHIWILU es NaN
2634,Lo molestamos.,,SHIWILU es NaN
2635,Nos separamos.,,SHIWILU es NaN
2636,Tenemos tarea.,,SHIWILU es NaN
2637,Tenemos visitas.,,SHIWILU es NaN
2638,Vivimos juntos.,,SHIWILU es NaN
2639,Debemos continuar.,,SHIWILU es NaN
2640,Debemos evacuar.,,SHIWILU es NaN
2641,Debemos sentarnos.,,SHIWILU es NaN
2642,Debemos retirarnos.,,SHIWILU es NaN
2643,Necesitamos pruebas.,,SHIWILU es NaN
2644,Estábamos encallados.,,SHIWILU es NaN
2645,Estábamos entusiasmados.,,SHIWILU es NaN
2646,Trabajamos juntos.,,SHIWILU es NaN
2647,Seremos rescatados.,,SHIWILU es NaN
2648,Estaremos esperando.,,SHIWILU es NaN
2649,Somos historiadores.,,SHIWILU es NaN
2650,Estamos apurados.,,SHIWILU es NaN
2651,Estamos meditando.,,SHIWILU es NaN
2652,Estamos rodeados.,,SHIWILU es NaN
2653,Tenemos bastante.,,SHIWILU es NaN
2654,¿Estabas preocupado?,,SHIWILU es NaN
2655,¿Qué dijiste?,,SHIWILU es NaN
2656,¿Qué viste?,,SHIWILU es NaN
2657,¿Qué tienes?,,SHIWILU es NaN
2658,¿Qué tiene?,,SHIWILU es NaN
2659,¿Qué tienen?,,SHIWILU es NaN
2660,¿Qué sabes?,,SHIWILU es NaN
2661,¿Qué necesita?,,SHIWILU es NaN
2662,¿Qué quieres?,,SHIWILU es NaN
2663,¿Qué quieren?,,SHIWILU es NaN
2664,¿Qué querés?,,SHIWILU es NaN
2665,¿Qué hace?,,SHIWILU es NaN
2666,¡Qué desgracia!,,SHIWILU es NaN
2667,¿Cómo era?,,SHIWILU es NaN
2668,¿Qué sucede?,,SHIWILU es NaN
2669,¿Cuándo empezamos?,,SHIWILU es NaN
2670,¿Cuándo trabajas?,,SHIWILU es NaN
2671,¿Cúando acaba?,,SHIWILU es NaN
2672,¿Adónde fuiste?,,SHIWILU es NaN
2673,¿Me ayudarás?,,SHIWILU es NaN
2674,Eres guapísima.,,SHIWILU es NaN
2675,Estás espléndida.,,SHIWILU es NaN
2676,Estás preciosa.,,SHIWILU es NaN
2677,Entendiste mal.,,SHIWILU es NaN
2678,Pareces contento.,,SHIWILU es NaN
2679,Me atrasaste.,,SHIWILU es NaN
2680,Debes entrar.,,SHIWILU es NaN
2681,Necesitas saber.,,SHIWILU es NaN
2682,Deberíais empezar.,,SHIWILU es NaN
2683,Deberías dormir.,,SHIWILU es NaN
2684,Estuviste perfecta.,,SHIWILU es NaN
2685,Estabas cantando.,,SHIWILU es NaN
2686,Lo necesitarás.,,SHIWILU es NaN
2687,Me aburres.,,SHIWILU es NaN
2688,Son impacientes.,,SHIWILU es NaN
2689,Eres impaciente.,,SHIWILU es NaN
2690,Estás motivado.,,SHIWILU es NaN
2691,Eres necesario.,,SHIWILU es NaN
2692,Eres práctico.,,SHIWILU es NaN
2693,Has engordado.,,SHIWILU es NaN
2694,¿Estoy detenido?,,SHIWILU es NaN
2695,¿Son estadounidenses?,,SHIWILU es NaN
2696,¿Son canadienses?,,SHIWILU es NaN
2697,¿Son japoneses?,,SHIWILU es NaN
2698,¿Estamos listos?,,SHIWILU es NaN
2699,¿Eres estudiante?,,SHIWILU es NaN
2700,¿Eres profesor?,,SHIWILU es NaN
2701,¿Eres olvidadizo?,,SHIWILU es NaN
2702,¿Eres desmemoriado?,,SHIWILU es NaN
2703,¿Estás apurado?,,SHIWILU es NaN
2704,¿Vas apresurado?,,SHIWILU es NaN
2705,¿Escuchas?,,SHIWILU es NaN
2706,¿Estás escuchando?,,SHIWILU es NaN
2707,¿Estás satisfecho?,,SHIWILU es NaN
2708,Pregunta.,,SHIWILU es NaN
2709,"Venga, pregunta.",,SHIWILU es NaN
2710,Respira profundamente.,,SHIWILU es NaN
2711,Inspira profundamente.,,SHIWILU es NaN
2712,¿Oyes eso?,,SHIWILU es NaN
2713,¿Puedes ocuparte?,,SHIWILU es NaN
2714,"Entra, insisto.",,SHIWILU es NaN
2715,"Vamos, admítelo.",,SHIWILU es NaN
2716,"Vamos, aprisa.",,SHIWILU es NaN
2717,"Vamos, apura.",,SHIWILU es NaN
2718,"Vamos, tócala.",,SHIWILU es NaN
2719,¿Podrías ayudarme?,,SHIWILU es NaN
2720,¿Oíste eso?,,SHIWILU es NaN
2721,¿Sabías eso?,,SHIWILU es NaN
2722,¿Viviste aquí?,,SHIWILU es NaN
2723,¿Bebes cerveza?,,SHIWILU es NaN
2724,¿Beben cerveza?,,SHIWILU es NaN
2725,¿Bebes vino?,,SHIWILU es NaN
2726,¿Tienes coche?,,SHIWILU es NaN
2727,¿Tienes carro?,,SHIWILU es NaN
2728,¿Tienes dinero?,,SHIWILU es NaN
2729,¿Tienes papel?,,SHIWILU es NaN
2730,¿Sabes latín?,,SHIWILU es NaN
2731,¿Vives sola?,,SHIWILU es NaN
2732,¿Necesitas carro?,,SHIWILU es NaN
2733,¿Necesita dinero?,,SHIWILU es NaN
2734,¿Hueles eso?,,SHIWILU es NaN
2735,¿Comprende?,,SHIWILU es NaN
2736,¿Entendéis?,,SHIWILU es NaN
2737,¿Quieres hablar?,,SHIWILU es NaN
2738,¿Quieres pruebas?,,SHIWILU es NaN
2739,¿Vive aquí?,,SHIWILU es NaN
2740,Nunca cambies.,,SHIWILU es NaN
2741,Todos vitorearon.,,SHIWILU es NaN
2742,Todos sobrevivieron.,,SHIWILU es NaN
2743,Arrodíllate.,,SHIWILU es NaN
2744,Dámelo ahora.,,SHIWILU es NaN
2745,¡Dámelo ya!,,SHIWILU es NaN
2746,¿Has terminado?,,SHIWILU es NaN
2747,Parecía joven.,,SHIWILU es NaN
2748,No apareció.,,SHIWILU es NaN
2749,Es influyente.,,SHIWILU es NaN
2750,Parecía satisfecho.,,SHIWILU es NaN
2751,Parece confundido.,,SHIWILU es NaN
2752,Volverá.,,SHIWILU es NaN
2753,Escribe guiones.,,SHIWILU es NaN
2754,Se recuperará.,,SHIWILU es NaN
2755,Está sobreactuando.,,SHIWILU es NaN
2756,¿Cómo sucedió?,,SHIWILU es NaN
2757,Soy vegetariano.,,SHIWILU es NaN
2758,Soy diestro.,,SHIWILU es NaN
2759,Estoy destrozado.,,SHIWILU es NaN
2760,Niego todo.,,SHIWILU es NaN
2761,Tengo resaca.,,SHIWILU es NaN
2762,Tengo jaqueca.,,SHIWILU es NaN
2763,Tengo otitis.,,SHIWILU es NaN
2764,Tengo todo.,,SHIWILU es NaN
2765,Escuché algo.,,SHIWILU es NaN
2766,Espero verlo.,,SHIWILU es NaN
2767,Necesito papel.,,SHIWILU es NaN
2768,Necesito regresar.,,SHIWILU es NaN
2769,Concuerdo contigo.,,SHIWILU es NaN
2770,Debería largarme.,,SHIWILU es NaN
2771,Eso pensaba.,,SHIWILU es NaN
2772,Me vengué.,,SHIWILU es NaN
2773,Intenté escapar.,,SHIWILU es NaN
2774,Quiero creer.,,SHIWILU es NaN
2775,Quiero entrar.,,SHIWILU es NaN
2776,Quiero competir.,,SHIWILU es NaN
2777,Quiero confesar.,,SHIWILU es NaN
2778,Quiero explicar.,,SHIWILU es NaN
2779,Quiero regresar.,,SHIWILU es NaN
2780,Quiero leerlo.,,SHIWILU es NaN
2781,Quiero verte.,,SHIWILU es NaN
2782,Quería luchar.,,SHIWILU es NaN
2783,Estaba frustrado.,,SHIWILU es NaN
2784,Estaba avergonzado.,,SHIWILU es NaN
2785,Seguí leyendo.,,SHIWILU es NaN
2786,Lo agradecería.,,SHIWILU es NaN
2787,Estaría devastado.,,SHIWILU es NaN
2788,Volveré pronto.,,SHIWILU es NaN
2789,Volveré luego.,,SHIWILU es NaN
2790,Haré algo.,,SHIWILU es NaN
2791,Lo devolveré.,,SHIWILU es NaN
2792,Iré solo.,,SHIWILU es NaN
2793,Te liberaré.,,SHIWILU es NaN
2794,Te esperaré.,,SHIWILU es NaN
2795,Esperaré afuera.,,SHIWILU es NaN
2796,Soy dependiente.,,SHIWILU es NaN
2797,Soy astrónomo.,,SHIWILU es NaN
2798,Traigo vino.,,SHIWILU es NaN
2799,Estoy empeorando.,,SHIWILU es NaN
2800,Estoy rayado.,,SHIWILU es NaN
2801,Estoy adelgazando.,,SHIWILU es NaN
2802,No abandono.,,SHIWILU es NaN
2803,Tengo cagalera.,,SHIWILU es NaN
2804,Tengo evidencia.,,SHIWILU es NaN
2805,Identifíquese.,,SHIWILU es NaN
2806,No importa.,,SHIWILU es NaN
2807,Nunca pasó.,,SHIWILU es NaN
2808,Llovió fuerte.,,SHIWILU es NaN
2809,Ocurrirá pronto.,,SHIWILU es NaN
2810,Es confidencial.,,SHIWILU es NaN
2811,Es vivificante.,,SHIWILU es NaN
2812,Ya terminó.,,SHIWILU es NaN
2813,Es discutible.,,SHIWILU es NaN
2814,Llueve mucho.,,SHIWILU es NaN
2815,Dale tiempo.,,SHIWILU es NaN
2816,Déjame dormir.,,SHIWILU es NaN
2817,¡Vete inmediatamente!,,SHIWILU es NaN
2818,¡Sal inmediatamente!,,SHIWILU es NaN
2819,Déjame probar.,,SHIWILU es NaN
2820,Dejame intentar.,,SHIWILU es NaN
2821,Permítame entrar.,,SHIWILU es NaN
2822,Permítame pasar.,,SHIWILU es NaN
2823,Seamos creativos.,,SHIWILU es NaN
2824,Entonces empecemos.,,SHIWILU es NaN
2825,Terminemos esto.,,SHIWILU es NaN
2826,Casémonos.,,SHIWILU es NaN
2827,Entremos allí.,,SHIWILU es NaN
2828,Cenemos.,,SHIWILU es NaN
2829,Investiguemos.,,SHIWILU es NaN
2830,Pasemos adentro.,,SHIWILU es NaN
2831,Decídete.,,SHIWILU es NaN
2832,Explícate.,,SHIWILU es NaN
2833,¿Puedes explicarte?,,SHIWILU es NaN
2834,Debe perdonarme.,,SHIWILU es NaN
2835,Póngalo allí.,,SHIWILU es NaN
2836,Atorníllalo firmemente.,,SHIWILU es NaN
2837,Envíamelo ahora.,,SHIWILU es NaN
2838,Mándamelo ahora.,,SHIWILU es NaN
2839,Ella debutó.,,SHIWILU es NaN
2840,No respondió.,,SHIWILU es NaN
2841,Habla alemán.,,SHIWILU es NaN
2842,Lloró amargamente.,,SHIWILU es NaN
2843,¿Debería decírselo?,,SHIWILU es NaN
2844,Alguien respondió.,,SHIWILU es NaN
2845,Alguien viene.,,SHIWILU es NaN
2846,Algo surgió.,,SHIWILU es NaN
2847,Algo cambió.,,SHIWILU es NaN
2848,Dinos algo.,,SHIWILU es NaN
2849,Dígannos algo.,,SHIWILU es NaN
2850,"Gracias, doctor.",,SHIWILU es NaN
2851,Es perfecto.,,SHIWILU es NaN
2852,Ya saben.,,SHIWILU es NaN
2853,Son ricos.,,SHIWILU es NaN
2854,Continuaron corriendo.,,SHIWILU es NaN
2855,Siguieron corriendo.,,SHIWILU es NaN
2856,Me secuestraron.,,SHIWILU es NaN
2857,Perdieron mucho.,,SHIWILU es NaN
2858,Hablaban francés.,,SHIWILU es NaN
2859,Eran maravillosos.,,SHIWILU es NaN
2860,Fueron maravillosos.,,SHIWILU es NaN
2861,Estaban jadeando.,,SHIWILU es NaN
2862,Son idénticos.,,SHIWILU es NaN
2863,Están escuchando.,,SHIWILU es NaN
2864,Están separados.,,SHIWILU es NaN
2865,Están sorprendidos.,,SHIWILU es NaN
2866,Son maravillosos.,,SHIWILU es NaN
2867,Lo despidieron.,,SHIWILU es NaN
2868,Tom contestó.,,SHIWILU es NaN
2869,Intenta calmarte.,,SHIWILU es NaN
2870,Intenta tranquilizarte.,,SHIWILU es NaN
2871,¡Visítenos mañana!,,SHIWILU es NaN
2872,Somos australianos.,,SHIWILU es NaN
2873,Cultivamos arroz.,,SHIWILU es NaN
2874,Aprendimos francés.,,SHIWILU es NaN
2875,Lo admiramos.,,SHIWILU es NaN
2876,Deberíamos hacerlo.,,SHIWILU es NaN
2877,Hablamos japonés.,,SHIWILU es NaN
2878,Éramos vecinos.,,SHIWILU es NaN
2879,Te visitaremos.,,SHIWILU es NaN
2880,Somos aventureros.,,SHIWILU es NaN
2881,Somos periodistas.,,SHIWILU es NaN
2882,¿Estabas durmiendo?,,SHIWILU es NaN
2883,¿Estabas mirando?,,SHIWILU es NaN
2884,¡Qué colección!,,SHIWILU es NaN
2885,¿Qué sentiste?,,SHIWILU es NaN
2886,¿Qué sintió?,,SHIWILU es NaN
2887,¿Qué sintieron?,,SHIWILU es NaN
2888,¿Qué escondiste?,,SHIWILU es NaN
2889,¿Qué necesitan?,,SHIWILU es NaN
2890,¿Qué quiere?,,SHIWILU es NaN
2891,¿Qué significa?,,SHIWILU es NaN
2892,¿Qué ocurre?,,SHIWILU es NaN
2893,¿Qué pretendía?,,SHIWILU es NaN
2894,¿Qué harán?,,SHIWILU es NaN
2895,¿Qué pasaría?,,SHIWILU es NaN
2896,¿Cuándo viniste?,,SHIWILU es NaN
2897,¿Cuándo llegamos?,,SHIWILU es NaN
2898,¿Cuándo estudias?,,SHIWILU es NaN
2899,¿Cuándo escribes?,,SHIWILU es NaN
2900,¿Cuándo vendrá?,,SHIWILU es NaN
2901,¿Dónde comenzamos?,,SHIWILU es NaN
2902,¿Dónde vives?,,SHIWILU es NaN
2903,¿Dónde viven?,,SHIWILU es NaN
2904,¿Adónde iremos?,,SHIWILU es NaN
2905,¿Dónde estarás?,,SHIWILU es NaN
2906,¿Adónde irás?,,SHIWILU es NaN
2907,¿Cuál querés?,,SHIWILU es NaN
2908,Eres fantástico.,,SHIWILU es NaN
2909,Eres importante.,,SHIWILU es NaN
2910,Puedes responderlo.,,SHIWILU es NaN
2911,No escuchaste.,,SHIWILU es NaN
2912,Me decepcionas.,,SHIWILU es NaN
2913,Llegaste rápido.,,SHIWILU es NaN
2914,Adivinaste bien.,,SHIWILU es NaN
2915,Debes hacerlo.,,SHIWILU es NaN
2916,Luces europeo.,,SHIWILU es NaN
2917,Pareces japonés.,,SHIWILU es NaN
2918,Luces fabulosa.,,SHIWILU es NaN
2919,Debes ayudarla.,,SHIWILU es NaN
2920,Debes apurarte.,,SHIWILU es NaN
2921,Debes detenerlo.,,SHIWILU es NaN
2922,Deben detenerlo.,,SHIWILU es NaN
2923,Necesitas relajarte.,,SHIWILU es NaN
2924,Pareces estresado.,,SHIWILU es NaN
2925,Deberías probarlo.,,SHIWILU es NaN
2926,Hablas demasiado.,,SHIWILU es NaN
2927,Fuiste encantador.,,SHIWILU es NaN
2928,Eras guapo.,,SHIWILU es NaN
2929,Estabais equivocados.,,SHIWILU es NaN
2930,¡Eres repugnante!,,SHIWILU es NaN
2931,Estás rodeado.,,SHIWILU es NaN
2932,¿Incluye comidas?,,SHIWILU es NaN
2933,¿Están satisfechos?,,SHIWILU es NaN
2934,¿Eres budista?,,SHIWILU es NaN
2935,¿Eres músico?,,SHIWILU es NaN
2936,¿Eres productivo?,,SHIWILU es NaN
2937,¿Eres vegetariano?,,SHIWILU es NaN
2938,¿Puede perdonarme?,,SHIWILU es NaN
2939,¿Pueden perdonarme?,,SHIWILU es NaN
2940,¿Puedes recogerlo?,,SHIWILU es NaN
2941,Sígannos.,,SHIWILU es NaN
2942,Síganos.,,SHIWILU es NaN
2943,Vuelve mañana.,,SHIWILU es NaN
2944,¿Tom cenó?,,SHIWILU es NaN
2945,Fuiste robado?,,SHIWILU es NaN
2946,¿Le invitaste?,,SHIWILU es NaN
2947,¿Tienen dinero?,,SHIWILU es NaN
2948,¿Le crees?,,SHIWILU es NaN
2949,¿Tienes dudas?,,SHIWILU es NaN
2950,¿Hablás francés?,,SHIWILU es NaN
2951,¿Sabes francés?,,SHIWILU es NaN
2952,¿Añoras Boston?,,SHIWILU es NaN
2953,¿Juegas tenis?,,SHIWILU es NaN
2954,¿Hablas latín?,,SHIWILU es NaN
2955,¿Quieren comer?,,SHIWILU es NaN
2956,¿Quiere comer?,,SHIWILU es NaN
2957,¿Tiene dinero?,,SHIWILU es NaN
2958,¿Duele mucho?,,SHIWILU es NaN
2959,¿Te ofende?,,SHIWILU es NaN
2960,Todos dudaron.,,SHIWILU es NaN
2961,Todos vacilaron.,,SHIWILU es NaN
2962,Todo cambió.,,SHIWILU es NaN
2963,Todo importa.,,SHIWILU es NaN
2964,Todo paró.,,SHIWILU es NaN
2965,¡Devuélvemelo!,,SHIWILU es NaN
2966,Danos espacio.,,SHIWILU es NaN
2967,Llamó Tom?,,SHIWILU es NaN
2968,Buen vuelo.,,SHIWILU es NaN
2969,Intentó apelar.,,SHIWILU es NaN
2970,Él envejecía.,,SHIWILU es NaN
2971,¿Cómo decidiste?,,SHIWILU es NaN
2972,¿Cómo decidieron?,,SHIWILU es NaN
2973,¿Cómo decidió?,,SHIWILU es NaN
2974,¿Harto improbable?,,SHIWILU es NaN
2975,Puedo cabalgar.,,SHIWILU es NaN
2976,Puedo esperarte.,,SHIWILU es NaN
2977,Yo aplaudí.,,SHIWILU es NaN
2978,Colecciono antigüedades.,,SHIWILU es NaN
2979,Tosí sangre.,,SHIWILU es NaN
2980,Soñé contigo.,,SHIWILU es NaN
2981,Terminé ganando.,,SHIWILU es NaN
2982,Odio aburrirme.,,SHIWILU es NaN
2983,Tengo información.,,SHIWILU es NaN
2984,Espero verlos.,,SHIWILU es NaN
2985,Debo destruirte.,,SHIWILU es NaN
2986,Necesito información.,,SHIWILU es NaN
2987,Necesito sentarme.,,SHIWILU es NaN
2988,Estudio psicología.,,SHIWILU es NaN
2989,Hablo dormido.,,SHIWILU es NaN
2990,Me entregué.,,SHIWILU es NaN
2991,Quiero divertirme.,,SHIWILU es NaN
2992,Quiero ayudarte.,,SHIWILU es NaN
2993,Quiero verlos.,,SHIWILU es NaN
2994,Estaba deprimido.,,SHIWILU es NaN
2995,Estaba almorzando.,,SHIWILU es NaN
2996,Quisiera verlo.,,SHIWILU es NaN
2997,Iré mañana.,,SHIWILU es NaN
2998,Vendré mañana.,,SHIWILU es NaN
2999,Lo averiguaré.,,SHIWILU es NaN
3000,Nunca abandonaré.,,SHIWILU es NaN
3001,Lo recordaré.,,SHIWILU es NaN
3002,Esperaré arriba.,,SHIWILU es NaN
3003,Soy fotógrafo.,,SHIWILU es NaN
3004,Estoy engordando.,,SHIWILU es NaN
3005,Me ascendieron.,,SHIWILU es NaN
3006,Fui convocado.,,SHIWILU es NaN
3007,Traje almuerzo.,,SHIWILU es NaN
3008,He mejorado.,,SHIWILU es NaN
3009,¿Hay pan?,,SHIWILU es NaN
3010,¿Hay azúcar?,,SHIWILU es NaN
3011,Parece lluvia.,,SHIWILU es NaN
3012,Parece nieve.,,SHIWILU es NaN
3013,Fue extraordinario.,,SHIWILU es NaN
3014,Nunca sucederá.,,SHIWILU es NaN
3015,Ha mejorado.,,SHIWILU es NaN
3016,Rellénalo.,,SHIWILU es NaN
3017,Simplemente tíralo.,,SHIWILU es NaN
3018,Préstamelo.,,SHIWILU es NaN
3019,Déjame explicarlo.,,SHIWILU es NaN
3020,Compremos este.,,SHIWILU es NaN
3021,Divorciémonos.,,SHIWILU es NaN
3022,Preparémonos.,,SHIWILU es NaN
3023,Tomémonos algo.,,SHIWILU es NaN
3024,Hablemos francés.,,SHIWILU es NaN
3025,Sigamos casados.,,SHIWILU es NaN
3026,Estudiemos francés.,,SHIWILU es NaN
3027,Usemos este.,,SHIWILU es NaN
3028,"Afortunadamente, funcionó.",,SHIWILU es NaN
3029,Nadie entiende.,,SHIWILU es NaN
3030,Vuelve inmediatamente.,,SHIWILU es NaN
3031,¿Empezamos ahora?,,SHIWILU es NaN
3032,Ella cenó.,,SHIWILU es NaN
3033,Parece confundida.,,SHIWILU es NaN
3034,Nació ciega.,,SHIWILU es NaN
3035,¿Debería repetirlo?,,SHIWILU es NaN
3036,¿Deberíamos seguir?,,SHIWILU es NaN
3037,Muéstrame todo.,,SHIWILU es NaN
3038,Enséñamelo todo.,,SHIWILU es NaN
3039,Algo sucedió.,,SHIWILU es NaN
3040,Algo viene.,,SHIWILU es NaN
3041,Dime todo.,,SHIWILU es NaN
3042,Cuéntamelo todo.,,SHIWILU es NaN
3043,"Gracias, cariño.",,SHIWILU es NaN
3044,Suena ridículo.,,SHIWILU es NaN
3045,Eran soldados.,,SHIWILU es NaN
3046,Ellos nadaban.,,SHIWILU es NaN
3047,Estaban juntos.,,SHIWILU es NaN
3048,Entenderán.,,SHIWILU es NaN
3049,Son cristianos.,,SHIWILU es NaN
3050,Son extranjeros.,,SHIWILU es NaN
3051,¿Fue interesante?,,SHIWILU es NaN
3052,¿Era interesante?,,SHIWILU es NaN
3053,Almorzamos temprano.,,SHIWILU es NaN
3054,No terminamos.,,SHIWILU es NaN
3055,Aprendimos inglés.,,SHIWILU es NaN
3056,Escuchamos música.,,SHIWILU es NaN
3057,Necesitamos permiso.,,SHIWILU es NaN
3058,Permanecimos callados.,,SHIWILU es NaN
3059,Deberíamos terminar.,,SHIWILU es NaN
3060,Deberíamos sentarnos.,,SHIWILU es NaN
3061,Lo comprendemos.,,SHIWILU es NaN
3062,Estábamos apurados.,,SHIWILU es NaN
3063,Preguntaremos diplomáticamente.,,SHIWILU es NaN
3064,Vamos tarde.,,SHIWILU es NaN
