CODIGO,TEXTO_SPA,TEXTO_SHI,AUDIO?,,,,,,
FL_0018,"Eso no demora mucho, se llega rápido.","Nanek enpu’ni tekdi’nek, wiuksu’ ektu’lek.",TRUE,,,,,,
FL_0019,El monte de Jeberos es tierra de altura.,Shiwilu tanan erpilu’ nuka’a.,TRUE,,,,,,
FL_0020,En el monte tenemos una variedad de árboles.,Tanak aʹñaʹpallidek dudinpu’ nalalusaʹ.,TRUE,,,,,,
FL_0021,En el monte de Jeberos tenemos toda clase de hojas.,Shiwilu tanak a’ñapallidek dudinpu’ lalumeklusa’.,TRUE,,,,,,
FL_0022,Entonces se convierte en crisneja.,Ipa’linchi panpektekkek ñinta’lli.,TRUE,,,,,,
FL_0023,La hoja de muenilla es buena para la fiebre.,Dakalamek mulli ukaki.,TRUE,,,,,,
FL_0024,"La hoja de sanango también es buena para la
hinchazón.",Piunalamek’unta’ mulli waka’ki.,TRUE,,,,,,
FL_0025,Con estos bijaos envuelven las patarashcas.,Asu’ iyunameklusa’lek pu’tullina’ akipilusa’.,TRUE,,,,,,
FL_0026,Por eso cuidémoslos para que no desaparezcan.,Nanamalek enchuku’ luwektawa’ wer’inpu’er’kek.,TRUE,,,,,,
FL_0027,Pero la quinilla no echa fruto todos los años.,Intunelli’na ñita’piñi iñer’ ekkilalalusa’.,TRUE,,,,,,
FL_0028,"Cuando su fruto madura, trepando lo cogen.",Ñipinen mer’chusik chintektanna’ mallina’.,TRUE,,,,,,
FL_0029,"Si les cae en el cuerpo, se enferman.",Anu’sik pinennak kaluwi’llina’.,TRUE,,,,,,
FL_0030,A esta enfermedad la llaman “induner”.,Asu’ kaluwi’ peklu’llina’ intuner.,TRUE,,,,,,
FL_0031,"También el árbol de cotohuayo se halla en el
chamisal.",Kumunpi nalanta’ kananek deklaluk.,TRUE,,,,,,
FL_0032,"Al fruto del aguaje de chamisal se le llama
“ma’api”.",Ma’a ñipinen peklu’lek ma’api.,TRUE,,,,,,
FL_0033,Ya cuando madura se parte su cáscara.,Ipa’ mer’chusik chipiteknen nuchinkatulli.,TRUE,,,,,,
FL_0034,Nunwanlusa’ pa’apallina’ Erpina’lupa’.,Nunwanlusa’ pa’apallina’ Erpina’lupa’.,TRUE,,,,,,
FL_0035,Ahí está esa piedra hasta el día de hoy.,Nanek ñapalli ipa’lalek nana la’pi.,TRUE,,,,,,
FL_0036,Antes las mujeres shiwilu mudaban pampanilla.,Shiwilunlusa’ napi’ i’shillina’ kalantek.,TRUE,,,,,,
FL_0037,"Por eso, no hacían faltar algodón en sus chacras.",Nanamalek pitellu a’pawi’ñina’ menminennak.,TRUE,,,,,,
FL_0038,En todas las chacras sembraban algodón.,Iñer’ menminlusak’ tera’llina’ pitellu.,TRUE,,,,,,
FL_0039,De ahí armaban el telar para confeccionar sus pampanillas.,Nanekla anantullina’ yanu’tanna’ kalanteknenna’.,TRUE,,,,,,
FL_0040,"Ese azul no duraba mucho, se zafaba.","Nana kañercha’su’ enpu’ni tekda’pi’ñi, apu’tulli.",TRUE,,,,,,
FL_0041,De eso se jactaban.,Nanalek intumu’tullina’.,TRUE,,,,,,
FL_0042,Los antiguos no pescaban a cada rato.,Papinkuku’lusa’ pu’ri’ñina’ utalinpu’sa’.,TRUE,,,,,,
FL_0043,"Entonces, cuando se llenaba lo pescaban.",Ipa’linchi inpi’mur’sik pur’chullina’.,TRUE,,,,,,
FL_0044,Otros iban a montear para la comida.,Ali’ladaper pa’llina’ yayunek’anna weranki.,TRUE,,,,,,
FL_0045,"Entonces, en la tarde majaban (el barbasco).","Ipa’linchi, er’wa llisañina’.",TRUE,,,,,,
FL_0046,"Terminando de majar, comían.",A’ta’wantanna’ llisan’er’kasu’ werañina’.,TRUE,,,,,,
FL_0047,Mientras tanto ya anochecía.,Nanekwalek ipa’ kasiserlli.,TRUE,,,,,,
FL_0048,Agunos salían a cazar animales en la noche.,Nu’unta’lusa’ yunsu’llina’ yapa’willitanna’.,TRUE,,,,,,
FL_0049,Este hermano menor conoce dónde dejar el barbasco majado.,"Asu’ yalli’wa luwer’apalli akui’la’mamak puñañi
llisanpi.",TRUE,,,,,,
FL_0050,También los pejes que no habían muerto bajaban.,Samerlusa’nta’ chiminpu’er’kasu’ nu’wañina’.,TRUE,,,,,,
FL_0051,Iban a amontonarse en el cerco.,"Pidankek indiuntunta’llina’,",TRUE,,,,,,
FL_0052,Ahí estaban los cuidadores del cerco.,Nanek ñapallina’ pidan luwekter’kasu’.,TRUE,,,,,,
FL_0053,Ahí el jefe de la pesca cuidaba.,Nanek pur’wan luwek’tulli.,TRUE,,,,,,
FL_0054,"Entonces juntaban, llenaban sus canastos.","Nanek si’yektullina’, lantekpinenna’ pi’muer’llina’.",TRUE,,,,,,
FL_0055,Así pescaban los antiguos.,Nu’su’ pur’llina’ papinkuku’ Shiwilulusa’.,TRUE,,,,,,
FL_0056,Yo he escuchado cuando habló mi abuelo finado.,Kua lawektulek lunsik papinkuwekku’.,TRUE,,,,,,
FL_0057,Los pejes que se jalan se juntan en jicra.,Samerlusa’ dek’a’kasu’ si’yektulek sha’yak.,TRUE,,,,,,
FL_0058,"Cuando no se les ve, nos muerden.",Lli’inpu’a’sik kitekllenmu’.,TRUE,,,,,,
FL_0059,Al anzuelo se lo empata con peje.,Utekkunan dektu’tulek samerlek.,TRUE,,,,,,
FL_0060,Nerpi’pu’ dunanler latuñi utekkunanmapu’.,Nerpi’pu’ dunanler latuñi utekkunanmapu’.,TRUE,,,,,,
FL_0061,Las uchpa-garzas no comen cualquier cosa.,Yan’uklu’lusa’ ka’api’ñina’ ma’nenpi’nta’.,TRUE,,,,,,
FL_0062,Se alimentan de puro peje.,Nawa’ weranenna’ nuka’a samersa’.,TRUE,,,,,,
FL_0063,Otras esperan al mijano paradas en el agua.,Ali’ladaper wanerdektusu’ wa’tenñina’ wadi’.,TRUE,,,,,,
FL_0064,"Así, sin dificultad, pican sus pejes.",Nu’su’ saka’dek’inpu’ ekkuañina’ samernenna’.,TRUE,,,,,,
FL_0065,Allí digieren los pejes que comieron.,Nanek dalliñina’ samernenna’ ka’er’kasu’.,TRUE,,,,,,
FL_0066,Mientras tanto el mijano ya va surcando.,"Nanekwalek wadi’ ipa’ penwiner’apilalli,",TRUE,,,,,,
FL_0067,Entonces los pejes se comen entre ellos.,Nanek samerlusa’ nawa’tuchin inka’llina’.,TRUE,,,,,,
FL_0068,Los súngaros cacean en el agua.,Da’wanserlusa’ werandektullina’.,TRUE,,,,,,
FL_0069,Cuando termina el mijano ya no tienen mucha comida.,Wadi’ ta’wantusik a’pinta’ enpu’ni weranwi’ñina’.,TRUE,,,,,,
FL_0070,Tras hallarla se van al catahual (cerca de la cocha).,Kananna’ pa’llina’ siseknalaluk.,TRUE,,,,,,
FL_0071,Para secarse y calentar sus cuerpos mashaquean en el sol.,Yaenpinna’ yaukapinna’ kekkik pilatullina’.,TRUE,,,,,,
FL_0072,Lo que sobra lo dejan ahí.,Dansu’a’su’ nanek ta’itula’llina’.,TRUE,,,,,,
FL_0073,"Cuando mayaquea, el gallinazo comiendo loacaba.",Analu’tusik supu’ler ka’an pekdalli.,TRUE,,,,,,
FL_0074,"Donde les cae la tarde, duermen.",Nawa’ er’water’kek wichi’llina’.,TRUE,,,,,,
FL_0075,Comen todo lo que encuentran en el monte.,Nawa’ ka’llina’ iñer’ kananer’kasu’ tanak.,TRUE,,,,,,
FL_0076,La huangana hembra tiene solo unita cría.,Laman ku’apenñen ala’shasa’ wawinwanpalli.,TRUE,,,,,,
FL_0077,"Cuando matan a su madre, la cría permanece ahí.",Ashinen dei’ta’ser’ wawin nanek llia’lli.,TRUE,,,,,,
FL_0078,"La huangana es de color negro, su carne es comestible, es sabrosa.","Laman ker’pi nuka’a, lu’lunen ka’lek, iyalli.",TRUE,,,,,,
FL_0079,También se vende su carne ahumada.,Nu’sik’unta’ lu’lunen chinpi uku’latulek.,TRUE,,,,,,
FL_0080,"Antes su cuero costaba, pero ahora no.","Napi’ chipiteknen pa’tuwiñi, ipa’lina’ ku’la.",TRUE,,,,,,
FL_0081,Antes el cuero de la huangana costaba.,Napi’ laman chipitek pa’tuwiñi.,TRUE,,,,,,
FL_0082,A veces las huanganas llegaban a Jeberos.,Nerpi’pu’lusa’ lamanlusa’ ektu’wiñina’ Shiwiluk.,TRUE,,,,,,
FL_0083,Las huanganas no demoraban en Jeberos.,Lamanlusi’na tekda’pi’ñina’ Shiwiluk.,TRUE,,,,,,
FL_0084,"Los hermanos que se adelantaban, ellos mataban.","Yalli’walusa’ ektercher’kasu’, nawa’ dei’tullina’.",TRUE,,,,,,
FL_0085,Sin haber disparado ya tenía su huangana.,Ilanchinpu’la’pin ipa’ lamanwañi.,TRUE,,,,,,
FL_0086,Después se prepara el ahumadero con palos delgados.,Nanekla chinalatulek a’mernalalek.,TRUE,,,,,,
FL_0087,Tiene solo una cría.,Ala’shasa’ wawinwanpalli.,TRUE,,,,,,
FL_0088,No duerme en un hueco.,Lallik wicha’pi’ñi.,TRUE,,,,,,
FL_0089,Así descansa la sachavaca.,Nu’su’ neriapalli panwala.,TRUE,,,,,,
FL_0090,A veces se mete a las chacras.,Nerpi’pu’lusa’ yunsu’palli menminlusak.,TRUE,,,,,,
FL_0091,"Ahí se come los sembríos, hojas de plátano, hojas de yuca, piña.","Nanek ka’lli ter’a’lusa’, tankumek, ker’mek, senpa.",TRUE,,,,,,
FL_0092,No hace su camino por cualquier lugar.,"Nana enkasu’lupa’pi’nta’ dekkunen nu’tapi’ñi,",TRUE,,,,,,
FL_0093,Conoce por dónde quizás abrir.,Nana luwer’apalli enkasu’lupi’pa’ ekker’chechu.,TRUE,,,,,,
FL_0094,"Prefiriendo la altura, por ahí abre su camino.",Wadun erpilu’ nanalupa’ ekker’chulli dekkunen.,TRUE,,,,,,
FL_0095,"De esta manera, la sachavaca ayuda al hombre.",Nu’su’ panwala katu’pa’palli enmu’pinen.,TRUE,,,,,,
FL_0096,"Por otro lado, a la sachavaca le gusta la sal.",Nu’sik’unta’ panwala iyatulli damula.,TRUE,,,,,,
FL_0097,Con eso se le hace su colpa.,Nanalek nu’itulek ka’lu’tunan.,TRUE,,,,,,
FL_0098,"En la noche, este animal come la colpa.",Asu’ añimar dekpilli’ ka’lu’tapalli.,TRUE,,,,,,
FL_0099,Ahí acuden muchas sachavacas.,Nanek wapu’ panwalalusa’ pa’apallina’.,TRUE,,,,,,
FL_0100,Esto he aprendido de mi abuelo finado.,Asu’ ñinchitulek papinkuwekkukla.,TRUE,,,,,,
FL_0101,El majaz tiene solo una cría anualmente.,Ala’shasa’ wawinwanpalli ekkilalak.,TRUE,,,,,,
FL_0102,Allá el perro olfateando lo halla en el hueco.,Nanek ñiñi’ler laneran kanañi lallik.,TRUE,,,,,,
FL_0103,"Entonces, picándole con palo puntalado, se le mata.",Nanek nala ekdenpilek ekkuan’ak dei’tulek.,TRUE,,,,,,
FL_0104,Por eso dice que el majaz se convierte en shushupe.,Nanamalek tulli dekkanan naterkek ñinta’lli.,TRUE,,,,,,
FL_0105,La rana es un anfibio.,Uwan i’na ala’sa’ anfibio nuka’a.,TRUE,,,,,,
FL_0106,"Vive en el monte, se esconde en los huequitos.",Nanpipalli tanak insekkitapalli lallinshalusak.,TRUE,,,,,,
FL_0107,Luego se convierten en renacuajos.,Nanekla sukellu’ ñinta’llina’.,TRUE,,,,,,
FL_0108,Una vez juntadas las ranas se llevan a casa.,"Si’yektak uwanlusa’, pidik ekpanta’lek.",TRUE,,,,,,
FL_0109,De ahí se les saca las tripas.,Nanekli’na usui’tulek dullinen.,TRUE,,,,,,
FL_0110,"La rana es sabrosa en patarashca, envuelta en hoja de bijao.","Uwan iyalli akipik, iyunamekkek pu’pi.",TRUE,,,,,,
FL_0111,La mijanada de la rana dura uno o dos días.,"Uwan wadi’nen tekda’lli ala’ uklli, katu’ uklli.",TRUE,,,,,,
FL_0112,Se quedan sin sembríos una vez que merma el río.,Tera’wi’nsu’ llia’llina ishansik kupin dekshadek.,TRUE,,,,,,
FL_0113,Viven en la restinga.,Chitekpiluk nanpillina’.,TRUE,,,,,,
FL_0114,Con lo que sobra el añuje le ayuda.,A’dansu’a’su’ ekchekler katu’pa’palli.,TRUE,,,,,,
FL_0115,Nunca se ve que se ahogue.,Ñi enpi’ lli’i’nek chimidekta’su’.,TRUE,,,,,,
FL_0116,Aumentan para desovar en la época de vaciante.,Nadallina’ ishan ukllik wadeker’kek.,TRUE,,,,,,
FL_0117,Les voy a contar de la Mujer Renaco.,Wintekchenma’ Ellalunki.,TRUE,,,,,,
FL_0118,"Antiguamente, el renaco era una mujer.",Napi’ ella alasa’ ku’aper ñiwiñi.,TRUE,,,,,,
FL_0119,"Le tenían miedo, extraño le veían,","Tekkwatullina’, nerpi’la lli’llina’.",TRUE,,,,,,
FL_0120,"Por eso, triste la Mujer Renaco iba en la calle.",Nanamalek we’inutusu’ Ellalun pa’lli kallik.,TRUE,,,,,,
FL_0121,Con lo que sobra el añuje le ayuda.,A’dansu’a’su’ ekchekler katu’pa’palli.,TRUE,,,,,,
FL_0122,Nunca se ve que se ahogue.,Ñi enpi’ lli’i’nek chimidekta’su’.,TRUE,,,,,,
FL_0123,Aumentan para desovar en la época de vaciante.,Nadallina’ ishan ukllik wadeker’kek.,TRUE,,,,,,
FL_0124,Les voy a contar de la Mujer Renaco.,Wintekchenma’ Ellalunki.,TRUE,,,,,,
FL_0125,"Antiguamente, el renaco era una mujer.",Napi’ ella alasa’ ku’aper ñiwiñi.,TRUE,,,,,,
FL_0126,"Le tenían miedo, extraño le veían,","Tekkwatullina’, nerpi’la lli’llina’.",TRUE,,,,,,
FL_0127,"Por eso, triste la Mujer Renaco iba en la calle.",Nanamalek we’inutusu’ Ellalun pa’lli kallik.,TRUE,,,,,,
FL_0128,"Le llamó, “Ven, quiero hablarte”, le dijo.","Peklu’lli. “Wekker’, yaluntullen”, itulli.",TRUE,,,,,,
FL_0129,"Luego, a otro joven le encontró, él tampoco quiso
acercársele.","Nanekla ali’la nadi’nek kanañi, nanalerunta’ yakawi’i’ñi.",TRUE,,,,,,
FL_0130,"Así, triste, andaba la Mujer Renaco.","Nu’su’, we’inutusu’, pa’apawiñi Ellalun.",TRUE,,,,,,
FL_0131,"Estando andando, entonces, encontró a otro joven.","Pa’apan, ipa’linchi, ali’la nadi’nek kanañi.",TRUE,,,,,,
FL_0132,"El joven se acercó; acercándose, le dijo: “¿Qué
quieres?”","Nadi’nekler kawilli; kawin “¿Ma’nen luwantula?”,
itulli.",TRUE,,,,,,
FL_0133,"Ahora sí, acercándose quiere hablarle.","Ipa’lina’, kawin yaluntulli.",TRUE,,,,,,
FL_0134,Pero él no sabía que ella era la Mujer Renaco.,Nani’na ñinchichi’ñi Ellalun ipa’chi’ñi nana.,TRUE,,,,,,
FL_0135,"Ahí, entonces, se convirtieron en árbol.","Nanek, ipa’linchi, nalak ñinta’llina’.",TRUE,,,,,,
FL_0136,"Por eso, hoy en día, el renaco no crece solito.","Nanamalek, ipa’la, ella nanashasa’ susupi’ñi.",TRUE,,,,,,
FL_0137,"Crece apegado a otro árbol, abrazado abrazado.","Susupalli ali’la nalak pasun, wiperi’n wiperi’n.",TRUE,,,,,,
FL_0138,"Vean ahora, abrazado al tronco de un árbol crece.","Enta’ lli’ku’, ipa’la wiper’in nalanan susupalli.",TRUE,,,,,,
FL_0139,"Así vive, por eso nunca se despega.","Nu’su’ nanpipalli, ñinpi’ apu’tapi’ñi.",TRUE,,,,,,
FL_0140,Antiguamente la sachavaca era persona y quería engordarse.,Napi’ panwala muda’ñan yaweiwiñi.,TRUE,,,,,,
FL_0141,"Siendo así, no sabía cómo hacer para engordarse.",Nu’ani’na ñinchichi’ñi ma’pu’si’pa’ weietchu.,TRUE,,,,,,
FL_0142,"Estando andando pensó “¿cómo me engordaría, caramba?”, dijo la Mujer Sachavaca.","Pa’apan inlli’inutulli “¿ma’pu’su’ta’ weinaseku ten?”, tulli Panwalalun.",TRUE,,,,,,
FL_0143,Primero fue donde las aves.,Nanentu ilanser’lusak palli.,TRUE,,,,,,
FL_0144,"A ellas les quitó sus carnes, a todas les desolló.","Nawa’ lu’lunnenlusa’ siwerchudeklli, iñer’ sekkektudeklli.",TRUE,,,,,,
FL_0145,Primero fue donde la Mujer Pinsha.,Nanentu pa’lli Duwinlunkek.,TRUE,,,,,,
FL_0146,Haciéndole cosquillas le quitó su carne.,Shikillek’an siwerchulli lu’lunnen. ,TRUE,,,,,,
FL_0147,Luego fue donde la Mujer Pucacunga.,Nanekla pa’lli Chunserlunkek.,TRUE,,,,,,
FL_0148,"A ella también, cosquilleándole, le quitó su carne.",Nananta’ shikillek’an siwerchulli lu’lunnen.,TRUE,,,,,,
FL_0149,Así estaba aumentando su carne.,Nu’su’ a’nadapilawiñi lu’lunnen.,TRUE,,,,,,
FL_0150,También fue donde la Mujer Perdiz.,Nu’sik’unta’ pa’lli Dunkululunkek.,TRUE,,,,,,
FL_0151,"A ella también, cosquilleándole, quería quitarle su carne.",Nananta’ shikillek’an yasiwerchuwiñin lu’lunnen.,TRUE,,,,,,
FL_0152,Pero ella se bocabajó bien.,Nani’na per’pa’lli musu’.,TRUE,,,,,,
FL_0153,"Aunque le había cosquilleado, ella no se rió.","Shikillikwiñi, nani’na yameri’ñi.",TRUE,,,,,,
FL_0154,Por eso la Mujer Sachavaca no le quitó toda su carne.,Nanamalek Panwalalunler siwer’chi’ñi iñer’ lu’lunnen.,TRUE,,,,,,
FL_0155,De su espalda nomás se la cogió.,Piteknenkeksakla meitulli.,TRUE,,,,,,
FL_0156,"Por eso, la perdiz tiene bastante carne en su pecho.",Nanamalek dunkululun wapu’ lu’lunwanpalli chi’teknenkek.,TRUE,,,,,,
FL_0157,(La Mujer Sachavaca) no se sentía bien al no completar su carne.,Musu’ kankanchi’ñi a’yennichinpu’ lu’lunnen.,TRUE,,,,,,
FL_0158,"Entonces, dijo: “No puedo engordarme, mejor sería que aumente mi carne con arcilla”.","Nanekli’na tulli: “Yennichi’nek weya’kasu’, a’pimuetchun diteklulek lu’lunuk a’nadaetchek”.",TRUE,,,,,,
FL_0159,"Diciendo esto, la Mujer Sachavaca se fue al monte a buscar arcilla.",Tan ima Panwalalun pa’lli tanak diteklu’ yadunker’an.,TRUE,,,,,,
FL_0160,"Entonces, hallando la arcilla y sacándola, se lo embarró todo su cuerpo.","Ipa’linchi, diteklu’ kanan usuk, iñer’ pinenkek a’per’ku’tulli",TRUE,,,,,,
FL_0161,"De ahí, pues, la Mujer Sachavaca se engordó.","Nanekla, ipa’linchi, Panwalalun weiluñi.",TRUE,,,,,,
FL_0162,"Entonces, se sintió bien.",Ipa’linchi musu’ kankantulli.,TRUE,,,,,,
FL_0163,"Por eso, ahora, convirtiéndose en animal la sachavace tiene bastante carne.","Nanamalek, ipa’la, panwala añimarñan wapu’ lu’lunwanpalli.",TRUE,,,,,,
FL_0164,"“Con arcilla le ha aumentado”, han dicho las antiguas.","“Di’teklu’lek a’nadalli”, tullina’ amiku’lusa’.",TRUE,,,,,,
FL_0165,Por eso a la sachavaca no le comen algunos.,Nanamalek panwala ka’api’ñina’ nu’unta’lusa.,TRUE,,,,,,
FL_0166,Porque aumentó su carne con arcilla.,Diteklu’lek a’nada’su’ malek lu’lunen.,TRUE,,,,,,
FL_0167,A veces la sachavaca anda buscando arcilla.,Nerpi’pu’lusa’ panwala pa’apalli dunker’an di’teklu’.,TRUE,,,,,,
FL_0168,Hasta ahora come arcilla porque tiene un poco de sal.,Di’teklu’ ipa’lalek ka’apalli a’mercha damulawansu’ malek,TRUE,,,,,,
FL_0169,"Su carne es rica; por eso, a veces, cuando se la encuentra se la mata, porque tiene bastante carne.","Lu’lunnen iyalli; nanamalek, nerpi’pu’, kanak dei’tu’lek, lu’lunnen wapu’ a’ña’su’ malek.",TRUE,,,,,,
FL_0170,La sachavaca vive en el monte.,Panwala tanak nanpipalli.,TRUE,,,,,,
FL_0171,Tiene su trocha como la de la gente.,A’ñapalli dekkunnen muda’kinpu’su’.,TRUE,,,,,,
FL_0172,La sachavaca es un lindo animal.,Panwali’na u’chimu añimar nuka’a.,TRUE,,,,,,
FL_0173,Ahora les voy a contar porqué quizás la iguana tiene lindas pintitas.,Ipa’la wintetchenma’ ma’malek ipa’ pekkuala u’chimu llinsercha a’ñapalli.,TRUE,,,,,,
FL_0174,Y porqué quizás el motelo tiene tremendas pintotas nomás.,Madu ma’malek ipa’ u’nei llinsersa’ a’ñapalli.,TRUE,,,,,,
FL_0175,"Antiguamente, la Iguana y la Motelo eran gente, dos señoritas bonititas eran.",Napi’ ima Pekkuala Madulek muda’ ñanna’ katu’ta’ wilalunlusa’ u’chimulunlunshala ñiwiñina’.,TRUE,,,,,,
FL_0176,"Un día, dijeron “¡Vamos a la fiesta!”",Nanekli’na tullina’ “¡Enchu pistak!”,TRUE,,,,,,
FL_0177,“Está bien” acordaron.,“Mu’chun” tullina’.,TRUE,,,,,,
FL_0178,“Pero para ir a la fiesta hay que pintarse diseños (en el cuerpo)” dijeron.,“Pistak i’na yapa’ak inllinserlek” tullina’.,TRUE,,,,,,
FL_0179,"“Esta bien, pintémonos la una a la otra”.","“Mu’chun, inllinser’a”. ",TRUE,,,,,,
FL_0180,"Entonces, empezaron a pintarse (el cuerpo).",Nanekli’na tenmiansu’llina’ inllinsererkek.,TRUE,,,,,,
FL_0181,Primero fue pintada la Iguana.,Nanentu llinserllina’ Pekkuala.,TRUE,,,,,,
FL_0182,La Iguana dijo “Esta pintita quiero yo” y le mostró (el diseño) a la Motelo.,Pekkuala tulli “Asu’ llinsercha kua luwantulek” tan a’lli’lli Madu.,TRUE,,,,,,
FL_0183,Entonces la Motelo le pintó todo su cuerpo bien bonito (a la Iguana).,Maduler i’na u’chimusha iñer’ pinen llinserlli.,TRUE,,,,,,
FL_0184,"Acabando de pintarla, la Motelo dijo “¡A mí también píntame!”","Tekkinek’an llinsera’su’ tulli: “¡Kuanta’ llinser’u!”, tulli Madu.",TRUE,,,,,,
FL_0185,Motelo le mostró (a la Iguana cómo quería que la pinte).,Madu llinser’an tanpa’nenkek a’lli’lli. ,TRUE,,,,,,
FL_0186,“Así como esto quiero que me pintes” dijo la Motelo.,“Asu’pu’su’ kua luwantulek llinsera’musu’” tulli Madu.,TRUE,,,,,,
FL_0187,Muy bien” dijo la Iguana.,“Mu’chun” tulli Pekkuala.,TRUE,,,,,,
FL_0188,La Iguana comenzó a pintar a la Motelo.,Pekkuala tenmiansu’lli llinsera’su’ Madu.,TRUE,,,,,,
FL_0189,Comenzó por su espalda.,Piteknenkekla tenmiansu’lli.,TRUE,,,,,,
FL_0190,La Motelo no veía cómo le estaban pintando.,Madu lli’i’ñi ma’pu’si’pa’ llinserapallina’.,TRUE,,,,,,
FL_0191,Después de pintar (a la Motelo) la Iguana le dijo “Ya te diseñé. ¡Vamos a la fiesta!”,Ipa’linchi llinseran Pekkualaler itulli “Ipa’ llinserllen. Enchu pistak pa’a”.,TRUE,,,,,,
FL_0192,“Vamos” le contestó (la Motelo).,“Pa’a” itulli.,TRUE,,,,,,
FL_0193,"Y, así, se fueron a la fiesta las dos.",Pistak pa’llina’ ipa’linchi katu’daper.,TRUE,,,,,,
FL_0194,"Entrando a la fiesta, bailaron. Han bailado.",Pistak da’anna’ ipa’linchi lansa’llina’. Llansa’llina’.,TRUE,,,,,,
FL_0195,"Al ver a la Motelo, la gente se burlaba de ella debido a sus diseños.",Madu lli’anna’ llinsenñenmalek lumellina’.,TRUE,,,,,,
FL_0196,Pero ella (la Motelo) no entendía porqué se,Nana ñinchichi’ñi ma’malek ipa’ lumerapallina’.,TRUE,,,,,,
FL_0197,"“¿Por qué será que se ríen de mí, caramba?” preguntó la Motelo.",“¿Ma’malek a’ta’ lumerllinerku ten?” tulli Madu.,TRUE,,,,,,
FL_0198,Alguien le dijo “Se están burlando de ti debido a tus diseños”.,Ali’laler itulli “Llinserpenmalek lumerapallinerken”.,TRUE,,,,,,
FL_0199,"Entonces, recién se enteró de que sus diseños eran feos.",Nanek tekkinchi ñinchitulli u’chimuinpu’ llinsenñen.,TRUE,,,,,,
FL_0200,"Por eso, hasta el día de hoy la Motelo lleva nomás las tremendas pintotas que le diseñó la Iguana.","Nanamalek ipa’lalek ekpa’palli Madu u’nei llinsercheksa’, Pekkualaler llinsera’su’.",TRUE,,,,,,
FL_0201,La Motelo le pintó bien bonito (a la Iguana).,Maduler u’chimusha llinserlli.,TRUE,,,,,,
FL_0202,"Por eso, hasta el día de hoy ella tiene sus pintitas bonitas.",Nanamalek nana ipa’lalek llinserchanen a’ñapalli u’chimusha.,TRUE,,,,,,
FL_0203,Así quedó la Motelo hasta el día de hoy.,Nu’su’ llia’lli ipa’lalek Madu.,TRUE,,,,,,
FL_0204,Así quedó la Iguana hasta el día de hoy.,Nu’su’ llia’lli Pekkuala ipa’lalek.,TRUE,,,,,,
