CODIGO,TEXTO_SPA,TEXTO_SHI,AUDIO?,,,,
F-0084,¿Qué significa esta palabra?,¿MATULEKI'NA' ASU' LA'LA'KEK?,FALSE,X: No es muy clara,,,
F-0085,Me gustaría aprender más.,YA ÑINCHICHINA'KA A'PINTA',TRUE,,,,
F-0086,Las estrellas brillan mucho.,TANDULALUSA' UKLALA'TULLINA' NAKUSU',FALSE,X,,,
F-0086.2,Las estrellas brillan,TANDULALUSA' UKLALA'TULLINA',TRUE,,,,
F-0087,Cuidado con la serpiente.,LLI'KER'LA' DAWANLEK',FALSE,X,,,
F-0088,Comimos contigo al anochecer.,WERANEK KENMALEK KASISER'APILASIK,FALSE,,,,
F-0089,Los niños escuchan atentos.,WILALUSA' LAUK' LLINA' MUSU',FALSE,,,,
F-0090,"¿Puedes repetir eso, por favor?",TUNUNDA' NANSIN ASU' YUSMALEK,TRUE,,,,
F-0091,Aquí no se balea.,ASEK ILANCHI'NEK',TRUE,,,,
F-0092,Mi abuela prepara las medicinas.,AMIUK NU'TAPALLI ILULENNALUSA',TRUE,,,,
F-0093,El río está crecido.,KUPINDEKSHADEK KUPIDEK'APALLI,TRUE,,,,
F-0094,Esa palabra es resonante .,NANA LA'LA' ILLINDEK' NUKA'A,TRUE,,,,
F-0095,El bosque habla en silencio.,TANANLU' LUMPALLI TA'TU'LA',FALSE,X - No es nítido,,,
F-0096,Voy a escribir tu historia.,LIINSERECHECHEK NANPIA'MASU',TRUE,,,,
F-0097,Mi lengua vive en mi memoria.,LA'LA'UK NANPIPALLI MUTU'UKEK,TRUE,,,,
F-0098,Enseñemos a cuidar las plantas.,ALEKTAWA' LUUK'TER'KEK TRA'LUSA',TRUE,,,,
F-0099,¿Quieres contarme tu historia?,¿YA WINTULUN'CHA NANPIA'MASU'?,TRUE,,,,
F-0100,Vamos a cantar todos.,IÑER' KENMU'WA' TULUNER'AWA',TRUE,,,,
F-0101 - FT-0001,el niño abre el cuaderno.,NANA' WILA EK'KER'CHULLI KER'KA',TRUE,,,,
F-0102,ellas abren el cuaderno.,NAWA' EK'KER'CHULLINA KER'KA',TRUE,,,,
F-0103,ellas no abren el cuaderno.,NAWA' EK'KER'CHI'ÑINA' KER'KA',TRUE,,,,
F-0104,ellas no abren la puerta.,NAWA' EK'KER'CHI'ÑINA' UNKUNAN,TRUE,,IYATULEK WA'DANTE' DEK,,
F-0105,ellos abren la ventana.,NAWA' EK'KER'CHULLINA VENTANA,TRUE,,,,
F-0106,la niña abre la ventana.,NANA WILA KU'APER EK'KER'CHULLI VENTANA,TRUE,,,,
F-0107,nosotras no abrimos la puerta.,KUDA EK'KER'CHI'ÑIDEK UNKUNAN,TRUE,,AWAUK KALU'PALLI SAMER,,
F-0107.2,nosotros abrimos la puerta.,KUDA EK'KER'CHULLIDEK UNKUNAN,TRUE,,,,
F-0108,tú abres el cuaderno.,KENMA EK'KER'CHULA KER'KA',TRUE,,EKLLI PA'ATER CHINTAK',,
F-0109,tú abres la puerta.,KENMA EK'KER'CHULA UNKUNAN,TRUE,,KUA WICHA'PALEK ALI'TEKLUM URALUSA',,
F-0110,ustedes abren la ventana.,KENMAMA' EK'KER'CHULAMA' VENTANA,TRUE,,KENMA WICHA'PALA ER'WAWALEK SAWADU'LUSA',,
F-0111,él abre la puerta.,NANA' EK'KER'CHULLI UNKUNAN,TRUE,,NANA WICHA'PALLI CHIPEKHEK'NENKEK,,
F-0112,el niño no ama la naturaleza.,NANA' WILA TANTENI'ÑI DUDIMPU'LUSA' LUPA'KLA,TRUE,,NAWA' WICHA'PALLINA KASISERLA'SIK,,
F-0113,ella no ama a sus amigos.,NANA' TANTENI'ÑI EKKUANENLUSA',TRUE,,KENMU'WA WICHA'TERWA WERAN'A'KA'SU'SUPINAK,,
F-0114,ella ama a sus amigos.,NANA' TANTENÑI EKKUANENLUSA',TRUE,,NANA INDEKLITULLI NAWA'LEK,,
F-0115,ella ama a su familia.,NANA' TANTENÑI PATUN'NENLUSA,TRUE,,,,
F-0116,ellas aman a su familia.,NAWA' TANTENÑINA PATUN'NENLUSA,TRUE,,,,
F-0117,ellas no aman a sus amigos.,NANA' TANTENI'ÑINA' EKKUANENLUSA',TRUE,,,,
F-0118,ellos aman a su familia.,NAWA' TANTENÑINA' PATUN'NENLUSA,TRUE,,,,
F-0119,ellos no aman a su familia.,NAWA' KU'LA TANTENI'ÑINA' PATUN'NENLUSA,TRUE,,,,
F-0120,ellos aman la naturaleza.,NAWA' TANTENÑINA'  DUDIMPU'LUSA' LUPA'KLA,TRUE,,,,
F-0121,la niña no ama la naturaleza.,NANA WILA KU'APER TANTENÑI  DUDIMPU'LUSA' LUPA'KLA,TRUE,,,,
F-0122,los niños aman a su familia.,WILALUSA' TANTENÑINA' PATUN'NENLUSA',TRUE,,,,
F-0123,nosotras no amamos a su familia.,KUDA TANTENI'ÑIDEK' PATUN'UKLUSA',TRUE,,,,
F-0124,tú no amas a sus amigos.,KENMA TANTENI'NA' EKKUANENLUSA',FALSE,X,,,
F-0125,el niño no baila con sus amigos.,NANA WILA LANSA'IÑI EKKUANENLUSA'LEK,TRUE,,,,
F-0126,ella baila con alegría.,NANA LANSA'LLI SAKE'KSU',TRUE,,,,
F-0127,ella baila con sus amigos.,NANA LANSA'LLI EKKUANENLUSA'LEK,TRUE,,,,
F-0128,ella no baila con alegría.,NANA LANSA'LLI SAKEKIN'SU',TRUE,X,,,
F-0129,ellas no bailan en la casa.,NAWA' LANSA'PI'ÑINA' PIDIK,TRUE,,,,
F-0130,ellas bailan con alegría.,NAWA' LANSA'LLINA' SAKEK'SU',TRUE,,,,
F-0131,ellas no bailan en la escuela.,NAWA' LANSA'PI'ÑINA' ÑINCHITUPIDEK'KEK',TRUE,,,,
F-0132,ellas no bailan con alegría.,NAWA' LANSA'PI'ÑINA' SAKEK'SU',TRUE,,,,
F-0133,la niña baila con alegría.,NANA WILA KU'APER LANSA'LLI' SAKEK'SU',TRUE,,,,
F-0134,la niña no baila con sus amigos.,NANA WILA KU'APER  LANSA'IÑI EKKUANENLUSA'LEK,TRUE,,,,
F-0135,las niñas bailan con alegría.,WILA KU'APERLUSA' LANSA'LLINA' SAKEK'SU',TRUE,,,,
F-0136,las niñas no bailan con alegría.,WILA KU'APERLUSA' LANSAI'ÑINA' SAKEK'SU',TRUE,,,,
F-0137,los niños no bailan con sus amigos.,WILALUSA' LANSAI'ÑINA' EKKUANENLUSA'LEK,TRUE,,,,
F-0138,nosotras no bailamos en la escuela.,KUDA LANSA'PI'ÑIDEK' ÑINCHITUPIDEK'KEK',TRUE,,,,
F-0139,ustedes bailan en la casa.,KENMAMA' LANSA'PALAMA' PIDIK,TRUE,,,,
F-0140,yo bailo con alegría.,KUA LANSA'LEK' SAKEK'SU',TRUE,,,,
F-0141,yo no bailo en la casa.,KUA LANSAI'NEK' PIDIK,TRUE,,,,
F-0142,él baila con alegría.,NANA LANSA'LLI SAKEK'SU',TRUE,,,,
F-0143,él no baila con alegría.,NANA LANSAI'ÑI SAKEK'SU',TRUE,,,,
F-0144,el niño baja la escalera.,NANAWILA NU'WAÑI CHINTEN'NAKLA',TRUE,,,,
F-0145,ella baja la escalera.,NANA NU'WAÑI CHINTEN'NAKLA',TRUE,,,,
F-0146,ella baja al río.,NANA NU'WAÑI KUPIN'DEK'SHADIK,TRUE,,,,
F-0147,ellas no bajan al primer piso.,NAWA' NU'WAN'IÑINA' DAWIK ,TRUE,X,,,
F-0148,ellas bajan al río.,NAWA' NU'WAÑINA' KUPIN'DEK'SHADIK,TRUE,,,,
F-0149,ellos bajan al río.,NAWA' NU'WAÑINA' KUPIN'DEK'SHADIK,TRUE,,,,
F-0150,ellos bajan la escalera.,NAWA' NU'WAÑINA' CHINTEN'NA,TRUE,,,,
F-0151,la niña no baja al primer piso.,NANA WILA KU'APER NU'WAN'IÑI' DAWIK ,TRUE,,,,
F-0152,las niñas no bajan al primer piso.,NANA WILALUSA KU'APER NU'WAN'IÑINA' DAWIK,TRUE,X: muy bajo,,,
F-0153,los niños no bajan al río.,WILALUSA NU'WAN'PI'ÑINA' KUPIN'DEK'SHADIK,TRUE,,,,
F-0154,los niños no bajan al primer piso.,WILALUSA NU'WAN'IÑINA' DAWIK ,TRUE,,,,
F-0155,los niños bajan al río.,WILALUSA NU'WAN'ÑINA' KUPIN'DEK'SHADIK,TRUE,,,,
F-0156,nosotras no bajamos al primer piso., KUDA NU'WAN'PI'ÑIDEK' DAWIK,TRUE,,,,
F-0157,nosotras bajamos la escalera.,KUDA NU'WAN'TAPALLIDEK' CHINTEN'NA,TRUE,,,,
F-0158,nosotros no bajamos al río.,KUDA NU'WAN'PI'ÑIDEK' KUPIN'DEK'SHADIK,TRUE,,,,
F-0159,tú no bajas al río.,KENMA NU'WAN'PINA KUPIN'DEK'SHADIK,TRUE,,,,
F-0160,tú bajas al río.,KENMA NU'WAN'PALA KUPIN'DEK'SHADIK,TRUE,,,,
F-0161,ustedes no bajan la escalera.,KENMAMA' NU'WAN'TAPINAMA' CHINTEN'NA,TRUE,,,,
F-0162,él baja al río.,NANA NU'WAN'TAPALLI KUPIN'DEK'SHADEK,TRUE,,,,
F-0163,él baja al primer piso.,NANA NU'WAN'TAPALLI DAWIK,TRUE,,,,
F-0164,él no baja al río.,NANA NU'WAN'PI'ÑI KUPIN'DEK'SHADIK,TRUE,,,,
F-0165,el niño camina en la escuela.,NANAWILA DEKKUNTULLI ÑINCHITUPIDEK'KEK',TRUE,,,,
F-0166,el niño camina muy rápido.,NANAWILA DEKKUNTULLI NAKUSU' WIU'KSU',TRUE,,,,
F-0167,ella camina muy rápido.,NANAWILA DEKKUNTULLI NAKUSU' WIU'KSU',TRUE,,,,
F-0168,ellas caminan en silencio.,NAWA' DEKKUNTULLINA' TATULA'NA,TRUE,,,,
F-0169,ellas no caminan muy rápido.,NAWA' KU'LA DEKKUNCHIÑINA' NAKUSU WIU'KSU',TRUE,x,,,
F-0170,ellas caminan muy rápido.,NAWA' DEKKUNTULLINA' NAKUSU' WIU'KSU',TRUE,,,,
F-0171,ellos caminan muy rápido.,NAWA' DEKKUNTULLINA' NAKUSU' WIU'KSU',TRUE,,,,
F-0172,ellos caminan en la escuela.,NAWA' DEKKUNTULLINA' ÑINCHITUPIDEK'KEK',TRUE,,,,
F-0173,la niña camina con su familia.,NANA WILA KU'APER DEKKUNTULLI PATUNENLEK',TRUE,,,,
F-0174,la niña camina muy rápido.,NANA WILA KU'APER DEKKUNTULLI NAKUSU' WIU'KSU',TRUE,,,,
F-0175,la niña camina en la escuela.,NANA WILA KU'APER DEKKUNTULLI ÑINCHITUPIDEK'KEK',TRUE,,,,
F-0176,las niñas no caminan muy rápido.,WILA KU'APERLUSA  DEKKUNCHI'ÑINA' ENPUNI WIU'KSU',TRUE,,,,
F-0177,los niños caminan muy rápido.,WILALUSA DEKKUNTULLINA' NAKUSU' WIU'KSU',TRUE,,,,
F-0178,nosotros no caminamos en silencio.,KUDA KU'LA DEKKUNCHI'ÑIDEK TA'TULA'MUDEK,TRUE,,,,
F-0179,nosotros no caminamos en la escuela.,KUDA KU'LA DEKKUNCHI'ÑIDEK ÑINCHITUPIDEK'KEK',TRUE,,,,
F-0180,nosotros caminamos muy rápido.,KUDA DEKKUNTULLIDEK NAKUSU' WIU'KSU',TRUE,,,,
F-0181,tú caminas con su familia.,KENMA DEKKUNTULA PATUNENLEK',TRUE,,,,
F-0182,tú caminas muy rápido.,KENMA DEKKUNTULA NAKUSU' WIU'KSU',TRUE,,,,
F-0183,ustedes caminan con su familia.,KENMAMA' DEKKUNTULAMA PATUNENLEK',TRUE,*Voz un poco temblorosa,,,
F-0184,ustedes caminan en la escuela.,KENMAMA' DEKKUNTULAMA ÑINCHITUPIDEK'KEK',TRUE,,,,
F-0185,yo no camino muy rápido.,KUA DEKKUNTAPINEK ENPU'NI WIU'KSU',TRUE,,,,
F-0186,yo camino muy rápido.,KUA DEKKUNTULEK ENPU'NI WIU'KSU'IPA,TRUE,,,,
F-0187,él no camina en silencio.,NANA DEKKUNCHIÑI TA'TULA',TRUE,"*Se esucha un poco al final como ""Ta'tulaN"" ",,,
F-0188,él camina con su familia.,NANA DEKKUNTULLI PATUNENLEK',TRUE,,,,
F-0189,él camina muy rápido.,NANA DEKKUNTULLI ENPU'NI WIU'KSU'IPA,TRUE,,,,
F-0190,el niño cierra el libro.,NANA WILA UNKU'LLI NANA KERKA',TRUE,,,,
F-0191,ella no cierra la mochila.,NANA KU'LA UNKUI'ÑI NANA MUCHILA,TRUE,,,,
F-0192,ella cierra la puerta.,NANA UNKU'LLI UNKUNAN,TRUE,,,,
F-0193,ellas no cierran la puerta.,NAWA' KU'LA UNKUI'ÑINA UNKUNAN,TRUE,,,,
F-0194,ellas cierran el libro.,NAWA' KU'LA UNKUI'ÑINA NANA KERKA',TRUE,,,,
F-0195,ellos no cierran la puerta.,NAWA' KU'LA UNKUI'ÑINA NANA UNKUNAN,TRUE,,,,
F-0196,las niñas cierran la puerta.,WILA KU'APERLUSA UNKU'LLINA NANA UNKUNAN,TRUE,,,,
F-0197,las niñas no cierran el libro.,WILA KU'APERLUSA KU'LA UNKUI'ÑINA NANA KERKA',TRUE,,,,
F-0198,nosotras no cerramos la puerta.,KUDA KU'LA UNKUI'ÑIDEK NANA UNKUNAN,TRUE,,,,
F-0199,nosotros cerramos el libro.,KUDA UNKU'LLIDEK NANA KERKA',TRUE,,,,
F-0200,tú cierras la mochila.,KENMA UNKU'LA NANA MUCHILA ,TRUE,,,,
F-0201,ustedes no cierran la mochila.,KENMAMA' KU'LA UNKUI'NAMA' NANA MUCHILA,TRUE,,,,
F-0202,ustedes no cierran el libro.,KENMAMA' KU'LA UNKUI'NAMA' NANA KERKA',TRUE,,,,
F-0203,yo no cierro el libro.,KUA KU'LA UNKUI'NEK NANA KERKA',TRUE,,,,
F-0204,él no cierra el libro.,NANA KU'LA UNKUI'ÑI NANA KERKA',TRUE,,,,
F-0205,él no cierra la mochila.,NANA KU'LA UNKUI'ÑI NANA MUCHILA,TRUE,,,,
F-0206,ella no construye un puente.,NANA KU'LA NU'TAPI'ÑI ALA'SA' PENTUNAN,FALSE,"Confunde una palabra , en la regrabacion formula otra oracion parecida pero no la misma",,,
F-0207,ella construye un puente.,NANA NU'TAPI'ÑI ALA'SA' PENTUNAN,TRUE,,,,
F-0208,ellas no construen una casa.,NAWA' KU'LA NU'TAPI'ÑINA' ALA'SA' PIDEK,TRUE,,,,
F-0209,ellas construyen una casa.,NAWA' NU'TAPALLINA ALA'SA' PIDEK,TRUE,,,,
F-0210,la niña construye una casa.,NANA WILA KU'APER NU'TULLI ALA'SA' PIDEK,TRUE,,,,
F-0211,la niña no construye una casa.,NANA WILA KU'APER KU'LA NU'CHIÑI ALA'SA' PIDEK,FALSE,Mala calidad,,,
F-0212,los niños construyen una torre.,WILALUSA' NU'TULLINA ALA'SA' TORRE,TRUE,,,,
F-0213,nosotras no construimos una casa.,KUDA KU'APERLUSA KU'LA NU'CHIÑIDEK ALA'SA' PIDEK,FALSE,Mala calidad,,,
F-0214,nosotros no construimos una torre.,KUDA KU'LA NUTAPI'ÑIDEK ALA'SA' TORRE,TRUE,,,,
F-0215,tú construyes una casa.,KENMA NU'TULA ALA'SA' PIDEK,TRUE,,,,
F-0216,tú construyes un puente.,KENMA NU'TULA ALA'SA' PENTUNAN,TRUE,,,,
F-0217,ustedes construyen un puente.,KENMAMA' NU'TULAMA' ALA'SA' PENTUNAN,TRUE,Entonacion correcta?? suena muy intenso,,,
F-0218,yo construyo un puente.,KUA NU'TULEK ALA'SA' PENTUNAN,TRUE,Se escuchan ligeros sonidos externos,,,
F-0219,él no construye una torre.,NANA KU'LA NU'CHI'ÑI ALA'SA' TORRE,TRUE,,,,
F-0220,ella no corre bajo la lluvia.,NANA KU'LA TEKA'PI'ÑI U'LAN WILENKEK,TRUE,,,,
F-0221,ella no corre muy rápido.,NANA KU'LA TEKA'PI'ÑI ENPU'NI WIU'KSU',TRUE,,,,
F-0222,ellas no corren muy rápido.,NAWA' KU'LA TEKA'PI'ÑINA NAKUSU WIU'KSU',TRUE,,,,
F-0223,ellas corren muy rápido.,NAWA' TEKA'LLINA NAKUSU WIU'KSU',TRUE,,,,
F-0224,ellos corren en el patio.,NAWA' TEKA'LLINA INYULATEK'KEK,TRUE,,,,
F-0225,la niña no corre bajo la lluvia.,NANA WILA KU'APER KU'LA TEKA'PI'ÑI U'LAN WILENKEK,TRUE,,,,
F-0226,las niñas no corren en el patio.,WILA KU'APERLUSA KU'LA TEKA'PI'ÑINA' INYULATEK'KEK,TRUE,,,,
F-0227,las niñas corren muy rápido.,WILA KU'APERLUSA TEKA'LLINA NAKUSU WIU'KSU',TRUE,,,,
F-0228,las niñas no corren bajo la lluvia.,WILA KU'APERLUSA KU'LA TEKA'IÑINA U'LAN WILENKEK,TRUE,,,,
F-0229,las niñas corren bajo la lluvia.,WILA KU'APERLUSA TEKA'LLINA U'LAN WILENKEK,TRUE,,,,
F-0230,las niñas corren por las mañanas.,WILA KU'APERLUSA TEKA'LLINA DASU'LALUSA',TRUE,,,,
F-0231,nosotras no corremos en el patio.,KUDA KU'APERLUSA KU'LA TEKA'PI'ÑIDEK INYULATEK'KEK,TRUE,,,,
F-0232,nosotros no corremos bajo la lluvia.,KUDA KU'APERLUSA KU'LA TEKA'PI'ÑIDEK U'LAN WILENKEK,TRUE,,,,
F-0233,tú corres por las mañanas.,KENMA TEKA'PALA' DASU'LALUSAK',TRUE,,,,
F-0234,ustedes no corren muy rápido.,KENMAMA' KU'LA TEKA'PI'NAMA' ENPU'NI WIU'KSU',TRUE,,,,
F-0235,yo no corro bajo la lluvia.,KUA KU'LA TEKA'PI'NEK' U'LAN WILENKEK,TRUE,,,,
F-0236,yo corro bajo la lluvia.,KUA TEKA'PALEK U'LAN WILENKEK,TRUE,,,,
F-0237,yo no corro por las mañanas.,KUA KU'LA TEKA'PI'NEK' DASU'LALUSAK',TRUE,,,,
F-0238,él corre muy rápido.,NANA TEKA'LLI NAKUSU' WIU'KSU',TRUE,,,,
F-0239,el niño no enseña a los niños.,NANA WILA KU'LA  ALEK'APADEKI'ÑI WILALUSA',TRUE,,,,
F-0240,ella no enseña matemáticas.,NANA KU'LA A'LEKTAPI'ÑI MATEMATICA,TRUE,KUA DEKKUNTULEK ENPU'NI WIU'KSU',,,
